"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INOXLEISUR","EQ","11-Sep-2018","        231.55","        231.55","        234.00","        229.00","        231.00","        229.85","        230.55","      35508","             8186513.15","        786","      21399","         60.27"
"INOXLEISUR","EQ","12-Sep-2018","        229.85","        229.85","        232.00","        225.05","        227.40","        227.70","        228.64","      36821","             8418863.50","       1112","      13737","         37.31"
"INOXLEISUR","EQ","14-Sep-2018","        227.70","        229.00","        238.90","        228.95","        232.75","        233.20","        232.63","      54455","            12667720.90","       3025","      23546","         43.24"
"INOXLEISUR","EQ","17-Sep-2018","        233.20","        231.00","        236.65","        231.00","        235.00","        234.70","        234.11","      45129","            10564990.60","       1584","      20231","         44.83"
"INOXLEISUR","EQ","18-Sep-2018","        234.70","        230.60","        237.05","        230.60","        235.00","        234.35","        234.56","      95904","            22495617.45","       1665","      72317","         75.41"
"INOXLEISUR","EQ","19-Sep-2018","        234.35","        233.05","        241.45","        227.60","        240.00","        238.35","        236.46","      44432","            10506582.20","       1365","      25419","         57.21"
"INOXLEISUR","EQ","21-Sep-2018","        238.35","        235.05","        245.95","        225.95","        234.70","        236.90","        238.01","     261709","            62290399.25","       7047","     198464","         75.83"
"INOXLEISUR","EQ","24-Sep-2018","        236.90","        235.00","        239.35","        225.50","        230.00","        229.85","        230.07","      67995","            15643539.80","       1423","      40836","         60.06"
"INOXLEISUR","EQ","25-Sep-2018","        229.85","        231.70","        231.70","        218.70","        227.90","        226.45","        225.15","      28619","             6443651.00","       1097","       9315","         32.55"
"INOXLEISUR","EQ","26-Sep-2018","        226.45","        225.15","        230.65","        222.50","        222.50","        225.50","        225.52","      29778","             6715568.90","       1310","      13299","         44.66"
"INOXLEISUR","EQ","27-Sep-2018","        225.50","        221.80","        224.00","        218.75","        219.45","        220.45","        221.30","      30323","             6710562.00","        863","      11314","         37.31"
"INOXLEISUR","EQ","28-Sep-2018","        220.45","        224.85","        224.85","        212.75","        217.00","        216.50","        216.77","      51313","            11123271.90","       1915","      26850","         52.33"
"INOXLEISUR","EQ","01-Oct-2018","        216.50","        218.00","        230.00","        203.00","        230.00","        222.85","        211.10","     252621","            53328104.65","       3629","     182417","         72.21"
"INOXLEISUR","EQ","03-Oct-2018","        222.85","        224.55","        228.85","        218.15","        225.20","        226.35","        225.44","      40279","             9080667.75","       1908","      13066","         32.44"
"INOXLEISUR","EQ","04-Oct-2018","        226.35","        227.00","        227.00","        216.00","        219.00","        219.80","        219.00","     267108","            58497075.80","       2044","     235914","         88.32"
"INOXLEISUR","EQ","05-Oct-2018","        219.80","        221.00","        223.75","        208.00","        208.10","        211.55","        213.77","      37542","             8025476.10","       1217","      17648","         47.01"
"INOXLEISUR","EQ","08-Oct-2018","        211.55","        206.50","        218.00","        195.50","        197.75","        197.70","        201.43","     110000","            22156906.20","       3263","      51350","         46.68"
"INOXLEISUR","EQ","09-Oct-2018","        197.70","        203.50","        203.50","        187.90","        189.60","        191.15","        193.50","     362024","            70051860.25","       2034","     322060","         88.96"
"INOXLEISUR","EQ","10-Oct-2018","        191.15","        193.00","        200.70","        190.40","        198.50","        197.50","        197.60","     137217","            27114365.90","       4065","      66441","         48.42"
"INOXLEISUR","EQ","11-Oct-2018","        197.50","        195.00","        224.00","        191.00","        197.70","        200.40","        203.28","     126063","            25626484.00","       3492","      22978","         18.23"
"INOXLEISUR","EQ","12-Oct-2018","        200.40","        201.90","        217.90","        200.40","        215.45","        216.10","        212.70","     117832","            25062565.50","       3095","      39130","         33.21"
"INOXLEISUR","EQ","15-Oct-2018","        216.10","        216.80","        227.00","        216.10","        222.95","        221.90","        221.01","      62638","            13843661.55","       2021","      22163","         35.38"
"INOXLEISUR","EQ","16-Oct-2018","        221.90","        225.10","        230.00","        220.05","        224.00","        224.10","        226.21","      80017","            18100528.20","       2315","      23555","         29.44"
"INOXLEISUR","EQ","17-Oct-2018","        224.10","        227.10","        237.35","        225.35","        228.00","        230.00","        232.62","     352886","            82088938.20","       6998","     107695","         30.52"
"INOXLEISUR","EQ","19-Oct-2018","        230.00","        228.00","        238.00","        222.30","        238.00","        231.50","        228.06","      61858","            14107283.65","       2395","      29621","         47.89"
"INOXLEISUR","EQ","22-Oct-2018","        231.50","        231.00","        239.95","        211.00","        216.00","        217.10","        222.52","     177183","            39427116.80","       4352","      28639","         16.16"
"INOXLEISUR","EQ","23-Oct-2018","        217.10","        215.00","        215.00","        206.40","        207.60","        208.20","        208.99","     176018","            36785388.90","       4267","     121654","         69.11"
"INOXLEISUR","EQ","24-Oct-2018","        208.20","        212.35","        214.00","        207.10","        208.75","        208.60","        209.62","      56712","            11887892.15","       1466","      30115","         53.10"
"INOXLEISUR","EQ","25-Oct-2018","        208.60","        208.60","        210.30","        200.20","        203.90","        202.25","        205.79","     111503","            22946401.00","       2870","      43403","         38.93"
"INOXLEISUR","EQ","26-Oct-2018","        202.25","        202.25","        219.80","        200.35","        215.35","        214.95","        210.25","      96874","            20368132.45","       3637","      49521","         51.12"
"INOXLEISUR","EQ","29-Oct-2018","        214.95","        214.00","        221.45","        212.80","        215.15","        216.45","        218.06","      98152","            21402536.15","       2502","      40979","         41.75"
"INOXLEISUR","EQ","30-Oct-2018","        216.45","        218.20","        223.80","        215.20","        218.40","        217.90","        220.11","     702389","           154605993.20","       2394","     636975","         90.69"
"INOXLEISUR","EQ","31-Oct-2018","        217.90","        215.00","        224.40","        215.00","        219.05","        220.25","        220.09","      53368","            11745952.10","       1985","      21356","         40.02"
"INOXLEISUR","EQ","01-Nov-2018","        220.25","        224.00","        224.35","        212.50","        219.10","        220.20","        218.49","     130219","            28450967.20","       3943","      84025","         64.53"
"INOXLEISUR","EQ","02-Nov-2018","        220.20","        226.00","        230.00","        225.00","        227.05","        227.75","        227.70","     195027","            44408489.95","       4689","      87783","         45.01"
"INOXLEISUR","EQ","05-Nov-2018","        227.75","        229.00","        229.00","        221.20","        222.75","        223.25","        223.78","      47478","            10624397.65","       1417","      27672","         58.28"
"INOXLEISUR","EQ","06-Nov-2018","        223.25","        224.10","        230.00","        223.40","        224.00","        224.05","        226.92","      70025","            15890131.50","       2018","      28668","         40.94"
"INOXLEISUR","EQ","07-Nov-2018","        224.05","        226.25","        229.80","        224.95","        229.80","        228.00","        227.14","      23766","             5398294.35","        381","      17845","         75.09"
"INOXLEISUR","EQ","09-Nov-2018","        228.00","        223.90","        227.95","        221.10","        221.60","        222.00","        222.45","      66149","            14714662.25","       2009","      38882","         58.78"
"INOXLEISUR","EQ","12-Nov-2018","        222.00","        222.00","        224.00","        217.15","        219.85","        218.90","        219.50","      52170","            11451177.40","       3337","      35811","         68.64"
"INOXLEISUR","EQ","13-Nov-2018","        218.90","        218.05","        224.90","        215.25","        221.00","        221.25","        220.87","      35243","             7784137.70","       1335","       8799","         24.97"
"INOXLEISUR","EQ","14-Nov-2018","        221.25","        222.80","        223.95","        216.05","        220.10","        220.95","        219.99","     104409","            22968623.50","       1546","      87710","         84.01"
"INOXLEISUR","EQ","15-Nov-2018","        220.95","        218.95","        224.35","        209.75","        214.50","        214.45","        218.38","     146149","            31915891.15","       5301","      39866","         27.28"
"INOXLEISUR","EQ","16-Nov-2018","        214.45","        216.10","        218.95","        213.05","        215.00","        215.60","        215.99","      81541","            17611840.00","        790","       9378","         11.50"
"INOXLEISUR","EQ","19-Nov-2018","        215.60","        212.50","        218.60","        211.85","        217.20","        217.60","        215.44","      32444","             6989812.20","        794","      13273","         40.91"
"INOXLEISUR","EQ","20-Nov-2018","        217.60","        214.15","        215.60","        212.20","        212.25","        213.05","        213.79","      34123","             7295099.35","        979","      14716","         43.13"
"INOXLEISUR","EQ","21-Nov-2018","        213.05","        214.10","        216.85","        213.00","        215.50","        215.70","        214.80","      23254","             4995002.50","        483","      13470","         57.93"
"INOXLEISUR","EQ","22-Nov-2018","        215.70","        213.75","        216.30","        208.40","        209.85","        210.10","        212.32","      48048","            10201742.50","       1127","      37474","         77.99"
"INOXLEISUR","EQ","26-Nov-2018","        210.10","        211.95","        216.60","        209.50","        212.80","        213.10","        212.35","     622114","           132103050.95","       2163","     581302","         93.44"
"INOXLEISUR","EQ","27-Nov-2018","        213.10","        211.10","        213.10","        211.10","        211.60","        212.00","        212.03","     130579","            27686898.65","        864","     114092","         87.37"
"INOXLEISUR","EQ","28-Nov-2018","        212.00","        215.00","        221.85","        211.20","        212.30","        212.90","        215.33","     184615","            39752475.65","       4878","      62612","         33.91"
"INOXLEISUR","EQ","29-Nov-2018","        212.90","        214.15","        217.00","        211.25","        211.95","        212.60","        213.95","     115072","            24619276.40","       2733","      64360","         55.93"
"INOXLEISUR","EQ","30-Nov-2018","        212.60","        215.95","        221.00","        213.50","        217.20","        217.85","        216.83","     420790","            91238474.00","       8634","     112496","         26.73"
"INOXLEISUR","EQ","03-Dec-2018","        217.85","        217.85","        219.40","        214.50","        217.05","        217.65","        217.36","      64794","            14083775.90","       1772","      21674","         33.45"
"INOXLEISUR","EQ","04-Dec-2018","        217.65","        217.65","        232.15","        215.10","        223.10","        228.00","        225.69","     301690","            68089253.60","       7011","     133923","         44.39"
"INOXLEISUR","EQ","05-Dec-2018","        228.00","        222.55","        229.35","        222.55","        228.00","        227.85","        227.67","     209061","            47596094.60","       3260","     145176","         69.44"
"INOXLEISUR","EQ","06-Dec-2018","        227.85","        227.55","        227.55","        222.55","        223.45","        223.40","        224.35","      38518","             8641578.90","       2204","      13118","         34.06"
