"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JCHAC","EQ","11-Sep-2018","       1850.90","       1851.00","       1878.40","       1745.05","       1759.80","       1757.05","       1799.68","       6387","            11494529.10","        903","       4862","         76.12"
"JCHAC","EQ","12-Sep-2018","       1757.05","       1765.00","       1793.55","       1717.10","       1730.00","       1746.25","       1739.51","       9308","            16191403.20","       1135","       6904","         74.17"
"JCHAC","EQ","14-Sep-2018","       1746.25","       1746.25","       1812.00","       1746.25","       1803.00","       1805.35","       1784.07","       2216","             3953488.55","        457","       1426","         64.35"
"JCHAC","EQ","17-Sep-2018","       1805.35","       1799.00","       1874.35","       1783.45","       1840.00","       1860.05","       1841.53","       4482","             8253757.65","       1694","       2390","         53.32"
"JCHAC","EQ","18-Sep-2018","       1860.05","       1885.00","       1885.05","       1790.00","       1796.00","       1809.05","       1870.31","       4586","             8577258.20","        637","       3908","         85.22"
"JCHAC","EQ","19-Sep-2018","       1809.05","       1827.05","       1844.95","       1769.75","       1815.00","       1803.80","       1805.02","       2494","             4501725.90","        951","       1621","         65.00"
"JCHAC","EQ","21-Sep-2018","       1803.80","       1833.15","       1839.25","       1723.00","       1793.00","       1789.60","       1777.72","      10002","            17780804.65","       3741","       7871","         78.69"
"JCHAC","EQ","24-Sep-2018","       1789.60","       1763.00","       1820.05","       1688.35","       1699.95","       1707.15","       1749.12","       2285","             3996735.55","        665","       1219","         53.35"
"JCHAC","EQ","25-Sep-2018","       1707.15","       1690.00","       1800.00","       1640.00","       1740.00","       1734.55","       1707.11","       4764","             8132673.25","       1433","       2717","         57.03"
"JCHAC","EQ","26-Sep-2018","       1734.55","       1751.00","       1785.00","       1715.00","       1715.00","       1738.90","       1740.51","      35245","            61344115.35","        520","      34367","         97.51"
"JCHAC","EQ","27-Sep-2018","       1738.90","       1736.40","       1784.00","       1685.00","       1705.00","       1714.70","       1722.74","       6199","            10679242.30","       1330","       2053","         33.12"
