"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JINDRILL","EQ","11-Sep-2018","        138.40","        140.00","        140.00","        136.10","        137.80","        136.85","        138.29","      10744","             1485754.70","        206","       8038","         74.81"
"JINDRILL","EQ","12-Sep-2018","        136.85","        140.50","        140.50","        135.05","        136.20","        137.75","        137.46","      31665","             4352768.60","        632","      11327","         35.77"
"JINDRILL","EQ","14-Sep-2018","        137.75","        139.40","        139.45","        136.80","        137.50","        137.75","        138.08","      20831","             2876316.85","        297","       9403","         45.14"
"JINDRILL","EQ","17-Sep-2018","        137.75","        137.45","        141.95","        135.80","        137.95","        137.20","        137.15","      48792","             6691666.75","        535","      13725","         28.13"
"JINDRILL","EQ","18-Sep-2018","        137.20","        138.90","        141.00","        136.50","        138.50","        137.80","        138.56","      37437","             5187238.85","        530","      13504","         36.07"
"JINDRILL","EQ","19-Sep-2018","        137.80","        138.20","        140.75","        137.00","        139.20","        138.30","        138.62","      34206","             4741760.55","        587","      16130","         47.16"
"JINDRILL","EQ","21-Sep-2018","        138.30","        138.75","        139.80","        125.00","        131.10","        131.10","        134.50","      26875","             3614773.90","        459","      11614","         43.21"
"JINDRILL","EQ","24-Sep-2018","        131.10","        133.05","        133.05","        126.00","        127.95","        127.60","        127.66","      17517","             2236159.35","        373","      12431","         70.97"
"JINDRILL","EQ","25-Sep-2018","        127.60","        127.60","        134.90","        123.65","        130.00","        128.65","        127.01","      25545","             3244351.40","        430","      14792","         57.91"
"JINDRILL","EQ","26-Sep-2018","        128.65","        130.55","        134.00","        126.05","        126.05","        126.70","        127.65","       9015","             1150745.85","        230","       6357","         70.52"
"JINDRILL","EQ","27-Sep-2018","        126.70","        128.55","        131.00","        125.10","        127.30","        127.70","        128.20","       8951","             1147479.90","        290","       5301","         59.22"
"JINDRILL","EQ","28-Sep-2018","        127.70","        127.70","        127.70","        120.00","        122.00","        122.00","        123.29","      18547","             2286734.90","        304","      13168","         71.00"
"JINDRILL","EQ","01-Oct-2018","        122.00","        120.00","        120.50","        116.20","        118.10","        119.30","        118.76","      35667","             4235748.10","        444","      19934","         55.89"
"JINDRILL","EQ","03-Oct-2018","        119.30","        122.50","        133.35","        122.50","        130.50","        129.45","        127.14","      32564","             4140290.10","        605","      19760","         60.68"
"JINDRILL","EQ","04-Oct-2018","        129.45","        129.00","        132.00","        126.05","        127.00","        127.55","        129.34","      18326","             2370357.10","        307","      11068","         60.40"
