"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JSWHL","EQ","11-Sep-2018","       2209.55","       2210.00","       2290.00","       2210.00","       2230.00","       2251.00","       2239.04","      13910","            31145027.50","        795","      11267","         81.00"
"JSWHL","EQ","12-Sep-2018","       2251.00","       2245.00","       2315.00","       2197.45","       2295.00","       2287.75","       2230.45","      12235","            27289561.50","        647","       9830","         80.34"
"JSWHL","EQ","14-Sep-2018","       2287.75","       2261.15","       2470.00","       2260.00","       2388.00","       2365.40","       2349.99","      12901","            30317182.60","       1018","      10074","         78.09"
"JSWHL","EQ","17-Sep-2018","       2365.40","       2358.85","       2429.00","       2343.05","       2420.30","       2411.85","       2404.10","       6119","            14710670.30","        692","       4721","         77.15"
"JSWHL","EQ","18-Sep-2018","       2411.85","       2415.00","       2499.50","       2414.95","       2482.00","       2478.40","       2458.41","       6036","            14838990.95","        737","       4489","         74.37"
"JSWHL","EQ","19-Sep-2018","       2478.40","       2483.25","       2569.00","       2451.50","       2524.00","       2494.15","       2529.64","       6952","            17586029.65","       1051","       4340","         62.43"
"JSWHL","EQ","21-Sep-2018","       2494.15","       2525.00","       2565.85","       2300.00","       2420.20","       2415.45","       2481.37","       8903","            22091605.25","        944","       5622","         63.15"
"JSWHL","EQ","24-Sep-2018","       2415.45","       2420.05","       2498.60","       2345.00","       2485.00","       2442.55","       2445.71","      13818","            33794777.45","        539","      11819","         85.53"
"JSWHL","EQ","25-Sep-2018","       2442.55","       2475.00","       2499.00","       2400.50","       2489.50","       2479.20","       2472.06","      11032","            27271802.70","        477","       9375","         84.98"
"JSWHL","EQ","26-Sep-2018","       2479.20","       2479.25","       2502.75","       2429.00","       2439.00","       2439.60","       2478.06","       5485","            13592160.80","        740","       3517","         64.12"
"JSWHL","EQ","27-Sep-2018","       2439.60","       2451.80","       2525.15","       2411.00","       2415.00","       2448.05","       2479.73","       5573","            13819551.30","        980","       3454","         61.98"
"JSWHL","EQ","28-Sep-2018","       2448.05","       2476.30","       2500.00","       2252.25","       2350.00","       2352.70","       2414.91","       5409","            13062274.65","        799","       3670","         67.85"
"JSWHL","EQ","01-Oct-2018","       2352.70","       2380.65","       2380.65","       2250.00","       2265.00","       2284.20","       2285.27","       3025","             6912938.40","        261","       2310","         76.36"
"JSWHL","EQ","03-Oct-2018","       2284.20","       2287.90","       2390.00","       2277.10","       2344.00","       2344.20","       2346.00","       2654","             6226290.45","        267","       2170","         81.76"
"JSWHL","EQ","04-Oct-2018","       2344.20","       2303.15","       2356.90","       2200.50","       2200.50","       2221.90","       2288.42","       2176","             4979592.75","        264","       1334","         61.31"
"JSWHL","EQ","05-Oct-2018","       2221.90","       2221.85","       2226.90","       2122.25","       2126.25","       2133.90","       2166.73","       2051","             4443954.35","        222","       1550","         75.57"
"JSWHL","EQ","08-Oct-2018","       2133.90","       2115.05","       2118.95","       2052.00","       2052.00","       2069.80","       2087.48","       2011","             4197930.55","        215","       1515","         75.34"
"JSWHL","EQ","09-Oct-2018","       2069.80","       2060.00","       2086.35","       1910.00","       1915.00","       1947.30","       1973.65","       2233","             4407150.35","        500","       1604","         71.83"
"JSWHL","EQ","10-Oct-2018","       1947.30","       1900.50","       1974.95","       1898.00","       1900.50","       1921.45","       1945.99","       1982","             3856952.55","        335","       1397","         70.48"
"JSWHL","EQ","11-Oct-2018","       1921.45","       1907.15","       1907.15","       1799.95","       1810.00","       1815.15","       1848.34","      10347","            19124793.00","        546","       9524","         92.05"
"JSWHL","EQ","12-Oct-2018","       1815.15","       1821.00","       1969.95","       1821.00","       1930.00","       1945.35","       1880.67","      10099","            18992848.15","        693","       8786","         87.00"
"JSWHL","EQ","15-Oct-2018","       1945.35","       1979.95","       2098.00","       1969.00","       2098.00","       2082.80","       2050.46","       3782","             7754842.75","        684","       2846","         75.25"
