"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JUBILANT","EQ","11-Sep-2018","        805.95","        812.40","        825.90","        761.15","        765.00","        769.15","        788.12","     511650","           403240161.60","      19248","     153676","         30.04"
"JUBILANT","EQ","12-Sep-2018","        769.15","        765.00","        789.00","        755.00","        784.00","        781.25","        775.41","     515680","           399865119.80","      19918","     159950","         31.02"
"JUBILANT","EQ","14-Sep-2018","        781.25","        789.00","        798.90","        782.70","        794.00","        792.50","        792.33","     340787","           270015493.20","      12145","     121517","         35.66"
"JUBILANT","EQ","17-Sep-2018","        792.50","        785.25","        810.00","        780.00","        789.80","        789.80","        796.80","     286832","           228547360.45","       8512","      69170","         24.12"
"JUBILANT","EQ","18-Sep-2018","        789.80","        789.80","        792.85","        767.50","        772.95","        771.25","        780.16","     215519","           168139371.00","      11703","      76249","         35.38"
"JUBILANT","EQ","19-Sep-2018","        771.25","        774.80","        777.65","        742.00","        745.55","        746.70","        757.74","     206938","           156804958.95","       9751","      74999","         36.24"
"JUBILANT","EQ","21-Sep-2018","        746.70","        752.50","        763.00","        686.05","        740.00","        738.15","        740.93","     415345","           307739930.75","      10180","     228039","         54.90"
"JUBILANT","EQ","24-Sep-2018","        738.15","        739.65","        746.70","        713.40","        725.00","        723.25","        731.71","     211649","           154864918.40","       8175","      55136","         26.05"
"JUBILANT","EQ","25-Sep-2018","        723.25","        725.00","        744.70","        712.00","        737.00","        735.60","        729.53","     272833","           199040147.90","       9286","      88689","         32.51"
"JUBILANT","EQ","26-Sep-2018","        735.60","        750.05","        765.00","        750.00","        758.95","        760.30","        758.03","     332566","           252093747.05","      12382","     124060","         37.30"
"JUBILANT","EQ","27-Sep-2018","        760.30","        761.10","        764.65","        737.70","        740.85","        743.30","        752.85","     281949","           212264033.45","       7768","     181629","         64.42"
"JUBILANT","EQ","28-Sep-2018","        743.30","        744.00","        759.00","        715.00","        740.00","        732.70","        737.42","     273429","           201631398.30","      13168","      95544","         34.94"
"JUBILANT","EQ","01-Oct-2018","        732.70","        735.50","        735.50","        672.10","        713.00","        711.75","        701.52","     369400","           259142063.75","      21949","     131152","         35.50"
"JUBILANT","EQ","03-Oct-2018","        711.75","        705.00","        715.30","        692.85","        693.15","        696.10","        704.05","     225339","           158650244.30","      17441","      73875","         32.78"
"JUBILANT","EQ","04-Oct-2018","        696.10","        688.80","        710.75","        682.25","        706.00","        705.30","        701.40","     884821","           620616564.00","      19656","     695532","         78.61"
"JUBILANT","EQ","05-Oct-2018","        705.30","        700.00","        712.00","        675.15","        680.00","        685.60","        693.88","     105285","            73055111.10","       4140","      38932","         36.98"
"JUBILANT","EQ","08-Oct-2018","        685.60","        675.00","        689.00","        664.35","        675.00","        670.05","        676.69","     181984","           123146587.55","       5787","      79768","         43.83"
"JUBILANT","EQ","09-Oct-2018","        670.05","        675.05","        683.45","        642.55","        647.00","        650.95","        659.03","     226432","           149224892.35","       8526","      89249","         39.42"
"JUBILANT","EQ","10-Oct-2018","        650.95","        654.00","        672.80","        651.70","        665.00","        667.55","        664.75","     174724","           116148429.90","       5181","      63207","         36.18"
"JUBILANT","EQ","11-Oct-2018","        667.55","        646.90","        663.85","        586.35","        647.80","        649.00","        652.56","     144862","            94531800.60","       5534","      75299","         51.98"
"JUBILANT","EQ","12-Oct-2018","        649.00","        652.90","        670.00","        652.90","        666.00","        663.80","        660.43","     416525","           275085739.15","      11246","     194029","         46.58"
"JUBILANT","EQ","15-Oct-2018","        663.80","        665.00","        695.95","        650.00","        689.05","        692.40","        684.75","     176973","           121181484.20","       6214","      64265","         36.31"
"JUBILANT","EQ","16-Oct-2018","        692.40","        695.00","        706.10","        688.10","        691.00","        693.20","        696.30","     120758","            84083838.70","       6576","      39693","         32.87"
"JUBILANT","EQ","17-Oct-2018","        693.20","        697.10","        703.70","        676.05","        680.00","        680.40","        688.75","     120536","            83019099.70","       5300","      52936","         43.92"
"JUBILANT","EQ","19-Oct-2018","        680.40","        680.00","        695.65","        616.00","        675.00","        672.05","        674.56","     624638","           421355958.65","      19163","     423792","         67.85"
"JUBILANT","EQ","22-Oct-2018","        672.05","        688.00","        694.70","        642.00","        648.90","        649.95","        670.19","     773728","           518544872.80","      31071","     164986","         21.32"
"JUBILANT","EQ","23-Oct-2018","        649.95","        652.95","        682.00","        626.00","        655.00","        652.15","        654.03","    1003472","           656300679.45","      61128","     519039","         51.72"
"JUBILANT","EQ","24-Oct-2018","        652.15","        656.05","        664.00","        645.15","        650.10","        653.55","        651.72","     271448","           176908478.05","      18494","     117126","         43.15"
"JUBILANT","EQ","25-Oct-2018","        653.55","        643.20","        659.95","        642.50","        656.35","        656.75","        652.65","     140326","            91583963.70","      13245","      63397","         45.18"
"JUBILANT","EQ","26-Oct-2018","        656.75","        660.00","        660.00","        640.30","        644.00","        647.20","        647.14","     118952","            76978897.30","       6279","      37418","         31.46"
"JUBILANT","EQ","29-Oct-2018","        647.20","        649.00","        654.60","        641.15","        648.00","        648.60","        647.82","     182341","           118124089.25","       9418","      85395","         46.83"
"JUBILANT","EQ","30-Oct-2018","        648.60","        655.00","        665.95","        644.15","        648.55","        651.30","        653.77","     266234","           174055874.85","      18200","     135530","         50.91"
"JUBILANT","EQ","31-Oct-2018","        651.30","        646.00","        669.90","        646.00","        658.70","        663.55","        658.87","     225013","           148253903.70","      16642","     102276","         45.45"
"JUBILANT","EQ","01-Nov-2018","        663.55","        664.40","        681.00","        663.10","        675.95","        673.55","        672.56","     244775","           164626269.00","      14937","     112023","         45.77"
"JUBILANT","EQ","02-Nov-2018","        673.55","        681.95","        709.80","        675.15","        703.00","        702.35","        695.41","     405429","           281938203.90","      12526","     160055","         39.48"
"JUBILANT","EQ","05-Nov-2018","        702.35","        704.40","        729.00","        703.15","        717.40","        721.00","        718.79","     331593","           238344968.10","      15447","     129637","         39.10"
"JUBILANT","EQ","06-Nov-2018","        721.00","        721.60","        737.20","        721.20","        732.60","        731.95","        726.08","     149329","           108424830.70","      10806","      73585","         49.28"
"JUBILANT","EQ","07-Nov-2018","        731.95","        738.00","        741.15","        732.00","        735.00","        735.30","        735.75","      23513","            17299578.65","       1022","      11399","         48.48"
"JUBILANT","EQ","09-Nov-2018","        735.30","        735.00","        770.00","        725.05","        764.00","        764.05","        756.10","     405186","           306363055.40","      17830","      98928","         24.42"
"JUBILANT","EQ","12-Nov-2018","        764.05","        766.90","        770.00","        735.00","        745.00","        746.80","        750.91","     197408","           148235546.95","       9756","      73768","         37.37"
"JUBILANT","EQ","13-Nov-2018","        746.80","        737.10","        761.35","        736.00","        756.85","        758.20","        749.76","     168186","           126098896.40","      11519","      61868","         36.79"
"JUBILANT","EQ","14-Nov-2018","        758.20","        759.05","        764.15","        739.10","        751.00","        751.80","        749.26","     124185","            93046948.35","       9978","      51309","         41.32"
"JUBILANT","EQ","15-Nov-2018","        751.80","        751.80","        762.00","        743.05","        752.15","        753.50","        753.21","     130364","            98190912.75","       8884","      42003","         32.22"
"JUBILANT","EQ","16-Nov-2018","        753.50","        757.60","        757.60","        746.00","        752.00","        753.10","        750.35","     113297","            85012331.50","      11372","      60920","         53.77"
"JUBILANT","EQ","19-Nov-2018","        753.10","        759.70","        770.00","        749.45","        759.75","        760.15","        763.48","     255886","           195365056.40","       9903","      70522","         27.56"
"JUBILANT","EQ","20-Nov-2018","        760.15","        760.90","        761.55","        721.05","        723.20","        728.25","        740.99","     147257","           109115239.35","       9523","      69338","         47.09"
"JUBILANT","EQ","21-Nov-2018","        728.25","        729.90","        734.10","        702.00","        703.25","        704.70","        711.28","     194550","           138379654.05","      11754","      77322","         39.74"
"JUBILANT","EQ","22-Nov-2018","        704.70","        706.50","        719.20","        700.00","        701.80","        702.45","        709.14","     109932","            77957637.85","       4084","      32357","         29.43"
"JUBILANT","EQ","26-Nov-2018","        702.45","        705.90","        709.00","        675.40","        683.00","        684.90","        686.80","     166533","           114375108.85","       9264","      65909","         39.58"
"JUBILANT","EQ","27-Nov-2018","        684.90","        699.00","        708.00","        686.45","        690.60","        695.15","        699.28","     260717","           182314915.65","      14007","     101359","         38.88"
"JUBILANT","EQ","28-Nov-2018","        695.15","        690.15","        699.45","        690.15","        694.90","        696.55","        694.71","      92729","            64419717.05","       4163","      24263","         26.17"
"JUBILANT","EQ","29-Nov-2018","        696.55","        702.05","        748.00","        702.05","        746.35","        742.65","        735.39","     872410","           641565047.85","      23400","     200684","         23.00"
"JUBILANT","EQ","30-Nov-2018","        742.65","        755.80","        780.00","        748.50","        778.00","        774.80","        763.82","     674968","           515556082.65","      24042","     258679","         38.32"
"JUBILANT","EQ","03-Dec-2018","        774.80","        780.00","        802.00","        758.10","        802.00","        799.75","        783.73","     714189","           559734657.60","      18327","     240742","         33.71"
"JUBILANT","EQ","04-Dec-2018","        799.75","        800.00","        829.95","        785.00","        826.60","        820.55","        805.96","     470329","           379067211.55","      18383","     163769","         34.82"
"JUBILANT","EQ","05-Dec-2018","        820.55","        810.30","        836.05","        807.25","        821.00","        823.20","        822.76","     597651","           491722110.30","      25144","     193642","         32.40"
"JUBILANT","EQ","06-Dec-2018","        823.20","        806.75","        846.35","        800.40","        801.40","        805.75","        821.20","     699988","           574828410.25","      28197","     167431","         23.92"
"JUBILANT","EQ","07-Dec-2018","        805.75","        803.00","        818.00","        786.10","        789.50","        791.75","        800.34","     228052","           182518399.15","      11464","      45460","         19.93"
"JUBILANT","EQ","10-Dec-2018","        791.75","        760.00","        761.80","        730.00","        740.00","        739.25","        749.58","     488908","           366476388.90","      18911","      90441","         18.50"
"JUBILANT","EQ","11-Dec-2018","        739.25","        734.80","        767.50","        721.55","        751.05","        754.20","        753.62","     347429","           261828874.70","      10384","      72827","         20.96"
"JUBILANT","EQ","12-Dec-2018","        754.20","        753.00","        764.45","        742.00","        752.00","        750.85","        753.06","     394091","           296774430.95","      14713","     160637","         40.76"
"JUBILANT","EQ","13-Dec-2018","        750.85","        759.15","        770.00","        732.95","        750.10","        743.10","        750.91","     325624","           244513348.60","      13635","     122986","         37.77"
"JUBILANT","EQ","14-Dec-2018","        743.10","        745.00","        752.95","        731.35","        734.35","        735.95","        738.66","     179209","           132374267.60","      11543","      77550","         43.27"
"JUBILANT","EQ","17-Dec-2018","        735.95","        739.85","        743.50","        722.40","        725.00","        726.85","        729.38","     199365","           145412561.20","       9543","      82337","         41.30"
"JUBILANT","EQ","18-Dec-2018","        726.85","        726.85","        734.50","        718.20","        720.95","        722.85","        724.87","     231766","           168000948.20","      10701","      94137","         40.62"
"JUBILANT","EQ","19-Dec-2018","        722.85","        728.00","        729.90","        708.00","        713.80","        712.35","        715.49","     299751","           214468682.70","      14167","     139407","         46.51"
"JUBILANT","EQ","20-Dec-2018","        712.35","        715.00","        722.00","        708.00","        709.00","        709.45","        712.82","     220160","           156933796.70","       9751","      78929","         35.85"
"JUBILANT","EQ","21-Dec-2018","        709.45","        712.45","        716.50","        695.10","        696.60","        698.30","        702.52","     238209","           167345431.65","      13835","     118971","         49.94"
