"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KAMATHOTEL","EQ","11-Sep-2018","         66.20","         66.25","         71.50","         65.55","         67.50","         67.30","         69.22","     191580","            13261223.25","       1623","      58794","         30.69"
"KAMATHOTEL","EQ","12-Sep-2018","         67.30","         68.00","         68.00","         66.15","         66.65","         66.85","         66.87","      18645","             1246851.40","        297","      11366","         60.96"
"KAMATHOTEL","EQ","14-Sep-2018","         66.85","         68.00","         70.80","         67.70","         68.05","         68.80","         68.97","     119233","             8223787.15","        988","      47773","         40.07"
"KAMATHOTEL","EQ","17-Sep-2018","         68.80","         67.25","         68.50","         65.50","         66.35","         66.40","         66.89","      97693","             6534949.40","        704","      41398","         42.38"
"KAMATHOTEL","EQ","18-Sep-2018","         66.40","         67.00","         67.90","         65.20","         65.50","         65.55","         66.45","      23434","             1557075.00","        317","      14212","         60.65"
"KAMATHOTEL","EQ","19-Sep-2018","         65.55","         67.40","         67.40","         64.50","         64.90","         64.60","         65.32","      13929","              909796.00","        216","      11138","         79.96"
"KAMATHOTEL","EQ","21-Sep-2018","         64.60","         65.00","         66.40","         55.15","         61.70","         61.85","         62.84","      59361","             3730330.05","        502","      42037","         70.82"
"KAMATHOTEL","EQ","24-Sep-2018","         61.85","         61.85","         61.85","         55.00","         57.25","         56.35","         57.40","      84954","             4876245.75","        772","      60421","         71.12"
"KAMATHOTEL","EQ","25-Sep-2018","         56.35","         55.30","         57.75","         55.05","         56.45","         56.50","         56.34","      56979","             3210400.75","        468","      34686","         60.88"
"KAMATHOTEL","EQ","26-Sep-2018","         56.50","         58.00","         58.50","         56.35","         57.00","         56.80","         57.09","      26939","             1537999.75","        348","      15723","         58.37"
"KAMATHOTEL","EQ","27-Sep-2018","         56.80","         57.75","         57.75","         55.00","         55.10","         55.35","         56.17","      32611","             1831600.25","        528","      20451","         62.71"
"KAMATHOTEL","EQ","28-Sep-2018","         55.35","         56.10","         58.00","         45.20","         46.95","         47.05","         48.63","     300620","            14618188.35","       2644","     180116","         59.91"
"KAMATHOTEL","EQ","01-Oct-2018","         47.05","         47.00","         49.00","         42.65","         49.00","         48.30","         46.13","     118522","             5466982.90","        811","      66939","         56.48"
"KAMATHOTEL","EQ","03-Oct-2018","         48.30","         48.35","         51.50","         46.10","         48.00","         47.65","         49.13","      63620","             3125748.05","        584","      28300","         44.48"
"KAMATHOTEL","EQ","04-Oct-2018","         47.65","         46.05","         47.75","         44.70","         45.00","         45.40","         45.84","      69273","             3175403.70","        763","      37610","         54.29"
"KAMATHOTEL","EQ","05-Oct-2018","         45.40","         46.80","         46.80","         44.20","         44.20","         44.90","         45.34","      31281","             1418166.40","        336","      16608","         53.09"
"KAMATHOTEL","EQ","08-Oct-2018","         44.90","         44.15","         47.10","         43.00","         46.00","         45.75","         45.64","      49378","             2253583.75","        545","      27278","         55.24"
"KAMATHOTEL","EQ","09-Oct-2018","         45.75","         45.70","         47.95","         45.50","         45.50","         45.60","         46.17","      26294","             1213906.00","        305","      15162","         57.66"
"KAMATHOTEL","EQ","10-Oct-2018","         45.60","         45.55","         48.90","         45.55","         47.50","         47.45","         47.57","      47517","             2260605.55","        494","      32385","         68.15"
"KAMATHOTEL","EQ","11-Oct-2018","         47.45","         43.30","         46.95","         43.30","         46.40","         46.10","         45.83","      32077","             1470210.10","        314","      19138","         59.66"
"KAMATHOTEL","EQ","12-Oct-2018","         46.10","         47.95","         48.50","         46.55","         46.55","         46.65","         47.14","      55425","             2612767.00","        507","      37947","         68.47"
"KAMATHOTEL","EQ","15-Oct-2018","         46.65","         47.55","         48.35","         46.30","         48.00","         47.95","         47.36","      36304","             1719212.55","        410","      19403","         53.45"
"KAMATHOTEL","EQ","16-Oct-2018","         47.95","         48.75","         50.90","         48.15","         49.00","         48.75","         49.50","      59879","             2963995.70","        681","      31933","         53.33"
"KAMATHOTEL","EQ","17-Oct-2018","         48.75","         50.00","         52.75","         47.30","         48.55","         48.05","         49.61","      55827","             2769745.40","        564","      28188","         50.49"
"KAMATHOTEL","EQ","19-Oct-2018","         48.05","         48.55","         48.55","         46.05","         46.20","         46.50","         46.78","      24181","             1131214.10","        275","      13870","         57.36"
"KAMATHOTEL","EQ","22-Oct-2018","         46.50","         46.90","         47.50","         45.25","         45.80","         45.95","         46.25","      33673","             1557480.50","        452","      20459","         60.76"
"KAMATHOTEL","EQ","23-Oct-2018","         45.95","         46.00","         46.35","         44.30","         44.65","         44.90","         44.88","      58543","             2627304.95","        274","      46047","         78.66"
"KAMATHOTEL","EQ","24-Oct-2018","         44.90","         45.25","         45.90","         39.20","         42.50","         42.60","         41.45","     335144","            13891979.75","       1879","     135438","         40.41"
"KAMATHOTEL","EQ","25-Oct-2018","         42.60","         41.70","         42.40","         39.50","         39.70","         39.85","         40.19","     105992","             4260138.45","       1236","      67440","         63.63"
