"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KARDA","EQ","11-Sep-2018","        210.20","        211.90","        214.45","        201.00","        201.80","        203.65","        207.27","     230617","            47800052.45","       3737","      41874","         18.16"
"KARDA","EQ","12-Sep-2018","        203.65","        201.75","        235.00","        191.00","        223.00","        222.00","        214.76","     657348","           141174959.45","       7014","     129685","         19.73"
"KARDA","EQ","14-Sep-2018","        222.00","        222.45","        236.00","        215.00","        217.95","        215.95","        223.41","     679479","           151799299.90","       7361","     131978","         19.42"
"KARDA","EQ","17-Sep-2018","        215.95","        214.75","        216.70","        208.70","        211.25","        211.85","        211.79","     136599","            28929881.60","       3053","      36841","         26.97"
"KARDA","EQ","18-Sep-2018","        211.85","        213.25","        238.80","        208.50","        223.00","        227.50","        221.93","    1007738","           223647980.75","       9171","      92823","          9.21"
"KARDA","EQ","19-Sep-2018","        227.50","        224.00","        231.80","        216.10","        218.60","        218.55","        222.19","     385306","            85610682.00","       5215","      47422","         12.31"
"KARDA","EQ","21-Sep-2018","        218.55","        218.30","        226.75","        180.55","        187.00","        189.35","        201.63","     327864","            66107217.70","       5779","     106172","         32.38"
"KARDA","EQ","24-Sep-2018","        189.35","        188.50","        198.70","        175.90","        179.00","        179.90","        184.94","     154563","            28584399.30","       3793","      29381","         19.01"
"KARDA","EQ","25-Sep-2018","        179.90","        179.90","        188.50","        171.10","        177.00","        176.35","        177.51","     143380","            25450874.30","       4121","      20197","         14.09"
"KARDA","EQ","26-Sep-2018","        176.35","        178.15","        183.00","        173.40","        176.30","        176.40","        177.47","     104833","            18604557.20","       2969","      19664","         18.76"
"KARDA","EQ","27-Sep-2018","        176.40","        178.70","        182.70","        174.60","        178.00","        176.40","        176.55","     177284","            31299239.90","       1965","     111669","         62.99"
"KARDA","EQ","28-Sep-2018","        176.40","        176.40","        177.50","        160.00","        160.90","        161.50","        168.00","     287259","            48258321.75","      12504","      16945","          5.90"
"KARDA","EQ","01-Oct-2018","        161.50","        167.00","        171.95","        152.05","        158.00","        159.45","        159.16","     177236","            28209235.25","       7172","      14545","          8.21"
"KARDA","EQ","03-Oct-2018","        159.45","        159.45","        166.90","        149.00","        165.00","        158.30","        155.60","     175608","            27323808.85","       9100","       8013","          4.56"
"KARDA","EQ","04-Oct-2018","        158.30","        157.50","        159.00","        148.20","        152.05","        152.55","        154.69","     128618","            19895333.35","       4700","      13525","         10.52"
"KARDA","EQ","05-Oct-2018","        152.55","        153.45","        160.25","        145.00","        147.90","        148.60","        152.12","      96056","            14611804.60","       6381","       9609","         10.00"
"KARDA","EQ","08-Oct-2018","        148.60","        150.50","        154.75","        136.95","        143.20","        144.00","        145.14","      67995","             9868570.75","       4719","       4736","          6.97"
"KARDA","EQ","09-Oct-2018","        144.00","        143.10","        148.55","        141.00","        141.05","        141.60","        143.04","     209262","            29933144.50","       4812","      44534","         21.28"
"KARDA","EQ","10-Oct-2018","        141.60","        142.10","        168.00","        134.00","        160.00","        161.40","        150.50","     270512","            40711047.75","       6205","      47577","         17.59"
"KARDA","EQ","11-Oct-2018","        161.40","        156.00","        156.00","        148.55","        149.30","        151.05","        152.10","     106106","            16138771.60","       3517","      25625","         24.15"
"KARDA","EQ","12-Oct-2018","        151.05","        152.25","        157.00","        150.55","        152.90","        151.65","        154.17","     130045","            20049465.80","       4756","      16669","         12.82"
"KARDA","EQ","15-Oct-2018","        151.65","        149.50","        155.50","        146.00","        147.35","        148.15","        149.38","      39945","             5967049.00","       2112","      13535","         33.88"
"KARDA","EQ","16-Oct-2018","        148.15","        149.55","        158.00","        147.20","        150.50","        149.90","        150.64","     119070","            17936827.50","       3359","      28963","         24.32"
"KARDA","EQ","17-Oct-2018","        149.90","        153.35","        154.90","        144.00","        148.80","        145.45","        148.04","      57158","             8461445.00","       2867","       8797","         15.39"
"KARDA","EQ","19-Oct-2018","        145.45","        145.70","        147.25","        141.20","        141.25","        142.65","        143.21","      11803","             1690351.85","        750","       3284","         27.82"
"KARDA","EQ","22-Oct-2018","        142.65","        144.05","        144.95","        136.25","        140.00","        141.40","        140.05","      16564","             2319854.80","        619","       4783","         28.88"
"KARDA","EQ","23-Oct-2018","        141.40","        136.00","        141.95","        135.20","        135.50","        136.85","        139.13","       6771","              942040.35","        259","       3350","         49.48"
"KARDA","EQ","24-Oct-2018","        136.85","        138.15","        142.95","        129.00","        131.60","        132.15","        133.81","      17018","             2277233.60","       1150","       7322","         43.03"
"KARDA","EQ","25-Oct-2018","        132.15","        127.05","        132.25","        125.00","        127.90","        127.35","        127.74","      17152","             2190967.20","        524","       9440","         55.04"
"KARDA","EQ","26-Oct-2018","        127.35","        123.05","        139.95","        123.05","        129.65","        130.80","        133.81","      26796","             3585689.45","       1117","      10833","         40.43"
"KARDA","EQ","29-Oct-2018","        130.80","        132.05","        148.15","        130.00","        141.00","        142.45","        137.59","      61885","             8514851.45","       1369","      15335","         24.78"
"KARDA","EQ","30-Oct-2018","        142.45","        140.55","        145.00","        135.20","        135.30","        136.85","        138.68","      18861","             2615661.60","        499","      10884","         57.71"
"KARDA","EQ","31-Oct-2018","        136.85","        137.00","        162.00","        135.65","        153.00","        152.35","        149.98","      86546","            12979739.50","       1377","      28429","         32.85"
"KARDA","EQ","01-Nov-2018","        152.35","        155.00","        160.00","        140.10","        145.70","        147.85","        150.77","      74538","            11238130.65","       1794","      21447","         28.77"
"KARDA","EQ","02-Nov-2018","        147.85","        147.15","        164.90","        146.55","        157.00","        157.85","        153.26","     233261","            35749703.50","       1935","     146497","         62.80"
"KARDA","EQ","05-Nov-2018","        157.85","        157.00","        180.25","        127.10","        158.00","        160.15","        161.64","     522503","            84454778.70","       5030","     112417","         21.52"
"KARDA","EQ","06-Nov-2018","        160.15","        160.70","        176.00","        158.95","        170.00","        172.00","        168.28","     102239","            17205271.35","       2099","      30874","         30.20"
"KARDA","EQ","07-Nov-2018","        172.00","        173.00","        183.00","        172.15","        179.00","        178.00","        178.72","     223592","            39959606.50","       1192","     129575","         57.95"
"KARDA","EQ","09-Nov-2018","        178.00","        179.45","        181.95","        174.75","        175.85","        177.75","        177.53","      50009","             8878313.75","       1155","      17653","         35.30"
"KARDA","EQ","12-Nov-2018","        177.75","        179.85","        183.85","        173.15","        174.95","        174.80","        179.89","     103348","            18591351.10","       1243","      69074","         66.84"
"KARDA","EQ","13-Nov-2018","        174.80","        173.00","        181.60","        170.65","        178.00","        178.75","        176.86","      25881","             4577304.00","        891","      12050","         46.56"
"KARDA","EQ","14-Nov-2018","        178.75","        178.20","        214.50","        174.00","        211.00","        212.25","        203.72","    2367407","           482289221.35","      15834","     359901","         15.20"
"KARDA","EQ","15-Nov-2018","        212.25","        212.25","        222.00","        205.50","        208.00","        212.25","        212.99","     266705","            56804259.80","       5668","      50942","         19.10"
"KARDA","EQ","16-Nov-2018","        212.25","        208.90","        213.00","        200.00","        200.10","        200.75","        207.25","      98905","            20498159.10","       2281","      27523","         27.83"
"KARDA","EQ","19-Nov-2018","        200.75","        200.10","        203.00","        195.50","        195.50","        196.30","        197.68","      26012","             5142031.70","        930","      11331","         43.56"
"KARDA","EQ","20-Nov-2018","        196.30","        193.00","        203.85","        191.00","        191.20","        192.35","        196.39","     163149","            32040809.70","       1352","      64386","         39.46"
"KARDA","EQ","21-Nov-2018","        192.35","        191.05","        194.00","        187.00","        187.05","        187.60","        189.59","      19630","             3721674.05","        543","       7821","         39.84"
"KARDA","EQ","22-Nov-2018","        187.60","        189.25","        191.80","        185.10","        185.60","        185.60","        188.55","      12164","             2293541.10","        607","       2439","         20.05"
"KARDA","EQ","26-Nov-2018","        185.60","        191.00","        192.00","        186.00","        191.00","        189.85","        189.02","      63271","            11959628.05","        954","      34229","         54.10"
"KARDA","EQ","27-Nov-2018","        189.85","        191.00","        194.75","        187.25","        188.75","        188.35","        189.75","      62856","            11927022.95","       2088","      10763","         17.12"
"KARDA","EQ","28-Nov-2018","        188.35","        188.30","        191.70","        183.90","        184.00","        184.85","        186.81","      27298","             5099639.45","        565","      19880","         72.83"
"KARDA","EQ","29-Nov-2018","        184.85","        187.90","        189.45","        181.75","        183.05","        184.10","        184.90","      13992","             2587125.40","        798","       3777","         26.99"
"KARDA","EQ","30-Nov-2018","        184.10","        183.35","        189.00","        180.15","        182.00","        183.20","        185.49","      11500","             2133104.00","        389","       5441","         47.31"
"KARDA","EQ","03-Dec-2018","        183.20","        183.40","        189.00","        182.05","        185.50","        183.75","        183.76","     108594","            19954926.80","        395","     102972","         94.82"
"KARDA","EQ","04-Dec-2018","        183.75","        188.00","        188.75","        183.30","        185.00","        184.40","        185.14","       4544","              841284.75","        283","       1491","         32.81"
