"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTARISUG","EQ","11-Sep-2018","          9.05","          8.90","          9.15","          8.80","          8.80","          8.85","          8.90","      11690","              104019.25","         63","       8676","         74.22"
"KOTARISUG","EQ","12-Sep-2018","          8.85","          8.90","         10.25","          8.80","         10.25","         10.05","          9.55","      65868","              628728.35","        167","      52861","         80.25"
"KOTARISUG","EQ","14-Sep-2018","         10.05","         10.70","         12.05","         10.00","         12.05","         11.95","         11.77","     595388","             7005095.75","       1444","     187536","         31.50"
"KOTARISUG","EQ","17-Sep-2018","         11.95","         11.85","         14.30","         11.60","         14.30","         14.30","         13.84","     801179","            11089534.50","       1829","     324093","         40.45"
"KOTARISUG","EQ","18-Sep-2018","         14.30","         14.45","         15.50","         13.35","         14.15","         13.80","         14.39","     740028","            10647877.55","       1459","     389996","         52.70"
"KOTARISUG","EQ","19-Sep-2018","         13.80","         13.85","         14.65","         13.85","         14.30","         14.15","         14.23","     172037","             2448373.90","        511","     120074","         69.80"
"KOTARISUG","EQ","21-Sep-2018","         14.15","         13.90","         13.90","         12.80","         13.30","         13.30","         13.24","     156510","             2072647.10","        336","     112288","         71.74"
"KOTARISUG","EQ","24-Sep-2018","         13.30","         13.00","         13.00","         12.10","         12.85","         12.50","         12.50","      50148","              626639.15","        150","      37908","         75.59"
"KOTARISUG","EQ","25-Sep-2018","         12.50","         12.65","         13.75","         11.30","         13.75","         13.60","         12.56","     188123","             2363551.75","        617","     100767","         53.56"
"KOTARISUG","EQ","26-Sep-2018","         13.60","         14.25","         14.25","         12.75","         13.05","         13.05","         13.07","     386211","             5047504.35","        269","     341851","         88.51"
"KOTARISUG","BE","27-Sep-2018","         13.05","         13.00","         13.00","         12.40","         12.40","         12.40","         12.53","      13231","              165769.75","         43","-","-"
"KOTARISUG","BE","28-Sep-2018","         12.40","         12.00","         12.00","         11.80","         11.80","         11.80","         11.84","       3556","               42100.80","         19","-","-"
"KOTARISUG","BE","01-Oct-2018","         11.80","         11.25","         11.25","         11.25","         11.25","         11.25","         11.25","      10502","              118147.50","         13","-","-"
"KOTARISUG","BE","03-Oct-2018","         11.25","         11.00","         11.80","         10.70","         11.70","         11.70","         11.60","      18607","              215906.20","         48","-","-"
