"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTHARIPET","EQ","11-Sep-2018","         23.05","         22.80","         23.30","         22.20","         22.80","         22.90","         22.89","      28666","              656254.05","         75","      21731","         75.81"
"KOTHARIPET","EQ","12-Sep-2018","         22.90","         22.75","         23.30","         22.45","         23.20","         23.10","         22.78","      16995","              387180.10","         86","       9796","         57.64"
"KOTHARIPET","EQ","14-Sep-2018","         23.10","         23.20","         23.75","         22.85","         22.85","         22.95","         23.16","      25297","              585975.35","         90","      14432","         57.05"
"KOTHARIPET","EQ","17-Sep-2018","         22.95","         23.20","         23.20","         22.55","         23.10","         22.85","         22.84","       5672","              129569.35","         35","       3776","         66.57"
"KOTHARIPET","EQ","18-Sep-2018","         22.85","         23.35","         23.35","         22.65","         22.65","         22.65","         22.94","      20736","              475630.45","         55","      19046","         91.85"
"KOTHARIPET","EQ","19-Sep-2018","         22.65","         22.80","         22.95","         22.50","         22.95","         22.65","         22.64","      23676","              536075.55","         60","      16921","         71.47"
"KOTHARIPET","EQ","21-Sep-2018","         22.65","         22.90","         23.30","         22.20","         22.85","         22.55","         22.63","      47435","             1073360.85","         96","      37026","         78.06"
"KOTHARIPET","EQ","24-Sep-2018","         22.55","         22.85","         22.85","         21.80","         22.50","         22.25","         22.22","      14804","              328931.05","         69","       9065","         61.23"
"KOTHARIPET","EQ","25-Sep-2018","         22.25","         22.00","         23.40","         21.25","         21.45","         21.40","         21.87","      13922","              304411.70","        106","      13588","         97.60"
"KOTHARIPET","EQ","26-Sep-2018","         21.40","         22.00","         22.65","         21.15","         21.20","         21.40","         21.54","      19386","              417514.50","         97","      13351","         68.87"
"KOTHARIPET","EQ","27-Sep-2018","         21.40","         21.30","         22.35","         21.30","         22.00","         21.95","         21.71","      17157","              372448.30","         48","      11207","         65.32"
"KOTHARIPET","EQ","28-Sep-2018","         21.95","         21.70","         22.00","         20.60","         20.60","         21.05","         21.53","      27650","              595231.60","         92","      16793","         60.73"
"KOTHARIPET","EQ","01-Oct-2018","         21.05","         21.00","         21.00","         19.20","         20.25","         20.10","         20.10","      34582","              695137.25","        150","      29098","         84.14"
"KOTHARIPET","EQ","03-Oct-2018","         20.10","         19.80","         20.50","         19.20","         20.10","         20.05","         20.08","      22264","              446980.35","        108","      14667","         65.88"
"KOTHARIPET","EQ","04-Oct-2018","         20.05","         21.00","         21.00","         19.20","         19.35","         19.50","         19.65","      16274","              319729.45","         76","      13877","         85.27"
"KOTHARIPET","EQ","05-Oct-2018","         19.50","         19.50","         19.75","         19.35","         19.45","         19.45","         19.49","      12844","              250304.05","         31","      12599","         98.09"
"KOTHARIPET","EQ","08-Oct-2018","         19.45","         19.45","         19.60","         18.70","         18.95","         19.00","         19.03","      12257","              233206.95","         50","      11606","         94.69"
"KOTHARIPET","EQ","09-Oct-2018","         19.00","         19.30","         20.30","         18.65","         19.20","         19.10","         19.20","       5375","              103219.05","         52","       4084","         75.98"
"KOTHARIPET","EQ","10-Oct-2018","         19.10","         19.00","         20.25","         19.00","         20.05","         20.05","         19.66","      17285","              339787.25","         60","      15980","         92.45"
"KOTHARIPET","EQ","11-Oct-2018","         20.05","         19.25","         19.60","         19.15","         19.20","         19.25","         19.36","       3372","               65297.80","         45","       2536","         75.21"
"KOTHARIPET","EQ","12-Oct-2018","         19.25","         19.20","         20.70","         19.10","         20.00","         19.95","         19.98","      14190","              283507.55","         65","       9723","         68.52"
"KOTHARIPET","EQ","15-Oct-2018","         19.95","         21.15","         21.15","         19.65","         20.35","         20.65","         20.49","      23128","              473868.05","         83","      17744","         76.72"
"KOTHARIPET","EQ","16-Oct-2018","         20.65","         20.90","         21.80","         20.65","         21.80","         21.60","         21.16","       5898","              124802.50","         38","       4574","         77.55"
"KOTHARIPET","EQ","17-Oct-2018","         21.60","         22.00","         22.25","         21.05","         21.05","         21.05","         21.62","      17637","              381244.40","         42","      16648","         94.39"
"KOTHARIPET","EQ","19-Oct-2018","         21.05","         21.05","         21.30","         19.40","         19.80","         20.00","         20.15","       2209","               44515.05","         76","       1328","         60.12"
"KOTHARIPET","EQ","22-Oct-2018","         20.00","         21.25","         21.25","         19.15","         19.30","         19.35","         19.63","       4091","               80323.75","         51","       3013","         73.65"
"KOTHARIPET","EQ","23-Oct-2018","         19.35","         19.15","         19.85","         19.05","         19.05","         19.10","         19.32","       3378","               65278.75","         55","       2861","         84.70"
"KOTHARIPET","EQ","24-Oct-2018","         19.10","         19.70","         22.00","         19.20","         21.35","         20.95","         20.12","      15254","              306845.10","         69","       9998","         65.54"
"KOTHARIPET","EQ","25-Oct-2018","         20.95","         21.35","         21.35","         19.75","         20.20","         20.15","         20.46","       4622","               94546.45","         39","       4084","         88.36"
"KOTHARIPET","EQ","26-Oct-2018","         20.15","         20.00","         20.75","         19.50","         20.00","         19.75","         19.82","      12893","              255509.25","         63","      10469","         81.20"
"KOTHARIPET","EQ","29-Oct-2018","         19.75","         21.20","         21.20","         19.75","         20.05","         19.85","         20.05","       6336","              127055.65","         40","       4616","         72.85"
"KOTHARIPET","EQ","30-Oct-2018","         19.85","         20.00","         20.20","         19.85","         19.90","         20.00","         19.97","       4504","               89957.65","         21","       3993","         88.65"
"KOTHARIPET","EQ","31-Oct-2018","         20.00","         19.90","         20.20","         19.50","         19.95","         19.95","         19.83","       3711","               73599.40","         38","       3035","         81.78"
