"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KPRMILL","EQ","11-Sep-2018","        684.85","        690.35","        705.00","        683.10","        686.00","        686.05","        696.26","      81585","            56804538.45","       2627","      40308","         49.41"
"KPRMILL","EQ","12-Sep-2018","        686.05","        691.60","        692.15","        668.10","        679.00","        679.00","        680.64","      43754","            29780553.85","       1324","      31581","         72.18"
"KPRMILL","EQ","14-Sep-2018","        679.00","        682.15","        698.00","        679.20","        684.00","        684.45","        684.50","      30668","            20992323.25","       1028","      25878","         84.38"
"KPRMILL","EQ","17-Sep-2018","        684.45","        674.00","        695.25","        674.00","        688.00","        686.25","        684.42","      39332","            26919584.15","       1660","      28102","         71.45"
"KPRMILL","EQ","18-Sep-2018","        686.25","        689.90","        700.00","        673.65","        682.50","        683.75","        689.82","     160367","           110624240.70","       3030","     128524","         80.14"
"KPRMILL","EQ","19-Sep-2018","        683.75","        679.20","        691.00","        679.20","        689.90","        686.50","        683.10","      27559","            18825660.10","        746","      22451","         81.47"
"KPRMILL","EQ","21-Sep-2018","        686.50","        682.95","        689.60","        650.95","        665.95","        658.05","        662.74","      71395","            47316454.50","       2474","      52298","         73.25"
"KPRMILL","EQ","24-Sep-2018","        658.05","        658.05","        660.75","        637.00","        645.00","        648.20","        647.78","      39212","            25400750.85","       1529","      26412","         67.36"
"KPRMILL","EQ","25-Sep-2018","        648.20","        657.85","        669.70","        640.00","        668.00","        647.60","        652.77","      24723","            16138313.90","       1117","      14494","         58.63"
"KPRMILL","EQ","26-Sep-2018","        647.60","        650.00","        658.30","        638.50","        644.95","        647.55","        649.76","      16726","            10867938.40","        728","      12554","         75.06"
"KPRMILL","EQ","27-Sep-2018","        647.55","        656.95","        656.95","        625.85","        640.00","        640.40","        638.39","      29952","            19121161.80","       1695","      18726","         62.52"
"KPRMILL","EQ","28-Sep-2018","        640.40","        629.30","        644.35","        595.00","        634.00","        606.00","        607.18","     143451","            87100423.30","       3611","     123034","         85.77"
"KPRMILL","EQ","01-Oct-2018","        606.00","        611.25","        618.85","        600.60","        616.00","        613.95","        608.60","      28818","            17538704.20","        898","      20246","         70.25"
"KPRMILL","EQ","03-Oct-2018","        613.95","        618.95","        628.95","        596.00","        600.00","        603.90","        614.01","      12954","             7953857.85","        707","       7504","         57.93"
"KPRMILL","EQ","04-Oct-2018","        603.90","        600.00","        608.90","        579.75","        582.30","        584.00","        586.11","      45206","            26495572.80","       3066","      27187","         60.14"
"KPRMILL","EQ","05-Oct-2018","        584.00","        579.85","        599.95","        568.05","        589.00","        587.80","        584.13","      35675","            20838857.95","       3586","      20857","         58.46"
"KPRMILL","EQ","08-Oct-2018","        587.80","        589.85","        598.00","        575.00","        584.00","        580.15","        587.32","      14640","             8598360.05","       1619","       8875","         60.62"
"KPRMILL","EQ","09-Oct-2018","        580.15","        581.65","        599.00","        577.90","        599.00","        590.00","        585.57","      19437","            11381736.70","       1056","      10141","         52.17"
"KPRMILL","EQ","10-Oct-2018","        590.00","        597.95","        639.00","        593.70","        637.00","        636.05","        623.89","      21097","            13162248.30","       1828","      11816","         56.01"
"KPRMILL","EQ","11-Oct-2018","        636.05","        624.00","        628.75","        605.95","        609.30","        611.50","        615.54","      18174","            11186898.75","       1096","       7268","         39.99"
"KPRMILL","EQ","12-Oct-2018","        611.50","        613.00","        639.80","        613.00","        637.00","        635.50","        630.03","      11334","             7140789.85","        581","       7235","         63.83"
"KPRMILL","EQ","15-Oct-2018","        635.50","        629.00","        658.00","        626.70","        647.55","        652.35","        640.04","      16883","            10805813.85","        857","       9733","         57.65"
"KPRMILL","EQ","16-Oct-2018","        652.35","        657.35","        664.55","        650.05","        650.05","        655.35","        658.87","      10404","             6854831.75","        915","       6743","         64.81"
"KPRMILL","EQ","17-Oct-2018","        655.35","        664.60","        664.60","        622.05","        630.00","        628.30","        630.37","      46716","            29448572.10","       2546","      18063","         38.67"
"KPRMILL","EQ","19-Oct-2018","        628.30","        624.00","        639.85","        611.00","        634.90","        634.15","        625.36","      19074","            11928120.10","       1260","       8778","         46.02"
"KPRMILL","EQ","22-Oct-2018","        634.15","        630.00","        638.65","        603.00","        606.00","        609.05","        620.42","      23420","            14530236.40","       2013","      14134","         60.35"
"KPRMILL","EQ","23-Oct-2018","        609.05","        608.70","        623.80","        587.60","        598.00","        599.50","        604.57","      23385","            14137825.65","       3220","      10163","         43.46"
"KPRMILL","EQ","24-Oct-2018","        599.50","        605.00","        612.00","        589.00","        590.30","        593.50","        595.56","      13987","             8330033.55","        944","       8188","         58.54"
"KPRMILL","EQ","25-Oct-2018","        593.50","        590.00","        596.95","        583.05","        589.80","        589.00","        587.60","      10701","             6287858.70","       1431","       4927","         46.04"
"KPRMILL","EQ","26-Oct-2018","        589.00","        586.05","        597.60","        576.35","        579.00","        580.15","        586.19","      11108","             6511406.00","       1263","       6150","         55.37"
"KPRMILL","EQ","29-Oct-2018","        580.15","        583.05","        635.00","        578.95","        625.00","        614.95","        603.96","     156020","            94230126.75","       8232","      35072","         22.48"
