"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KREBSBIO","EQ","11-Sep-2018","        115.90","        120.90","        120.90","        112.55","        112.70","        112.55","        113.25","       3301","              373841.95","         11","       3296","         99.85"
"KREBSBIO","EQ","12-Sep-2018","        112.55","        110.80","        114.65","        109.10","        114.65","        114.65","        110.69","       1903","              210641.65","         10","       1903","        100.00"
"KREBSBIO","EQ","14-Sep-2018","        114.65","        111.00","        114.20","        111.00","        114.05","        114.05","        112.65","        264","               29738.50","          3","        264","        100.00"
"KREBSBIO","EQ","17-Sep-2018","        114.05","        108.35","        116.90","        108.35","        111.00","        111.00","        110.72","       6695","              741237.85","         99","       5130","         76.62"
"KREBSBIO","EQ","18-Sep-2018","        111.00","        111.00","        111.00","        106.50","        108.00","        108.10","        108.61","       8522","              925543.60","         46","       7858","         92.21"
"KREBSBIO","EQ","19-Sep-2018","        108.10","        110.10","        111.85","        103.20","        105.00","        105.35","        106.01","       8883","              941724.05","         29","       8050","         90.62"
"KREBSBIO","EQ","21-Sep-2018","        105.35","        105.75","        108.00","        100.10","        100.10","        100.10","        101.16","       4975","              503258.85","         43","       4925","         98.99"
"KREBSBIO","EQ","24-Sep-2018","        100.10","         96.00","        101.95","         95.10","         95.10","         95.10","         95.25","      43958","             4186920.50","        108","      43413","         98.76"
"KREBSBIO","EQ","25-Sep-2018","         95.10","         98.00","         98.00","         92.05","         93.10","         93.10","         95.98","        989","               94920.80","         18","        713","         72.09"
"KREBSBIO","EQ","26-Sep-2018","         93.10","         93.00","         97.70","         93.00","         96.95","         94.75","         93.90","        235","               22067.00","         12","        179","         76.17"
"KREBSBIO","EQ","27-Sep-2018","         94.75","         97.00","         99.40","         90.05","         90.05","         90.35","         91.00","      10094","              918598.60","         56","       9386","         92.99"
"KREBSBIO","EQ","28-Sep-2018","         90.35","         87.55","         93.85","         87.55","         90.05","         90.05","         90.02","      52276","             4706101.30","         38","      52231","         99.91"
"KREBSBIO","EQ","01-Oct-2018","         90.05","         94.35","         94.35","         87.20","         90.95","         90.95","         91.39","        209","               19101.55","         11","        162","         77.51"
"KREBSBIO","EQ","03-Oct-2018","         90.95","         90.95","         95.00","         90.95","         95.00","         95.00","         95.00","       1060","              100695.95","         16","       1059","         99.91"
"KREBSBIO","EQ","04-Oct-2018","         95.00","         90.25","         99.75","         90.25","         98.95","         98.85","         96.30","         94","                9052.50","          8","         66","         70.21"
"KREBSBIO","EQ","05-Oct-2018","         98.85","        103.70","        103.70","         99.95","        100.00","        100.00","         99.99","        301","               30096.25","          9","        301","        100.00"
"KREBSBIO","EQ","08-Oct-2018","        100.00","         96.00","         96.00","         90.00","         90.50","         90.50","         90.28","       2609","              235545.60","         29","       2604","         99.81"
"KREBSBIO","EQ","09-Oct-2018","         90.50","         91.00","         91.10","         91.00","         91.00","         91.00","         91.00","       2635","              239795.00","         14","       2635","        100.00"
"KREBSBIO","EQ","10-Oct-2018","         91.00","         87.00","         98.80","         87.00","         92.25","         92.90","         94.07","        965","               90781.70","         19","        953","         98.76"
"KREBSBIO","EQ","11-Oct-2018","         92.90","         91.15","         99.95","         91.15","         91.35","         91.55","         91.38","        681","               62231.35","         23","        671","         98.53"
"KREBSBIO","EQ","12-Oct-2018","         91.55","         99.40","         99.40","         95.00","         98.90","         98.90","         97.39","       1458","              141996.90","         22","       1008","         69.14"
"KREBSBIO","EQ","15-Oct-2018","         98.90","         98.70","        108.65","         98.70","        108.65","        108.50","        102.18","        189","               19312.00","         13","        187","         98.94"
"KREBSBIO","EQ","16-Oct-2018","        108.50","        100.00","        117.90","        100.00","        105.05","        105.00","        107.03","       2332","              249586.10","         54","       1105","         47.38"
"KREBSBIO","EQ","17-Oct-2018","        105.00","        106.00","        106.00","        100.00","        101.00","        101.70","        102.29","       2878","              294391.05","         27","       2771","         96.28"
"KREBSBIO","EQ","19-Oct-2018","        101.70","         98.60","        109.85","         94.10","         96.10","         97.95","         98.44","        702","               69107.55","         22","        696","         99.15"
"KREBSBIO","EQ","22-Oct-2018","         97.95","         97.95","        101.00","         93.50","        100.00","         97.85","         96.09","        145","               13932.80","          8","        144","         99.31"
"KREBSBIO","EQ","23-Oct-2018","         97.85","        105.75","        105.75","         95.60","        100.45","        100.45","         99.24","         92","                9130.20","          7","         67","         72.83"
"KREBSBIO","EQ","24-Oct-2018","        100.45","         96.00","         99.80","         95.55","         99.80","         99.80","         96.88","        351","               34004.20","          9","        269","         76.64"
"KREBSBIO","EQ","26-Oct-2018","         99.80","         96.00","         99.65","         90.10","         99.65","         99.65","         91.37","       1055","               96392.85","         11","       1050","         99.53"
"KREBSBIO","EQ","29-Oct-2018","         99.65","         99.65","        103.90","         93.05","        103.25","        101.20","        102.36","        802","               82094.70","         23","        727","         90.65"
"KREBSBIO","EQ","30-Oct-2018","        101.20","        101.20","        106.90","         98.55","        106.45","        104.20","        102.62","       1907","              195696.90","         45","        857","         44.94"
"KREBSBIO","EQ","31-Oct-2018","        104.20","        107.00","        107.00","        100.00","        100.00","        100.45","        101.16","        454","               45927.25","         14","        339","         74.67"
"KREBSBIO","EQ","01-Nov-2018","        100.45","         95.55","        101.00","         95.55","        100.45","        100.45","        100.26","        174","               17445.50","          7","        172","         98.85"
"KREBSBIO","EQ","02-Nov-2018","        100.45","        100.50","        100.50","         98.00","         99.30","         99.30","         99.64","       1789","              178251.95","         18","       1610","         89.99"
"KREBSBIO","EQ","05-Nov-2018","         99.30","         93.30","        102.80","         90.50","        102.80","        102.75","         98.13","        244","               23944.75","         22","        187","         76.64"
"KREBSBIO","EQ","06-Nov-2018","        102.75","        103.95","        103.95","         98.25","        101.50","        101.50","        100.46","        916","               92022.40","          9","        904","         98.69"
"KREBSBIO","EQ","09-Nov-2018","        101.50","         97.70","        106.90","         97.70","        103.00","        105.55","        103.37","       2360","              243945.85","         61","       1936","         82.03"
"KREBSBIO","EQ","12-Nov-2018","        105.55","        105.50","        105.50","        100.00","        100.35","        100.35","        101.95","       2057","              209716.25","         17","       1850","         89.94"
"KREBSBIO","EQ","14-Nov-2018","        100.35","        106.95","        106.95","         98.15","        104.80","        103.10","        101.93","         52","                5300.45","         10","         44","         84.62"
"KREBSBIO","EQ","15-Nov-2018","        103.10","        103.00","        103.00","        103.00","        103.00","        103.00","        103.00","        300","               30900.00","          7","        300","        100.00"
"KREBSBIO","EQ","16-Nov-2018","        103.00","        100.00","        102.85","         97.60","        102.85","        102.85","         98.53","        858","               84540.55","          7","        855","         99.65"
"KREBSBIO","EQ","19-Nov-2018","        102.85","        103.00","        109.00","        103.00","        108.00","        107.10","        105.27","       5035","              530021.95","         35","       3810","         75.67"
