"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KSBPUMPS","EQ","11-Sep-2018","        777.50","        777.45","        777.45","        748.00","        748.10","        751.55","        761.76","       9321","             7100341.20","        294","       8074","         86.62"
"KSBPUMPS","EQ","12-Sep-2018","        751.55","        747.00","        774.85","        747.00","        748.00","        763.30","        761.26","       4150","             3159208.65","        198","       3259","         78.53"
"KSBPUMPS","EQ","14-Sep-2018","        763.30","        774.00","        774.00","        756.00","        756.00","        758.10","        766.20","       2431","             1862640.70","        207","       1197","         49.24"
"KSBPUMPS","EQ","17-Sep-2018","        758.10","        747.00","        763.00","        747.00","        752.00","        755.00","        755.96","       1573","             1189123.15","        147","       1266","         80.48"
"KSBPUMPS","EQ","18-Sep-2018","        755.00","        755.00","        770.00","        755.00","        755.30","        756.00","        761.43","        925","              704326.30","        163","        645","         69.73"
"KSBPUMPS","EQ","19-Sep-2018","        756.00","        749.05","        768.50","        747.00","        747.00","        753.15","        752.55","       1561","             1174735.20","        188","       1156","         74.06"
"KSBPUMPS","EQ","21-Sep-2018","        753.15","        747.05","        758.10","        728.00","        728.00","        733.30","        740.37","       3556","             2632747.15","        180","       2881","         81.02"
"KSBPUMPS","EQ","24-Sep-2018","        733.30","        730.00","        740.00","        702.45","        710.00","        713.70","        718.08","       4371","             3138742.00","        549","       2745","         62.80"
"KSBPUMPS","EQ","25-Sep-2018","        713.70","        713.70","        743.95","        699.00","        708.00","        701.95","        710.74","       3527","             2506785.00","        447","       2727","         77.32"
"KSBPUMPS","EQ","26-Sep-2018","        701.95","        702.05","        724.00","        700.00","        708.85","        706.70","        708.88","       1224","              867663.85","        275","        813","         66.42"
"KSBPUMPS","EQ","27-Sep-2018","        706.70","        718.00","        718.00","        688.00","        690.00","        690.20","        699.06","       2747","             1920309.30","        393","       2272","         82.71"
"KSBPUMPS","EQ","28-Sep-2018","        690.20","        690.20","        769.95","        676.60","        748.00","        733.15","        716.81","      18116","            12985777.35","       1769","      10933","         60.35"
"KSBPUMPS","EQ","01-Oct-2018","        733.15","        740.00","        740.00","        676.20","        683.00","        691.95","        699.15","       7838","             5479899.60","        634","       5146","         65.65"
"KSBPUMPS","EQ","03-Oct-2018","        691.95","        719.00","        726.50","        676.00","        715.00","        713.95","        692.73","     111552","            77275045.05","       1168","     107547","         96.41"
"KSBPUMPS","EQ","04-Oct-2018","        713.95","        700.00","        717.10","        681.10","        699.70","        691.75","        692.40","       2894","             2003807.20","        326","       1663","         57.46"
"KSBPUMPS","EQ","05-Oct-2018","        691.75","        691.75","        697.95","        676.00","        676.50","        685.05","        685.28","       2722","             1865327.10","        192","       2380","         87.44"
