"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KSCL","EQ","11-Sep-2018","        638.15","        645.00","        645.00","        602.35","        620.05","        621.20","        627.53","     916939","           575403442.60","      22692","     214692","         23.41"
"KSCL","EQ","12-Sep-2018","        621.20","        623.15","        623.15","        607.00","        620.50","        620.20","        615.93","     450718","           277608618.05","      10733","     110637","         24.55"
"KSCL","EQ","14-Sep-2018","        620.20","        622.80","        636.50","        622.80","        632.75","        631.45","        631.21","     424795","           268133314.00","       9704","      90183","         21.23"
"KSCL","EQ","17-Sep-2018","        631.45","        633.00","        651.30","        625.00","        644.95","        644.40","        643.65","     962488","           619507749.95","      27525","     245582","         25.52"
"KSCL","EQ","18-Sep-2018","        644.40","        648.00","        651.30","        614.70","        618.55","        619.95","        635.38","     784741","           498607812.05","      20896","     186554","         23.77"
"KSCL","EQ","19-Sep-2018","        619.95","        621.25","        626.00","        606.60","        618.40","        619.60","        616.37","     473269","           291711108.75","      14452","      66836","         14.12"
"KSCL","EQ","21-Sep-2018","        619.60","        624.50","        624.50","        583.05","        597.50","        599.30","        602.41","     505794","           304697849.20","      13928","     106533","         21.06"
"KSCL","EQ","24-Sep-2018","        599.30","        597.55","        603.40","        579.30","        601.20","        598.95","        591.12","     311686","           184243577.45","      12134","      45229","         14.51"
"KSCL","EQ","25-Sep-2018","        598.95","        597.20","        610.65","        593.60","        604.55","        602.05","        602.09","     440235","           265060805.55","      18100","      83321","         18.93"
"KSCL","EQ","26-Sep-2018","        602.05","        599.40","        624.80","        598.00","        617.50","        620.05","        613.01","     319165","           195651553.55","       9660","      77864","         24.40"
"KSCL","EQ","27-Sep-2018","        620.05","        620.20","        625.25","        603.40","        612.10","        610.75","        612.42","     266537","           163231952.75","       7332","      68128","         25.56"
"KSCL","EQ","28-Sep-2018","        610.75","        618.40","        626.30","        565.00","        581.00","        579.55","        592.84","     346734","           205559227.05","      12385","      71772","         20.70"
"KSCL","EQ","01-Oct-2018","        579.55","        578.00","        578.30","        534.20","        556.00","        558.00","        553.05","     425042","           235070952.40","      17515","      90047","         21.19"
"KSCL","EQ","03-Oct-2018","        558.00","        551.00","        562.55","        474.30","        477.50","        512.50","        534.57","     657788","           351636942.75","      17114","     151474","         23.03"
"KSCL","EQ","04-Oct-2018","        512.50","        502.10","        534.35","        475.15","        511.00","        519.00","        500.33","    2876089","          1438998173.80","      66450","     311755","         10.84"
"KSCL","EQ","05-Oct-2018","        519.00","        511.00","        524.95","        491.60","        495.00","        503.25","        504.63","     899289","           453804826.65","      24283","      50304","          5.59"
"KSCL","EQ","08-Oct-2018","        503.25","        499.90","        508.75","        481.10","        491.25","        492.55","        497.51","     519732","           258573708.15","      15204","      79504","         15.30"
"KSCL","EQ","09-Oct-2018","        492.55","        499.00","        505.90","        470.00","        470.00","        481.60","        489.95","     421342","           206436157.25","      11462","      26891","          6.38"
"KSCL","EQ","10-Oct-2018","        481.60","        479.00","        528.00","        450.10","        518.95","        507.60","        477.19","    2084893","           994881768.80","      37215","      64915","          3.11"
"KSCL","EQ","11-Oct-2018","        507.60","        478.90","        510.00","        472.00","        502.00","        499.30","        492.23","    1190140","           585827200.90","      26536","      31499","          2.65"
"KSCL","EQ","12-Oct-2018","        499.30","        502.35","        524.40","        502.35","        512.70","        515.65","        513.94","     400916","           206048503.45","      10692","      26375","          6.58"
"KSCL","EQ","15-Oct-2018","        515.65","        521.00","        521.00","        502.90","        508.80","        509.50","        510.34","     242265","           123638209.35","       6726","      10508","          4.34"
"KSCL","EQ","16-Oct-2018","        509.50","        505.30","        533.70","        503.55","        533.30","        531.80","        521.91","     637145","           332533350.85","      13320","      29267","          4.59"
"KSCL","EQ","17-Oct-2018","        531.80","        535.65","        549.00","        506.00","        518.90","        512.30","        524.31","     443817","           232699349.75","       9615","      31581","          7.12"
"KSCL","EQ","19-Oct-2018","        512.30","        510.00","        515.50","        492.70","        508.00","        506.05","        503.92","     317467","           159977586.75","       7032","      31254","          9.84"
"KSCL","EQ","22-Oct-2018","        506.05","        506.05","        514.00","        480.00","        481.45","        485.05","        499.43","     281100","           140390189.10","       9929","      24370","          8.67"
"KSCL","EQ","23-Oct-2018","        485.05","        480.00","        488.80","        458.05","        488.00","        469.50","        472.28","     549102","           259328513.15","      13273","      78942","         14.38"
"KSCL","EQ","24-Oct-2018","        469.50","        475.55","        486.80","        453.00","        468.00","        467.90","        465.80","     486564","           226643826.75","       8250","      67235","         13.82"
"KSCL","EQ","25-Oct-2018","        467.90","        465.00","        479.55","        459.25","        470.10","        475.85","        470.56","     286460","           134795768.75","       6862","      34449","         12.03"
"KSCL","EQ","26-Oct-2018","        475.85","        479.35","        480.55","        452.35","        461.00","        461.00","        460.46","     665616","           306490743.65","      14725","      21519","          3.23"
"KSCL","EQ","29-Oct-2018","        461.00","        461.00","        480.20","        458.60","        471.35","        474.85","        471.09","     334240","           157455764.55","      10602","      49557","         14.83"
"KSCL","EQ","30-Oct-2018","        474.85","        474.00","        496.90","        474.00","        490.05","        491.80","        489.09","     400185","           195724735.15","       9008","      43385","         10.84"
"KSCL","EQ","31-Oct-2018","        491.80","        495.00","        504.75","        486.80","        496.75","        498.35","        496.47","     626694","           311132713.85","      11582","      25272","          4.03"
"KSCL","EQ","01-Nov-2018","        498.35","        500.10","        516.10","        491.05","        500.00","        497.50","        503.10","     970653","           488336684.75","      23735","      40849","          4.21"
