"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KWALITY","EQ","11-Sep-2018","         21.00","         20.80","         22.05","         20.40","         22.05","         22.05","         21.75","    9461609","           205753165.10","      10885","    2567167","         27.13"
"KWALITY","EQ","12-Sep-2018","         22.05","         22.20","         22.45","         21.00","         21.30","         21.35","         21.73","    4087301","            88829762.55","       8058","    1875982","         45.90"
"KWALITY","EQ","14-Sep-2018","         21.35","         21.35","         22.25","         20.30","         20.40","         20.35","         21.09","    6109968","           128839348.95","      10028","    3065634","         50.17"
"KWALITY","EQ","17-Sep-2018","         20.35","         19.35","         19.65","         19.35","         19.35","         19.35","         19.36","    1114099","            21566089.60","       1866","     735298","         66.00"
"KWALITY","EQ","18-Sep-2018","         19.35","         18.40","         20.30","         18.40","         18.90","         18.80","         19.22","    8999693","           172981364.45","      13866","    2008411","         22.32"
"KWALITY","EQ","19-Sep-2018","         18.80","         18.65","         19.00","         17.80","         17.80","         17.90","         18.26","    1998465","            36493270.15","       6178","    1201527","         60.12"
"KWALITY","EQ","21-Sep-2018","         17.90","         17.50","         17.80","         17.05","         17.05","         17.05","         17.13","    1558545","            26698724.35","       2770","     876175","         56.22"
"KWALITY","EQ","24-Sep-2018","         17.05","         16.20","         16.20","         16.20","         16.20","         16.20","         16.20","     139215","             2255283.00","        762","     139215","        100.00"
"KWALITY","EQ","25-Sep-2018","         16.20","         15.40","         16.00","         15.40","         15.40","         15.40","         15.44","    1316220","            20325068.00","       2007","     751300","         57.08"
"KWALITY","EQ","26-Sep-2018","         15.40","         14.65","         14.65","         14.65","         14.65","         14.65","         14.65","     258805","             3791493.25","        896","     258805","        100.00"
"KWALITY","EQ","27-Sep-2018","         14.65","         13.95","         13.95","         13.95","         13.95","         13.95","         13.95","     400613","             5588551.35","        928","     273631","         68.30"
"KWALITY","EQ","28-Sep-2018","         13.95","         13.30","         13.75","         13.30","         13.30","         13.30","         13.32","    3704141","            49323792.35","       2077","    2324862","         62.76"
"KWALITY","EQ","01-Oct-2018","         13.30","         12.65","         12.65","         12.65","         12.65","         12.65","         12.65","     366540","             4636731.00","       1051","     366540","        100.00"
"KWALITY","EQ","03-Oct-2018","         12.65","         12.05","         12.05","         12.05","         12.05","         12.05","         12.05","     573076","             6905565.80","       1544","     573076","        100.00"
"KWALITY","EQ","04-Oct-2018","         12.05","         11.45","         11.45","         11.45","         11.45","         11.45","         11.45","     565182","             6471333.90","       1394","     562833","         99.58"
"KWALITY","EQ","05-Oct-2018","         11.45","         11.00","         12.00","         10.90","         12.00","         12.00","         11.42","    4168803","            47592466.95","       4080","    2388661","         57.30"
"KWALITY","EQ","08-Oct-2018","         12.00","         12.30","         12.60","         12.15","         12.60","         12.60","         12.54","    6637793","            83254808.10","       4883","    3106595","         46.80"
"KWALITY","EQ","09-Oct-2018","         12.60","         13.10","         13.20","         12.85","         13.20","         13.20","         13.16","    4874852","            64171390.70","       3479","    2112799","         43.34"
"KWALITY","EQ","10-Oct-2018","         13.20","         13.50","         13.85","         12.55","         12.55","         12.60","         12.94","   14610039","           189106805.15","      14653","    5214800","         35.69"
"KWALITY","EQ","11-Oct-2018","         12.60","         12.00","         12.45","         12.00","         12.00","         12.00","         12.02","    1513937","            18190376.05","       2075","     994266","         65.67"
