"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LEXUS","SM","11-Sep-2018","         44.00","         42.00","         44.90","         41.50","         44.90","         43.10","         42.90","       6000","              257400.00","          6","       5000","         83.33"
"LEXUS","SM","14-Sep-2018","         43.10","         43.00","         43.00","         43.00","         43.00","         43.00","         43.00","       3000","              129000.00","          3","       3000","        100.00"
"LEXUS","SM","17-Sep-2018","         43.00","         41.65","         41.65","         41.55","         41.55","         41.55","         41.62","       3000","              124850.00","          2","       3000","        100.00"
"LEXUS","SM","18-Sep-2018","         41.55","         41.55","         41.55","         38.70","         39.00","         39.00","         39.08","      89000","             3478150.00","         14","      86000","         96.63"
"LEXUS","SM","19-Sep-2018","         39.00","         39.70","         40.50","         39.70","         40.50","         40.50","         40.00","       4000","              160000.00","          4","       4000","        100.00"
"LEXUS","SM","24-Sep-2018","         40.50","         37.10","         37.10","         37.10","         37.10","         37.10","         37.10","       2000","               74200.00","          2","       2000","        100.00"
"LEXUS","SM","25-Sep-2018","         37.10","         37.50","         37.50","         29.70","         29.70","         29.70","         31.13","      34000","             1058300.00","         30","      29000","         85.29"
"LEXUS","SM","26-Sep-2018","         29.70","         33.35","         35.50","         24.00","         31.20","         31.80","         27.43","     125000","             3429300.00","         73","      90000","         72.00"
"LEXUS","SM","27-Sep-2018","         31.80","         31.50","         35.00","         31.50","         33.00","         33.00","         33.49","       8000","              267900.00","          8","       6000","         75.00"
"LEXUS","SM","28-Sep-2018","         33.00","         32.00","         32.00","         30.00","         30.00","         30.00","         31.35","      11000","              344800.00","          5","      11000","        100.00"
"LEXUS","SM","01-Oct-2018","         30.00","         31.00","         31.65","         27.00","         28.95","         28.95","         27.54","      48000","             1322050.00","         18","      46000","         95.83"
"LEXUS","SM","03-Oct-2018","         28.95","         29.00","         30.00","         28.50","         28.50","         28.55","         29.02","      26000","              754400.00","         13","      26000","        100.00"
"LEXUS","SM","04-Oct-2018","         28.55","         26.50","         28.50","         26.50","         28.45","         28.45","         27.54","       9000","              247850.00","          9","       8000","         88.89"
"LEXUS","SM","05-Oct-2018","         28.45","         28.40","         28.40","         28.40","         28.40","         28.40","         28.40","       2000","               56800.00","          2","       2000","        100.00"
"LEXUS","SM","08-Oct-2018","         28.40","         28.50","         28.50","         23.50","         24.70","         24.70","         24.94","      20000","              498850.00","         16","      18000","         90.00"
"LEXUS","SM","09-Oct-2018","         24.70","         25.30","         26.70","         25.30","         26.00","         26.00","         26.13","       9000","              235200.00","          7","       7000","         77.78"
"LEXUS","SM","10-Oct-2018","         26.00","         25.65","         28.60","         25.65","         28.60","         28.60","         26.76","      10000","              267550.00","         10","       6000","         60.00"
"LEXUS","SM","12-Oct-2018","         28.60","         29.00","         30.30","         29.00","         29.80","         29.80","         29.51","      17000","              501750.00","         13","      16000","         94.12"
"LEXUS","SM","15-Oct-2018","         29.80","         29.70","         29.75","         27.10","         27.40","         27.25","         28.74","       5000","              143700.00","          4","       4000","         80.00"
"LEXUS","SM","17-Oct-2018","         27.25","         27.75","         27.75","         27.75","         27.75","         27.75","         27.75","       4000","              111000.00","          2","       4000","        100.00"
"LEXUS","SM","19-Oct-2018","         27.75","         25.30","         27.50","         25.30","         27.50","         27.50","         26.40","       2000","               52800.00","          2","       1000","         50.00"
"LEXUS","SM","24-Oct-2018","         27.50","         27.45","         27.50","         27.45","         27.50","         27.50","         27.48","       2000","               54950.00","          2","       2000","        100.00"
"LEXUS","SM","25-Oct-2018","         27.50","         28.00","         30.00","         28.00","         30.00","         30.00","         29.04","      20000","              580750.00","         13","      15000","         75.00"
"LEXUS","SM","26-Oct-2018","         30.00","         29.95","         30.10","         28.65","         28.65","         28.65","         29.88","      12000","              358550.00","         10","      12000","        100.00"
"LEXUS","SM","31-Oct-2018","         28.65","         28.55","         28.55","         28.50","         28.50","         28.50","         28.53","       2000","               57050.00","          2","       2000","        100.00"
"LEXUS","SM","01-Nov-2018","         28.50","         27.20","         29.50","         25.65","         25.65","         25.65","         26.10","      16000","              417550.00","         12","      12000","         75.00"
"LEXUS","SM","02-Nov-2018","         25.65","         26.50","         27.50","         24.05","         27.10","         25.80","         25.80","      34000","              877150.00","         18","      23000","         67.65"
"LEXUS","SM","05-Nov-2018","         25.80","         27.00","         27.50","         26.00","         27.40","         27.40","         27.09","       8000","              216750.00","          8","       8000","        100.00"
"LEXUS","SM","06-Nov-2018","         27.40","         27.00","         27.50","         27.00","         27.50","         27.50","         27.17","       3000","               81500.00","          3","       2000","         66.67"
"LEXUS","SM","07-Nov-2018","         27.50","         28.50","         29.80","         27.30","         27.30","         27.30","         28.53","       3000","               85600.00","          3","       2000","         66.67"
"LEXUS","SM","09-Nov-2018","         27.30","         26.55","         26.55","         24.70","         25.50","         25.60","         25.43","      24000","              610400.00","         22","      17000","         70.83"
"LEXUS","SM","12-Nov-2018","         25.60","         25.60","         26.50","         25.60","         26.40","         26.40","         26.17","       3000","               78500.00","          3","       3000","        100.00"
