"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LIBERTSHOE","EQ","11-Sep-2018","        195.80","        195.80","        197.50","        189.00","        190.25","        190.35","        193.27","      38518","             7444208.25","       1028","      19017","         49.37"
"LIBERTSHOE","EQ","12-Sep-2018","        190.35","        190.50","        191.90","        185.00","        187.25","        186.95","        187.35","      91627","            17166138.25","       1914","      34085","         37.20"
"LIBERTSHOE","EQ","14-Sep-2018","        186.95","        189.00","        192.80","        187.50","        188.65","        189.15","        189.73","      53561","            10161969.80","       1312","      17678","         33.01"
"LIBERTSHOE","EQ","17-Sep-2018","        189.15","        188.00","        191.00","        186.30","        188.45","        188.30","        188.38","      42119","             7934499.00","       1095","      11963","         28.40"
"LIBERTSHOE","EQ","18-Sep-2018","        188.30","        188.85","        191.80","        185.20","        186.00","        186.00","        188.44","      35523","             6693809.00","        894","      12510","         35.22"
"LIBERTSHOE","EQ","19-Sep-2018","        186.00","        186.55","        201.00","        184.25","        193.70","        192.70","        196.07","     546038","           107063918.75","       9036","      67862","         12.43"
"LIBERTSHOE","EQ","21-Sep-2018","        192.70","        196.20","        198.45","        171.10","        179.65","        181.45","        188.87","     156597","            29576927.60","       3665","      47510","         30.34"
"LIBERTSHOE","EQ","24-Sep-2018","        181.45","        181.05","        181.90","        171.30","        174.95","        174.25","        174.40","      65086","            11350713.35","       1566","      39370","         60.49"
"LIBERTSHOE","EQ","25-Sep-2018","        174.25","        175.00","        176.65","        163.50","        168.70","        168.85","        169.05","      94656","            16001774.40","       2122","      44917","         47.45"
"LIBERTSHOE","EQ","26-Sep-2018","        168.85","        170.00","        177.35","        169.60","        172.70","        172.55","        173.82","     101344","            17615299.15","       2488","      28990","         28.61"
"LIBERTSHOE","EQ","27-Sep-2018","        172.55","        178.80","        183.95","        174.55","        175.00","        175.95","        178.37","     562543","           100339396.05","      11131","      80410","         14.29"
"LIBERTSHOE","EQ","28-Sep-2018","        175.95","        175.95","        176.80","        163.00","        164.05","        164.35","        168.47","      80737","            13601883.55","       1611","      45835","         56.77"
"LIBERTSHOE","EQ","01-Oct-2018","        164.35","        165.65","        165.65","        147.15","        155.00","        153.65","        152.51","     214949","            32781296.05","       3454","     105915","         49.27"
"LIBERTSHOE","EQ","03-Oct-2018","        153.65","        153.90","        158.00","        149.35","        153.35","        153.90","        153.65","      87820","            13493866.60","       2468","      23264","         26.49"
"LIBERTSHOE","EQ","04-Oct-2018","        153.90","        150.95","        153.30","        148.70","        149.80","        150.15","        150.95","      57017","             8606542.15","       1533","      23813","         41.76"
"LIBERTSHOE","EQ","05-Oct-2018","        150.15","        150.80","        152.95","        143.30","        144.00","        144.80","        147.64","      63387","             9358300.60","       1553","      26854","         42.37"
"LIBERTSHOE","EQ","08-Oct-2018","        144.80","        145.00","        148.00","        129.35","        133.50","        132.05","        137.28","     152749","            20970067.50","       2397","      51027","         33.41"
"LIBERTSHOE","EQ","09-Oct-2018","        132.05","        134.00","        139.05","        133.00","        134.35","        134.55","        136.03","      83122","            11306912.30","       1712","      30018","         36.11"
"LIBERTSHOE","EQ","10-Oct-2018","        134.55","        135.60","        143.00","        134.00","        142.00","        141.00","        140.46","     101280","            14226139.70","       2171","      29550","         29.18"
"LIBERTSHOE","EQ","11-Oct-2018","        141.00","        137.50","        147.40","        135.05","        141.90","        141.35","        142.89","     126053","            18011932.05","       2660","      27283","         21.64"
"LIBERTSHOE","EQ","12-Oct-2018","        141.35","        142.85","        153.85","        142.50","        149.75","        149.35","        149.76","     147921","            22151983.50","       3273","      39312","         26.58"
"LIBERTSHOE","EQ","15-Oct-2018","        149.35","        150.55","        157.80","        148.25","        155.15","        154.90","        153.75","      91854","            14122174.20","       2058","      26862","         29.24"
"LIBERTSHOE","EQ","16-Oct-2018","        154.90","        157.40","        165.00","        156.55","        161.00","        159.75","        160.34","     122197","            19593101.65","       2497","      35959","         29.43"
"LIBERTSHOE","EQ","17-Oct-2018","        159.75","        163.00","        164.70","        148.00","        151.70","        151.75","        157.38","      85200","            13408942.85","       1861","      23553","         27.64"
"LIBERTSHOE","EQ","19-Oct-2018","        151.75","        148.20","        150.05","        146.35","        148.90","        148.30","        148.19","      32514","             4818140.00","        758","      12267","         37.73"
"LIBERTSHOE","EQ","22-Oct-2018","        148.30","        149.90","        150.90","        144.25","        144.95","        144.65","        146.68","      21292","             3123059.60","        605","       9168","         43.06"
"LIBERTSHOE","EQ","23-Oct-2018","        144.65","        143.40","        147.00","        140.35","        141.60","        142.85","        143.46","      19680","             2823315.15","        837","       6639","         33.73"
"LIBERTSHOE","EQ","24-Oct-2018","        142.85","        145.00","        148.45","        142.00","        144.00","        144.00","        144.95","      45147","             6544223.55","       1024","      13957","         30.91"
"LIBERTSHOE","EQ","25-Oct-2018","        144.00","        142.95","        145.60","        140.40","        143.20","        142.85","        143.56","      42765","             6139326.80","       1155","      15081","         35.26"
"LIBERTSHOE","EQ","26-Oct-2018","        142.85","        144.95","        148.35","        142.00","        143.00","        143.40","        145.36","      75588","            10987480.60","       1566","      21686","         28.69"
"LIBERTSHOE","EQ","29-Oct-2018","        143.40","        144.70","        147.50","        143.20","        144.90","        144.90","        145.35","      44320","             6441987.50","       1172","      13647","         30.79"
"LIBERTSHOE","EQ","30-Oct-2018","        144.90","        145.40","        147.80","        143.80","        145.25","        145.15","        145.99","      33855","             4942360.65","        973","      11897","         35.14"
"LIBERTSHOE","EQ","31-Oct-2018","        145.15","        146.65","        155.50","        145.75","        150.55","        151.10","        150.61","     128313","            19325119.90","       2393","      29855","         23.27"
"LIBERTSHOE","EQ","01-Nov-2018","        151.10","        152.85","        154.90","        150.30","        152.70","        152.70","        152.76","      68227","            10422418.70","       1882","      21505","         31.52"
"LIBERTSHOE","EQ","02-Nov-2018","        152.70","        154.35","        182.00","        152.75","        178.00","        175.75","        174.54","     900234","           157127323.05","       9803","     134220","         14.91"
"LIBERTSHOE","EQ","05-Nov-2018","        175.75","        178.90","        181.90","        173.40","        176.60","        176.55","        177.89","     345659","            61490209.00","       6019","      80639","         23.33"
"LIBERTSHOE","EQ","06-Nov-2018","        176.55","        176.60","        177.65","        171.20","        171.75","        172.15","        173.93","      61589","            10711887.90","       1805","      25159","         40.85"
"LIBERTSHOE","EQ","07-Nov-2018","        172.15","        172.15","        173.90","        170.15","        170.30","        170.80","        171.79","      15065","             2587957.20","        352","       8567","         56.87"
"LIBERTSHOE","EQ","09-Nov-2018","        170.80","        170.50","        170.75","        165.35","        167.00","        166.70","        167.30","      43932","             7349751.55","       1288","      19607","         44.63"
"LIBERTSHOE","EQ","12-Nov-2018","        166.70","        166.00","        168.00","        161.90","        162.30","        162.80","        164.13","      38222","             6273562.50","       1081","      15902","         41.60"
"LIBERTSHOE","EQ","13-Nov-2018","        162.80","        162.05","        176.90","        161.00","        176.90","        173.25","        170.54","     159154","            27142267.90","       3863","      45196","         28.40"
"LIBERTSHOE","EQ","14-Nov-2018","        173.25","        181.00","        182.40","        175.00","        177.30","        176.55","        178.89","     344911","            61702080.35","       7252","      80471","         23.33"
"LIBERTSHOE","EQ","15-Nov-2018","        176.55","        177.30","        177.30","        169.50","        170.35","        170.35","        172.32","      31585","             5442626.30","       1099","      14098","         44.64"
"LIBERTSHOE","EQ","16-Nov-2018","        170.35","        171.00","        171.00","        165.05","        165.50","        166.30","        167.82","      47647","             7995913.25","       1154","      16251","         34.11"
"LIBERTSHOE","EQ","19-Nov-2018","        166.30","        166.30","        171.00","        165.50","        168.20","        167.95","        168.30","      29419","             4951179.30","        808","      13405","         45.57"
"LIBERTSHOE","EQ","20-Nov-2018","        167.95","        167.50","        167.50","        163.35","        163.90","        164.45","        165.55","      20739","             3433301.40","        681","      11269","         54.34"
"LIBERTSHOE","EQ","21-Nov-2018","        164.45","        163.00","        165.95","        162.00","        162.60","        162.85","        163.60","      33474","             5476394.45","        939","      18430","         55.06"
"LIBERTSHOE","EQ","22-Nov-2018","        162.85","        162.85","        167.85","        162.25","        162.60","        163.00","        164.18","      37667","             6184247.75","        953","      14907","         39.58"
"LIBERTSHOE","EQ","26-Nov-2018","        163.00","        164.45","        182.00","        164.35","        169.00","        169.60","        173.02","     391029","            67654265.85","       7225","      88344","         22.59"
"LIBERTSHOE","EQ","27-Nov-2018","        169.60","        167.65","        172.90","        167.60","        167.80","        168.10","        169.77","      65633","            11142267.95","       1277","      29474","         44.91"
"LIBERTSHOE","EQ","28-Nov-2018","        168.10","        168.95","        168.95","        162.25","        162.80","        162.80","        165.36","      33623","             5559918.60","       1066","      17945","         53.37"
"LIBERTSHOE","EQ","29-Nov-2018","        162.80","        163.30","        164.90","        161.80","        163.60","        163.25","        163.30","      35321","             5767836.80","        869","      16952","         47.99"
"LIBERTSHOE","EQ","30-Nov-2018","        163.25","        163.50","        172.90","        163.50","        165.05","        164.70","        168.17","     110247","            18539888.10","       2433","      32835","         29.78"
"LIBERTSHOE","EQ","03-Dec-2018","        164.70","        166.40","        167.80","        164.50","        165.75","        166.05","        165.99","      33092","             5492881.65","        774","      12937","         39.09"
