"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LTTS","EQ","11-Sep-2018","       1724.45","       1738.25","       1753.25","       1654.45","       1688.60","       1682.90","       1708.60","      98958","           169079552.50","      10335","      54353","         54.93"
"LTTS","EQ","12-Sep-2018","       1682.90","       1685.25","       1697.00","       1604.55","       1625.00","       1633.00","       1638.59","     142875","           234113015.10","      14299","      92836","         64.98"
"LTTS","EQ","14-Sep-2018","       1633.00","       1644.45","       1689.25","       1624.00","       1640.00","       1633.60","       1650.80","     119950","           198013377.35","      12551","      71389","         59.52"
"LTTS","EQ","17-Sep-2018","       1633.60","       1630.00","       1689.00","       1630.00","       1685.85","       1679.20","       1660.64","     154814","           257090894.55","       8723","      99149","         64.04"
"LTTS","EQ","18-Sep-2018","       1679.20","       1689.25","       1715.30","       1682.20","       1711.60","       1707.00","       1700.14","      76135","           129440413.70","       5799","      40426","         53.10"
"LTTS","EQ","19-Sep-2018","       1707.00","       1720.00","       1729.00","       1671.10","       1700.00","       1690.95","       1698.58","     125409","           213017590.85","      19529","      86881","         69.28"
"LTTS","EQ","21-Sep-2018","       1690.95","       1706.15","       1709.00","       1450.00","       1660.10","       1664.35","       1624.27","     157143","           255241987.95","      14653","      74909","         47.67"
"LTTS","EQ","24-Sep-2018","       1664.35","       1665.00","       1678.00","       1610.25","       1665.00","       1661.40","       1648.30","      76139","           125500101.50","       7434","      37815","         49.67"
"LTTS","EQ","25-Sep-2018","       1661.40","       1668.00","       1784.00","       1661.40","       1699.00","       1695.10","       1722.16","     280534","           483124254.20","      24766","     115887","         41.31"
"LTTS","EQ","26-Sep-2018","       1695.10","       1708.70","       1773.00","       1708.70","       1726.00","       1728.00","       1739.95","     142492","           247928266.95","      13615","      58718","         41.21"
"LTTS","EQ","27-Sep-2018","       1728.00","       1726.00","       1739.95","       1690.00","       1722.00","       1712.15","       1712.48","      74972","           128387794.65","      15339","      41631","         55.53"
"LTTS","EQ","28-Sep-2018","       1712.15","       1712.00","       1759.00","       1643.00","       1740.00","       1736.25","       1728.33","     192226","           332229199.10","      14180","     117882","         61.32"
"LTTS","EQ","01-Oct-2018","       1736.25","       1690.00","       1754.20","       1690.00","       1725.00","       1723.20","       1725.14","      85908","           148203021.45","       9710","      50729","         59.05"
"LTTS","EQ","03-Oct-2018","       1723.20","       1720.00","       1775.00","       1715.15","       1726.15","       1726.10","       1749.59","     110928","           194077969.80","      14012","      59176","         53.35"
"LTTS","EQ","04-Oct-2018","       1726.10","       1720.00","       1730.00","       1638.05","       1648.00","       1650.80","       1669.98","      81212","           135622695.25","      11099","      36264","         44.65"
"LTTS","EQ","05-Oct-2018","       1650.80","       1640.00","       1644.90","       1510.00","       1534.00","       1550.65","       1575.20","      97597","           153734848.60","      12379","      49315","         50.53"
"LTTS","EQ","08-Oct-2018","       1550.65","       1522.25","       1585.00","       1486.10","       1504.95","       1510.30","       1542.50","     107791","           166267662.45","       8160","      39817","         36.94"
"LTTS","EQ","09-Oct-2018","       1510.30","       1520.00","       1547.85","       1451.65","       1467.75","       1470.30","       1495.05","      78855","           117892208.95","       6651","      43563","         55.24"
"LTTS","EQ","10-Oct-2018","       1470.30","       1483.90","       1515.20","       1432.10","       1449.25","       1445.00","       1461.57","     216485","           316407110.60","      22924","     154002","         71.14"
"LTTS","EQ","11-Oct-2018","       1445.00","       1420.00","       1420.00","       1366.45","       1375.05","       1375.95","       1388.13","     115540","           160384941.05","      10914","      76490","         66.20"
"LTTS","EQ","12-Oct-2018","       1375.95","       1385.00","       1496.30","       1385.00","       1485.00","       1479.00","       1461.91","     281526","           411564797.90","      21602","     187610","         66.64"
"LTTS","EQ","15-Oct-2018","       1479.00","       1497.00","       1639.00","       1497.00","       1625.00","       1618.00","       1579.97","     327834","           517966849.95","      27371","     134858","         41.14"
"LTTS","EQ","16-Oct-2018","       1618.00","       1632.95","       1659.30","       1621.10","       1658.95","       1650.10","       1642.83","     127302","           209135401.55","      14487","      63906","         50.20"
"LTTS","EQ","17-Oct-2018","       1650.10","       1659.50","       1659.50","       1540.00","       1546.95","       1550.00","       1577.06","     160408","           252973557.80","      29152","      84812","         52.87"
"LTTS","EQ","19-Oct-2018","       1550.00","       1550.00","       1590.00","       1513.35","       1560.00","       1560.80","       1545.79","     108509","           167731601.75","       9423","      60519","         55.77"
"LTTS","EQ","22-Oct-2018","       1560.80","       1579.85","       1579.85","       1480.30","       1506.00","       1496.30","       1526.03","     106523","           162557145.50","      16461","      67562","         63.42"
"LTTS","EQ","23-Oct-2018","       1496.30","       1487.00","       1518.90","       1471.95","       1495.00","       1496.90","       1495.34","      81103","           121276957.05","      18029","      43389","         53.50"
"LTTS","EQ","24-Oct-2018","       1496.90","       1502.00","       1512.00","       1420.00","       1451.00","       1437.75","       1449.14","     119317","           172907490.95","      18114","      62129","         52.07"
"LTTS","EQ","25-Oct-2018","       1437.75","       1445.00","       1494.70","       1425.00","       1458.55","       1454.75","       1464.78","     116793","           171075524.00","      18406","      46352","         39.69"
"LTTS","EQ","26-Oct-2018","       1454.75","       1525.00","       1587.60","       1496.00","       1563.00","       1559.95","       1546.58","     306731","           474384438.20","      36362","     131628","         42.91"
"LTTS","EQ","29-Oct-2018","       1559.95","       1588.00","       1728.90","       1575.15","       1657.00","       1663.45","       1655.28","     337343","           558396827.10","      42542","     153423","         45.48"
"LTTS","EQ","30-Oct-2018","       1663.45","       1657.00","       1715.00","       1656.95","       1681.00","       1675.45","       1682.84","     133793","           225152653.05","      28387","      64894","         48.50"
"LTTS","EQ","31-Oct-2018","       1675.45","       1688.90","       1728.90","       1688.20","       1700.50","       1700.80","       1704.89","     130212","           221996677.15","      17496","      61855","         47.50"
"LTTS","EQ","01-Nov-2018","       1700.80","       1719.00","       1765.65","       1719.00","       1745.00","       1748.55","       1749.67","     147228","           257600691.50","      25996","      76397","         51.89"
"LTTS","EQ","02-Nov-2018","       1748.55","       1759.95","       1769.00","       1660.00","       1679.70","       1673.20","       1704.74","     101167","           172463786.80","      16402","      54656","         54.03"
"LTTS","EQ","05-Nov-2018","       1673.20","       1684.95","       1698.90","       1656.25","       1665.00","       1664.90","       1670.88","      64154","           107193945.25","      12326","      34640","         54.00"
"LTTS","EQ","06-Nov-2018","       1664.90","       1679.90","       1679.90","       1653.00","       1660.00","       1661.55","       1665.00","      33971","            56561763.55","       8847","      20459","         60.22"
"LTTS","EQ","07-Nov-2018","       1661.55","       1685.00","       1700.00","       1670.05","       1690.00","       1690.40","       1687.71","      10046","            16954779.60","       1139","       6272","         62.43"
"LTTS","EQ","09-Nov-2018","       1690.40","       1701.00","       1705.00","       1659.30","       1669.00","       1664.35","       1680.36","      83071","           139589189.35","      17178","      54230","         65.28"
"LTTS","EQ","12-Nov-2018","       1664.35","       1670.25","       1684.65","       1648.25","       1652.00","       1658.65","       1672.50","     109899","           183806009.50","       8557","      89069","         81.05"
"LTTS","EQ","13-Nov-2018","       1658.65","       1655.00","       1666.00","       1600.90","       1604.00","       1606.70","       1616.43","      49939","            80722673.60","       5597","      29847","         59.77"
"LTTS","EQ","14-Nov-2018","       1606.70","       1606.00","       1615.90","       1551.00","       1551.00","       1564.75","       1575.89","      60864","            95914865.90","       5763","      29276","         48.10"
"LTTS","EQ","15-Nov-2018","       1564.75","       1584.85","       1584.85","       1550.00","       1555.00","       1558.60","       1566.48","      38572","            60422163.00","       6244","      16516","         42.82"
"LTTS","EQ","16-Nov-2018","       1558.60","       1550.00","       1550.00","       1491.00","       1518.00","       1518.15","       1519.56","     158536","           240904534.15","      12022","     106311","         67.06"
"LTTS","EQ","19-Nov-2018","       1518.15","       1534.80","       1556.95","       1520.05","       1542.50","       1541.45","       1541.73","      74238","           114455316.55","      16171","      40511","         54.57"
"LTTS","EQ","20-Nov-2018","       1541.45","       1539.75","       1539.75","       1495.50","       1505.00","       1508.30","       1517.67","      44636","            67742941.10","       7488","      22731","         50.93"
"LTTS","EQ","21-Nov-2018","       1508.30","       1519.95","       1519.95","       1471.00","       1515.00","       1510.10","       1496.38","      58190","            87074565.25","       8967","      24586","         42.25"
"LTTS","EQ","22-Nov-2018","       1510.10","       1505.00","       1541.95","       1496.00","       1513.05","       1510.65","       1523.42","      85821","           130741171.60","       9743","      47437","         55.27"
"LTTS","EQ","26-Nov-2018","       1510.65","       1540.00","       1544.00","       1491.00","       1528.00","       1527.90","       1521.90","      46571","            70876417.00","       4539","      22428","         48.16"
"LTTS","EQ","27-Nov-2018","       1527.90","       1535.00","       1535.00","       1510.10","       1519.95","       1520.40","       1520.50","      36646","            55720214.75","       3208","      11440","         31.22"
"LTTS","EQ","28-Nov-2018","       1520.40","       1517.00","       1589.00","       1517.00","       1569.10","       1568.20","       1570.77","     144532","           227027170.95","      17410","      66242","         45.83"
"LTTS","EQ","29-Nov-2018","       1568.20","       1575.00","       1579.85","       1495.00","       1506.90","       1535.55","       1548.59","      96293","           149118327.85","       8544","      55905","         58.06"
"LTTS","EQ","30-Nov-2018","       1535.55","       1514.90","       1565.00","       1510.00","       1550.00","       1549.10","       1546.62","      66075","           102192674.75","       6604","      31359","         47.46"
"LTTS","EQ","03-Dec-2018","       1549.10","       1564.70","       1575.00","       1538.65","       1547.15","       1550.60","       1553.18","      53350","            82862036.40","       7627","      23408","         43.88"
"LTTS","EQ","04-Dec-2018","       1550.60","       1540.20","       1574.65","       1537.55","       1546.00","       1552.70","       1552.24","     117357","           182166238.70","      12253","      69601","         59.31"
"LTTS","EQ","05-Dec-2018","       1552.70","       1550.00","       1590.00","       1545.10","       1575.60","       1576.80","       1564.29","      61491","            96189936.85","       5540","      26561","         43.19"
"LTTS","EQ","06-Dec-2018","       1576.80","       1573.90","       1573.90","       1512.00","       1516.10","       1515.05","       1530.25","      46922","            71802389.30","       9635","      22921","         48.85"
"LTTS","EQ","07-Dec-2018","       1515.05","       1526.95","       1544.00","       1515.10","       1530.00","       1534.20","       1532.16","      86432","           132427313.50","       7598","      52175","         60.37"
"LTTS","EQ","10-Dec-2018","       1534.20","       1528.00","       1556.00","       1501.00","       1550.45","       1551.20","       1535.59","      50798","            78004730.05","       4453","      28136","         55.39"
"LTTS","EQ","11-Dec-2018","       1551.20","       1507.00","       1579.50","       1507.00","       1550.00","       1551.00","       1560.64","      85742","           133812307.50","       5612","      56739","         66.17"
"LTTS","EQ","12-Dec-2018","       1551.00","       1569.95","       1585.00","       1547.00","       1568.85","       1572.05","       1565.33","      65681","           102812290.50","       9584","      27572","         41.98"
"LTTS","EQ","13-Dec-2018","       1572.05","       1585.00","       1618.00","       1560.30","       1598.00","       1599.55","       1596.37","     167335","           267128876.00","      20328","      84031","         50.22"
"LTTS","EQ","14-Dec-2018","       1599.55","       1617.00","       1664.20","       1598.00","       1632.00","       1635.75","       1632.31","     150967","           246424926.85","      12906","      60275","         39.93"
"LTTS","EQ","17-Dec-2018","       1635.75","       1642.90","       1649.00","       1606.50","       1644.00","       1645.10","       1632.03","      70647","           115297676.30","      11573","      28023","         39.67"
"LTTS","EQ","18-Dec-2018","       1645.10","       1635.00","       1649.50","       1605.50","       1615.00","       1614.05","       1630.33","      46583","            75945709.10","       4819","      22175","         47.60"
"LTTS","EQ","19-Dec-2018","       1614.05","       1611.00","       1629.90","       1582.00","       1610.00","       1609.00","       1605.65","      59158","            94986894.90","       6190","      22483","         38.01"
"LTTS","EQ","20-Dec-2018","       1609.00","       1616.80","       1664.10","       1614.00","       1625.00","       1636.85","       1648.18","     118804","           195810620.30","       8478","      39635","         33.36"
"LTTS","EQ","21-Dec-2018","       1636.85","       1641.10","       1659.90","       1610.00","       1653.00","       1651.80","       1645.27","      87105","           143311140.20","      10473","      40664","         46.68"
"LTTS","EQ","24-Dec-2018","       1651.80","       1660.00","       1699.00","       1652.30","       1689.90","       1687.05","       1684.15","      96516","           162547764.85","       9770","      49479","         51.27"
"LTTS","EQ","26-Dec-2018","       1687.05","       1680.55","       1709.90","       1653.25","       1690.00","       1691.55","       1680.73","      77194","           129742430.40","       5529","      21853","         28.31"
"LTTS","EQ","27-Dec-2018","       1691.55","       1692.00","       1709.00","       1680.00","       1681.00","       1684.65","       1692.73","      50387","            85291689.45","       5504","      23904","         47.44"
"LTTS","EQ","28-Dec-2018","       1684.65","       1694.55","       1703.00","       1661.15","       1699.80","       1699.45","       1685.64","      98478","           165998087.75","      15691","      44409","         45.10"
"LTTS","EQ","31-Dec-2018","       1699.45","       1715.00","       1739.95","       1695.00","       1700.05","       1708.35","       1721.69","     212014","           365023022.90","      13983","     106659","         50.31"
"LTTS","EQ","01-Jan-2019","       1708.35","       1716.90","       1723.90","       1691.10","       1715.95","       1716.65","       1713.12","      36717","            62900661.35","       2768","      14111","         38.43"
"LTTS","EQ","02-Jan-2019","       1716.65","       1714.95","       1729.95","       1698.25","       1698.65","       1701.80","       1717.50","      65474","           112451455.20","       3434","      18638","         28.47"
"LTTS","EQ","03-Jan-2019","       1701.80","       1712.25","       1712.25","       1613.00","       1625.15","       1621.85","       1659.73","     155781","           258555110.85","      10352","      74476","         47.81"
"LTTS","EQ","04-Jan-2019","       1621.85","       1635.00","       1641.50","       1590.00","       1623.00","       1624.00","       1618.87","     152819","           247394479.10","       7467","      84553","         55.33"
"LTTS","EQ","07-Jan-2019","       1624.00","       1630.00","       1649.90","       1612.10","       1637.00","       1633.45","       1632.06","      59677","            97396147.50","       4037","      26823","         44.95"
