"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MALUPAPER","EQ","11-Sep-2018","         49.20","         49.40","         49.50","         48.15","         48.70","         48.55","         48.74","       7620","              371383.95","         67","       6280","         82.41"
"MALUPAPER","EQ","12-Sep-2018","         48.55","         48.05","         48.05","         47.05","         47.50","         47.40","         47.67","       3537","              168607.45","         41","       2952","         83.46"
"MALUPAPER","EQ","14-Sep-2018","         47.40","         46.65","         48.90","         46.65","         48.05","         48.30","         47.97","      13013","              624298.10","         72","      10887","         83.66"
"MALUPAPER","EQ","17-Sep-2018","         48.30","         48.45","         48.45","         47.35","         48.00","         47.65","         48.01","      10773","              517168.35","         23","      10225","         94.91"
"MALUPAPER","EQ","18-Sep-2018","         47.65","         47.60","         48.50","         47.00","         47.30","         47.25","         47.62","      10735","              511206.65","         44","       9560","         89.05"
"MALUPAPER","EQ","19-Sep-2018","         47.25","         47.20","         49.60","         47.20","         49.05","         49.00","         49.18","      50817","             2498957.85","        201","      25010","         49.22"
"MALUPAPER","EQ","21-Sep-2018","         49.00","         49.25","         51.45","         47.15","         48.00","         47.95","         50.07","     114763","             5746565.85","        429","      68460","         59.65"
"MALUPAPER","EQ","24-Sep-2018","         47.95","         47.30","         47.95","         45.60","         46.00","         46.00","         46.27","      18961","              877244.35","        125","      16680","         87.97"
"MALUPAPER","EQ","25-Sep-2018","         46.00","         45.50","         47.50","         45.50","         46.05","         46.35","         46.15","       7453","              343961.05","         52","       5153","         69.14"
"MALUPAPER","EQ","26-Sep-2018","         46.35","         47.00","         47.80","         46.00","         47.50","         47.50","         46.85","      14613","              684585.80","         35","      13731","         93.96"
"MALUPAPER","EQ","27-Sep-2018","         47.50","         47.05","         47.90","         47.00","         47.90","         47.25","         47.22","       3900","              184165.30","         34","       3629","         93.05"
"MALUPAPER","EQ","28-Sep-2018","         47.25","         47.00","         48.25","         46.70","         47.80","         47.85","         47.46","      30043","             1425735.35","        114","      28918","         96.26"
"MALUPAPER","EQ","01-Oct-2018","         47.85","         47.50","         47.50","         45.50","         45.60","         45.70","         46.13","       6380","              294319.75","         48","       4676","         73.29"
"MALUPAPER","EQ","03-Oct-2018","         45.70","         46.10","         47.30","         43.70","         45.55","         46.20","         46.60","       9012","              419973.80","         64","       4293","         47.64"
"MALUPAPER","EQ","04-Oct-2018","         46.20","         45.55","         45.95","         44.00","         44.50","         44.20","         44.74","      15465","              691869.65","         60","      12230","         79.08"
"MALUPAPER","EQ","05-Oct-2018","         44.20","         45.00","         45.00","         42.30","         43.00","         43.15","         43.42","      11544","              501251.40","         84","       7586","         65.71"
"MALUPAPER","EQ","08-Oct-2018","         43.15","         42.20","         44.95","         41.75","         44.95","         43.95","         43.14","       4860","              209683.00","         35","       3870","         79.63"
"MALUPAPER","EQ","09-Oct-2018","         43.95","         41.55","         45.00","         41.55","         45.00","         45.00","         44.83","       3226","              144625.30","         24","       3098","         96.03"
"MALUPAPER","EQ","10-Oct-2018","         45.00","         45.00","         47.50","         42.55","         46.30","         46.60","         46.02","       9255","              425955.70","         75","       5308","         57.35"
"MALUPAPER","EQ","11-Oct-2018","         46.60","         45.60","         45.60","         42.00","         44.75","         44.75","         44.66","       9471","              423016.90","         70","       7922","         83.64"
