"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARINE","ST","11-Oct-2018","         66.00","         66.60","         66.90","         66.50","-","         66.60","         66.61","    1272000","            84725700.00","        124","-","-"
"MARINE","ST","12-Oct-2018","         66.60","         66.60","         67.00","         66.50","-","         66.70","         66.74","    1198000","            79957900.00","        249","-","-"
"MARINE","ST","15-Oct-2018","         66.70","         66.50","         67.50","         66.50","-","         67.00","         67.01","     772000","            51728900.00","        169","-","-"
"MARINE","ST","16-Oct-2018","         67.00","         67.25","         68.00","         67.25","-","         67.50","         67.32","     658000","            44296900.00","        156","-","-"
"MARINE","ST","17-Oct-2018","         67.50","         67.50","         67.50","         66.60","-","         66.65","         67.21","      62000","             4167300.00","         10","-","-"
"MARINE","ST","19-Oct-2018","         66.65","         67.00","         67.50","         67.00","-","         67.30","         67.16","     154000","            10343000.00","         45","-","-"
"MARINE","ST","22-Oct-2018","         67.30","         67.10","         68.00","         67.00","-","         67.75","         67.42","      70000","             4719700.00","         12","-","-"
"MARINE","ST","23-Oct-2018","         67.75","         69.00","         69.50","         68.00","-","         69.45","         69.01","      58000","             4002400.00","         10","-","-"
"MARINE","ST","24-Oct-2018","         69.45","         70.00","         70.50","         70.00","-","         70.10","         70.14","      14000","              982000.00","          7","-","-"
"MARINE","SM","26-Oct-2018","         70.10","         69.00","         69.00","         68.50","         68.60","         68.60","         68.67","      32000","             2197400.00","          8","      32000","        100.00"
"MARINE","SM","29-Oct-2018","         68.60","         68.50","         69.00","         68.50","         69.00","         69.00","         68.60","      10000","              686000.00","          3","      10000","        100.00"
"MARINE","SM","30-Oct-2018","         69.00","         70.00","         76.00","         70.00","         76.00","         75.05","         74.26","     104000","             7723500.00","         23","      98000","         94.23"
"MARINE","SM","31-Oct-2018","         75.05","         75.60","         83.00","         75.50","         80.00","         80.00","         80.59","     366000","            29494200.00","         49","     226000","         61.75"
"MARINE","SM","01-Nov-2018","         80.00","         80.10","         81.50","         80.00","         81.50","         81.50","         80.91","     120000","             9709600.00","         15","      60000","         50.00"
"MARINE","SM","02-Nov-2018","         81.50","         80.50","         80.65","         80.50","         80.65","         80.65","         80.65","      62000","             5000000.00","          2","      62000","        100.00"
"MARINE","SM","05-Nov-2018","         80.65","         82.00","         82.00","         82.00","         82.00","         82.00","         82.00","      44000","             3608000.00","          3","      44000","        100.00"
"MARINE","SM","07-Nov-2018","         82.00","         79.00","         79.00","         79.00","         79.00","         79.00","         79.00","       2000","              158000.00","          1","       2000","        100.00"
"MARINE","SM","09-Nov-2018","         79.00","         80.00","         80.00","         80.00","         80.00","         80.00","         80.00","       2000","              160000.00","          1","       2000","        100.00"
"MARINE","SM","14-Nov-2018","         80.00","         78.00","         82.00","         78.00","         82.00","         82.00","         78.03","     302000","            23564000.00","          3","     302000","        100.00"
"MARINE","SM","16-Nov-2018","         82.00","         81.90","         82.00","         81.90","         82.00","         82.00","         81.95","       4000","              327800.00","          2","       4000","        100.00"
"MARINE","SM","19-Nov-2018","         82.00","         82.40","         82.40","         82.40","         82.40","         82.40","         82.40","       2000","              164800.00","          1","       2000","        100.00"
"MARINE","SM","20-Nov-2018","         82.40","         79.50","         80.50","         77.30","         80.50","         79.60","         78.15","      88000","             6877200.00","         19","      64000","         72.73"
"MARINE","SM","21-Nov-2018","         79.60","         77.60","         77.60","         77.60","         77.60","         77.60","         77.60","       2000","              155200.00","          1","       2000","        100.00"
"MARINE","SM","22-Nov-2018","         77.60","         78.50","         78.50","         78.50","         78.50","         78.50","         78.50","       2000","              157000.00","          1","       2000","        100.00"
"MARINE","SM","29-Nov-2018","         78.50","         79.50","         85.00","         79.50","         80.20","         80.35","         81.29","      40000","             3251600.00","         18","      34000","         85.00"
"MARINE","SM","30-Nov-2018","         80.35","         80.00","         80.00","         80.00","         80.00","         80.00","         80.00","       2000","              160000.00","          1","       2000","        100.00"
"MARINE","SM","03-Dec-2018","         80.00","         80.60","         81.00","         79.25","         81.00","         81.00","         80.36","      92000","             7392800.00","         22","      86000","         93.48"
