"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MOTILALOFS","EQ","11-Sep-2018","        791.10","        796.00","        799.95","        758.30","        762.35","        764.05","        774.98","      81632","            63263218.10","       5893","      45212","         55.39"
"MOTILALOFS","EQ","12-Sep-2018","        764.05","        770.00","        791.00","        753.60","        761.15","        769.15","        763.49","      91258","            69674183.00","       3567","      55230","         60.52"
"MOTILALOFS","EQ","14-Sep-2018","        769.15","        772.90","        791.05","        766.00","        783.00","        780.10","        779.56","     104583","            81528321.70","       6645","      54705","         52.31"
"MOTILALOFS","EQ","17-Sep-2018","        780.10","        781.00","        793.85","        768.05","        787.00","        785.70","        782.19","      61470","            48080930.90","       3352","      35157","         57.19"
"MOTILALOFS","EQ","18-Sep-2018","        785.70","        795.00","        795.00","        770.00","        772.00","        774.45","        778.46","      39756","            30948517.60","       2099","      17505","         44.03"
"MOTILALOFS","EQ","19-Sep-2018","        774.45","        771.00","        784.00","        751.50","        758.25","        759.40","        760.83","      73134","            55642357.20","       3292","      39330","         53.78"
"MOTILALOFS","EQ","21-Sep-2018","        759.40","        770.00","        774.60","        699.90","        750.00","        758.15","        754.12","     181778","           137083142.05","      11570","     123346","         67.86"
"MOTILALOFS","EQ","24-Sep-2018","        758.15","        752.10","        757.95","        700.20","        736.00","        730.20","        725.19","     165508","           120024330.95","       9394","      90870","         54.90"
"MOTILALOFS","EQ","25-Sep-2018","        730.20","        731.55","        741.00","        682.20","        720.00","        723.25","        708.43","     183310","           129861545.60","       6549","      94532","         51.57"
"MOTILALOFS","EQ","26-Sep-2018","        723.25","        718.00","        731.50","        700.15","        702.25","        706.10","        707.47","      89417","            63259970.20","       4643","      57291","         64.07"
"MOTILALOFS","EQ","27-Sep-2018","        706.10","        702.55","        724.65","        661.15","        668.00","        668.60","        681.86","      90886","            61971873.15","       4831","      54707","         60.19"
"MOTILALOFS","BL","28-Sep-2018","        825.00","        672.00","        672.00","        672.00","        672.00","        672.00","        672.00","     539000","           362208000.00","          2","     539000","        100.00"
"MOTILALOFS","EQ","28-Sep-2018","        668.60","        668.05","        700.00","        651.25","        657.00","        673.80","        673.75","     148042","            99743410.60","       5300","      92879","         62.74"
"MOTILALOFS","EQ","01-Oct-2018","        673.80","        673.70","        674.50","        650.35","        661.25","        666.65","        660.94","      53741","            35519746.40","       2664","      25883","         48.16"
"MOTILALOFS","EQ","03-Oct-2018","        666.65","        657.25","        687.95","        657.25","        675.00","        680.35","        674.59","      40370","            27233038.80","       3452","      17362","         43.01"
"MOTILALOFS","EQ","04-Oct-2018","        680.35","        663.35","        684.00","        653.65","        680.00","        672.95","        662.90","      48941","            32442976.20","       2871","      24600","         50.26"
"MOTILALOFS","EQ","05-Oct-2018","        672.95","        670.00","        689.00","        640.00","        640.00","        665.20","        678.09","      62520","            42393918.30","       4754","      31917","         51.05"
"MOTILALOFS","EQ","08-Oct-2018","        665.20","        664.00","        666.35","        632.00","        640.10","        643.00","        647.02","     180865","           117022849.95","       4711","     146550","         81.03"
"MOTILALOFS","EQ","09-Oct-2018","        643.00","        641.00","        650.00","        626.90","        650.00","        646.00","        639.09","      80845","            51667297.15","       4928","      48576","         60.09"
"MOTILALOFS","EQ","10-Oct-2018","        646.00","        650.00","        658.65","        638.00","        641.95","        642.70","        648.54","     125165","            81174619.60","       9927","      83149","         66.43"
"MOTILALOFS","EQ","11-Oct-2018","        642.70","        630.00","        630.25","        612.00","        613.00","        620.50","        620.93","      84178","            52268582.00","       5946","      48514","         57.63"
"MOTILALOFS","EQ","12-Oct-2018","        620.50","        626.90","        656.30","        626.05","        646.00","        642.65","        640.49","     696403","           446038394.80","       8266","     652315","         93.67"
"MOTILALOFS","EQ","15-Oct-2018","        642.65","        653.00","        653.00","        630.75","        639.00","        641.55","        636.16","     124329","            79093151.55","       4570","      93268","         75.02"
"MOTILALOFS","EQ","16-Oct-2018","        641.55","        639.00","        666.00","        639.00","        658.00","        660.05","        648.79","      95906","            62223095.35","       5926","      57959","         60.43"
"MOTILALOFS","EQ","17-Oct-2018","        660.05","        664.05","        668.95","        625.10","        629.95","        633.15","        644.07","      47306","            30468499.65","       2715","      22704","         47.99"
"MOTILALOFS","EQ","19-Oct-2018","        633.15","        625.00","        634.50","        613.00","        633.05","        627.45","        624.84","      94601","            59110156.70","       8774","      56419","         59.64"
"MOTILALOFS","EQ","22-Oct-2018","        627.45","        627.45","        634.80","        616.15","        627.00","        629.85","        625.19","      42880","            26808075.25","       3141","      21068","         49.13"
"MOTILALOFS","EQ","23-Oct-2018","        629.85","        616.00","        629.80","        588.35","        592.80","        591.75","        599.41","      78946","            47321064.55","       6953","      44421","         56.27"
"MOTILALOFS","EQ","24-Oct-2018","        591.75","        592.85","        605.00","        582.85","        592.00","        590.40","        591.35","      91373","            54033054.50","       9406","      42079","         46.05"
"MOTILALOFS","EQ","25-Oct-2018","        590.40","        589.85","        589.85","        555.00","        563.10","        562.50","        562.78","      90382","            50864752.40","      11605","      44507","         49.24"
"MOTILALOFS","EQ","26-Oct-2018","        562.50","        560.10","        584.40","        545.10","        561.10","        565.35","        566.74","      90890","            51511268.55","       8501","      33259","         36.59"
"MOTILALOFS","EQ","29-Oct-2018","        565.35","        571.60","        600.00","        562.50","        598.00","        596.15","        584.49","      69570","            40662918.80","       5932","      36601","         52.61"
"MOTILALOFS","EQ","30-Oct-2018","        596.15","        596.15","        638.00","        588.10","        634.00","        631.55","        616.86","     123102","            75936772.25","       7931","      59363","         48.22"
"MOTILALOFS","EQ","31-Oct-2018","        631.55","        615.85","        640.00","        585.00","        619.25","        622.65","        612.43","     237274","           145313338.60","      16744","      85828","         36.17"
"MOTILALOFS","EQ","01-Nov-2018","        622.65","        620.00","        669.00","        617.10","        669.00","        661.05","        650.32","      89396","            58136286.75","       5377","      30970","         34.64"
"MOTILALOFS","EQ","02-Nov-2018","        661.05","        669.00","        696.25","        665.05","        680.00","        685.20","        681.00","     100297","            68301976.80","      10621","      56092","         55.93"
"MOTILALOFS","EQ","05-Nov-2018","        685.20","        671.00","        699.50","        671.00","        695.00","        696.05","        688.91","      94124","            64843239.65","       9912","      52253","         55.52"
"MOTILALOFS","EQ","06-Nov-2018","        696.05","        697.00","        699.55","        688.50","        695.00","        697.45","        693.69","     190662","           132259864.65","       7696","     166792","         87.48"
"MOTILALOFS","EQ","07-Nov-2018","        697.45","        709.00","        710.00","        687.00","        698.00","        701.60","        702.44","      21403","            15034416.75","        885","      12280","         57.38"
"MOTILALOFS","EQ","09-Nov-2018","        701.60","        702.95","        702.95","        677.00","        678.50","        680.25","        686.64","      48038","            32984804.55","       4712","      31253","         65.06"
"MOTILALOFS","EQ","12-Nov-2018","        680.25","        685.70","        685.70","        658.15","        659.05","        662.60","        667.98","      49488","            33056908.65","       6220","      30037","         60.70"
"MOTILALOFS","EQ","13-Nov-2018","        662.60","        659.65","        659.65","        639.55","        643.00","        644.05","        646.01","     257656","           166449101.70","       7875","     215511","         83.64"
"MOTILALOFS","EQ","14-Nov-2018","        644.05","        645.00","        665.65","        645.00","        650.00","        649.85","        650.57","     278404","           181120065.45","       6157","     241865","         86.88"
"MOTILALOFS","EQ","15-Nov-2018","        649.85","        659.50","        660.05","        634.35","        646.80","        647.90","        647.16","      83758","            54204675.65","       8753","      36090","         43.09"
"MOTILALOFS","EQ","16-Nov-2018","        647.90","        648.00","        654.40","        629.25","        641.20","        643.20","        640.42","     179276","           114812109.90","       6029","     137390","         76.64"
"MOTILALOFS","EQ","19-Nov-2018","        643.20","        640.00","        657.90","        630.05","        651.55","        647.70","        634.80","     208159","           132138351.45","       6003","     156142","         75.01"
"MOTILALOFS","EQ","20-Nov-2018","        647.70","        647.70","        647.70","        628.80","        630.55","        633.65","        636.63","      31758","            20218146.55","       3107","      15804","         49.76"
"MOTILALOFS","EQ","21-Nov-2018","        633.65","        630.00","        637.85","        624.30","        631.00","        630.45","        628.93","      26685","            16782941.80","       3038","      11630","         43.58"
"MOTILALOFS","EQ","22-Nov-2018","        630.45","        627.00","        633.90","        621.15","        626.00","        625.25","        627.39","      29466","            18486620.90","       3699","      13281","         45.07"
"MOTILALOFS","EQ","26-Nov-2018","        625.25","        626.75","        634.05","        621.00","        623.00","        624.75","        625.05","      23683","            14802999.95","       2113","      11008","         46.48"
"MOTILALOFS","EQ","27-Nov-2018","        624.75","        626.00","        628.70","        612.35","        617.40","        620.35","        624.24","      75610","            47198836.80","       1527","      60382","         79.86"
"MOTILALOFS","EQ","28-Nov-2018","        620.35","        626.00","        637.90","        615.05","        621.20","        623.40","        623.45","     154232","            96156294.60","       3337","     109935","         71.28"
"MOTILALOFS","EQ","29-Nov-2018","        623.40","        626.00","        628.75","        616.00","        617.85","        619.10","        620.92","      65177","            40469786.80","       2305","      43700","         67.05"
"MOTILALOFS","EQ","30-Nov-2018","        619.10","        610.00","        618.75","        602.60","        611.05","        613.95","        610.38","      51639","            31519629.00","       3208","      17814","         34.50"
"MOTILALOFS","EQ","03-Dec-2018","        613.95","        610.00","        618.55","        604.55","        614.00","        613.10","        610.02","      28141","            17166704.95","       2755","      16563","         58.86"
"MOTILALOFS","EQ","04-Dec-2018","        613.10","        609.80","        628.75","        607.20","        622.00","        624.95","        617.90","      37018","            22873524.40","       2011","      19974","         53.96"
"MOTILALOFS","EQ","05-Dec-2018","        624.95","        622.00","        622.00","        610.45","        613.10","        612.50","        615.34","      53746","            33071828.60","       1583","      36660","         68.21"
"MOTILALOFS","EQ","06-Dec-2018","        612.50","        610.00","        623.00","        606.05","        613.25","        614.80","        615.27","      29567","            18191815.60","       3630","      10333","         34.95"
"MOTILALOFS","EQ","07-Dec-2018","        614.80","        610.00","        620.00","        605.25","        614.00","        614.15","        612.34","      25950","            15890305.00","       2935","      14219","         54.79"
"MOTILALOFS","EQ","10-Dec-2018","        614.15","        600.00","        605.00","        594.80","        602.30","        598.85","        598.60","      27174","            16266402.00","       2334","      15692","         57.75"
"MOTILALOFS","EQ","11-Dec-2018","        598.85","        588.00","        609.00","        588.00","        593.55","        592.15","        597.14","     198484","           118523100.55","       4722","     176788","         89.07"
"MOTILALOFS","EQ","12-Dec-2018","        592.15","        599.90","        624.00","        592.95","        615.25","        618.50","        599.96","     629782","           377841239.75","       3852","     603409","         95.81"
"MOTILALOFS","EQ","13-Dec-2018","        618.50","        624.90","        630.35","        615.90","        625.00","        624.10","        623.36","      81110","            50560598.95","       8650","      50827","         62.66"
"MOTILALOFS","EQ","14-Dec-2018","        624.10","        620.00","        630.00","        614.00","        617.00","        618.45","        622.90","      27190","            16936735.60","       3621","      15054","         55.37"
"MOTILALOFS","EQ","17-Dec-2018","        618.45","        615.00","        621.45","        602.00","        602.00","        604.10","        608.05","      40365","            24543834.35","       2011","      28670","         71.03"
"MOTILALOFS","EQ","18-Dec-2018","        604.10","        607.90","        615.00","        601.35","        606.00","        608.60","        606.09","     110235","            66812832.70","       2189","      91684","         83.17"
"MOTILALOFS","EQ","19-Dec-2018","        608.60","        610.00","        640.00","        610.00","        639.00","        637.10","        625.10","     236843","           148051665.45","       7902","     170281","         71.90"
"MOTILALOFS","EQ","20-Dec-2018","        637.10","        637.10","        648.85","        632.10","        641.80","        640.45","        640.42","      56608","            36252685.35","       3037","      35530","         62.76"
"MOTILALOFS","EQ","21-Dec-2018","        640.45","        646.00","        650.00","        623.00","        649.60","        646.75","        634.65","     139093","            88274893.15","       5522","     102357","         73.59"
"MOTILALOFS","EQ","24-Dec-2018","        646.75","        649.00","        662.85","        643.85","        653.00","        653.90","        651.05","      99009","            64459940.10","       5882","      62751","         63.38"
