"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MUNJALAU","EQ","11-Sep-2018","         64.10","         64.15","         65.60","         63.25","         63.25","         63.50","         63.98","      36513","             2336024.50","        410","      21178","         58.00"
"MUNJALAU","EQ","12-Sep-2018","         63.50","         63.30","         63.70","         62.00","         63.00","         62.80","         63.03","      48058","             3028891.65","        507","      31819","         66.21"
"MUNJALAU","EQ","14-Sep-2018","         62.80","         64.05","         68.40","         63.05","         65.35","         65.40","         66.25","     192491","            12751649.85","       1777","      65479","         34.02"
"MUNJALAU","EQ","17-Sep-2018","         65.40","         65.80","         65.80","         63.50","         64.00","         64.10","         64.36","      36518","             2350247.80","        492","      24941","         68.30"
"MUNJALAU","EQ","18-Sep-2018","         64.10","         64.00","         64.50","         63.40","         63.50","         63.55","         63.91","      27092","             1731491.50","        312","      18528","         68.39"
"MUNJALAU","EQ","19-Sep-2018","         63.55","         64.70","         64.70","         62.50","         62.50","         62.75","         63.28","      40601","             2569284.05","        485","      28889","         71.15"
"MUNJALAU","EQ","21-Sep-2018","         62.75","         62.10","         63.30","         59.30","         61.00","         60.65","         61.53","      89259","             5491867.95","        946","      64417","         72.17"
"MUNJALAU","EQ","24-Sep-2018","         60.65","         60.20","         62.00","         58.50","         58.50","         58.95","         59.37","      67104","             3984071.60","        793","      47554","         70.87"
"MUNJALAU","EQ","25-Sep-2018","         58.95","         60.60","         60.60","         57.55","         59.00","         58.90","         58.65","      60761","             3563774.95","        829","      38693","         63.68"
"MUNJALAU","EQ","26-Sep-2018","         58.90","         58.95","         60.35","         58.05","         58.05","         58.45","         59.33","      41684","             2473138.30","        427","      26601","         63.82"
"MUNJALAU","EQ","27-Sep-2018","         58.45","         58.05","         59.50","         57.60","         57.70","         57.80","         58.38","      46108","             2691675.65","        471","      32428","         70.33"
"MUNJALAU","EQ","28-Sep-2018","         57.80","         58.10","         58.10","         55.55","         56.00","         56.00","         56.64","      44042","             2494492.15","        621","      32901","         74.70"
"MUNJALAU","EQ","01-Oct-2018","         56.00","         55.00","         55.50","         52.55","         55.25","         55.15","         54.08","      66026","             3570798.40","        808","      38722","         58.65"
"MUNJALAU","EQ","03-Oct-2018","         55.15","         56.00","         57.10","         55.25","         55.80","         56.05","         56.32","      49164","             2768734.45","        819","      28771","         58.52"
"MUNJALAU","EQ","04-Oct-2018","         56.05","         56.00","         56.00","         54.20","         54.35","         54.45","         54.76","      26976","             1477076.85","        445","      16773","         62.18"
"MUNJALAU","EQ","05-Oct-2018","         54.45","         54.00","         54.75","         52.00","         52.00","         52.75","         53.43","      45179","             2413966.95","        718","      28226","         62.48"
"MUNJALAU","EQ","08-Oct-2018","         52.75","         51.55","         52.90","         50.30","         51.00","         51.20","         51.41","      55446","             2850679.80","        906","      37888","         68.33"
"MUNJALAU","EQ","09-Oct-2018","         51.20","         51.20","         52.00","         49.15","         49.85","         50.00","         50.28","      43592","             2191883.40","        775","      25612","         58.75"
"MUNJALAU","EQ","10-Oct-2018","         50.00","         50.00","         52.50","         50.00","         51.50","         51.75","         51.58","      58757","             3030678.15","        715","      31635","         53.84"
"MUNJALAU","EQ","11-Oct-2018","         51.75","         50.15","         52.35","         49.50","         51.35","         51.70","         51.41","      30273","             1556325.60","        718","      14328","         47.33"
"MUNJALAU","EQ","12-Oct-2018","         51.70","         52.60","         54.50","         52.00","         53.50","         53.65","         53.42","      31380","             1676197.30","        566","      18914","         60.27"
"MUNJALAU","EQ","15-Oct-2018","         53.65","         53.50","         54.90","         53.30","         54.65","         54.85","         54.63","      24877","             1359145.30","        420","      15052","         60.51"
"MUNJALAU","EQ","16-Oct-2018","         54.85","         54.50","         56.60","         54.00","         55.50","         55.70","         55.63","      31111","             1730553.50","        460","      17345","         55.75"
"MUNJALAU","EQ","17-Oct-2018","         55.70","         60.90","         60.90","         56.50","         57.40","         57.65","         58.88","     479234","            28215687.10","       4533","     112045","         23.38"
"MUNJALAU","EQ","19-Oct-2018","         57.65","         56.10","         57.00","         55.70","         55.85","         56.10","         56.51","      39295","             2220591.15","        479","      23955","         60.96"
