"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NAHARSPING","EQ","11-Sep-2018","         92.10","         92.15","         93.80","         91.00","         91.00","         91.10","         92.00","       5496","              505616.90","        260","       3734","         67.94"
"NAHARSPING","EQ","12-Sep-2018","         91.10","         92.65","         92.65","         90.50","         90.50","         90.75","         91.20","       6969","              635565.95","        265","       4369","         62.69"
"NAHARSPING","EQ","14-Sep-2018","         90.75","         91.00","         92.30","         91.00","         92.05","         92.05","         91.86","       8589","              788958.70","        110","       7015","         81.67"
"NAHARSPING","EQ","17-Sep-2018","         92.05","         92.05","         94.30","         90.65","         94.00","         93.95","         93.34","      12883","             1202541.45","        277","      10217","         79.31"
"NAHARSPING","EQ","18-Sep-2018","         93.95","         93.00","         94.60","         92.05","         92.10","         93.05","         93.53","       6290","              588290.60","        156","       5004","         79.55"
"NAHARSPING","EQ","19-Sep-2018","         93.05","         92.45","         95.30","         92.35","         92.85","         93.25","         93.74","      11482","             1076269.75","        348","       6062","         52.80"
"NAHARSPING","EQ","21-Sep-2018","         93.25","         94.65","         94.65","         86.00","         87.20","         87.70","         88.63","      27220","             2412596.70","        264","      20258","         74.42"
"NAHARSPING","EQ","24-Sep-2018","         87.70","         89.40","         89.40","         81.45","         82.80","         81.95","         83.86","      27242","             2284613.70","        325","      22686","         83.28"
"NAHARSPING","EQ","25-Sep-2018","         81.95","         83.55","         83.55","         80.70","         82.30","         81.85","         82.06","      10564","              866882.75","        249","       6946","         65.75"
"NAHARSPING","EQ","26-Sep-2018","         81.85","         82.20","         83.95","         80.30","         80.60","         81.05","         81.56","      10927","              891233.70","        372","       8621","         78.90"
"NAHARSPING","EQ","27-Sep-2018","         81.05","         81.95","         82.65","         78.20","         79.10","         79.10","         80.15","      15240","             1221432.90","        655","      10199","         66.92"
"NAHARSPING","EQ","28-Sep-2018","         79.10","         80.10","         80.60","         72.00","         74.00","         73.75","         74.48","      52749","             3928597.45","        710","      40628","         77.02"
"NAHARSPING","EQ","01-Oct-2018","         73.75","         73.95","         74.45","         70.50","         73.60","         73.65","         72.38","      12756","              923292.00","        335","       6664","         52.24"
"NAHARSPING","EQ","03-Oct-2018","         73.65","         73.90","         76.40","         73.30","         74.70","         74.70","         74.86","      11422","              855107.65","        989","       6671","         58.40"
"NAHARSPING","EQ","04-Oct-2018","         74.70","         75.80","         75.80","         72.00","         72.10","         72.20","         72.91","       7715","              562525.60","        272","       5568","         72.17"
"NAHARSPING","EQ","05-Oct-2018","         72.20","         73.00","         73.50","         71.00","         71.50","         71.60","         71.80","      18116","             1300734.65","        403","      12554","         69.30"
"NAHARSPING","EQ","08-Oct-2018","         71.60","         70.05","         72.90","         70.00","         70.00","         70.30","         71.01","       9258","              657401.40","        224","       5709","         61.67"
"NAHARSPING","EQ","09-Oct-2018","         70.30","         71.25","         72.10","         70.10","         71.35","         71.20","         70.88","       8460","              599667.90","        285","       5240","         61.94"
"NAHARSPING","EQ","10-Oct-2018","         71.20","         70.25","         75.90","         70.25","         75.90","         74.90","         73.95","       5537","              409481.45","        178","       3153","         56.94"
