"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RNAM","EQ","14-Sep-2018","        222.25","        223.30","        225.00","        220.10","        224.85","        223.55","        223.32","     333248","            74420638.80","       6241","     293752","         88.15"
"RNAM","EQ","17-Sep-2018","        223.55","        225.50","        225.50","        216.60","        219.80","        219.20","        220.00","     167848","            36926221.85","       7587","     110368","         65.75"
"RNAM","EQ","18-Sep-2018","        219.20","        219.95","        223.75","        211.75","        214.75","        213.65","        216.39","     238343","            51574685.55","       7379","     127301","         53.41"
"RNAM","EQ","19-Sep-2018","        213.65","        203.60","        203.60","        185.05","        187.00","        188.95","        193.53","    2067561","           400134399.30","      42718","     785757","         38.00"
"RNAM","EQ","21-Sep-2018","        188.95","        190.40","        191.00","        161.60","        184.90","        182.95","        181.03","     757763","           137176686.90","      18376","     380359","         50.19"
"RNAM","EQ","24-Sep-2018","        182.95","        184.00","        184.00","        171.35","        172.85","        172.80","        174.00","     313578","            54563061.15","       7602","     211839","         67.56"
"RNAM","EQ","25-Sep-2018","        172.80","        172.00","        180.00","        167.05","        180.00","        178.85","        175.72","    1336381","           234823041.40","      10127","    1232096","         92.20"
"RNAM","EQ","26-Sep-2018","        178.85","        182.00","        185.40","        175.00","        183.30","        183.95","        181.14","     140033","            25365084.80","       6374","      56360","         40.25"
"RNAM","EQ","27-Sep-2018","        183.95","        181.95","        183.85","        177.00","        177.00","        178.25","        179.29","      77775","            13944242.60","       4462","      45426","         58.41"
"RNAM","EQ","28-Sep-2018","        178.25","        177.00","        179.85","        165.00","        175.30","        174.65","        173.77","     447570","            77774454.60","       7544","     363459","         81.21"
"RNAM","EQ","01-Oct-2018","        174.65","        174.65","        174.65","        161.25","        165.60","        166.25","        164.58","     232115","            38201592.90","      10940","     127161","         54.78"
"RNAM","EQ","03-Oct-2018","        166.25","        167.00","        167.00","        155.55","        156.10","        156.40","        159.41","    1135751","           181044640.40","      24134","     967299","         85.17"
"RNAM","EQ","04-Oct-2018","        156.40","        154.75","        159.30","        152.55","        155.80","        156.55","        156.48","     191965","            30037754.75","       6518","      88363","         46.03"
"RNAM","EQ","05-Oct-2018","        156.55","        156.10","        156.10","        127.20","        150.00","        150.85","        149.04","     230256","            34316323.10","       4901","     118070","         51.28"
"RNAM","EQ","08-Oct-2018","        150.85","        149.95","        150.55","        142.70","        148.35","        147.90","        145.94","     338916","            49460595.65","      19086","     214389","         63.26"
"RNAM","EQ","09-Oct-2018","        147.90","        149.50","        155.95","        142.60","        149.90","        147.90","        149.21","     303166","            45235557.35","      10434","     213511","         70.43"
"RNAM","EQ","10-Oct-2018","        147.90","        148.90","        156.50","        147.95","        153.55","        154.40","        152.75","     630838","            96360462.50","       5923","     582321","         92.31"
"RNAM","EQ","11-Oct-2018","        154.40","        151.45","        155.45","        146.30","        153.00","        153.70","        150.34","     951750","           143084232.30","       4475","     854107","         89.74"
"RNAM","EQ","12-Oct-2018","        153.70","        156.40","        161.55","        156.20","        159.65","        159.30","        159.24","     102952","            16393620.60","       3028","      37763","         36.68"
"RNAM","EQ","15-Oct-2018","        159.30","        162.30","        166.00","        158.00","        165.00","        164.25","        163.85","     288852","            47329596.60","       7125","     237486","         82.22"
"RNAM","EQ","16-Oct-2018","        164.25","        165.35","        168.95","        165.00","        165.05","        165.40","        166.04","      41218","             6843668.30","       1228","      20997","         50.94"
"RNAM","EQ","17-Oct-2018","        165.40","        166.90","        166.90","        158.50","        159.70","        159.90","        160.58","      59832","             9608118.20","       1793","      31661","         52.92"
"RNAM","EQ","19-Oct-2018","        159.90","        158.50","        160.50","        154.55","        156.80","        156.15","        157.35","     100199","            15766783.45","       2759","      70709","         70.57"
"RNAM","EQ","22-Oct-2018","        156.15","        156.00","        161.50","        156.00","        156.00","        159.30","        160.02","      88284","            14126769.25","       3238","      48202","         54.60"
