"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NATIONALUM","EQ","11-Sep-2018","         71.45","         71.80","         72.45","         69.05","         70.00","         69.85","         70.58","    7231104","           510402422.80","      26628","    2566762","         35.50"
"NATIONALUM","EQ","12-Sep-2018","         69.85","         70.10","         70.30","         68.05","         69.75","         69.70","         69.24","    7117095","           492794728.50","      23317","    1729895","         24.31"
"NATIONALUM","EQ","14-Sep-2018","         69.70","         70.70","         71.00","         69.85","         70.15","         70.15","         70.39","    6807891","           479195332.50","      22949","    2880206","         42.31"
"NATIONALUM","EQ","17-Sep-2018","         70.15","         69.80","         70.70","         68.90","         70.10","         69.95","         70.01","    4676102","           327393837.10","      15894","    1250542","         26.74"
"NATIONALUM","EQ","18-Sep-2018","         69.95","         69.80","         70.55","         67.60","         68.20","         68.05","         69.22","    7179269","           496959277.05","      23007","    2144891","         29.88"
"NATIONALUM","EQ","19-Sep-2018","         68.05","         68.75","         70.15","         68.20","         68.75","         68.70","         69.19","    6308606","           436496234.15","      17016","    2064551","         32.73"
"NATIONALUM","EQ","21-Sep-2018","         68.70","         69.70","         69.80","         62.00","         65.80","         65.75","         66.52","   15115087","          1005511701.95","      40307","    4808583","         31.81"
"NATIONALUM","EQ","24-Sep-2018","         65.75","         66.00","         67.00","         64.10","         64.75","         65.10","         65.44","    7548004","           493935081.90","      27156","    2764350","         36.62"
"NATIONALUM","EQ","25-Sep-2018","         65.10","         66.00","         67.30","         64.90","         66.20","         65.85","         65.91","    9848904","           649093016.80","      39707","    3844747","         39.04"
"NATIONALUM","EQ","26-Sep-2018","         65.85","         66.30","         68.00","         66.20","         66.80","         66.75","         67.00","   11119128","           745011049.90","      53537","    5088891","         45.77"
"NATIONALUM","EQ","27-Sep-2018","         66.75","         67.00","         67.40","         64.30","         64.90","         64.80","         65.40","   10400684","           680190165.15","      28847","    4687760","         45.07"
"NATIONALUM","EQ","28-Sep-2018","         64.80","         65.05","         65.45","         60.20","         61.00","         60.60","         61.90","   15032973","           930594835.15","      44391","    6236209","         41.48"
