"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NHPC","EQ","11-Sep-2018","         25.15","         25.30","         25.40","         24.85","         24.95","         24.90","         25.13","    1669743","            41963953.10","       2664","     628467","         37.64"
"NHPC","N6","11-Sep-2018","       1280.00","       1280.00","       1280.00","       1280.00","       1280.00","       1280.00","       1280.00","         70","               89600.00","          2","         70","        100.00"
"NHPC","EQ","12-Sep-2018","         24.90","         24.70","         24.90","         24.50","         24.75","         24.70","         24.67","    1474116","            36362093.10","       2140","     545080","         36.98"
"NHPC","N5","12-Sep-2018","       1201.20","       1419.00","       1419.00","       1400.01","       1400.01","       1400.01","       1410.75","          4","                5643.01","          3","          4","        100.00"
"NHPC","N6","12-Sep-2018","       1280.00","       1270.00","       1270.00","       1265.00","       1265.00","       1266.33","       1266.86","        350","              443400.00","          3","        350","        100.00"
"NHPC","EQ","14-Sep-2018","         24.70","         24.75","         25.05","         24.60","         24.90","         24.85","         24.81","    3297508","            81818887.80","       4932","    1255657","         38.08"
"NHPC","N4","14-Sep-2018","       1125.00","       1108.01","       1108.10","       1108.01","       1108.10","       1108.10","       1108.06","        112","              124102.16","          2","         56","         50.00"
"NHPC","N5","14-Sep-2018","       1400.01","       1377.00","       1377.00","       1377.00","       1377.00","       1377.00","       1377.00","          3","                4131.00","          1","          3","        100.00"
"NHPC","N6","14-Sep-2018","       1266.33","       1260.00","       1260.00","       1260.00","       1260.00","       1260.00","       1260.00","        130","              163800.00","          3","        130","        100.00"
"NHPC","EQ","17-Sep-2018","         24.85","         24.85","         24.85","         24.55","         24.55","         24.60","         24.68","    1377740","            34004219.30","       3054","     688455","         49.97"
"NHPC","N5","17-Sep-2018","       1377.00","       1375.00","       1375.00","       1375.00","       1375.00","       1375.00","       1375.00","          1","                1375.00","          1","          1","        100.00"
"NHPC","N6","17-Sep-2018","       1260.00","       1260.00","       1260.05","       1256.00","       1260.00","       1260.01","       1256.67","       1094","             1374800.57","          8","       1025","         93.69"
"NHPC","EQ","18-Sep-2018","         24.60","         24.60","         24.80","         24.25","         24.30","         24.30","         24.43","    1995840","            48765476.25","       3504","     913012","         45.75"
"NHPC","N5","18-Sep-2018","       1375.00","       1370.00","       1370.00","       1370.00","       1370.00","       1370.00","       1370.00","          2","                2740.00","          1","          2","        100.00"
"NHPC","EQ","19-Sep-2018","         24.30","         24.30","         24.40","         23.90","         24.20","         24.15","         24.10","    3318511","            79973171.30","       6283","    2235004","         67.35"
"NHPC","EQ","21-Sep-2018","         24.15","         24.25","         24.50","         22.90","         23.80","         23.75","         23.74","    7241424","           171896659.95","       9338","    4086868","         56.44"
"NHPC","N5","21-Sep-2018","       1370.00","       1201.20","       1249.99","       1201.20","       1249.99","       1249.99","       1206.43","        280","              337799.70","          4","        250","         89.29"
"NHPC","N6","21-Sep-2018","       1260.01","       1260.00","       1260.00","       1251.60","       1255.00","       1255.00","       1258.76","         79","               99442.10","          9","         74","         93.67"
"NHPC","EQ","24-Sep-2018","         23.75","         23.75","         23.95","         23.15","         23.25","         23.25","         23.46","    2663961","            62487043.90","       9513","    1110328","         41.68"
"NHPC","EQ","25-Sep-2018","         23.25","         23.25","         23.60","         22.95","         23.45","         23.55","         23.32","    2206745","            51465271.50","       8312","     845861","         38.33"
"NHPC","N4","25-Sep-2018","       1108.10","       1105.20","       1105.20","       1105.01","       1105.01","       1105.01","       1105.11","        250","              276276.25","          2","        125","         50.00"
"NHPC","N6","25-Sep-2018","       1255.00","       1236.03","       1240.00","       1236.00","       1240.00","       1240.00","       1237.34","       3000","             3712027.50","          6","       3000","        100.00"
"NHPC","EQ","26-Sep-2018","         23.55","         23.50","         23.60","         23.30","         23.50","         23.45","         23.45","    1930273","            45271735.80","       2945","     866750","         44.90"
"NHPC","N6","26-Sep-2018","       1240.00","       1250.00","       1250.00","       1250.00","       1250.00","       1250.00","       1250.00","         50","               62500.00","          1","         50","        100.00"
