"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIITLTD","EQ","11-Sep-2018","         98.50","         98.70","         99.00","         95.25","         95.65","         95.75","         96.89","    1000189","            96905397.85","       6042","     359690","         35.96"
"NIITLTD","EQ","12-Sep-2018","         95.75","         95.70","         95.70","         91.50","         93.00","         93.35","         93.03","    1112842","           103522964.40","      14981","     346715","         31.16"
"NIITLTD","EQ","14-Sep-2018","         93.35","         94.00","         95.40","         93.40","         94.10","         94.45","         94.30","     808196","            76212695.80","       5926","     330189","         40.86"
"NIITLTD","EQ","17-Sep-2018","         94.45","         94.00","         94.00","         91.80","         92.30","         92.60","         92.85","     704640","            65427108.45","       4202","     224236","         31.82"
"NIITLTD","EQ","18-Sep-2018","         92.60","         92.70","         93.30","         90.65","         90.80","         91.05","         91.79","     640262","            58768590.05","       4169","     324879","         50.74"
"NIITLTD","EQ","19-Sep-2018","         91.05","         91.90","         92.45","         88.50","         89.70","         89.70","         90.34","     728792","            65841333.40","       5645","     293038","         40.21"
"NIITLTD","EQ","21-Sep-2018","         89.70","         90.45","         90.85","         77.10","         86.50","         86.20","         85.67","    1683868","           144254984.10","       9326","     708854","         42.10"
"NIITLTD","EQ","24-Sep-2018","         86.20","         87.10","         87.40","         81.10","         81.50","         81.80","         84.28","     656519","            55331920.75","       4525","     332979","         50.72"
"NIITLTD","EQ","25-Sep-2018","         81.80","         82.00","         83.80","         76.50","         81.00","         80.90","         80.54","     957380","            77104036.90","       5689","     495284","         51.73"
"NIITLTD","EQ","26-Sep-2018","         80.90","         81.90","         81.90","         78.10","         78.70","         78.65","         79.48","     510652","            40587648.25","       4942","     203860","         39.92"
"NIITLTD","EQ","27-Sep-2018","         78.65","         79.00","         81.90","         74.50","         75.55","         75.30","         77.24","    1154855","            89197603.20","       6682","     649534","         56.24"
"NIITLTD","EQ","28-Sep-2018","         75.30","         76.40","         78.70","         71.30","         73.70","         73.35","         74.90","    1103964","            82691410.60","       7662","     490691","         44.45"
"NIITLTD","EQ","01-Oct-2018","         73.35","         73.50","         75.65","         70.00","         75.00","         75.00","         73.93","     788155","            58265434.60","       6755","     347079","         44.04"
"NIITLTD","EQ","03-Oct-2018","         75.00","         75.00","         76.35","         72.55","         72.80","         73.10","         74.05","     628179","            46515913.70","       6743","     275053","         43.79"
"NIITLTD","EQ","04-Oct-2018","         73.10","         71.80","         72.70","         68.10","         68.55","         69.20","         70.09","     953761","            66852394.05","       5567","     466453","         48.91"
"NIITLTD","EQ","05-Oct-2018","         69.20","         69.80","         70.55","         65.80","         66.00","         66.75","         67.35","     912474","            61455157.00","       8642","     393623","         43.14"
"NIITLTD","EQ","08-Oct-2018","         66.75","         66.75","         67.95","         60.60","         61.25","         61.70","         64.06","    1014553","            64997326.55","       6170","     521475","         51.40"
"NIITLTD","EQ","09-Oct-2018","         61.70","         62.15","         63.25","         61.10","         61.90","         61.95","         62.19","     582588","            36228572.15","       5403","     208999","         35.87"
"NIITLTD","EQ","10-Oct-2018","         61.95","         62.95","         67.05","         62.35","         66.60","         66.50","         64.87","     606552","            39347131.60","       5418","     290095","         47.83"
"NIITLTD","EQ","11-Oct-2018","         66.50","         63.85","         67.40","         62.40","         66.75","         66.55","         65.14","     659178","            42939349.45","       6663","     246683","         37.42"
"NIITLTD","EQ","12-Oct-2018","         66.55","         67.10","         69.70","         66.90","         69.00","         69.05","         68.45","     644273","            44100418.40","       8273","     268084","         41.61"
"NIITLTD","EQ","15-Oct-2018","         69.05","         69.70","         73.70","         68.20","         72.60","         73.20","         71.97","     920423","            66242888.20","       5867","     329974","         35.85"
"NIITLTD","EQ","16-Oct-2018","         73.20","         73.00","         76.40","         72.15","         75.75","         75.70","         74.78","    1877956","           140435569.15","      11656","     583788","         31.09"
"NIITLTD","EQ","17-Oct-2018","         75.70","         76.40","         77.00","         72.45","         72.50","         72.95","         75.05","    1045886","            78488976.45","       8302","     335902","         32.12"
"NIITLTD","EQ","19-Oct-2018","         72.95","         72.60","         74.75","         70.15","         74.05","         74.25","         73.26","     626877","            45926551.05","       5117","     271317","         43.28"
"NIITLTD","EQ","22-Oct-2018","         74.25","         75.00","         75.75","         71.10","         72.50","         72.90","         72.81","     443664","            32302315.95","       4109","     206503","         46.54"
"NIITLTD","EQ","23-Oct-2018","         72.90","         73.15","         73.15","         71.00","         71.50","         71.65","         72.31","     294587","            21301260.10","       4138","     165558","         56.20"
"NIITLTD","EQ","24-Oct-2018","         71.65","         72.10","         72.65","         70.50","         71.25","         71.25","         71.37","     350393","            25006353.90","       3657","     161991","         46.23"
"NIITLTD","EQ","25-Oct-2018","         71.25","         70.80","         76.40","         70.05","         72.65","         72.40","         73.02","    1692655","           123603989.05","      14384","     338212","         19.98"
"NIITLTD","EQ","26-Oct-2018","         72.40","         72.70","         73.55","         70.60","         71.10","         71.35","         72.23","     548964","            39650662.80","       5796","     203652","         37.10"
"NIITLTD","EQ","29-Oct-2018","         71.35","         71.75","         72.45","         70.95","         71.80","         71.90","         71.95","     550296","            39592033.75","       2687","     348352","         63.30"
"NIITLTD","EQ","30-Oct-2018","         71.90","         72.35","         75.00","         71.00","         71.40","         71.45","         72.68","     839930","            61047746.90","      16146","     411763","         49.02"
"NIITLTD","EQ","31-Oct-2018","         71.45","         71.60","         73.25","         70.25","         71.25","         71.65","         71.62","     767458","            54964790.35","       8456","     322278","         41.99"
"NIITLTD","EQ","01-Nov-2018","         71.65","         72.05","         75.00","         72.00","         74.20","         74.00","         73.73","     547394","            40359927.15","       4484","     299346","         54.69"
"NIITLTD","EQ","02-Nov-2018","         74.00","         74.50","         75.90","         73.50","         73.90","         73.85","         74.54","     507546","            37832585.15","       4402","     260594","         51.34"
"NIITLTD","EQ","05-Nov-2018","         73.85","         74.40","         75.90","         73.05","         74.70","         74.80","         74.65","     446778","            33353238.90","       5693","     197337","         44.17"
"NIITLTD","EQ","06-Nov-2018","         74.80","         74.75","         75.60","         72.50","         72.90","         73.25","         74.00","     242386","            17937227.60","       2806","     100155","         41.32"
"NIITLTD","EQ","07-Nov-2018","         73.25","         73.90","         73.90","         73.20","         73.60","         73.60","         73.60","      39852","             2932931.20","        445","      27283","         68.46"
"NIITLTD","EQ","09-Nov-2018","         73.60","         73.90","         74.15","         72.60","         73.70","         73.55","         73.40","     235499","            17286800.80","       2676","     104636","         44.43"
"NIITLTD","EQ","12-Nov-2018","         73.55","         73.90","         79.30","         73.85","         78.30","         78.40","         77.34","    1519184","           117493531.60","      12134","     667181","         43.92"
"NIITLTD","EQ","13-Nov-2018","         78.40","         78.00","         85.60","         77.60","         85.40","         84.60","         82.64","    2832452","           234071997.75","      17602","     800806","         28.27"
"NIITLTD","EQ","14-Nov-2018","         84.60","         85.70","         86.20","         83.00","         83.30","         83.70","         84.66","    1808466","           153111937.00","      13117","     573088","         31.69"
"NIITLTD","EQ","15-Nov-2018","         83.70","         83.15","         83.45","         81.15","         81.50","         81.75","         82.33","     380886","            31358109.40","       3269","     161215","         42.33"
"NIITLTD","EQ","16-Nov-2018","         81.75","         81.60","         83.00","         80.00","         80.50","         80.85","         81.41","     379145","            30866752.70","       2841","     156668","         41.32"
"NIITLTD","EQ","19-Nov-2018","         80.85","         80.55","         85.00","         79.50","         83.70","         83.50","         83.03","     919477","            76340930.75","       5828","     297013","         32.30"
"NIITLTD","EQ","20-Nov-2018","         83.50","         83.50","         87.40","         81.60","         84.00","         84.45","         85.13","    1640705","           139673638.15","       9233","     557692","         33.99"
"NIITLTD","EQ","21-Nov-2018","         84.45","         83.55","         85.00","         82.55","         84.60","         84.40","         83.92","     573573","            48133711.90","       3848","     238773","         41.63"
"NIITLTD","EQ","22-Nov-2018","         84.40","         84.65","         87.25","         82.60","         82.85","         83.15","         84.84","     624409","            52974051.70","       4131","     324902","         52.03"
"NIITLTD","EQ","26-Nov-2018","         83.15","         83.50","         83.50","         80.55","         81.50","         82.15","         81.83","     400767","            32792927.75","       3120","     152535","         38.06"
"NIITLTD","EQ","27-Nov-2018","         82.15","         85.00","         85.45","         82.20","         83.25","         83.70","         83.30","    2332188","           194280764.05","       9316","    1198042","         51.37"
"NIITLTD","EQ","28-Nov-2018","         83.70","         83.80","         84.40","         82.45","         82.45","         82.80","         83.45","     393259","            32818482.35","       2990","     147113","         37.41"
"NIITLTD","EQ","29-Nov-2018","         82.80","         83.20","         83.20","         81.00","         81.40","         81.35","         81.94","     268628","            22010762.95","       2067","     137987","         51.37"
"NIITLTD","EQ","30-Nov-2018","         81.35","         81.40","         82.25","         79.20","         79.25","         79.45","         80.66","     390774","            31518407.20","       4012","     197696","         50.59"
"NIITLTD","EQ","03-Dec-2018","         79.45","         81.90","         86.95","         81.90","         86.45","         86.10","         84.81","    1479801","           125503118.30","       8750","     647336","         43.74"
"NIITLTD","EQ","04-Dec-2018","         86.10","         87.00","         93.65","         86.45","         92.50","         92.80","         90.92","    3692645","           335735860.05","      30496","    1242818","         33.66"
"NIITLTD","EQ","05-Dec-2018","         92.80","         92.00","         95.00","         90.80","         92.65","         92.70","         93.12","    1910742","           177923723.20","      17401","     666808","         34.90"
"NIITLTD","EQ","06-Dec-2018","         92.70","         92.35","         92.60","         88.10","         90.10","         89.30","         89.54","     614466","            55021332.95","       4307","     225448","         36.69"
"NIITLTD","EQ","07-Dec-2018","         89.30","         90.05","         91.80","         87.20","         87.35","         87.85","         89.06","     599400","            53382243.15","       5194","     225674","         37.65"
"NIITLTD","EQ","10-Dec-2018","         87.85","         85.00","         85.85","         83.15","         83.85","         84.10","         84.65","     468403","            39648292.65","       4163","     181344","         38.72"
"NIITLTD","EQ","11-Dec-2018","         84.10","         81.55","         87.60","         81.55","         87.05","         86.15","         85.79","     663950","            56961154.35","       7240","     231644","         34.89"
"NIITLTD","EQ","12-Dec-2018","         86.15","         87.45","         91.25","         87.00","         89.00","         88.35","         88.96","    1084856","            96510335.90","       8526","     480357","         44.28"
"NIITLTD","EQ","13-Dec-2018","         88.35","         90.00","         90.80","         88.10","         88.65","         88.90","         89.32","     573587","            51230526.00","       4315","     238923","         41.65"
"NIITLTD","EQ","14-Dec-2018","         88.90","         89.00","         93.00","         87.60","         90.10","         90.25","         90.60","     834090","            75565622.70","       6900","     244619","         29.33"
"NIITLTD","EQ","17-Dec-2018","         90.25","         90.95","         91.80","         89.75","         91.50","         91.35","         90.87","     546952","            49702732.55","       4438","     257201","         47.02"
"NIITLTD","EQ","18-Dec-2018","         91.35","         91.70","         92.40","         89.00","         89.80","         89.75","         90.32","     608572","            54963217.60","       3867","     326741","         53.69"
"NIITLTD","EQ","19-Dec-2018","         89.75","         90.45","         91.00","         89.10","         89.40","         89.45","         89.78","     423369","            38010521.55","       4135","     141212","         33.35"
"NIITLTD","EQ","20-Dec-2018","         89.45","         88.90","         89.60","         87.10","         88.25","         88.60","         88.54","     482461","            42718966.00","       3555","     212440","         44.03"
"NIITLTD","EQ","21-Dec-2018","         88.60","         90.00","         90.90","         88.00","         88.50","         88.60","         89.49","     669018","            59870010.95","       5839","     226291","         33.82"
"NIITLTD","EQ","24-Dec-2018","         88.60","         88.50","         89.15","         87.40","         87.40","         87.65","         88.06","     209224","            18423467.45","       2224","      70013","         33.46"
"NIITLTD","EQ","26-Dec-2018","         87.65","         87.50","         87.70","         84.40","         84.45","         84.65","         85.20","     569637","            48532777.95","       2691","     320744","         56.31"
"NIITLTD","EQ","27-Dec-2018","         84.65","         85.70","         86.40","         84.00","         84.15","         84.35","         85.09","     469621","            39961931.35","       2804","     240407","         51.19"
"NIITLTD","EQ","28-Dec-2018","         84.35","         85.00","         85.65","         84.25","         84.50","         84.60","         84.98","     272654","            23168800.95","       2056","     100524","         36.87"
"NIITLTD","EQ","31-Dec-2018","         84.60","         85.00","         87.45","         84.65","         87.20","         87.00","         86.33","     594426","            51318471.20","       3846","     239603","         40.31"
"NIITLTD","EQ","01-Jan-2019","         87.00","         87.00","         87.30","         85.65","         85.80","         86.00","         86.47","     477909","            41324049.10","       2402","     288775","         60.42"
"NIITLTD","EQ","02-Jan-2019","         86.00","         85.80","         86.70","         84.50","         84.65","         84.85","         85.35","     464683","            39662112.45","       2917","     259622","         55.87"
"NIITLTD","EQ","03-Jan-2019","         84.85","         84.90","         85.25","         83.65","         83.95","         83.95","         84.45","     247617","            20911372.55","       1715","     122277","         49.38"
"NIITLTD","EQ","04-Jan-2019","         83.95","         83.90","         85.30","         82.90","         84.00","         84.30","         84.18","     269607","            22694716.80","       4031","      73822","         27.38"
"NIITLTD","EQ","07-Jan-2019","         84.30","         85.00","         85.70","         84.40","         84.70","         84.85","         85.08","     261195","            22221314.15","       2825","     105778","         40.50"
"NIITLTD","EQ","08-Jan-2019","         84.85","         85.20","         85.20","         83.20","         84.75","         84.15","         84.34","     209237","            17646699.55","       1855","      71103","         33.98"
"NIITLTD","EQ","09-Jan-2019","         84.15","         85.00","         88.40","         84.50","         84.55","         84.75","         86.29","    1006396","            86839796.65","       7005","     322335","         32.03"
"NIITLTD","EQ","10-Jan-2019","         84.75","         85.05","         86.20","         82.65","         82.70","         83.10","         84.29","     772839","            65143216.80","       8072","     353432","         45.73"
"NIITLTD","EQ","11-Jan-2019","         83.10","         83.55","         84.00","         82.45","         82.95","         83.35","         83.26","     523443","            43581875.95","       4552","     171931","         32.85"
"NIITLTD","EQ","14-Jan-2019","         83.35","         83.55","         84.80","         82.00","         83.40","         83.55","         83.26","    1263618","           105209515.50","       5640","     540631","         42.78"
"NIITLTD","EQ","15-Jan-2019","         83.55","         83.80","         84.70","         82.60","         84.40","         84.35","         83.81","    1318380","           110495626.60","       4706","     739178","         56.07"
"NIITLTD","EQ","16-Jan-2019","         84.35","         84.20","         89.30","         84.20","         87.60","         87.65","         87.66","    3044504","           266879636.45","      16066","    1162935","         38.20"
"NIITLTD","EQ","17-Jan-2019","         87.65","         92.00","         92.65","         88.25","         88.80","         88.90","         89.78","    3514287","           315504397.30","      21482","    1203918","         34.26"
"NIITLTD","EQ","18-Jan-2019","         88.90","         89.00","         91.50","         87.60","         91.20","         91.10","         90.00","    1541191","           138710732.35","      10091","     647846","         42.04"
"NIITLTD","EQ","21-Jan-2019","         91.10","         91.90","         96.00","         90.10","         92.80","         93.05","         93.68","    3419404","           320332653.65","      22385","    1204424","         35.22"
"NIITLTD","EQ","22-Jan-2019","         93.05","         93.40","         94.70","         91.50","         93.85","         93.65","         93.24","    1532501","           142891149.50","       9944","     545707","         35.61"
"NIITLTD","EQ","23-Jan-2019","         93.65","         94.00","         94.85","         92.80","         93.50","         93.30","         93.80","     889676","            83450157.30","       4641","     355893","         40.00"
"NIITLTD","EQ","24-Jan-2019","         93.30","         93.35","         93.80","         85.90","         86.10","         86.30","         88.85","    2923428","           259751381.50","      21821","     781468","         26.73"
"NIITLTD","EQ","25-Jan-2019","         86.30","         86.50","         88.65","         82.60","         84.00","         84.20","         84.64","    1155714","            97819952.45","      10004","     503757","         43.59"
"NIITLTD","EQ","28-Jan-2019","         84.20","         84.00","         84.00","         79.70","         82.70","         82.25","         81.39","     649169","            52833997.20","       5329","     228006","         35.12"
"NIITLTD","EQ","29-Jan-2019","         82.25","         82.25","         84.60","         80.70","         82.85","         82.65","         82.80","     500738","            41458976.65","       4914","     191554","         38.25"
"NIITLTD","EQ","30-Jan-2019","         82.65","         83.35","         84.70","         83.00","         83.35","         83.90","         83.98","     498676","            41879978.65","       4579","     222590","         44.64"
"NIITLTD","EQ","31-Jan-2019","         83.90","         83.90","         84.40","         82.55","         83.00","         83.15","         83.31","     320526","            26702875.70","       2428","     178319","         55.63"
"NIITLTD","EQ","01-Feb-2019","         83.15","         83.10","         87.75","         83.10","         86.00","         85.85","         85.52","    1108230","            94780851.30","       9435","     489026","         44.13"
"NIITLTD","EQ","04-Feb-2019","         85.85","         86.45","         91.70","         84.65","         89.60","         90.45","         88.67","    1111427","            98554819.45","       9552","     407976","         36.71"
"NIITLTD","EQ","05-Feb-2019","         90.45","         90.00","         90.40","         87.50","         87.50","         87.95","         88.66","     540562","            47927617.70","       4162","     231477","         42.82"
"NIITLTD","EQ","06-Feb-2019","         87.95","         87.85","         91.00","         85.60","         89.60","         89.30","         88.53","     543780","            48143261.95","       5294","     148407","         27.29"
"NIITLTD","EQ","07-Feb-2019","         89.30","         88.85","         92.60","         88.00","         91.65","         91.90","         91.21","     660728","            60264415.15","       5192","     267231","         40.44"
"NIITLTD","EQ","08-Feb-2019","         91.90","         91.45","         91.45","         87.10","         88.00","         87.70","         89.09","     453257","            40379880.00","       3484","     178964","         39.48"
"NIITLTD","EQ","11-Feb-2019","         87.70","         87.50","         87.70","         84.55","         84.70","         85.05","         85.47","     355267","            30364112.25","       2309","     143432","         40.37"
"NIITLTD","EQ","12-Feb-2019","         85.05","         85.50","         86.20","         82.25","         82.85","         82.85","         84.21","     447569","            37689911.65","       3413","     158532","         35.42"
"NIITLTD","EQ","13-Feb-2019","         82.85","         83.95","         85.00","         80.15","         83.50","         83.05","         83.10","     488066","            40556126.70","       3211","     195801","         40.12"
"NIITLTD","EQ","14-Feb-2019","         83.05","         83.80","         83.80","         81.70","         82.00","         82.00","         82.06","     327370","            26864556.30","       3102","     213722","         65.28"
"NIITLTD","EQ","15-Feb-2019","         82.00","         82.35","         83.50","         81.15","         81.60","         81.85","         81.95","     332158","            27219391.20","       4060","     157479","         47.41"
"NIITLTD","EQ","18-Feb-2019","         81.85","         82.15","         84.25","         80.45","         81.20","         81.45","         82.08","     513758","            42168580.15","      13676","     233274","         45.41"
"NIITLTD","EQ","19-Feb-2019","         81.45","         81.60","         82.20","         80.30","         80.50","         80.65","         81.10","     404142","            32774210.05","      12914","     198851","         49.20"
"NIITLTD","EQ","20-Feb-2019","         80.65","         81.15","         81.25","         78.30","         79.00","         79.15","         79.46","     527180","            41889076.65","       9396","     343690","         65.19"
"NIITLTD","EQ","21-Feb-2019","         79.15","         79.10","         84.65","         78.65","         82.75","         82.40","         82.62","    1591125","           131466694.95","      14666","     819948","         51.53"
"NIITLTD","EQ","22-Feb-2019","         82.40","         82.20","         83.10","         81.25","         81.95","         81.55","         82.14","     765297","            62858593.25","      10650","     422060","         55.15"
"NIITLTD","EQ","25-Feb-2019","         81.55","         82.00","         82.80","         81.40","         81.90","         81.95","         82.16","     557030","            45766030.00","      12360","     330436","         59.32"
"NIITLTD","EQ","26-Feb-2019","         81.95","         80.70","         81.95","         79.30","         81.05","         81.10","         80.47","     824577","            66354284.85","       9940","     432076","         52.40"
"NIITLTD","EQ","27-Feb-2019","         81.10","         81.55","         82.80","         80.00","         81.00","         81.35","         81.71","     849864","            69444982.75","       7282","     459975","         54.12"
"NIITLTD","EQ","28-Feb-2019","         81.35","         81.95","         81.95","         80.05","         80.15","         80.25","         80.68","     290527","            23439985.50","       2937","     165390","         56.93"
"NIITLTD","EQ","01-Mar-2019","         80.25","         80.95","         82.40","         80.00","         80.40","         80.45","         80.95","    1282770","           103837732.15","       7504","     795641","         62.03"
"NIITLTD","EQ","05-Mar-2019","         80.45","         80.50","         85.90","         80.45","         84.10","         84.35","         83.87","    1940051","           162705008.35","       9911","     878060","         45.26"
"NIITLTD","EQ","06-Mar-2019","         84.35","         84.60","         90.40","         83.95","         89.80","         89.30","         87.53","    2220742","           194377478.00","      11882","     843506","         37.98"
"NIITLTD","EQ","07-Mar-2019","         89.30","         90.00","         94.25","         89.20","         90.80","         90.90","         92.33","    4458189","           411611866.15","      22916","    1769907","         39.70"
"NIITLTD","EQ","08-Mar-2019","         90.90","         92.95","         92.95","         89.20","         89.70","         89.95","         90.94","    1388895","           126301736.60","      12690","     552441","         39.78"
"NIITLTD","EQ","11-Mar-2019","         89.95","         92.25","         94.40","         91.25","         91.50","         91.60","         92.15","    2089297","           192526738.20","      26801","     928207","         44.43"
"NIITLTD","EQ","12-Mar-2019","         91.60","         93.00","         95.25","         91.75","         91.80","         91.95","         93.28","    2670653","           249130298.00","      19358","    1253306","         46.93"
"NIITLTD","EQ","13-Mar-2019","         91.95","         92.00","         94.80","         90.50","         92.75","         92.80","         93.37","    2959005","           276294712.65","      13854","    1012810","         34.23"
"NIITLTD","EQ","14-Mar-2019","         92.80","         93.35","         94.20","         91.70","         91.95","         92.00","         92.79","    1187906","           110223472.80","      16041","     553455","         46.59"
"NIITLTD","EQ","15-Mar-2019","         92.00","         92.10","         92.75","         87.45","         88.30","         88.95","         90.32","    1582921","           142974120.25","       7882","     979733","         61.89"
"NIITLTD","EQ","18-Mar-2019","         88.95","         90.10","         90.90","         88.35","         89.70","         89.40","         89.39","     679807","            60771019.65","       5556","     229785","         33.80"
"NIITLTD","EQ","19-Mar-2019","         89.40","         90.00","         91.40","         89.10","         90.80","         90.45","         90.23","    1127077","           101695519.75","      14305","     468617","         41.58"
"NIITLTD","EQ","20-Mar-2019","         90.45","         91.00","         92.00","         90.25","         91.00","         91.05","         91.23","    1234541","           112629620.15","      10253","     512488","         41.51"
"NIITLTD","EQ","22-Mar-2019","         91.05","         91.15","         91.40","         89.35","         89.95","         90.05","         90.31","     572384","            51690331.85","       3046","     325772","         56.91"
"NIITLTD","EQ","25-Mar-2019","         90.05","         88.50","         90.80","         88.25","         89.60","         89.40","         89.55","     699666","            62656788.55","       9795","     408209","         58.34"
"NIITLTD","EQ","26-Mar-2019","         89.40","         89.60","         90.30","         88.90","         89.30","         89.70","         89.69","    1032092","            92571394.50","       5232","     734355","         71.15"
"NIITLTD","EQ","27-Mar-2019","         89.70","         90.30","         92.45","         89.30","         91.70","         91.50","         90.62","    1224083","           110927548.40","      21452","     738888","         60.36"
"NIITLTD","EQ","28-Mar-2019","         91.50","         92.20","         92.40","         89.00","         89.60","         89.70","         90.57","     659195","            59702755.95","       2879","     394496","         59.85"
"NIITLTD","EQ","29-Mar-2019","         89.70","         90.45","         91.60","         89.90","         90.00","         90.40","         90.54","     660976","            59844498.25","       3736","     384679","         58.20"
"NIITLTD","EQ","01-Apr-2019","         90.40","         90.60","         91.95","         89.00","         89.45","         89.35","         90.28","    1089721","            98377314.25","       6947","     606729","         55.68"
"NIITLTD","EQ","02-Apr-2019","         89.35","         89.85","         91.50","         89.20","         90.20","         90.30","         90.46","     891187","            80619371.70","      10193","     357756","         40.14"
"NIITLTD","EQ","03-Apr-2019","         90.30","         91.25","         91.55","         89.20","         90.00","         89.65","         90.54","     868981","            78680473.50","       6989","     338375","         38.94"
"NIITLTD","EQ","04-Apr-2019","         89.65","         90.10","         90.35","         87.20","         88.65","         88.50","         88.34","     933805","            82490990.90","      11280","     518487","         55.52"
"NIITLTD","EQ","05-Apr-2019","         88.50","         89.05","         96.30","         88.85","         95.70","         95.15","         94.19","    7284890","           686184163.30","      30808","    2713925","         37.25"
