"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NORBTEAEXP","BE","11-Sep-2018","          8.60","          8.60","          8.60","          8.60","          8.60","          8.60","          8.60","       1650","               14190.00","          3","-","-"
"NORBTEAEXP","BE","12-Sep-2018","          8.60","          8.20","          8.20","          8.20","          8.20","          8.20","          8.20","        200","                1640.00","          1","-","-"
"NORBTEAEXP","BE","14-Sep-2018","          8.20","          7.80","          8.00","          7.80","          8.00","          8.00","          7.93","        800","                6340.00","          3","-","-"
"NORBTEAEXP","BE","17-Sep-2018","          8.00","          7.65","          7.65","          7.60","          7.60","          7.60","          7.64","        800","                6110.00","          3","-","-"
"NORBTEAEXP","BE","19-Sep-2018","          7.60","          7.60","          7.60","          7.25","          7.25","          7.25","          7.29","        852","                6212.35","          9","-","-"
"NORBTEAEXP","BE","21-Sep-2018","          7.25","          6.95","          6.95","          6.95","          6.95","          6.95","          6.95","        675","                4691.25","          4","-","-"
"NORBTEAEXP","BE","24-Sep-2018","          6.95","          7.05","          7.05","          7.05","          7.05","          7.05","          7.05","        100","                 705.00","          1","-","-"
"NORBTEAEXP","BE","25-Sep-2018","          7.05","          7.05","          7.05","          7.05","          7.05","          7.05","          7.05","        100","                 705.00","          2","-","-"
"NORBTEAEXP","BE","27-Sep-2018","          7.05","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","        100","                 670.00","          2","-","-"
"NORBTEAEXP","BE","28-Sep-2018","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","        400","                2680.00","          2","-","-"
"NORBTEAEXP","BE","05-Oct-2018","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","         10","                  67.00","          1","-","-"
"NORBTEAEXP","BE","10-Oct-2018","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","        104","                 696.80","          2","-","-"
"NORBTEAEXP","BE","11-Oct-2018","          6.70","          6.80","          6.80","          6.75","          6.75","          6.75","          6.78","        400","                2710.00","          4","-","-"
"NORBTEAEXP","BE","12-Oct-2018","          6.75","          6.75","          6.80","          6.75","          6.80","          6.80","          6.80","        796","                5410.25","         11","-","-"
"NORBTEAEXP","BE","15-Oct-2018","          6.80","          6.85","          6.85","          6.80","          6.80","          6.80","          6.83","        200","                1365.00","          3","-","-"
"NORBTEAEXP","BE","16-Oct-2018","          6.80","          6.80","          6.80","          6.70","          6.70","          6.70","          6.74","       1100","                7415.05","          7","-","-"
"NORBTEAEXP","BE","19-Oct-2018","          6.70","          6.80","          6.80","          6.70","          6.70","          6.70","          6.71","       1098","                7371.10","          6","-","-"
"NORBTEAEXP","BE","22-Oct-2018","          6.70","          6.75","          6.75","          6.75","          6.75","          6.75","          6.75","        155","                1046.25","          1","-","-"
"NORBTEAEXP","BE","23-Oct-2018","          6.75","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","        100","                 680.00","          1","-","-"
"NORBTEAEXP","BE","24-Oct-2018","          6.80","          6.85","          6.85","          6.85","          6.85","          6.85","          6.85","       1200","                8220.00","          2","-","-"
"NORBTEAEXP","BE","26-Oct-2018","          6.85","          6.80","          6.85","          6.80","          6.80","          6.80","          6.85","        986","                6751.30","          5","-","-"
"NORBTEAEXP","BE","29-Oct-2018","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","         10","                  68.00","          1","-","-"
"NORBTEAEXP","BE","01-Nov-2018","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","        100","                 680.00","          1","-","-"
"NORBTEAEXP","BE","02-Nov-2018","          6.80","          6.85","          6.85","          6.80","          6.80","          6.80","          6.85","        201","                1376.80","          4","-","-"
"NORBTEAEXP","BE","09-Nov-2018","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","         15","                 102.00","          5","-","-"
"NORBTEAEXP","BE","15-Nov-2018","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","          1","                   6.80","          1","-","-"
"NORBTEAEXP","BE","19-Nov-2018","          6.80","          6.80","          6.80","          6.50","          6.80","          6.80","          6.64","        554","                3677.20","          5","-","-"
"NORBTEAEXP","BE","20-Nov-2018","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","          5","                  34.00","          1","-","-"
"NORBTEAEXP","BE","22-Nov-2018","          6.80","          6.85","          6.85","          6.80","          6.80","          6.80","          6.81","        700","                4765.00","          5","-","-"
"NORBTEAEXP","BE","27-Nov-2018","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","          5","                  34.00","          1","-","-"
"NORBTEAEXP","BE","28-Nov-2018","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","          6.80","        160","                1088.00","          7","-","-"
"NORBTEAEXP","BE","29-Nov-2018","          6.80","          6.80","          6.80","          6.75","          6.80","          6.80","          6.80","       1200","                8155.00","          3","-","-"
"NORBTEAEXP","BE","30-Nov-2018","          6.80","          6.80","          6.80","          6.50","          6.75","          6.75","          6.67","        726","                4845.15","         23","-","-"
"NORBTEAEXP","BE","03-Dec-2018","          6.75","          6.80","          6.80","          6.60","          6.60","          6.60","          6.70","       1424","                9543.40","         10","-","-"
"NORBTEAEXP","BE","04-Dec-2018","          6.60","          6.75","          6.75","          6.70","          6.75","          6.75","          6.75","        320","                2159.00","         11","-","-"
"NORBTEAEXP","BE","05-Dec-2018","          6.75","          6.75","          6.75","          6.75","          6.75","          6.75","          6.75","        100","                 675.00","          3","-","-"
"NORBTEAEXP","BE","06-Dec-2018","          6.75","          6.75","          6.75","          6.75","          6.75","          6.75","          6.75","        324","                2187.00","          1","-","-"
"NORBTEAEXP","BE","10-Dec-2018","          6.75","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","       1382","                9259.40","          5","-","-"
"NORBTEAEXP","BE","12-Dec-2018","          6.70","          6.75","          6.75","          6.70","          6.70","          6.70","          6.74","        200","                1347.45","          2","-","-"
"NORBTEAEXP","BE","14-Dec-2018","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","        200","                1340.00","          2","-","-"
"NORBTEAEXP","BE","17-Dec-2018","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","          6.70","       1001","                6706.70","          3","-","-"
"NORBTEAEXP","BE","18-Dec-2018","          6.70","          6.75","          6.95","          6.40","          6.40","          6.40","          6.58","       3960","               26062.00","         14","-","-"
"NORBTEAEXP","BE","19-Dec-2018","          6.40","          6.10","          6.70","          6.10","          6.60","          6.60","          6.50","        350","                2275.00","          3","-","-"
"NORBTEAEXP","BE","28-Dec-2018","          6.60","          6.70","          6.70","          6.60","          6.65","          6.65","          6.66","       1600","               10655.00","         10","-","-"
"NORBTEAEXP","BE","31-Dec-2018","          6.65","          6.35","          6.35","          6.35","          6.35","          6.35","          6.35","        201","                1276.35","          3","-","-"
"NORBTEAEXP","BE","01-Jan-2019","          6.35","          6.10","          6.10","          6.05","          6.05","          6.05","          6.08","        400","                2430.00","          3","-","-"
"NORBTEAEXP","BE","02-Jan-2019","          6.05","          5.75","          5.75","          5.75","          5.75","          5.75","          5.75","        200","                1150.00","          1","-","-"
