"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NSIL","EQ","11-Sep-2018","       1254.60","       1222.05","       1300.05","       1210.00","       1260.00","       1263.10","       1251.43","        624","              780890.55","         68","        301","         48.24"
"NSIL","EQ","12-Sep-2018","       1263.10","       1268.00","       1278.95","       1250.05","       1275.00","       1272.50","       1272.59","        803","             1021888.30","        166","        719","         89.54"
"NSIL","EQ","14-Sep-2018","       1272.50","       1276.00","       1310.00","       1275.00","       1309.00","       1289.35","       1296.98","        341","              442271.30","         57","        291","         85.34"
"NSIL","EQ","17-Sep-2018","       1289.35","       1233.20","       1310.05","       1233.20","       1260.05","       1260.05","       1280.29","        177","              226610.95","         24","        165","         93.22"
"NSIL","EQ","18-Sep-2018","       1260.05","       1252.65","       1349.95","       1252.65","       1270.10","       1270.10","       1274.99","        128","              163199.20","         44","         56","         43.75"
"NSIL","EQ","19-Sep-2018","       1270.10","       1271.00","       1343.80","       1271.00","       1320.00","       1313.95","       1312.37","        413","              542007.45","         82","        331","         80.15"
"NSIL","EQ","21-Sep-2018","       1313.95","       1315.00","       1345.05","       1210.00","       1314.00","       1311.10","       1285.57","       1083","             1392271.45","        124","        772","         71.28"
"NSIL","EQ","24-Sep-2018","       1311.10","       1242.00","       1260.00","       1232.50","       1240.00","       1241.60","       1245.44","        952","             1185662.25","         21","        947","         99.47"
"NSIL","EQ","25-Sep-2018","       1241.60","       1288.00","       1288.00","       1221.65","       1228.00","       1232.00","       1250.08","         56","               70004.35","         27","         37","         66.07"
"NSIL","EQ","26-Sep-2018","       1232.00","       1245.00","       1270.00","       1237.00","       1245.00","       1243.65","       1250.22","        375","              468832.75","         36","        341","         90.93"
"NSIL","EQ","27-Sep-2018","       1243.65","       1222.00","       1260.00","       1222.00","       1260.00","       1260.00","       1227.51","        142","              174306.15","         18","        130","         91.55"
"NSIL","EQ","28-Sep-2018","       1260.00","       1216.50","       1217.25","       1026.60","       1100.00","       1099.45","       1132.37","      12479","            14130898.55","        227","      11852","         94.98"
"NSIL","EQ","01-Oct-2018","       1099.45","       1075.00","       1167.80","       1066.05","       1110.00","       1116.65","       1087.38","        355","              386018.80","         48","        294","         82.82"
"NSIL","EQ","03-Oct-2018","       1116.65","       1077.00","       1169.00","       1077.00","       1116.00","       1126.60","       1113.89","         25","               27847.15","         17","          9","         36.00"
"NSIL","EQ","04-Oct-2018","       1126.60","       1082.20","       1200.00","       1082.20","       1150.00","       1144.95","       1138.01","         67","               76246.70","         14","         53","         79.10"
"NSIL","EQ","05-Oct-2018","       1144.95","       1090.00","       1149.95","       1075.00","       1114.95","       1114.95","       1104.48","         71","               78417.80","         31","         44","         61.97"
"NSIL","EQ","08-Oct-2018","       1114.95","       1075.00","       1150.05","       1075.00","       1114.95","       1114.20","       1099.22","        202","              222043.40","         41","        167","         82.67"
"NSIL","EQ","09-Oct-2018","       1114.20","       1129.80","       1198.95","       1075.00","       1086.00","       1097.90","       1132.62","        976","             1105433.75","        189","        266","         27.25"
"NSIL","EQ","10-Oct-2018","       1097.90","       1110.30","       1129.90","       1077.10","       1115.00","       1116.30","       1108.81","        274","              303814.40","         45","        132","         48.18"
"NSIL","EQ","11-Oct-2018","       1116.30","       1075.00","       1120.00","       1070.00","       1090.25","       1092.35","       1097.93","        213","              233859.95","         39","        148","         69.48"
"NSIL","EQ","12-Oct-2018","       1092.35","       1119.00","       1280.00","       1105.00","       1125.00","       1133.05","       1132.96","        205","              232256.80","         45","        163","         79.51"
"NSIL","EQ","15-Oct-2018","       1133.05","       1180.00","       1180.00","       1125.00","       1165.00","       1158.00","       1159.75","        154","              178600.80","         53","        107","         69.48"
"NSIL","EQ","16-Oct-2018","       1158.00","       1158.00","       1184.90","        986.00","       1065.00","       1063.15","       1046.79","       8051","             8427675.45","        339","       6484","         80.54"
"NSIL","EQ","17-Oct-2018","       1063.15","       1069.85","       1120.00","       1000.00","       1050.00","       1047.10","       1039.24","       1332","             1384268.80","        175","       1022","         76.73"
"NSIL","EQ","19-Oct-2018","       1047.10","       1040.05","       1099.90","       1013.05","       1099.90","       1068.05","       1053.76","        359","              378298.05","         33","        337","         93.87"
"NSIL","EQ","22-Oct-2018","       1068.05","       1047.00","       1079.80","        983.80","       1068.05","       1014.10","       1015.05","       7079","             7185555.45","        167","       6604","         93.29"
"NSIL","EQ","23-Oct-2018","       1014.10","       1099.00","       1099.00","       1001.00","       1014.10","       1017.60","       1017.59","        479","              487426.40","         65","        363","         75.78"
"NSIL","EQ","24-Oct-2018","       1017.60","       1041.35","       1057.55","       1000.00","       1005.00","       1005.85","       1009.56","        311","              313973.25","         67","        234","         75.24"
"NSIL","EQ","25-Oct-2018","       1005.85","       1049.95","       1050.00","       1003.00","       1044.00","       1031.40","       1013.26","        238","              241155.25","         50","        184","         77.31"
"NSIL","EQ","26-Oct-2018","       1031.40","       1021.00","       1031.60","       1002.40","       1011.00","       1024.70","       1021.61","         79","               80706.85","         17","         60","         75.95"
"NSIL","EQ","29-Oct-2018","       1024.70","       1037.90","       1039.00","       1013.15","       1015.00","       1027.70","       1023.40","        165","              168861.30","         28","         45","         27.27"
"NSIL","EQ","30-Oct-2018","       1027.70","       1049.95","       1049.95","       1011.05","       1011.35","       1014.30","       1016.50","        116","              117914.30","         28","         84","         72.41"
"NSIL","EQ","31-Oct-2018","       1014.30","       1046.95","       1046.95","       1015.55","       1045.00","       1045.00","       1041.50","        114","              118731.15","         19","        104","         91.23"
"NSIL","EQ","01-Nov-2018","       1045.00","       1028.05","       1028.05","       1020.00","       1020.00","       1021.20","       1023.40","         40","               40936.00","         10","         29","         72.50"
"NSIL","EQ","02-Nov-2018","       1021.20","       1057.90","       1100.60","       1039.90","       1054.00","       1053.30","       1070.65","        404","              432540.60","         70","        278","         68.81"
"NSIL","EQ","05-Nov-2018","       1053.30","       1138.10","       1138.10","       1051.00","       1056.00","       1057.30","       1098.99","        103","              113195.80","         18","         66","         64.08"
"NSIL","EQ","06-Nov-2018","       1057.30","       1128.85","       1128.95","       1045.00","       1060.00","       1060.10","       1072.04","        232","              248712.85","         42","         80","         34.48"
"NSIL","EQ","07-Nov-2018","       1060.10","       1115.00","       1117.00","       1060.10","       1117.00","       1088.65","       1106.22","         18","               19912.00","          9","         14","         77.78"
"NSIL","EQ","09-Nov-2018","       1088.65","       1085.00","       1110.00","       1083.00","       1100.00","       1100.65","       1101.27","        468","              515394.00","         37","        465","         99.36"
"NSIL","EQ","12-Nov-2018","       1100.65","       1120.00","       1120.00","       1077.00","       1077.00","       1077.00","       1077.71","        146","              157345.05","         11","        145","         99.32"
"NSIL","EQ","13-Nov-2018","       1077.00","       1080.05","       1119.90","       1080.00","       1104.95","       1104.95","       1093.55","        101","              110448.10","         31","         85","         84.16"
"NSIL","EQ","14-Nov-2018","       1104.95","       1145.00","       1194.30","       1100.00","       1160.00","       1159.00","       1151.04","        613","              705588.65","         90","        515","         84.01"
"NSIL","EQ","15-Nov-2018","       1159.00","       1159.00","       1160.05","       1141.00","       1159.90","       1141.60","       1147.59","        114","              130825.40","         21","        105","         92.11"
"NSIL","EQ","16-Nov-2018","       1141.60","       1140.00","       1150.00","       1111.00","       1121.10","       1144.45","       1133.88","        302","              342431.25","         38","        283","         93.71"
"NSIL","EQ","19-Nov-2018","       1144.45","       1225.00","       1239.00","       1120.00","       1150.00","       1135.25","       1160.43","        205","              237887.55","         76","         86","         41.95"
"NSIL","EQ","20-Nov-2018","       1135.25","       1110.00","       1125.00","       1110.00","       1111.00","       1111.45","       1117.85","         75","               83839.00","         15","         73","         97.33"
"NSIL","EQ","21-Nov-2018","       1111.45","       1115.00","       1150.00","       1058.05","       1110.00","       1110.80","       1092.89","        242","              264478.45","         46","        188","         77.69"
"NSIL","EQ","22-Nov-2018","       1110.80","       1062.00","       1133.00","       1062.00","       1081.00","       1083.35","       1089.78","         43","               46860.65","         16","         17","         39.53"
"NSIL","EQ","26-Nov-2018","       1083.35","       1060.00","       1132.90","       1060.00","       1080.00","       1088.75","       1093.99","         79","               86425.25","         22","         50","         63.29"
"NSIL","EQ","27-Nov-2018","       1088.75","       1055.30","       1149.80","       1055.30","       1066.00","       1066.00","       1074.61","        225","              241787.10","         35","        189","         84.00"
"NSIL","EQ","28-Nov-2018","       1066.00","       1065.10","       1075.25","       1053.05","       1053.65","       1062.15","       1063.55","         30","               31906.55","         22","         11","         36.67"
"NSIL","EQ","29-Nov-2018","       1062.15","       1051.00","       1110.00","       1051.00","       1085.00","       1091.85","       1084.85","        176","              190933.75","         23","         83","         47.16"
"NSIL","EQ","30-Nov-2018","       1091.85","       1081.00","       1114.90","       1056.00","       1114.90","       1098.90","       1091.02","        533","              581515.90","        118","        434","         81.43"
"NSIL","EQ","03-Dec-2018","       1098.90","       1140.00","       1150.00","       1109.05","       1142.00","       1146.35","       1139.72","        584","              665596.65","        110","        457","         78.25"
"NSIL","EQ","04-Dec-2018","       1146.35","       1140.00","       1180.00","       1140.00","       1180.00","       1173.60","       1160.24","        572","              663656.70","        104","        440","         76.92"
"NSIL","EQ","05-Dec-2018","       1173.60","       1160.00","       1180.00","       1118.05","       1118.05","       1118.05","       1158.88","         56","               64897.05","         15","         55","         98.21"
"NSIL","EQ","06-Dec-2018","       1118.05","       1075.55","       1147.00","       1070.05","       1146.90","       1146.60","       1118.75","         38","               42512.55","         20","         28","         73.68"
"NSIL","EQ","07-Dec-2018","       1146.60","       1081.00","       1145.00","       1060.00","       1099.90","       1084.50","       1086.00","       1002","             1088171.90","         67","        509","         50.80"
"NSIL","EQ","10-Dec-2018","       1084.50","       1040.15","       1077.15","       1040.15","       1055.00","       1055.00","       1052.80","         61","               64221.10","         18","         56","         91.80"
"NSIL","EQ","11-Dec-2018","       1055.00","       1026.00","       1094.00","       1026.00","       1093.95","       1093.95","       1073.81","        458","              491806.70","         33","        189","         41.27"
"NSIL","EQ","12-Dec-2018","       1093.95","       1069.00","       1091.00","       1069.00","       1074.05","       1076.80","       1083.23","         80","               86658.35","         15","         77","         96.25"
"NSIL","EQ","13-Dec-2018","       1076.80","       1041.00","       1110.00","       1041.00","       1089.00","       1089.00","       1085.95","         29","               31492.60","         11","         20","         68.97"
"NSIL","EQ","14-Dec-2018","       1089.00","       1060.00","       1110.00","       1044.00","       1071.00","       1073.65","       1071.48","         77","               82504.05","         17","         66","         85.71"
"NSIL","EQ","17-Dec-2018","       1073.65","       1071.00","       1135.00","       1051.25","       1082.00","       1101.45","       1095.85","        658","              721067.80","         42","        530","         80.55"
"NSIL","EQ","18-Dec-2018","       1101.45","       1130.00","       1139.90","       1080.00","       1139.65","       1136.75","       1114.75","        971","             1082426.75","         52","        555","         57.16"
"NSIL","EQ","19-Dec-2018","       1136.75","       1100.55","       1163.95","       1085.15","       1110.00","       1120.35","       1111.86","        359","              399158.50","         41","        170","         47.35"
"NSIL","EQ","20-Dec-2018","       1120.35","       1149.00","       1188.00","       1090.55","       1107.00","       1124.40","       1120.43","        551","              617358.70","         46","        470","         85.30"
"NSIL","EQ","21-Dec-2018","       1124.40","       1082.55","       1153.85","       1070.10","       1110.55","       1110.95","       1119.60","        945","             1058021.40","         47","        612","         64.76"
"NSIL","EQ","26-Dec-2018","       1110.95","       1057.05","       1187.00","       1057.00","       1145.00","       1128.40","       1111.39","        494","              549028.25","         51","        278","         56.28"
"NSIL","EQ","27-Dec-2018","       1128.40","       1101.05","       1120.05","       1101.05","       1120.00","       1120.00","       1117.08","         13","               14522.10","          6","         11","         84.62"
"NSIL","EQ","28-Dec-2018","       1120.00","       1090.15","       1125.05","       1090.10","       1124.00","       1120.05","       1110.37","         68","               75505.10","         23","         60","         88.24"
"NSIL","EQ","31-Dec-2018","       1120.05","       1105.55","       1186.95","       1101.05","       1186.95","       1169.40","       1169.03","        374","              437217.40","         38","        365","         97.59"
