"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"OFSS","EQ","11-Sep-2018","       4154.85","       4163.75","       4273.70","       4132.05","       4201.00","       4192.55","       4201.58","      63114","           265178711.45","       9628","      33073","         52.40"
"OFSS","EQ","12-Sep-2018","       4192.55","       4190.00","       4291.50","       4185.00","       4235.50","       4267.55","       4258.18","      59642","           253966290.65","       8590","      30697","         51.47"
"OFSS","EQ","14-Sep-2018","       4267.55","       4259.90","       4340.00","       4228.05","       4259.00","       4252.85","       4276.41","      37714","           161280544.25","       5823","      11882","         31.51"
"OFSS","EQ","17-Sep-2018","       4252.85","       4249.95","       4658.40","       4220.00","       4473.30","       4489.70","       4442.97","    1036259","          4604069755.50","      40443","     727291","         70.18"
"OFSS","EQ","18-Sep-2018","       4489.70","       4514.95","       4531.95","       4230.15","       4267.00","       4260.15","       4442.16","     817369","          3630887310.65","      21890","     673421","         82.39"
"OFSS","EQ","19-Sep-2018","       4260.15","       4280.00","       4385.00","       4075.85","       4125.00","       4106.50","       4281.76","     769196","          3293515358.95","      16731","     653528","         84.96"
"OFSS","EQ","21-Sep-2018","       4106.50","       4116.00","       4187.00","       3959.00","       4070.00","       4011.90","       4076.47","     172726","           704112994.50","      20451","      73904","         42.79"
"OFSS","EQ","24-Sep-2018","       4011.90","       4040.60","       4154.80","       3980.00","       4081.75","       4072.90","       4059.41","      63858","           259225772.20","       8523","      22004","         34.46"
"OFSS","EQ","25-Sep-2018","       4072.90","       4061.00","       4123.90","       3989.40","       4103.95","       4101.95","       4075.09","      70330","           286600899.85","      13126","      31402","         44.65"
"OFSS","EQ","26-Sep-2018","       4101.95","       4124.00","       4140.60","       3900.30","       3910.15","       3960.65","       4003.29","      54707","           219007759.90","       8230","      24202","         44.24"
"OFSS","EQ","27-Sep-2018","       3960.65","       3984.00","       4032.60","       3937.50","       4000.55","       3983.90","       3984.11","      49967","           199074034.80","       8835","      14665","         29.35"
"OFSS","EQ","28-Sep-2018","       3983.90","       3984.00","       4043.80","       3900.00","       3930.00","       3916.45","       3967.71","      62165","           246652990.10","       9810","      26510","         42.64"
"OFSS","EQ","01-Oct-2018","       3916.45","       3925.00","       4042.35","       3901.00","       4000.00","       4007.35","       4001.73","      75294","           301306518.10","      11952","      45082","         59.87"
"OFSS","EQ","03-Oct-2018","       4007.35","       3990.00","       4118.00","       3971.10","       4015.00","       4043.95","       4039.22","      28502","           115125916.35","       7085","      10598","         37.18"
"OFSS","EQ","04-Oct-2018","       4043.95","       3980.10","       4026.65","       3949.45","       4002.65","       3967.40","       3978.00","      31487","           125255197.25","       8104","      14819","         47.06"
"OFSS","EQ","05-Oct-2018","       3967.40","       3990.00","       4083.05","       3946.00","       4012.05","       4019.90","       4027.23","     115225","           464037502.45","       9349","      89061","         77.29"
"OFSS","EQ","08-Oct-2018","       4019.90","       4044.60","       4044.60","       3858.05","       3874.00","       3897.45","       3927.44","      40603","           159465718.40","       5109","      15408","         37.95"
