"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"OMAXE","EQ","11-Sep-2018","        220.25","        220.50","        221.90","        219.65","        220.45","        220.50","        220.70","     317919","            70165894.45","       3998","      46684","         14.68"
"OMAXE","EQ","12-Sep-2018","        220.50","        220.80","        221.20","        218.70","        219.45","        219.45","        219.93","      44973","             9891122.90","       1814","      13842","         30.78"
"OMAXE","EQ","14-Sep-2018","        219.45","        219.55","        222.40","        219.00","        220.50","        220.55","        220.77","     352247","            77766921.65","       4220","      33290","          9.45"
"OMAXE","EQ","17-Sep-2018","        220.55","        220.55","        221.10","        218.70","        219.60","        219.25","        219.85","     435693","            95785406.65","       5165","      70258","         16.13"
"OMAXE","EQ","18-Sep-2018","        219.25","        219.50","        220.90","        218.15","        218.45","        218.90","        219.32","     155954","            34204340.40","       2542","      23946","         15.35"
"OMAXE","EQ","19-Sep-2018","        218.90","        219.50","        220.25","        217.35","        219.20","        218.95","        218.83","     108002","            23633808.10","       1603","      59492","         55.08"
"OMAXE","EQ","21-Sep-2018","        218.95","        219.00","        221.00","        217.60","        218.30","        218.45","        218.84","     355668","            77833993.90","       3721","     155442","         43.70"
"OMAXE","EQ","24-Sep-2018","        218.45","        218.20","        218.85","        216.80","        217.35","        217.35","        217.84","     559248","           121829157.85","       3287","     269251","         48.15"
"OMAXE","EQ","25-Sep-2018","        217.35","        217.50","        222.10","        216.25","        220.95","        216.65","        217.58","     354264","            77081712.15","       2741","     152619","         43.08"
"OMAXE","EQ","26-Sep-2018","        216.65","        217.00","        219.30","        216.35","        216.70","        216.60","        217.51","     437028","            95056315.45","       4381","     109312","         25.01"
"OMAXE","EQ","27-Sep-2018","        216.60","        216.80","        218.10","        215.15","        216.30","        216.55","        216.96","     434247","            94213973.50","       3879","      85108","         19.60"
"OMAXE","EQ","28-Sep-2018","        216.55","        216.80","        220.75","        213.90","        217.25","        217.15","        216.64","     536112","           116144669.95","       3249","     251049","         46.83"
"OMAXE","EQ","01-Oct-2018","        217.15","        217.35","        218.55","        215.20","        218.55","        217.20","        216.35","     397957","            86097659.80","       2769","      65379","         16.43"
"OMAXE","EQ","03-Oct-2018","        217.20","        217.20","        218.45","        215.50","        216.00","        216.10","        216.69","     459438","            99557006.10","       5843","      84993","         18.50"
"OMAXE","EQ","04-Oct-2018","        216.10","        216.00","        217.30","        214.65","        215.60","        215.70","        215.80","     114485","            24705780.40","       1754","      39410","         34.42"
"OMAXE","EQ","05-Oct-2018","        215.70","        215.70","        216.40","        214.45","        214.80","        215.10","        215.34","      70526","            15186950.00","       1882","      37963","         53.83"
"OMAXE","EQ","08-Oct-2018","        215.10","        215.10","        217.00","        214.90","        215.45","        215.90","        215.78","     257589","            55581625.40","       2067","     111479","         43.28"
"OMAXE","EQ","09-Oct-2018","        215.90","        216.35","        218.90","        216.00","        216.65","        216.15","        216.98","     356742","            77406781.55","       3742","      57072","         16.00"
"OMAXE","EQ","10-Oct-2018","        216.15","        216.20","        219.10","        215.25","        215.50","        216.25","        217.06","     437076","            94872473.45","       5116","      65427","         14.97"
"OMAXE","EQ","11-Oct-2018","        216.25","        215.70","        216.95","        214.75","        215.50","        215.30","        215.71","     410704","            88591281.80","       3989","     101549","         24.73"
"OMAXE","EQ","12-Oct-2018","        215.30","        215.00","        218.05","        213.35","        215.00","        215.45","        215.54","     219439","            47297023.65","       3184","      57977","         26.42"
"OMAXE","EQ","15-Oct-2018","        215.45","        215.50","        217.15","        214.95","        215.75","        215.95","        215.95","     377937","            81614666.05","       5037","      45361","         12.00"
"OMAXE","EQ","16-Oct-2018","        215.95","        216.35","        217.35","        214.80","        215.60","        215.25","        215.77","     167217","            36080596.85","       1718","      94664","         56.61"
"OMAXE","EQ","17-Oct-2018","        215.25","        215.60","        216.75","        214.50","        215.00","        215.15","        215.56","     391768","            84449043.00","       5001","      82654","         21.10"
"OMAXE","EQ","19-Oct-2018","        215.15","        215.10","        215.85","        214.35","        215.00","        214.70","        214.95","     275637","            59247282.90","       4659","      26582","          9.64"
"OMAXE","EQ","22-Oct-2018","        214.70","        215.85","        215.85","        214.40","        214.95","        214.85","        215.05","      58222","            12520750.95","       1165","       8350","         14.34"
"OMAXE","EQ","23-Oct-2018","        214.85","        216.65","        216.65","        214.00","        214.50","        214.75","        214.92","     254182","            54628489.70","       2621","      59244","         23.31"
"OMAXE","EQ","24-Oct-2018","        214.75","        215.90","        216.50","        214.00","        216.45","        214.85","        214.77","     318532","            68411876.70","       3121","      54729","         17.18"
"OMAXE","EQ","25-Oct-2018","        214.85","        215.05","        215.45","        212.80","        213.20","        213.30","        213.78","     284428","            60805037.50","       2457","      36035","         12.67"
"OMAXE","EQ","26-Oct-2018","        213.30","        213.70","        214.15","        212.25","        212.50","        212.85","        213.37","     217271","            46359124.20","       2793","      34752","         15.99"
"OMAXE","EQ","29-Oct-2018","        212.85","        213.20","        214.10","        212.00","        214.10","        212.60","        212.73","     292976","            62324503.30","       4782","      56702","         19.35"
"OMAXE","EQ","30-Oct-2018","        212.60","        213.40","        215.00","        211.60","        215.00","        212.50","        212.65","     377827","            80346350.65","       4908","      45979","         12.17"
"OMAXE","EQ","31-Oct-2018","        212.50","        213.50","        215.00","        212.05","        215.00","        212.85","        212.70","     304067","            64674014.20","       4531","      56280","         18.51"
"OMAXE","EQ","01-Nov-2018","        212.85","        213.45","        214.60","        211.90","        212.65","        213.45","        212.84","     374227","            79650465.35","       4231","     101444","         27.11"
"OMAXE","EQ","02-Nov-2018","        213.45","        213.50","        214.25","        212.55","        213.65","        213.35","        213.42","     355133","            75792169.00","       3572","      71813","         20.22"
"OMAXE","EQ","05-Nov-2018","        213.35","        213.50","        213.55","        211.45","        212.35","        212.40","        212.55","     347367","            73833682.70","       3803","      32534","          9.37"
