"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ORIENTELEC","EQ","11-Sep-2018","        161.20","        162.80","        163.50","        158.35","        159.40","        159.90","        160.63","      94218","            15134607.45","       1841","      59079","         62.70"
"ORIENTELEC","EQ","12-Sep-2018","        159.90","        159.35","        161.00","        155.00","        155.00","        155.75","        157.46","      91946","            14478247.45","       1836","      65765","         71.53"
"ORIENTELEC","EQ","14-Sep-2018","        155.75","        156.75","        164.30","        156.75","        159.00","        160.10","        160.82","      94975","            15273617.05","       1410","      60596","         63.80"
"ORIENTELEC","EQ","17-Sep-2018","        160.10","        157.10","        160.95","        155.05","        159.75","        158.60","        156.93","     236513","            37116461.00","       2327","     192262","         81.29"
"ORIENTELEC","EQ","18-Sep-2018","        158.60","        159.50","        159.50","        150.10","        154.05","        154.00","        153.80","    1265767","           194680397.80","       4656","    1119710","         88.46"
"ORIENTELEC","EQ","19-Sep-2018","        154.00","        154.05","        157.50","        154.05","        155.80","        155.25","        155.17","     214384","            33265821.65","       1213","     184689","         86.15"
"ORIENTELEC","EQ","21-Sep-2018","        155.25","        155.50","        156.90","        134.65","        150.00","        149.65","        147.97","     257791","            38146525.80","       4151","     143734","         55.76"
"ORIENTELEC","EQ","24-Sep-2018","        149.65","        155.95","        155.95","        138.05","        139.45","        139.45","        143.31","     190025","            27232500.95","       2636","     123357","         64.92"
"ORIENTELEC","EQ","25-Sep-2018","        139.45","        136.20","        146.85","        135.80","        140.15","        139.35","        140.39","      97684","            13714118.65","       2061","      49197","         50.36"
"ORIENTELEC","EQ","26-Sep-2018","        139.35","        141.20","        145.95","        136.20","        136.80","        137.50","        139.66","      79389","            11087553.00","       1432","      41965","         52.86"
"ORIENTELEC","EQ","27-Sep-2018","        137.50","        137.20","        138.85","        133.35","        134.85","        135.00","        135.93","     145519","            19780889.40","       1235","     116377","         79.97"
"ORIENTELEC","EQ","28-Sep-2018","        135.00","        133.55","        135.55","        125.85","        128.05","        128.90","        132.51","     112800","            14946887.50","       1659","      77840","         69.01"
"ORIENTELEC","EQ","01-Oct-2018","        128.90","        129.00","        132.10","        120.05","        123.05","        122.20","        122.54","     743032","            91054676.45","       4533","     646270","         86.98"
"ORIENTELEC","EQ","03-Oct-2018","        122.20","        122.30","        129.70","        121.00","        125.00","        124.65","        125.59","     121185","            15219897.90","       1980","      56525","         46.64"
"ORIENTELEC","EQ","04-Oct-2018","        124.65","        124.00","        125.00","        120.05","        122.50","        122.70","        122.49","      69792","             8548748.85","        926","      41478","         59.43"
"ORIENTELEC","EQ","05-Oct-2018","        122.70","        121.25","        126.85","        120.20","        126.30","        124.75","        124.08","     239906","            29767328.90","       1217","     127739","         53.25"
"ORIENTELEC","EQ","08-Oct-2018","        124.75","        122.30","        126.10","        112.40","        117.00","        117.35","        117.73","     182125","            21441956.20","       2196","      93955","         51.59"
"ORIENTELEC","EQ","09-Oct-2018","        117.35","        118.30","        120.75","        113.10","        117.70","        117.65","        116.63","      72096","             8408652.10","       1074","      38735","         53.73"
