"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PAGEIND","EQ","11-Sep-2018","      32516.50","      32598.00","      34396.60","      32301.05","      33402.00","      33517.80","      33591.05","      61484","          2065312390.40","      26048","      23148","         37.65"
"PAGEIND","EQ","12-Sep-2018","      33517.80","      33793.90","      34355.85","      32800.50","      33800.00","      33935.85","      33561.74","      36645","          1229869959.90","      18891","       9536","         26.02"
"PAGEIND","EQ","14-Sep-2018","      33935.85","      34001.15","      34467.95","      33366.45","      33800.00","      33864.10","      33819.43","      37686","          1274519137.40","      16060","      17349","         46.04"
"PAGEIND","EQ","17-Sep-2018","      33864.10","      33705.50","      33720.05","      32840.00","      33044.95","      32982.65","      33224.64","      20947","           695956574.95","       8373","       7822","         37.34"
"PAGEIND","EQ","18-Sep-2018","      32982.65","      33200.00","      33700.00","      32615.00","      32847.95","      32769.55","      33327.12","      25907","           863405747.60","      11054","       9308","         35.93"
"PAGEIND","EQ","19-Sep-2018","      32769.55","      32998.00","      33389.00","      32150.00","      32425.00","      32326.00","      32800.06","      20979","           688112550.60","       7646","       5738","         27.35"
"PAGEIND","EQ","21-Sep-2018","      32326.00","      32850.00","      34196.55","      29456.05","      33650.00","      33604.90","      32482.73","      53356","          1733148396.40","      18054","      20253","         37.96"
"PAGEIND","EQ","24-Sep-2018","      33604.90","      33495.00","      33495.00","      32079.85","      32650.00","      32847.75","      32700.18","      25071","           819826268.25","      10578","       8556","         34.13"
"PAGEIND","EQ","25-Sep-2018","      32847.75","      32869.00","      32980.00","      31885.40","      32600.00","      32653.75","      32442.33","      24298","           788283678.30","      12273","       8440","         34.74"
"PAGEIND","EQ","26-Sep-2018","      32653.75","      32670.50","      33263.55","      32252.00","      32696.90","      32811.90","      32777.45","      20640","           676526617.30","       9151","       5918","         28.67"
"PAGEIND","EQ","27-Sep-2018","      32811.90","      32984.00","      33343.05","      32400.00","      33015.00","      33064.55","      32815.44","      22138","           726468296.55","      10959","       9281","         41.92"
"PAGEIND","EQ","28-Sep-2018","      33064.55","      33373.00","      33500.00","      31500.00","      33499.95","      32885.10","      32604.08","      27323","           890841272.75","      14014","      10864","         39.76"
"PAGEIND","EQ","01-Oct-2018","      32885.10","      32915.00","      33550.00","      31952.30","      33051.50","      33332.85","      33043.53","      34839","          1151203654.65","      15204","      18166","         52.14"
"PAGEIND","EQ","03-Oct-2018","      33332.85","      33201.00","      33682.95","      32262.05","      32405.00","      32483.10","      32947.90","      38784","          1277851320.10","      14555","      21577","         55.63"
"PAGEIND","EQ","04-Oct-2018","      32483.10","      32100.00","      32100.15","      30087.65","      30855.00","      30638.10","      30795.05","      41870","          1289388874.25","      20463","      14002","         33.44"
