"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PEARLPOLY","BE","11-Sep-2018","         15.55","         15.60","         16.30","         14.80","         14.95","         14.95","         15.40","       1321","               20348.95","         10","-","-"
"PEARLPOLY","BE","12-Sep-2018","         14.95","         15.65","         15.65","         14.25","         14.35","         14.35","         14.69","       4148","               60917.75","         21","-","-"
"PEARLPOLY","BE","14-Sep-2018","         14.35","         13.70","         15.05","         13.70","         15.00","         15.00","         14.92","        647","                9650.25","         12","-","-"
"PEARLPOLY","BE","17-Sep-2018","         15.00","         15.00","         15.75","         15.00","         15.70","         15.70","         15.66","       1063","               16646.05","         14","-","-"
"PEARLPOLY","BE","18-Sep-2018","         15.70","         15.70","         16.45","         14.95","         15.75","         15.75","         15.41","       1813","               27939.50","         29","-","-"
"PEARLPOLY","BE","19-Sep-2018","         15.75","         15.20","         15.20","         15.00","         15.00","         15.00","         15.10","       2000","               30204.00","         22","-","-"
"PEARLPOLY","BE","21-Sep-2018","         15.00","         15.00","         15.00","         14.95","         14.95","         14.95","         14.99","        258","                3867.25","          5","-","-"
"PEARLPOLY","BE","24-Sep-2018","         14.95","         14.75","         14.75","         14.25","         14.25","         14.25","         14.65","        375","                5493.75","          4","-","-"
"PEARLPOLY","BE","25-Sep-2018","         14.25","         13.55","         13.55","         13.55","         13.55","         13.55","         13.55","       2560","               34688.00","         15","-","-"
"PEARLPOLY","BE","26-Sep-2018","         13.55","         13.10","         14.20","         12.90","         13.85","         13.20","         13.17","       4472","               58906.65","         31","-","-"
"PEARLPOLY","BE","27-Sep-2018","         13.20","         13.05","         13.10","         13.00","         13.00","         13.00","         13.03","       1114","               14520.90","          9","-","-"
"PEARLPOLY","BE","28-Sep-2018","         13.00","         13.50","         13.65","         12.35","         12.35","         12.35","         12.78","       2987","               38177.55","         21","-","-"
