"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PENIND","EQ","11-Sep-2018","         45.45","         45.30","         46.75","         43.20","         43.55","         43.70","         45.31","     368138","            16680852.15","       2338","      96893","         26.32"
"PENIND","EQ","12-Sep-2018","         43.70","         43.70","         45.35","         43.00","         44.75","         44.70","         44.21","     478586","            21158833.40","       3518","     200461","         41.89"
"PENIND","EQ","14-Sep-2018","         44.70","         45.30","         47.30","         43.65","         44.20","         44.00","         44.70","     511851","            22878466.05","       2664","     119694","         23.38"
"PENIND","EQ","17-Sep-2018","         44.00","         44.25","         44.65","         42.10","         43.70","         43.60","         43.63","     249304","            10876552.85","       3362","     116702","         46.81"
"PENIND","EQ","18-Sep-2018","         43.60","         44.00","         44.80","         42.80","         43.15","         43.05","         43.56","     210376","             9163667.90","       1112","     129491","         61.55"
"PENIND","EQ","19-Sep-2018","         43.05","         43.30","         45.30","         42.80","         43.60","         43.55","         44.05","     371517","            16365407.35","       2561","     155406","         41.83"
"PENIND","EQ","21-Sep-2018","         43.55","         44.00","         44.35","         39.20","         41.00","         41.00","         41.61","     427343","            17782315.60","       1834","     265256","         62.07"
"PENIND","EQ","24-Sep-2018","         41.00","         41.70","         42.40","         40.00","         41.25","         41.45","         41.05","     426278","            17500197.15","       1990","     239829","         56.26"
"PENIND","EQ","25-Sep-2018","         41.45","         41.20","         43.80","         40.40","         42.80","         42.20","         41.53","     370868","            15403264.10","       1803","     169428","         45.68"
"PENIND","EQ","26-Sep-2018","         42.20","         42.55","         42.55","         40.70","         40.85","         40.85","         41.39","     308929","            12785757.05","        778","     262245","         84.89"
"PENIND","EQ","27-Sep-2018","         40.85","         41.20","         41.65","         39.70","         41.30","         41.05","         40.80","     364283","            14862593.85","       2033","     159134","         43.68"
"PENIND","EQ","28-Sep-2018","         41.05","         41.30","         41.30","         38.05","         40.80","         39.85","         39.91","     262257","            10467588.95","       1325","     169938","         64.80"
"PENIND","EQ","01-Oct-2018","         39.85","         40.00","         40.00","         36.15","         37.70","         37.65","         37.58","     311646","            11711718.50","       1679","     195157","         62.62"
"PENIND","EQ","03-Oct-2018","         37.65","         37.65","         38.90","         37.00","         37.65","         37.80","         38.19","     139617","             5331683.70","        974","      82351","         58.98"
"PENIND","EQ","04-Oct-2018","         37.80","         37.60","         38.95","         36.85","         38.35","         38.45","         37.76","     123487","             4662857.30","        753","      75141","         60.85"
"PENIND","EQ","05-Oct-2018","         38.45","         38.00","         38.65","         36.90","         36.90","         37.30","         37.86","     148513","             5623299.20","        713","     100917","         67.95"
"PENIND","EQ","08-Oct-2018","         37.30","         37.50","         37.50","         36.00","         36.20","         36.20","         36.55","     164375","             6008156.65","        869","      92546","         56.30"
"PENIND","EQ","09-Oct-2018","         36.20","         36.25","         36.85","         35.15","         35.85","         36.15","         36.03","     121523","             4378978.25","        693","      66183","         54.46"
"PENIND","EQ","10-Oct-2018","         36.15","         36.45","         37.80","         36.20","         37.30","         37.30","         37.15","      80143","             2977625.70","        545","      40392","         50.40"
"PENIND","EQ","11-Oct-2018","         37.30","         36.80","         37.80","         35.80","         37.80","         37.40","         36.77","     118550","             4358647.35","        965","      64988","         54.82"
"PENIND","EQ","12-Oct-2018","         37.40","         37.80","         38.70","         37.65","         37.75","         38.00","         38.15","     132577","             5057276.95","        829","      54027","         40.75"
"PENIND","EQ","15-Oct-2018","         38.00","         38.20","         39.50","         38.15","         38.85","         38.60","         38.74","      66001","             2556558.45","        794","      36602","         55.46"
"PENIND","EQ","16-Oct-2018","         38.60","         38.95","         40.45","         38.15","         38.55","         38.55","         39.35","     238228","             9374982.50","       1496","      62387","         26.19"
"PENIND","EQ","17-Oct-2018","         38.55","         39.00","         39.30","         37.80","         38.00","         38.15","         38.61","      68006","             2625595.95","        634","      42335","         62.25"
"PENIND","EQ","19-Oct-2018","         38.15","         37.95","         39.50","         36.85","         38.90","         39.05","         38.27","     130469","             4993390.30","       2531","      76010","         58.26"
"PENIND","EQ","22-Oct-2018","         39.05","         39.05","         39.25","         37.20","         38.65","         38.80","         38.73","     123059","             4766002.60","       2188","      72801","         59.16"
"PENIND","EQ","23-Oct-2018","         38.80","         38.25","         38.75","         37.65","         37.80","         37.95","         38.45","     149402","             5743811.70","       2417","      97018","         64.94"
"PENIND","EQ","24-Oct-2018","         37.95","         38.15","         38.50","         37.35","         37.70","         37.80","         37.88","      65293","             2473501.05","        592","      35273","         54.02"
"PENIND","EQ","25-Oct-2018","         37.80","         37.75","         38.80","         36.90","         38.25","         37.40","         37.33","     127765","             4770085.10","       3006","      80400","         62.93"
"PENIND","EQ","26-Oct-2018","         37.40","         37.85","         38.00","         36.80","         37.40","         37.05","         37.29","      58114","             2167284.10","        534","      34313","         59.04"
"PENIND","EQ","29-Oct-2018","         37.05","         37.30","         37.80","         36.70","         37.40","         37.35","         37.25","     102532","             3819350.75","       1015","      64433","         62.84"
"PENIND","EQ","30-Oct-2018","         37.35","         37.35","         37.75","         36.80","         37.10","         37.05","         37.23","     174014","             6477729.15","       1378","     119186","         68.49"
"PENIND","EQ","31-Oct-2018","         37.05","         37.15","         37.95","         36.80","         37.65","         37.65","         37.43","      95527","             3575763.10","        996","      49587","         51.91"
"PENIND","EQ","01-Nov-2018","         37.65","         38.05","         38.25","         37.55","         37.60","         37.75","         37.81","      88634","             3351547.10","        588","      64598","         72.88"
"PENIND","EQ","02-Nov-2018","         37.75","         38.05","         39.20","         38.05","         38.35","         38.35","         38.51","     132122","             5088197.75","       1442","      86106","         65.17"
"PENIND","EQ","05-Nov-2018","         38.35","         39.15","         41.70","         38.35","         41.60","         41.10","         40.41","     306274","            12376058.65","       3286","     165966","         54.19"
"PENIND","EQ","06-Nov-2018","         41.10","         42.00","         42.35","         40.55","         42.00","         41.90","         41.52","     150701","             6257386.55","        988","      72833","         48.33"
"PENIND","EQ","07-Nov-2018","         41.90","         42.45","         43.00","         41.40","         42.60","         42.30","         42.22","      39198","             1655102.50","        322","      31868","         81.30"
"PENIND","EQ","09-Nov-2018","         42.30","         43.00","         43.30","         41.60","         42.25","         42.30","         42.30","      98849","             4181396.30","       1517","      61601","         62.32"
"PENIND","EQ","12-Nov-2018","         42.30","         42.85","         43.20","         42.00","         42.30","         42.30","         42.84","     144048","             6170926.90","       1776","     110658","         76.82"
"PENIND","EQ","13-Nov-2018","         42.30","         41.70","         42.45","         41.40","         41.80","         42.00","         41.89","     107605","             4507142.95","        784","      68636","         63.79"
"PENIND","EQ","14-Nov-2018","         42.00","         41.10","         41.90","         39.75","         40.25","         40.10","         40.41","     187856","             7590518.60","        984","     117973","         62.80"
"PENIND","EQ","15-Nov-2018","         40.10","         40.00","         40.30","         38.40","         38.75","         38.65","         39.14","      94156","             3685256.15","        593","      66855","         71.00"
"PENIND","EQ","16-Nov-2018","         38.65","         39.00","         39.00","         37.70","         37.95","         37.95","         38.29","     116030","             4442818.85","       1378","      75813","         65.34"
"PENIND","EQ","19-Nov-2018","         37.95","         38.50","         38.50","         35.10","         37.30","         37.40","         37.26","     176402","             6572272.95","       1822","     102384","         58.04"
