"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PGHH","EQ","11-Sep-2018","       9972.00","       9973.00","      10040.00","       9960.00","      10006.05","      10004.35","      10006.88","       1296","            12968911.55","        670","        740","         57.10"
"PGHH","EQ","12-Sep-2018","      10004.35","       9980.00","      10215.00","       9960.05","      10099.00","      10153.70","      10103.95","       2076","            20975801.60","        954","       1081","         52.07"
"PGHH","EQ","14-Sep-2018","      10153.70","      10153.70","      10299.85","      10000.10","      10100.00","      10060.50","      10153.98","       3034","            30807174.30","       1210","       1697","         55.93"
"PGHH","EQ","17-Sep-2018","      10060.50","      10112.00","      10112.00","       9820.00","       9833.50","       9893.50","       9911.91","       7200","            71365749.60","       2772","       5027","         69.82"
"PGHH","EQ","18-Sep-2018","       9893.50","       9926.70","       9926.70","       9770.00","       9849.50","       9837.05","       9845.41","       3609","            35532091.80","       1451","       2058","         57.02"
"PGHH","EQ","19-Sep-2018","       9837.05","       9855.05","       9995.00","       9700.00","       9738.40","       9796.55","       9873.74","       6905","            68178147.20","       1163","       5762","         83.45"
"PGHH","EQ","21-Sep-2018","       9796.55","       9843.70","       9995.00","       9577.00","       9694.00","       9652.05","       9677.66","       5693","            55094925.75","       2091","       3507","         61.60"
"PGHH","EQ","24-Sep-2018","       9652.05","       9672.00","       9870.15","       9514.00","       9662.00","       9724.75","       9707.33","       5474","            53137899.75","       1797","       2830","         51.70"
"PGHH","EQ","25-Sep-2018","       9724.75","       9724.95","       9860.15","       9649.95","       9723.95","       9673.75","       9696.62","       9039","            87647743.05","       1579","       8107","         89.69"
"PGHH","EQ","26-Sep-2018","       9673.75","       9675.10","       9738.40","       9500.00","       9500.00","       9524.75","       9577.51","       8096","            77539533.65","       1005","       6939","         85.71"
"PGHH","EQ","27-Sep-2018","       9524.75","       9599.00","       9600.00","       9350.00","       9450.00","       9403.40","       9398.40","       8383","            78786804.10","       3953","       6434","         76.75"
"PGHH","EQ","28-Sep-2018","       9403.40","       9455.00","       9888.00","       9300.00","       9692.25","       9719.50","       9438.17","      32632","           307986510.15","       2295","      30109","         92.27"
"PGHH","EQ","01-Oct-2018","       9719.50","       9550.00","       9792.95","       9463.20","       9635.15","       9612.40","       9583.75","       2682","            25703622.05","        797","       1759","         65.59"
"PGHH","EQ","03-Oct-2018","       9612.40","       9612.00","       9644.50","       9401.00","       9480.00","       9459.55","       9485.30","       4027","            38197306.55","        956","       3114","         77.33"
"PGHH","EQ","04-Oct-2018","       9459.55","       9499.00","       9499.00","       9338.00","       9351.00","       9364.55","       9371.61","       7953","            74532388.10","        919","       6615","         83.18"
"PGHH","EQ","05-Oct-2018","       9364.55","       9425.00","       9425.00","       9201.00","       9349.00","       9347.70","       9333.61","       1934","            18051210.40","        890","        661","         34.18"
