"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PNB","EQ","11-Sep-2018","         82.70","         83.80","         84.50","         81.40","         81.60","         81.70","         83.28","   27909748","          2324184294.60","      61634","    3616098","         12.96"
"PNB","EQ","12-Sep-2018","         81.70","         81.80","         82.35","         79.20","         81.00","         81.15","         80.70","   35789023","          2888196060.40","      88777","    6213802","         17.36"
"PNB","EQ","14-Sep-2018","         81.15","         82.70","         83.30","         82.05","         82.90","         82.80","         82.60","   20505103","          1693660137.20","      50441","    2667048","         13.01"
"PNB","EQ","17-Sep-2018","         82.80","         82.40","         84.05","         81.00","         82.90","         83.00","         82.57","   26030699","          2149243992.50","      66176","    2868065","         11.02"
"PNB","EQ","18-Sep-2018","         83.00","         82.20","         82.60","         78.60","         79.35","         79.30","         80.37","   37211584","          2990514360.65","      78826","    6813675","         18.31"
"PNB","EQ","19-Sep-2018","         79.30","         79.50","         80.75","         78.70","         79.25","         79.25","         79.84","   24270870","          1937852724.90","      54203","    2073032","          8.54"
"PNB","EQ","21-Sep-2018","         79.25","         79.55","         80.35","         67.40","         73.20","         72.85","         75.03","   50163352","          3763644461.25","     111043","    9206243","         18.35"
"PNB","EQ","24-Sep-2018","         72.85","         74.00","         74.40","         68.65","         68.80","         69.20","         70.61","   37491629","          2647152839.50","      98995","    8503213","         22.68"
"PNB","EQ","25-Sep-2018","         69.20","         69.15","         69.65","         63.65","         67.45","         66.95","         66.94","   58214340","          3896995265.85","     133168","   11740261","         20.17"
"PNB","EQ","26-Sep-2018","         66.95","         68.15","         69.20","         66.25","         66.90","         67.05","         67.52","   43152887","          2913668673.95","      97525","    6678426","         15.48"
"PNB","EQ","27-Sep-2018","         67.05","         67.70","         67.70","         61.25","         61.85","         62.50","         64.64","   47047470","          3041171565.85","     120036","   18391128","         39.09"
"PNB","EQ","28-Sep-2018","         62.50","         62.55","         63.40","         58.45","         59.75","         59.70","         60.73","   68264539","          4145592477.65","     158537","   12379718","         18.13"
"PNB","EQ","01-Oct-2018","         59.70","         60.00","         63.55","         58.55","         63.30","         63.20","         61.29","   39640035","          2429408453.90","      96377","    6114470","         15.42"
"PNB","EQ","03-Oct-2018","         63.20","         63.80","         66.35","         62.70","         64.40","         64.65","         64.86","   42231670","          2739335282.80","     103608","    6306568","         14.93"
"PNB","EQ","04-Oct-2018","         64.65","         63.15","         65.50","         62.85","         64.50","         64.80","         64.54","   32208001","          2078747423.35","      75755","    3753084","         11.65"
"PNB","EQ","05-Oct-2018","         64.80","         65.00","         66.35","         63.00","         63.25","         63.85","         64.78","   31872123","          2064824703.25","      80788","    4176873","         13.11"
"PNB","EQ","08-Oct-2018","         63.85","         64.00","         64.60","         61.10","         62.70","         62.85","         63.24","   29733364","          1880355176.35","      64550","    3402988","         11.45"
"PNB","EQ","09-Oct-2018","         62.85","         63.45","         63.90","         61.50","         62.80","         62.65","         62.67","   24773210","          1552469763.25","      53109","    1655065","          6.68"
"PNB","EQ","10-Oct-2018","         62.65","         62.80","         66.95","         62.30","         66.50","         66.30","         64.82","   30162010","          1955133957.55","      68958","    5640187","         18.70"
"PNB","EQ","11-Oct-2018","         66.30","         64.00","         66.00","         63.10","         64.35","         64.30","         64.43","   27655306","          1781825601.75","      60582","    5379337","         19.45"
"PNB","EQ","12-Oct-2018","         64.30","         65.10","         67.65","         65.05","         66.50","         66.50","         66.61","   22188888","          1477947036.45","      52869","    4875478","         21.97"
"PNB","EQ","15-Oct-2018","         66.50","         67.00","         67.95","         65.35","         67.55","         67.55","         67.11","   21390663","          1435486502.80","      52876","    4223244","         19.74"
"PNB","EQ","16-Oct-2018","         67.55","         68.20","         70.35","         67.85","         69.90","         69.95","         69.19","   21972857","          1520290714.45","      56211","    3370186","         15.34"
"PNB","EQ","17-Oct-2018","         69.95","         71.00","         71.15","         66.10","         66.30","         66.50","         68.50","   24801387","          1698975153.10","      56621","    5123946","         20.66"
"PNB","EQ","19-Oct-2018","         66.50","         66.20","         67.40","         65.25","         66.15","         66.00","         66.39","   18158920","          1205518602.60","      48163","    2207272","         12.16"
"PNB","EQ","22-Oct-2018","         66.00","         66.90","         67.45","         65.40","         65.80","         65.70","         66.41","   16020570","          1063935181.40","      42701","    1788997","         11.17"
"PNB","EQ","23-Oct-2018","         65.70","         65.45","         66.25","         63.85","         65.15","         64.75","         64.97","   16070344","          1044078728.05","      40061","    2176375","         13.54"
"PNB","EQ","24-Oct-2018","         64.75","         65.80","         66.35","         64.60","         66.30","         65.80","         65.36","   17199693","          1124229068.90","      45278","    3097894","         18.01"
"PNB","EQ","25-Oct-2018","         65.80","         65.20","         66.70","         65.00","         65.75","         65.65","         65.77","   23250113","          1529220817.95","      65413","    5552009","         23.88"
"PNB","EQ","26-Oct-2018","         65.65","         66.00","         67.25","         65.25","         66.30","         66.15","         66.27","   20915568","          1386047533.50","      49296","    3152893","         15.07"
"PNB","EQ","29-Oct-2018","         66.15","         66.85","         71.80","         65.60","         70.75","         70.90","         69.59","   36931154","          2569956579.70","      84576","    6938666","         18.79"
"PNB","EQ","30-Oct-2018","         70.90","         71.00","         75.25","         70.75","         72.85","         72.55","         73.17","   43626784","          3191978431.55","      99222","    4671163","         10.71"
"PNB","EQ","31-Oct-2018","         72.55","         73.80","         74.25","         71.70","         73.60","         73.65","         73.12","   28632204","          2093559417.75","      64732","    3641425","         12.72"
"PNB","EQ","01-Nov-2018","         73.65","         74.40","         75.00","         73.20","         74.30","         74.30","         74.13","   21269555","          1576614116.25","      49091","    2710980","         12.75"
"PNB","EQ","02-Nov-2018","         74.30","         74.95","         78.70","         68.05","         68.95","         69.05","         72.83","   91979581","          6699194943.55","     227254","   14168787","         15.40"
"PNB","EQ","05-Nov-2018","         69.05","         68.70","         70.95","         67.40","         70.80","         70.40","         69.19","   33569269","          2322773383.40","      81635","    3527283","         10.51"
"PNB","EQ","06-Nov-2018","         70.40","         71.20","         71.55","         69.90","         70.30","         70.60","         70.77","   18682517","          1322157440.95","      48290","    2408838","         12.89"
"PNB","EQ","07-Nov-2018","         70.60","         71.00","         71.20","         70.60","         71.00","         70.95","         70.92","    2459502","           174425464.65","      11449","    1086538","         44.18"
"PNB","EQ","09-Nov-2018","         70.95","         71.00","         72.40","         70.20","         71.60","         71.65","         71.65","   16410330","          1175721778.60","      42655","    2667613","         16.26"
"PNB","EQ","12-Nov-2018","         71.65","         72.00","         72.10","         69.70","         70.35","         70.50","         70.58","   15610896","          1101809724.05","      36680","    2508775","         16.07"
