"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAJTV","EQ","14-Sep-2018","         34.00","         35.80","         35.80","         33.65","         33.65","         34.20","         34.70","       3325","              115384.25","         73","        887","         26.68"
"RAJTV","EQ","17-Sep-2018","         34.20","         34.80","         34.80","         33.65","         34.00","         33.70","         33.92","       3824","              129692.70","         41","       2362","         61.77"
"RAJTV","EQ","18-Sep-2018","         33.70","         33.60","         35.75","         33.50","         34.30","         34.60","         34.53","       6491","              224166.05","         88","       3171","         48.85"
"RAJTV","EQ","19-Sep-2018","         34.60","         34.00","         35.40","         33.10","         34.20","         33.75","         33.94","       6546","              222186.10","        122","       3560","         54.38"
"RAJTV","EQ","21-Sep-2018","         33.75","         34.50","         35.00","         32.30","         35.00","         34.00","         33.74","       7526","              253955.05","        100","       5017","         66.66"
"RAJTV","EQ","24-Sep-2018","         34.00","         33.50","         34.10","         31.60","         33.10","         32.95","         32.88","       5940","              195331.35","        153","       3567","         60.05"
"RAJTV","EQ","25-Sep-2018","         32.95","         32.20","         35.60","         31.20","         34.10","         32.55","         32.54","      17556","              571247.60","        119","       5122","         29.18"
"RAJTV","EQ","26-Sep-2018","         32.55","         32.65","         34.50","         32.60","         34.35","         33.75","         33.37","       3484","              116251.05","         56","       2688","         77.15"
"RAJTV","EQ","27-Sep-2018","         33.75","         34.00","         35.00","         32.00","         35.00","         34.00","         33.63","       3382","              113750.40","         50","       2977","         88.02"
"RAJTV","EQ","28-Sep-2018","         34.00","         33.50","         34.00","         29.20","         32.00","         31.80","         31.92","      26699","              852182.55","        209","      17524","         65.64"
"RAJTV","EQ","01-Oct-2018","         31.80","         31.80","         32.45","         30.20","         31.85","         31.60","         31.30","      20139","              630306.10","        197","      13456","         66.82"
"RAJTV","EQ","03-Oct-2018","         31.60","         32.00","         36.00","         31.00","         33.00","         33.00","         33.06","       7171","              237047.65","         92","       5396","         75.25"
"RAJTV","EQ","04-Oct-2018","         33.00","         32.50","         33.50","         27.70","         30.00","         29.15","         29.78","      61859","             1842047.40","        615","      36702","         59.33"
"RAJTV","EQ","05-Oct-2018","         29.15","         28.55","         30.00","         25.30","         26.00","         26.05","         26.60","      34205","              909738.95","        282","      29689","         86.80"
"RAJTV","EQ","08-Oct-2018","         26.05","         25.30","         27.00","         24.45","         27.00","         26.45","         26.07","      31725","              827016.40","        226","      23074","         72.73"
"RAJTV","EQ","09-Oct-2018","         26.45","         25.30","         27.25","         24.70","         26.80","         26.85","         26.61","       8673","              230830.70","        116","       5477","         63.15"
"RAJTV","EQ","10-Oct-2018","         26.85","         26.00","         27.90","         26.00","         27.75","         27.50","         27.56","       7980","              219933.10","         61","       5900","         73.93"
"RAJTV","EQ","11-Oct-2018","         27.50","         27.00","         30.50","         26.05","         29.10","         29.20","         28.58","      11265","              321946.95","        199","       7187","         63.80"
"RAJTV","EQ","12-Oct-2018","         29.20","         30.00","         31.40","         29.00","         30.55","         30.45","         30.21","      13033","              393673.80","        124","      10883","         83.50"
"RAJTV","EQ","15-Oct-2018","         30.45","         30.60","         30.80","         29.45","         30.75","         30.35","         30.06","       4602","              138357.30","         97","       2099","         45.61"
"RAJTV","EQ","16-Oct-2018","         30.35","         30.20","         32.50","         30.20","         31.95","         31.60","         31.66","      12580","              398332.90","         92","       9447","         75.10"
"RAJTV","EQ","17-Oct-2018","         31.60","         31.75","         33.95","         30.50","         32.20","         31.25","         32.31","      17046","              550812.60","        119","      11189","         65.64"
"RAJTV","EQ","19-Oct-2018","         31.25","         32.90","         33.90","         30.65","         31.40","         32.55","         32.42","      16565","              536997.50","        148","      11875","         71.69"
"RAJTV","EQ","22-Oct-2018","         32.55","         33.40","         33.45","         31.00","         32.50","         32.70","         32.67","      12637","              412834.65","        132","       7237","         57.27"
"RAJTV","EQ","23-Oct-2018","         32.70","         31.50","         35.00","         31.50","         33.35","         33.60","         33.30","      41343","             1376701.40","        374","      34429","         83.28"
"RAJTV","EQ","24-Oct-2018","         33.60","         34.00","         35.90","         32.55","         35.80","         35.05","         33.83","      41014","             1387644.70","        156","      35805","         87.30"
"RAJTV","BE","25-Oct-2018","         35.05","         35.00","         36.80","         34.90","         36.75","         36.80","         35.79","       4937","              176694.50","         74","-","-"
"RAJTV","BE","26-Oct-2018","         36.80","         36.75","         38.60","         36.75","         38.60","         38.60","         38.50","      28019","             1078798.00","         57","-","-"
"RAJTV","BE","29-Oct-2018","         38.60","         39.95","         40.30","         38.25","         40.00","         39.95","         39.66","       4123","              163525.20","         37","-","-"
"RAJTV","BE","30-Oct-2018","         39.95","         41.85","         41.85","         38.60","         41.00","         41.00","         40.91","       3594","              147037.10","         26","-","-"
"RAJTV","BE","31-Oct-2018","         41.00","         41.00","         42.40","         39.95","         42.30","         42.30","         41.41","       3352","              138816.15","         45","-","-"
"RAJTV","BE","01-Nov-2018","         42.30","         43.90","         44.40","         42.50","         44.35","         43.05","         43.50","       8819","              383643.10","         81","-","-"
"RAJTV","BE","02-Nov-2018","         43.05","         44.60","         45.20","         42.55","         45.20","         45.10","         44.76","       8825","              395043.65","        115","-","-"
"RAJTV","BE","05-Nov-2018","         45.10","         47.30","         47.35","         43.10","         47.35","         47.05","         46.72","      10095","              471634.75","         42","-","-"
"RAJTV","BE","06-Nov-2018","         47.05","         46.95","         49.40","         44.75","         46.30","         46.15","         48.76","       7716","              376254.55","         78","-","-"
"RAJTV","BE","07-Nov-2018","         46.15","         46.15","         48.40","         45.10","         47.80","         45.65","         46.66","        302","               14090.60","          6","-","-"
"RAJTV","BE","09-Nov-2018","         45.65","         47.90","         47.90","         44.50","         47.90","         47.80","         47.23","       6727","              317729.40","         46","-","-"
"RAJTV","BE","12-Nov-2018","         47.80","         49.80","         50.15","         46.40","         50.15","         50.10","         49.30","       6087","              300069.25","         78","-","-"
"RAJTV","BE","13-Nov-2018","         50.10","         50.10","         51.95","         47.60","         50.00","         49.95","         48.97","       3406","              166787.80","         34","-","-"
"RAJTV","BE","14-Nov-2018","         49.95","         51.90","         52.40","         48.60","         52.40","         51.95","         51.20","       9783","              500845.10","         88","-","-"
"RAJTV","BE","15-Nov-2018","         51.95","         50.40","         54.50","         50.40","         52.05","         52.10","         52.21","      11770","              614486.40","         69","-","-"
"RAJTV","BE","16-Nov-2018","         52.10","         52.00","         54.70","         51.20","         54.00","         53.95","         54.30","      13851","              752160.20","         87","-","-"
"RAJTV","BE","19-Nov-2018","         53.95","         53.95","         56.60","         52.10","         55.05","         55.50","         54.58","       7304","              398654.35","         58","-","-"
"RAJTV","BE","20-Nov-2018","         55.50","         54.10","         58.25","         53.80","         58.25","         56.85","         56.90","      13389","              761794.50","        104","-","-"
"RAJTV","BE","21-Nov-2018","         56.85","         56.10","         59.65","         56.10","         59.65","         59.65","         59.38","       7646","              454049.45","         54","-","-"
"RAJTV","BE","22-Nov-2018","         59.65","         62.55","         62.60","         57.55","         62.60","         62.60","         62.51","      21380","             1336434.85","        181","-","-"
"RAJTV","BE","26-Nov-2018","         62.60","         62.60","         65.70","         61.30","         65.70","         64.95","         64.70","      20834","             1348061.45","        187","-","-"
"RAJTV","BE","27-Nov-2018","         64.95","         64.90","         68.15","         63.80","         65.50","         64.55","         65.92","      12020","              792360.85","        171","-","-"
"RAJTV","BE","28-Nov-2018","         64.55","         66.00","         66.00","         61.35","         61.40","         61.50","         62.39","       4826","              301090.85","         78","-","-"
"RAJTV","BE","29-Nov-2018","         61.50","         58.55","         61.25","         58.45","         58.45","         58.45","         58.51","       1624","               95024.25","         24","-","-"
"RAJTV","BE","30-Nov-2018","         58.45","         55.55","         55.55","         55.55","         55.55","         55.55","         55.55","        581","               32274.55","         16","-","-"
"RAJTV","BE","03-Dec-2018","         55.55","         52.80","         52.80","         52.80","         52.80","         52.80","         52.80","       1847","               97521.60","         18","-","-"
"RAJTV","BE","04-Dec-2018","         52.80","         50.20","         50.20","         50.20","         50.20","         50.20","         50.20","       1663","               83482.60","         11","-","-"
"RAJTV","BE","05-Dec-2018","         50.20","         47.70","         47.70","         47.70","         47.70","         47.70","         47.70","       1709","               81519.30","         14","-","-"
"RAJTV","BE","06-Dec-2018","         47.70","         45.35","         45.35","         45.35","         45.35","         45.35","         45.35","        911","               41313.85","          9","-","-"
"RAJTV","BE","07-Dec-2018","         45.35","         43.10","         43.10","         43.10","         43.10","         43.10","         43.10","       1409","               60727.90","         25","-","-"
"RAJTV","BE","10-Dec-2018","         43.10","         41.00","         41.00","         40.95","         40.95","         40.95","         40.95","       2721","              111432.45","         30","-","-"
"RAJTV","BE","11-Dec-2018","         40.95","         42.00","         42.95","         39.10","         42.95","         42.45","         41.49","       2476","              102736.70","         34","-","-"
"RAJTV","BE","12-Dec-2018","         42.45","         41.50","         42.50","         40.35","         42.25","         41.85","         40.79","       6302","              257063.30","         48","-","-"
"RAJTV","BE","13-Dec-2018","         41.85","         42.25","         43.60","         40.20","         42.50","         41.85","         41.63","       4284","              178346.70","         61","-","-"
"RAJTV","BE","14-Dec-2018","         41.85","         42.50","         43.00","         41.00","         43.00","         42.85","         42.10","       1671","               70348.05","         24","-","-"
"RAJTV","BE","17-Dec-2018","         42.85","         42.95","         43.00","         41.55","         43.00","         42.95","         42.70","       1679","               71698.85","         22","-","-"
"RAJTV","BE","18-Dec-2018","         42.95","         43.00","         43.00","         41.10","         42.90","         42.00","         41.66","       1225","               51031.70","         12","-","-"
"RAJTV","BE","19-Dec-2018","         42.00","         41.00","         42.85","         40.15","         42.75","         42.75","         42.16","       2816","              118728.45","         10","-","-"
"RAJTV","BE","20-Dec-2018","         42.75","         41.25","         42.75","         41.25","         42.75","         42.75","         41.97","        305","               12800.30","         10","-","-"
"RAJTV","BE","21-Dec-2018","         42.75","         42.75","         42.75","         41.30","         42.75","         41.90","         42.12","       1401","               59009.65","         16","-","-"
"RAJTV","BE","24-Dec-2018","         41.90","         42.10","         43.00","         40.35","         42.85","         41.25","         41.16","       1523","               62691.30","         22","-","-"
"RAJTV","BE","26-Dec-2018","         41.25","         40.10","         42.85","         40.10","         42.60","         42.60","         40.65","        883","               35897.00","         11","-","-"
"RAJTV","BE","27-Dec-2018","         42.60","         40.95","         42.95","         40.95","         41.25","         41.30","         41.33","        988","               40832.65","         12","-","-"
"RAJTV","BE","28-Dec-2018","         41.30","         42.20","         43.35","         41.50","         42.00","         42.35","         42.87","       2964","              127053.85","         33","-","-"
"RAJTV","BE","31-Dec-2018","         42.35","         42.35","         44.40","         42.35","         44.00","         43.85","         43.58","       1496","               65188.85","         15","-","-"
"RAJTV","BE","01-Jan-2019","         43.85","         45.90","         46.00","         43.15","         44.95","         43.85","         45.40","       2492","              113125.35","         21","-","-"
"RAJTV","BE","02-Jan-2019","         43.85","         44.00","         44.00","         42.05","         42.35","         42.35","         42.43","       2224","               94364.30","         30","-","-"
"RAJTV","BE","03-Jan-2019","         42.35","         41.15","         44.20","         41.15","         42.30","         42.30","         42.94","       1475","               63339.50","         13","-","-"
"RAJTV","BE","04-Jan-2019","         42.30","         42.40","         44.20","         41.90","         44.20","         44.00","         43.74","       1074","               46973.20","         24","-","-"
"RAJTV","BE","07-Jan-2019","         44.00","         45.00","         45.00","         42.40","         42.50","         42.50","         43.62","        372","               16226.05","         20","-","-"
"RAJTV","EQ","08-Jan-2019","         42.50","         44.35","         44.35","         43.00","         43.10","         43.10","         43.47","        218","                9477.00","         17","        203","         93.12"
"RAJTV","EQ","09-Jan-2019","         43.10","         44.90","         45.00","         42.25","         44.05","         44.75","         44.36","       7313","              324408.30","         46","       2412","         32.98"
"RAJTV","EQ","10-Jan-2019","         44.75","         44.75","         46.95","         44.20","         46.95","         46.60","         45.97","       5660","              260162.75","         38","       3006","         53.11"
"RAJTV","EQ","11-Jan-2019","         46.60","         48.80","         48.90","         47.75","         48.90","         48.90","         48.60","       4233","              205713.85","         56","       3384","         79.94"
"RAJTV","EQ","14-Jan-2019","         48.90","         47.45","         51.30","         46.50","         49.40","         48.35","         47.77","       6617","              316103.80","         48","       5365","         81.08"
"RAJTV","EQ","15-Jan-2019","         48.35","         49.00","         50.40","         48.00","         48.00","         48.05","         49.27","       3141","              154752.40","         43","       2886","         91.88"
"RAJTV","EQ","16-Jan-2019","         48.05","         48.00","         49.95","         48.00","         48.00","         48.20","         48.29","       1028","               49640.30","         26","        876","         85.21"
"RAJTV","EQ","17-Jan-2019","         48.20","         46.60","         50.40","         46.60","         48.25","         48.25","         49.02","       1803","               88383.55","         21","       1335","         74.04"
"RAJTV","EQ","18-Jan-2019","         48.25","         47.20","         48.45","         47.00","         47.00","         47.00","         47.61","       1487","               70793.50","         15","       1284","         86.35"
"RAJTV","EQ","21-Jan-2019","         47.00","         47.00","         48.00","         45.50","         48.00","         48.00","         47.17","        427","               20143.60","          9","        419","         98.13"
"RAJTV","EQ","22-Jan-2019","         48.00","         47.90","         47.90","         45.90","         47.00","         47.00","         46.75","       1917","               89613.60","         26","       1443","         75.27"
"RAJTV","EQ","23-Jan-2019","         47.00","         45.95","         47.45","         45.95","         46.00","         46.00","         46.05","        307","               14137.85","          5","        279","         90.88"
"RAJTV","EQ","24-Jan-2019","         46.00","         45.05","         46.75","         45.00","         45.00","         46.15","         45.64","        551","               25146.10","          9","        451","         81.85"
"RAJTV","EQ","25-Jan-2019","         46.15","         47.60","         47.60","         45.30","         45.30","         45.30","         45.35","       2145","               97268.90","         17","       2133","         99.44"
"RAJTV","EQ","28-Jan-2019","         45.30","         47.55","         47.55","         47.55","         47.55","         47.55","         47.55","       3376","              160528.80","         36","       2333","         69.11"
