"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAMCOCEM","EQ","11-Sep-2018","        649.30","        656.00","        656.00","        635.00","        640.00","        641.45","        647.65","     160638","           104036890.60","       4038","      99835","         62.15"
"RAMCOCEM","EQ","12-Sep-2018","        641.45","        636.00","        645.95","        628.80","        641.30","        641.80","        637.13","     186047","           118536499.35","      10219","      70642","         37.97"
"RAMCOCEM","EQ","14-Sep-2018","        641.80","        641.90","        654.70","        641.90","        651.00","        651.35","        651.05","     211598","           137760308.60","      11116","     118741","         56.12"
"RAMCOCEM","EQ","17-Sep-2018","        651.35","        645.05","        649.50","        639.00","        640.00","        644.05","        645.67","     157807","           101891499.60","       6797","      89624","         56.79"
"RAMCOCEM","EQ","18-Sep-2018","        644.05","        645.00","        646.50","        631.25","        638.20","        642.05","        640.03","     183056","           117160951.85","       6660","      76989","         42.06"
"RAMCOCEM","EQ","19-Sep-2018","        642.05","        642.15","        651.45","        637.50","        642.40","        640.70","        643.62","     211807","           136323058.50","       6565","      78221","         36.93"
"RAMCOCEM","EQ","21-Sep-2018","        640.70","        642.00","        651.00","        626.00","        643.10","        644.65","        639.87","     267504","           171167595.70","       6854","      92934","         34.74"
"RAMCOCEM","EQ","24-Sep-2018","        644.65","        651.00","        661.70","        621.20","        631.50","        635.55","        634.42","     287194","           182200524.55","      10198","      80650","         28.08"
"RAMCOCEM","EQ","25-Sep-2018","        635.55","        633.00","        657.30","        627.30","        656.00","        649.50","        637.17","     192162","           122440310.15","      20626","      62570","         32.56"
"RAMCOCEM","EQ","26-Sep-2018","        649.50","        655.95","        662.00","        639.60","        651.20","        654.35","        646.74","     201591","           130377169.15","       7273","      70876","         35.16"
"RAMCOCEM","EQ","27-Sep-2018","        654.35","        660.20","        666.45","        640.10","        651.00","        650.50","        654.97","     354023","           231875273.30","      10244","      74010","         20.91"
"RAMCOCEM","EQ","28-Sep-2018","        650.50","        653.00","        659.00","        632.05","        640.00","        643.15","        644.30","     364797","           235037467.75","      15582","     135384","         37.11"
"RAMCOCEM","EQ","01-Oct-2018","        643.15","        645.00","        659.90","        618.45","        653.05","        652.80","        640.60","     200362","           128351200.20","      11835","      81279","         40.57"
"RAMCOCEM","EQ","03-Oct-2018","        652.80","        650.00","        651.75","        630.00","        630.15","        637.35","        639.13","     249575","           159509829.20","       7226","     147933","         59.27"
"RAMCOCEM","EQ","04-Oct-2018","        637.35","        630.00","        647.00","        616.10","        647.00","        638.05","        628.99","     342796","           215614211.60","       9543","     102794","         29.99"
"RAMCOCEM","EQ","05-Oct-2018","        638.05","        640.00","        640.00","        620.00","        621.00","        625.25","        625.21","     277391","           173427982.95","       8795","     171330","         61.76"
"RAMCOCEM","EQ","08-Oct-2018","        625.25","        615.00","        625.35","        610.00","        613.65","        617.80","        617.25","     173588","           107146325.55","       4534","      57239","         32.97"
"RAMCOCEM","EQ","09-Oct-2018","        617.80","        612.05","        618.00","        590.80","        601.00","        602.55","        600.98","     251038","           150869946.30","      11763","     122806","         48.92"
"RAMCOCEM","EQ","10-Oct-2018","        602.55","        597.05","        606.85","        589.00","        600.00","        601.95","        599.38","     256333","           153640400.00","      14868","     115573","         45.09"
"RAMCOCEM","EQ","11-Oct-2018","        601.95","        588.00","        591.65","        572.40","        577.35","        579.55","        579.68","     403983","           234178982.05","       9600","     262744","         65.04"
"RAMCOCEM","EQ","12-Oct-2018","        579.55","        585.00","        592.20","        580.40","        585.00","        585.25","        587.16","     182671","           107256466.60","       6195","      95713","         52.40"
"RAMCOCEM","EQ","15-Oct-2018","        585.25","        585.25","        589.90","        575.10","        589.80","        585.05","        581.63","     203048","           118097803.10","       5969","      85379","         42.05"
"RAMCOCEM","EQ","16-Oct-2018","        585.05","        585.25","        599.00","        583.50","        589.05","        588.65","        591.51","     171572","           101487196.80","       5476","      76779","         44.75"
"RAMCOCEM","EQ","17-Oct-2018","        588.65","        596.00","        596.00","        575.05","        579.30","        577.55","        582.13","     100594","            58558973.10","       5082","      48960","         48.67"
"RAMCOCEM","EQ","19-Oct-2018","        577.55","        580.00","        582.45","        562.90","        579.25","        577.30","        571.03","     231576","           132236662.75","      10673","     129204","         55.79"
"RAMCOCEM","EQ","22-Oct-2018","        577.30","        579.05","        582.00","        562.60","        570.00","        572.00","        569.18","     170138","            96839498.10","       4884","     117475","         69.05"
"RAMCOCEM","EQ","23-Oct-2018","        572.00","        565.00","        569.95","        546.90","        569.75","        561.35","        555.42","     465525","           258560823.35","      18073","     224056","         48.13"
