"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAMKY","EQ","11-Sep-2018","        203.30","        201.30","        208.00","        200.45","        201.15","        201.75","        204.31","      69940","            14289371.30","       1113","      41787","         59.75"
"RAMKY","EQ","12-Sep-2018","        201.75","        198.05","        201.45","        196.20","        197.10","        197.90","        198.34","      59936","            11887744.15","        909","      39681","         66.21"
"RAMKY","EQ","14-Sep-2018","        197.90","        193.95","        201.95","        193.95","        197.00","        198.55","        199.89","      34908","             6977689.55","        720","      24676","         70.69"
"RAMKY","EQ","17-Sep-2018","        198.55","        196.90","        198.70","        192.05","        195.40","        194.55","        194.91","      48620","             9476372.30","        792","      30919","         63.59"
"RAMKY","EQ","18-Sep-2018","        194.55","        194.50","        195.00","        187.20","        188.00","        188.85","        191.22","      36915","             7059061.40","        615","      28074","         76.05"
"RAMKY","EQ","19-Sep-2018","        188.85","        189.75","        190.20","        184.35","        187.55","        187.90","        187.01","      77370","            14469090.25","       1037","      56216","         72.66"
"RAMKY","EQ","21-Sep-2018","        187.90","        187.55","        191.30","        179.00","        182.50","        182.55","        186.46","     187694","            34997283.00","       1319","     146108","         77.84"
"RAMKY","EQ","24-Sep-2018","        182.55","        180.00","        186.00","        173.45","        173.45","        173.45","        177.81","      85852","            15265272.75","       1001","      73210","         85.27"
"RAMKY","EQ","25-Sep-2018","        173.45","        165.65","        174.95","        164.80","        170.00","        170.50","        168.74","      66442","            11211293.10","       1119","      43312","         65.19"
"RAMKY","EQ","26-Sep-2018","        170.50","        169.70","        176.95","        169.70","        174.00","        173.45","        174.06","      69121","            12031098.45","        552","      61081","         88.37"
"RAMKY","EQ","27-Sep-2018","        173.45","        174.95","        174.95","        168.00","        170.85","        169.80","        170.43","      22959","             3913007.45","        458","      17382","         75.71"
