"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RKFORGE","EQ","11-Sep-2018","        623.60","        623.00","        627.55","        620.05","        623.50","        620.75","        623.69","      11488","             7164911.60","        443","       9454","         82.29"
"RKFORGE","EQ","12-Sep-2018","        620.75","        620.05","        640.00","        618.15","        639.95","        638.50","        628.02","      14348","             9010893.10","       2181","      10721","         74.72"
"RKFORGE","EQ","14-Sep-2018","        638.50","        638.00","        675.00","        638.00","        660.00","        662.75","        660.56","      36309","            23984213.45","       3492","      21184","         58.34"
"RKFORGE","EQ","17-Sep-2018","        662.75","        661.90","        719.00","        647.25","        692.10","        695.05","        693.81","     239217","           165971603.10","       6504","     167083","         69.85"
"RKFORGE","EQ","18-Sep-2018","        695.05","        695.50","        708.80","        660.00","        662.10","        670.35","        690.35","      37161","            25654251.10","       1844","      18484","         49.74"
"RKFORGE","EQ","19-Sep-2018","        670.35","        677.00","        698.00","        661.30","        678.00","        677.65","        677.19","      27113","            18360519.85","       2712","       8036","         29.64"
"RKFORGE","EQ","21-Sep-2018","        677.65","        695.00","        695.00","        651.30","        680.40","        676.15","        672.58","     124445","            83699491.35","       3948","      57183","         45.95"
"RKFORGE","EQ","24-Sep-2018","        676.15","        694.00","        694.00","        641.05","        641.10","        641.50","        658.93","      12118","             7984941.10","        995","       7578","         62.54"
"RKFORGE","EQ","25-Sep-2018","        641.50","        669.80","        669.80","        605.00","        625.00","        618.45","        633.29","      39297","            24886290.20","       2044","      20786","         52.89"
"RKFORGE","EQ","26-Sep-2018","        618.45","        625.90","        633.00","        620.00","        625.00","        624.00","        624.52","      15568","             9722603.65","       1470","       8805","         56.56"
"RKFORGE","EQ","27-Sep-2018","        624.00","        620.15","        637.00","        620.00","        622.10","        620.20","        624.90","      10098","             6310239.25","        812","       6353","         62.91"
"RKFORGE","EQ","28-Sep-2018","        620.20","        621.75","        628.75","        575.00","        615.00","        600.75","        606.06","      58597","            35513573.95","       1264","      45672","         77.94"
"RKFORGE","EQ","01-Oct-2018","        600.75","        594.05","        609.70","        577.00","        603.25","        603.70","        585.93","      42523","            24915398.40","       2178","      25742","         60.54"
"RKFORGE","EQ","03-Oct-2018","        603.70","        605.00","        623.15","        595.80","        597.00","        600.00","        603.56","      24242","            14631524.20","       1299","      19915","         82.15"
"RKFORGE","EQ","04-Oct-2018","        600.00","        589.80","        601.00","        575.30","        575.35","        579.70","        584.32","      11284","             6593478.50","       1007","       6163","         54.62"
"RKFORGE","EQ","05-Oct-2018","        579.70","        578.00","        590.75","        540.00","        548.00","        550.75","        568.28","      27006","            15346894.55","       1225","      22320","         82.65"
"RKFORGE","EQ","08-Oct-2018","        550.75","        550.10","        571.85","        529.80","        556.00","        551.50","        549.71","      30191","            16596183.40","       1521","      22298","         73.86"
"RKFORGE","EQ","09-Oct-2018","        551.50","        552.20","        558.55","        525.00","        550.10","        555.40","        542.06","      15334","             8311991.30","       1468","       9029","         58.88"
"RKFORGE","EQ","10-Oct-2018","        555.40","        554.20","        592.00","        548.20","        582.35","        580.30","        573.78","       9689","             5559374.95","       1071","       4553","         46.99"
"RKFORGE","EQ","11-Oct-2018","        580.30","        557.15","        589.00","        530.40","        575.00","        576.45","        570.72","      11856","             6766436.50","       1144","       4438","         37.43"
"RKFORGE","EQ","12-Oct-2018","        576.45","        572.65","        594.00","        568.30","        575.00","        581.05","        583.75","      10114","             5904041.55","        801","       7780","         76.92"
"RKFORGE","EQ","15-Oct-2018","        581.05","        589.90","        613.70","        565.05","        592.40","        596.45","        593.40","      17203","            10208205.85","       1740","       9442","         54.89"
"RKFORGE","EQ","16-Oct-2018","        596.45","        596.45","        610.00","        596.00","        597.80","        602.40","        604.83","       8740","             5286214.05","        646","       5456","         62.43"
"RKFORGE","EQ","17-Oct-2018","        602.40","        606.60","        615.00","        580.05","        583.85","        582.50","        593.42","       4951","             2938008.85","        675","       1960","         39.59"
"RKFORGE","EQ","19-Oct-2018","        582.50","        582.00","        582.00","        553.25","        561.50","        560.85","        567.61","      19983","            11342526.10","        933","      14894","         74.53"
"RKFORGE","EQ","22-Oct-2018","        560.85","        580.00","        580.00","        532.05","        570.00","        555.80","        555.99","      17838","             9917689.55","       1155","      11559","         64.80"
