"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ROSSARI","EQ","23-Jul-2020","        425.00","        669.25","        803.10","        664.00","        752.00","        741.65","        722.81","   35781623","         25863451611.00","     998295","    6967004","         19.47"
"ROSSARI","EQ","24-Jul-2020","        741.65","        754.00","        793.90","        723.35","        734.50","        731.20","        756.53","    7743490","          5858160293.85","     311421","    1070353","         13.82"
"ROSSARI","EQ","27-Jul-2020","        731.20","        737.25","        748.80","        681.20","        723.00","        727.30","        719.48","    4512553","          3246683490.25","     156953","     470183","         10.42"
"ROSSARI","EQ","28-Jul-2020","        727.30","        715.00","        738.00","        711.10","        714.00","        716.50","        726.09","    1427725","          1036652596.85","      55435","     184963","         12.96"
"ROSSARI","EQ","29-Jul-2020","        716.50","        714.05","        722.20","        700.00","        702.00","        702.85","        710.36","     879722","           624914944.20","      33599","     200343","         22.77"
"ROSSARI","EQ","30-Jul-2020","        702.85","        705.00","        713.00","        675.00","        679.20","        683.80","        691.27","    1091599","           754590207.25","      49949","     248121","         22.73"
"ROSSARI","EQ","31-Jul-2020","        683.80","        686.00","        730.00","        666.00","        718.00","        715.05","        711.96","    2528271","          1800016098.05","      68574","     390408","         15.44"
"ROSSARI","EQ","03-Aug-2020","        715.05","        714.80","        717.90","        697.00","        713.10","        711.90","        708.67","     712557","           504968983.35","      19297","     160680","         22.55"
"ROSSARI","EQ","04-Aug-2020","        711.90","        717.10","        748.50","        707.75","        741.30","        742.50","        731.12","    1416595","          1035703216.60","      39018","     323835","         22.86"
"ROSSARI","EQ","05-Aug-2020","        742.50","        744.00","        772.75","        742.10","        746.00","        748.95","        759.56","    2143492","          1628102175.80","      57402","     378415","         17.65"
"ROSSARI","EQ","06-Aug-2020","        748.95","        751.60","        767.85","        750.10","        753.10","        754.75","        758.62","     842088","           638826830.40","      21038","     139490","         16.56"
"ROSSARI","EQ","07-Aug-2020","        754.75","        756.90","        769.50","        742.30","        754.00","        753.65","        756.38","     744142","           562853664.40","      17888","     140524","         18.88"
"ROSSARI","EQ","10-Aug-2020","        753.65","        757.90","        768.00","        743.70","        752.00","        751.15","        757.70","     529715","           401366500.95","      13567","     160344","         30.27"
"ROSSARI","EQ","11-Aug-2020","        751.15","        754.95","        818.80","        751.05","        763.00","        766.85","        792.69","    6008822","          4763106890.45","     123865","     722831","         12.03"
"ROSSARI","EQ","12-Aug-2020","        766.85","        755.40","        778.90","        751.00","        757.00","        758.00","        766.34","     922208","           706721966.85","      26043","     160495","         17.40"
"ROSSARI","EQ","13-Aug-2020","        758.00","        765.80","        784.95","        757.50","        772.20","        773.30","        774.36","    1039156","           804683131.55","      29859","     161117","         15.50"
"ROSSARI","EQ","14-Aug-2020","        773.30","        774.00","        781.90","        675.15","        743.00","        740.65","        749.45","     997328","           747447169.00","      30423","     184221","         18.47"
"ROSSARI","EQ","17-Aug-2020","        740.65","        750.75","        755.95","        734.10","        737.50","        738.50","        744.15","     549428","           408855554.90","      17288","      89547","         16.30"
"ROSSARI","EQ","18-Aug-2020","        738.50","        743.65","        793.85","        739.25","        784.20","        783.75","        771.91","    1630817","          1258840524.60","      54388","     340435","         20.88"
"ROSSARI","EQ","19-Aug-2020","        783.75","        787.90","        797.50","        768.05","        782.20","        781.25","        785.24","    1377909","          1081992088.80","      32816","     178747","         12.97"
"ROSSARI","EQ","20-Aug-2020","        781.25","        771.20","        775.45","        761.15","        767.80","        769.10","        767.79","     833008","           639578974.70","      22126","     277865","         33.36"
"ROSSARI","EQ","21-Aug-2020","        769.10","        777.70","        805.90","        776.40","        799.95","        795.80","        795.19","    1867968","          1485396143.10","      50638","     290408","         15.55"
"ROSSARI","EQ","24-Aug-2020","        795.80","        800.00","        814.25","        793.00","        796.60","        800.85","        802.26","    1427333","          1145087716.35","      38294","     364823","         25.56"
"ROSSARI","EQ","25-Aug-2020","        800.85","        812.95","        816.00","        785.00","        792.10","        793.25","        801.91","    1135067","           910218607.80","      25401","     321348","         28.31"
"ROSSARI","EQ","26-Aug-2020","        793.25","        793.00","        799.75","        770.00","        780.25","        779.55","        784.48","     709216","           556366584.65","      14486","     373210","         52.62"
"ROSSARI","EQ","27-Aug-2020","        779.55","        787.90","        795.00","        777.05","        782.15","        782.05","        785.69","     391967","           307965766.10","      14242","     100661","         25.68"
"ROSSARI","EQ","28-Aug-2020","        782.05","        786.90","        793.60","        772.55","        774.65","        775.20","        783.29","     274889","           215316870.45","       8638","      77350","         28.14"
"ROSSARI","EQ","31-Aug-2020","        775.20","        776.00","        781.40","        721.00","        741.00","        738.10","        749.02","     641896","           480790054.40","      20779","     208318","         32.45"
"ROSSARI","EQ","01-Sep-2020","        738.10","        738.50","        745.80","        719.00","        726.00","        725.05","        732.86","     302856","           221951543.40","      12726","      66566","         21.98"
"ROSSARI","EQ","02-Sep-2020","        725.05","        725.70","        839.90","        725.70","        821.00","        815.75","        789.75","    2095168","          1654669197.35","      58138","     416477","         19.88"
"ROSSARI","EQ","03-Sep-2020","        815.75","        844.40","        859.00","        767.00","        777.00","        775.15","        818.17","    3613435","          2956408221.65","     104613","     317038","          8.77"
"ROSSARI","EQ","04-Sep-2020","        775.15","        765.00","        805.00","        755.25","        794.50","        793.05","        787.68","    1380767","          1087599623.75","      49368","     114835","          8.32"
"ROSSARI","EQ","07-Sep-2020","        793.05","        794.50","        807.70","        783.35","        802.10","        801.95","        797.04","     727530","           579866996.65","      24748","     133613","         18.37"
"ROSSARI","EQ","08-Sep-2020","        801.95","        801.00","        808.00","        782.50","        783.00","        787.50","        795.47","     313842","           249653004.90","      13304","      53757","         17.13"
"ROSSARI","EQ","09-Sep-2020","        787.50","        783.80","        784.80","        767.00","        774.00","        772.50","        773.96","     211266","           163512258.10","       9473","      44521","         21.07"
