"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SADBHAV","EQ","11-Sep-2018","        269.65","        271.60","        274.00","        260.85","        262.20","        261.95","        264.86","      81127","            21487551.15","       5007","      42303","         52.14"
"SADBHAV","EQ","12-Sep-2018","        261.95","        262.00","        262.95","        251.35","        259.00","        260.15","        256.46","     111850","            28684519.90","       5926","      45831","         40.98"
"SADBHAV","EQ","14-Sep-2018","        260.15","        260.60","        270.00","        260.60","        265.30","        264.90","        263.85","     120384","            31763845.70","       1539","      84982","         70.59"
"SADBHAV","EQ","17-Sep-2018","        264.90","        264.90","        273.00","        261.05","        269.70","        269.40","        267.57","      47755","            12777743.20","       1441","      13582","         28.44"
"SADBHAV","EQ","18-Sep-2018","        269.40","        267.65","        272.90","        263.00","        263.00","        263.65","        266.46","      50572","            13475290.15","       3475","      19662","         38.88"
"SADBHAV","EQ","19-Sep-2018","        263.65","        265.30","        266.50","        261.00","        264.50","        265.60","        263.62","      41252","            10874663.65","       2237","      19347","         46.90"
"SADBHAV","EQ","21-Sep-2018","        265.60","        266.70","        273.00","        232.85","        264.00","        259.75","        258.43","     175992","            45480910.50","       3675","     105796","         60.11"
"SADBHAV","EQ","24-Sep-2018","        259.75","        256.70","        259.25","        251.15","        253.70","        255.25","        255.71","      50589","            12936027.85","       5089","      26313","         52.01"
"SADBHAV","EQ","25-Sep-2018","        255.25","        250.15","        254.20","        245.00","        245.50","        247.45","        249.45","      90602","            22600922.95","       7235","      57066","         62.99"
"SADBHAV","EQ","26-Sep-2018","        247.45","        252.35","        252.35","        223.25","        243.00","        239.35","        232.29","     501810","           116563402.90","      15858","     280286","         55.86"
"SADBHAV","EQ","27-Sep-2018","        239.35","        239.35","        240.05","        211.35","        218.00","        219.95","        225.05","     381414","            85838228.45","      14962","     212092","         55.61"
"SADBHAV","EQ","28-Sep-2018","        219.95","        220.80","        228.00","        210.70","        225.00","        216.60","        218.73","     187206","            40947061.40","       6130","      97937","         52.32"
"SADBHAV","EQ","01-Oct-2018","        216.60","        216.60","        229.85","        199.10","        224.00","        224.10","        212.52","     266254","            56583778.50","      10719","     122838","         46.14"
"SADBHAV","EQ","03-Oct-2018","        224.10","        229.90","        229.90","        215.00","        220.00","        220.20","        219.48","     145302","            31890657.60","       4154","      80970","         55.73"
"SADBHAV","EQ","04-Oct-2018","        220.20","        218.00","        218.55","        212.00","        216.00","        214.40","        215.59","     123671","            26662415.20","       5392","      77691","         62.82"
"SADBHAV","EQ","05-Oct-2018","        214.40","        215.70","        215.70","        191.10","        205.00","        202.30","        205.81","     101877","            20967115.95","       7237","      58487","         57.41"
"SADBHAV","EQ","08-Oct-2018","        202.30","        202.20","        211.00","        201.30","        202.00","        204.70","        206.14","      79374","            16362181.50","       4030","      26432","         33.30"
"SADBHAV","EQ","09-Oct-2018","        204.70","        206.20","        206.20","        191.00","        197.50","        198.85","        199.25","     241159","            48050323.50","      11212","     157217","         65.19"
"SADBHAV","EQ","10-Oct-2018","        198.85","        199.00","        211.00","        198.00","        205.40","        208.40","        206.79","     100759","            20835695.55","       4459","      66037","         65.54"
"SADBHAV","EQ","11-Oct-2018","        208.40","        196.10","        203.40","        196.10","        200.05","        200.20","        200.19","      94566","            18931464.30","       2513","      65172","         68.92"
"SADBHAV","EQ","12-Oct-2018","        200.20","        201.10","        240.20","        201.10","        237.50","        238.15","        231.74","     609036","           141138486.65","      13357","     165412","         27.16"
"SADBHAV","EQ","15-Oct-2018","        238.15","        237.60","        246.00","        235.00","        235.55","        236.20","        239.66","     146462","            35100910.45","       5083","      29822","         20.36"
"SADBHAV","EQ","16-Oct-2018","        236.20","        237.65","        246.70","        237.00","        246.50","        244.40","        240.84","      71275","            17165671.95","       1997","      37165","         52.14"
"SADBHAV","EQ","17-Oct-2018","        244.40","        248.00","        249.00","        237.60","        240.90","        239.20","        241.04","      32937","             7939151.50","       1316","      12596","         38.24"
"SADBHAV","EQ","19-Oct-2018","        239.20","        237.00","        237.95","        225.90","        228.00","        229.00","        229.62","      27526","             6320465.25","       1494","      16030","         58.24"
"SADBHAV","EQ","22-Oct-2018","        229.00","        229.00","        233.30","        220.00","        220.00","        221.00","        224.77","     100399","            22566844.35","       3655","      80459","         80.14"
"SADBHAV","EQ","23-Oct-2018","        221.00","        220.50","        221.65","        203.55","        209.95","        209.95","        209.11","     183866","            38449004.55","       8573","     121645","         66.16"
"SADBHAV","EQ","24-Oct-2018","        209.95","        211.60","        218.70","        200.00","        200.00","        200.80","        203.81","     127356","            25956046.30","       4897","      70539","         55.39"
"SADBHAV","EQ","25-Oct-2018","        200.80","        202.00","        205.45","        196.00","        200.00","        199.95","        200.25","      88530","            17727928.65","       2608","      52264","         59.04"
"SADBHAV","EQ","26-Oct-2018","        199.95","        200.00","        202.40","        187.45","        188.00","        192.70","        193.94","     209648","            40658574.60","       8515","     151179","         72.11"
"SADBHAV","EQ","29-Oct-2018","        192.70","        192.70","        194.75","        189.30","        193.40","        192.60","        191.08","     170718","            32621060.40","       5756","     117205","         68.65"
"SADBHAV","EQ","30-Oct-2018","        192.60","        194.45","        199.20","        193.00","        195.60","        196.95","        195.75","     319393","            62519799.15","      10006","     264127","         82.70"
"SADBHAV","EQ","31-Oct-2018","        196.95","        196.95","        209.35","        196.50","        208.00","        206.05","        201.19","     529333","           106495258.55","       8904","     208142","         39.32"
"SADBHAV","EQ","01-Nov-2018","        206.05","        207.80","        216.80","        206.35","        210.00","        210.15","        211.21","     193111","            40786239.05","       4180","     119453","         61.86"
"SADBHAV","EQ","02-Nov-2018","        210.15","        211.45","        215.45","        208.30","        210.90","        210.80","        210.69","     314002","            66158186.80","      13484","     232206","         73.95"
"SADBHAV","EQ","05-Nov-2018","        210.80","        210.90","        214.80","        210.05","        213.85","        213.70","        213.47","      56260","            12009574.45","       3998","      32116","         57.08"
"SADBHAV","EQ","06-Nov-2018","        213.70","        214.40","        219.80","        213.85","        216.50","        215.90","        216.97","      28703","             6227631.30","        882","      13526","         47.12"
"SADBHAV","EQ","07-Nov-2018","        215.90","        218.90","        218.90","        213.80","        216.50","        216.10","        216.34","       5309","             1148571.35","        266","       3356","         63.21"
"SADBHAV","EQ","09-Nov-2018","        216.10","        219.70","        221.00","        215.00","        220.00","        219.40","        218.00","     173440","            37810751.20","        951","     164595","         94.90"
"SADBHAV","EQ","12-Nov-2018","        219.40","        221.00","        224.90","        219.00","        219.35","        220.50","        222.15","      48726","            10824365.00","       1376","      16850","         34.58"
"SADBHAV","EQ","13-Nov-2018","        220.50","        220.50","        220.50","        212.50","        215.00","        215.45","        215.48","      69645","            15006794.80","       2315","      24213","         34.77"
"SADBHAV","EQ","14-Nov-2018","        215.45","        216.70","        228.40","        208.75","        225.90","        223.95","        221.88","     862196","           191307968.85","       8450","     544242","         63.12"
"SADBHAV","EQ","15-Nov-2018","        223.95","        225.90","        225.90","        218.65","        221.35","        221.20","        220.48","     226013","            49831986.45","       6937","     176784","         78.22"
"SADBHAV","EQ","16-Nov-2018","        221.20","        222.90","        222.95","        218.25","        219.05","        220.25","        221.05","      90858","            20083916.80","       8231","      65483","         72.07"
"SADBHAV","EQ","19-Nov-2018","        220.25","        222.00","        222.00","        213.10","        213.30","        215.75","        216.10","      32958","             7122176.45","       1466","      17393","         52.77"
"SADBHAV","EQ","20-Nov-2018","        215.75","        215.90","        215.90","        205.00","        208.00","        208.00","        210.30","      54112","            11379690.20","       1162","      32889","         60.78"
"SADBHAV","EQ","21-Nov-2018","        208.00","        209.00","        209.00","        202.30","        203.30","        203.85","        204.35","      54819","            11202444.05","       1539","      31985","         58.35"
"SADBHAV","EQ","22-Nov-2018","        203.85","        204.00","        207.50","        203.15","        204.00","        204.40","        204.31","     159167","            32518964.35","       2603","     123133","         77.36"
"SADBHAV","EQ","26-Nov-2018","        204.40","        205.00","        208.90","        200.00","        205.85","        207.40","        203.01","     119992","            24359496.00","       5582","      59234","         49.36"
"SADBHAV","EQ","27-Nov-2018","        207.40","        207.00","        211.00","        202.05","        203.00","        203.30","        209.38","     385570","            80732320.95","       2351","     310443","         80.52"
"SADBHAV","EQ","28-Nov-2018","        203.30","        204.00","        206.30","        201.05","        202.10","        202.65","        203.47","      70581","            14360788.50","       1597","      25734","         36.46"
"SADBHAV","EQ","29-Nov-2018","        202.65","        204.00","        209.55","        202.05","        204.90","        206.10","        205.15","      52509","            10772083.30","       2870","      13576","         25.85"
"SADBHAV","EQ","30-Nov-2018","        206.10","        206.05","        211.00","        204.85","        205.20","        208.65","        208.12","      36469","             7589932.85","       2184","      26067","         71.48"
"SADBHAV","EQ","03-Dec-2018","        208.65","        209.80","        210.30","        205.25","        210.00","        207.50","        208.00","     264564","            55029380.80","       1607","      13531","          5.11"
"SADBHAV","EQ","04-Dec-2018","        207.50","        207.00","        210.55","        207.00","        207.40","        209.30","        209.11","      22136","             4628962.00","       4214","      13500","         60.99"
"SADBHAV","EQ","05-Dec-2018","        209.30","        209.00","        214.50","        207.05","        209.45","        208.55","        210.28","      42919","             9025122.15","       1526","      14802","         34.49"
"SADBHAV","EQ","06-Dec-2018","        208.55","        207.50","        209.85","        202.05","        205.00","        206.35","        207.71","     189906","            39446138.20","       2980","     131621","         69.31"
"SADBHAV","EQ","07-Dec-2018","        206.35","        208.00","        208.60","        202.05","        202.05","        203.70","        205.44","     100170","            20578931.10","       6240","      57318","         57.22"
"SADBHAV","EQ","10-Dec-2018","        203.70","        203.70","        203.70","        196.35","        197.50","        197.30","        197.78","      14057","             2780232.05","        616","       8275","         58.87"
"SADBHAV","EQ","11-Dec-2018","        197.30","        195.00","        199.25","        193.35","        198.00","        197.00","        196.99","     767461","           151185537.60","        624","     755038","         98.38"
"SADBHAV","EQ","12-Dec-2018","        197.00","        195.65","        199.55","        195.65","        198.00","        198.15","        198.18","      34156","             6769140.80","        973","      19993","         58.53"
"SADBHAV","EQ","13-Dec-2018","        198.15","        202.00","        204.80","        199.00","        200.20","        201.70","        202.30","      91894","            18590519.10","       2286","      37880","         41.22"
"SADBHAV","EQ","14-Dec-2018","        201.70","        202.70","        202.70","        196.35","        199.00","        198.20","        200.02","      34251","             6850746.70","       1623","      20564","         60.04"
"SADBHAV","EQ","17-Dec-2018","        198.20","        199.00","        201.00","        193.15","        193.50","        194.10","        196.58","      95645","            18801668.35","       2975","      41968","         43.88"
"SADBHAV","EQ","18-Dec-2018","        194.10","        194.70","        197.45","        193.05","        195.95","        195.65","        195.66","      56436","            11042329.65","       1893","      32294","         57.22"
"SADBHAV","EQ","19-Dec-2018","        195.65","        196.50","        208.40","        196.50","        204.00","        203.75","        199.50","     399948","            79791507.90","       4191","     324645","         81.17"
"SADBHAV","EQ","20-Dec-2018","        203.75","        204.00","        208.90","        202.00","        208.00","        207.90","        207.33","     166164","            34450583.10","       1465","     139742","         84.10"
"SADBHAV","EQ","21-Dec-2018","        207.90","        209.40","        210.00","        202.70","        205.00","        203.95","        205.33","      52986","            10879576.10","       1359","      32980","         62.24"
"SADBHAV","EQ","24-Dec-2018","        203.95","        204.40","        207.35","        203.85","        205.10","        205.15","        206.74","     118817","            24564170.25","        575","     108661","         91.45"
"SADBHAV","EQ","26-Dec-2018","        205.15","        205.15","        207.90","        197.30","        205.00","        205.65","        204.90","     272492","            55834525.00","       1216","     253726","         93.11"
"SADBHAV","EQ","27-Dec-2018","        205.65","        207.70","        208.00","        205.05","        207.00","        207.00","        206.98","     219932","            45522378.60","       1313","     205188","         93.30"
"SADBHAV","EQ","28-Dec-2018","        207.00","        207.35","        209.35","        207.00","        208.60","        207.80","        207.99","      18845","             3919531.95","       1326","       9204","         48.84"
"SADBHAV","EQ","31-Dec-2018","        207.80","        207.90","        214.95","        207.80","        210.05","        211.20","        212.32","      57218","            12148443.10","       1588","      20126","         35.17"
"SADBHAV","EQ","01-Jan-2019","        211.20","        211.50","        212.55","        206.80","        210.70","        210.60","        210.50","      23560","             4959282.50","        882","       7141","         30.31"
"SADBHAV","EQ","02-Jan-2019","        210.60","        209.95","        210.95","        207.25","        210.20","        209.50","        209.93","     540809","           113529783.25","       1843","     504702","         93.32"
"SADBHAV","EQ","03-Jan-2019","        209.50","        208.10","        218.50","        208.10","        211.00","        213.35","        210.67","     581064","           122412544.25","       3141","     527205","         90.73"
"SADBHAV","EQ","04-Jan-2019","        213.35","        214.95","        218.50","        211.05","        218.50","        217.00","        215.51","      35445","             7638708.65","       1492","      20579","         58.06"
"SADBHAV","EQ","07-Jan-2019","        217.00","        220.00","        227.00","        216.35","        221.70","        220.10","        220.33","      53391","            11763561.70","       1432","      26202","         49.08"
"SADBHAV","EQ","08-Jan-2019","        220.10","        220.60","        231.00","        219.45","        225.00","        224.95","        225.11","     459363","           103405820.00","       9449","     355828","         77.46"
"SADBHAV","EQ","09-Jan-2019","        224.95","        227.50","        240.00","        220.55","        223.00","        222.35","        231.33","    1316834","           304629687.75","      19982","     420621","         31.94"
"SADBHAV","EQ","10-Jan-2019","        222.35","        222.00","        228.30","        217.55","        225.00","        226.65","        222.74","     134155","            29881819.45","       5222","      76542","         57.05"
"SADBHAV","EQ","11-Jan-2019","        226.65","        228.00","        228.00","        221.50","        227.00","        224.00","        224.75","      27743","             6235323.90","        975","      14385","         51.85"
"SADBHAV","EQ","14-Jan-2019","        224.00","        223.90","        226.25","        218.45","        219.00","        219.05","        221.64","      45796","            10150124.95","       1821","      26380","         57.60"
"SADBHAV","EQ","15-Jan-2019","        219.05","        221.65","        224.95","        219.05","        219.05","        220.30","        221.89","      59461","            13193917.00","       1099","      39683","         66.74"
"SADBHAV","EQ","16-Jan-2019","        220.30","        221.65","        221.90","        213.35","        213.55","        214.10","        217.06","      88453","            19199845.00","       2738","      55484","         62.73"
"SADBHAV","EQ","17-Jan-2019","        214.10","        213.15","        216.75","        213.15","        215.15","        215.75","        215.24","      44610","             9601673.50","       2004","      21367","         47.90"
"SADBHAV","EQ","18-Jan-2019","        215.75","        214.05","        217.90","        205.15","        206.00","        206.85","        209.27","      44322","             9275091.60","       1378","      23800","         53.70"
"SADBHAV","EQ","21-Jan-2019","        206.85","        209.90","        214.80","        207.00","        207.10","        208.50","        210.97","      49828","            10511983.50","       1305","      26319","         52.82"
"SADBHAV","EQ","22-Jan-2019","        208.50","        210.90","        210.90","        199.00","        201.00","        202.05","        202.20","     191480","            38717375.45","       2378","     167056","         87.24"
"SADBHAV","EQ","23-Jan-2019","        202.05","        200.00","        204.70","        198.15","        199.00","        199.60","        200.06","     351031","            70226930.50","       1839","     328280","         93.52"
