"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SAGCEM","EQ","11-Sep-2018","        733.55","        734.00","        734.25","        725.55","        729.80","        729.40","        729.31","       1338","              975811.60","        133","        905","         67.64"
"SAGCEM","EQ","12-Sep-2018","        729.40","        730.10","        733.00","        720.10","        733.00","        732.10","        725.99","       2324","             1687190.95","        140","       1955","         84.12"
"SAGCEM","EQ","14-Sep-2018","        732.10","        732.00","        734.95","        726.00","        727.00","        727.75","        729.25","       1674","             1220756.60","        118","       1158","         69.18"
"SAGCEM","EQ","17-Sep-2018","        727.75","        727.00","        731.95","        710.70","        729.95","        728.80","        724.70","       1089","              789202.50","        141","        922","         84.66"
"SAGCEM","EQ","18-Sep-2018","        728.80","        720.10","        734.90","        720.10","        725.80","        724.40","        725.97","        973","              706371.25","        101","        582","         59.82"
"SAGCEM","EQ","19-Sep-2018","        724.40","        720.95","        721.25","        705.25","        712.00","        708.35","        713.82","       1761","             1257028.90","        179","       1175","         66.72"
"SAGCEM","EQ","21-Sep-2018","        708.35","        727.00","        727.00","        695.00","        695.10","        699.25","        703.82","       2149","             1512504.85","        164","       1530","         71.20"
"SAGCEM","EQ","24-Sep-2018","        699.25","        705.00","        707.20","        663.25","        664.00","        668.20","        679.42","       3165","             2150362.75","        244","       2273","         71.82"
"SAGCEM","EQ","25-Sep-2018","        668.20","        668.00","        686.00","        657.00","        686.00","        672.25","        663.76","       1743","             1156939.55","        163","       1029","         59.04"
"SAGCEM","EQ","26-Sep-2018","        672.25","        667.15","        684.80","        661.40","        666.00","        667.20","        668.86","        879","              587929.65","        107","        552","         62.80"
"SAGCEM","EQ","27-Sep-2018","        667.20","        668.00","        693.95","        650.00","        650.25","        653.90","        664.54","       1257","              835326.55","        165","        819","         65.16"
"SAGCEM","EQ","28-Sep-2018","        653.90","        660.40","        765.00","        631.45","        670.20","        703.65","        674.20","      13700","             9236483.55","        566","      11417","         83.34"
"SAGCEM","EQ","01-Oct-2018","        703.65","        727.00","        727.00","        655.05","        668.00","        668.95","        670.20","       3264","             2187543.65","        275","       1596","         48.90"
"SAGCEM","EQ","03-Oct-2018","        668.95","        660.00","        676.80","        650.00","        650.00","        655.95","        663.62","        777","              515636.60","         96","        413","         53.15"
