"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SALONA","EQ","11-Sep-2018","        102.95","         99.00","        107.45","         99.00","        103.45","        101.65","        103.47","       7181","              743044.50","        145","       3387","         47.17"
"SALONA","EQ","12-Sep-2018","        101.65","        104.40","        104.40","         96.60","         99.90","         98.45","         98.76","       2909","              287288.65","         39","       2395","         82.33"
"SALONA","EQ","14-Sep-2018","         98.45","         94.25","        103.00","         94.25","         98.00","         98.30","        101.11","       5125","              518174.85","         67","       4159","         81.15"
"SALONA","EQ","17-Sep-2018","         98.30","         98.00","         98.00","         94.35","         94.60","         96.05","         95.84","       1011","               96893.25","         39","        610","         60.34"
"SALONA","EQ","18-Sep-2018","         96.05","         98.85","         98.85","         95.50","         98.00","         98.00","         97.99","        430","               42137.00","         17","        230","         53.49"
"SALONA","EQ","19-Sep-2018","         98.00","         94.05","        100.90","         93.10","         93.10","         94.10","         96.48","       1816","              175210.55","         40","       1275","         70.21"
"SALONA","EQ","21-Sep-2018","         94.10","         95.00","         98.50","         89.50","         89.50","         91.50","         96.18","       2785","              267849.80","         42","       1579","         56.70"
"SALONA","EQ","24-Sep-2018","         91.50","         90.00","         94.90","         86.95","         86.95","         87.10","         88.96","       1006","               89494.20","         37","        786","         78.13"
"SALONA","EQ","25-Sep-2018","         87.10","         83.20","         89.75","         83.20","         88.10","         89.50","         88.40","        596","               52684.55","         15","        582","         97.65"
"SALONA","EQ","26-Sep-2018","         89.50","         87.00","         89.50","         85.85","         86.10","         86.10","         86.27","        739","               63752.05","         17","        632","         85.52"
"SALONA","EQ","27-Sep-2018","         86.10","         89.00","         89.00","         85.00","         85.00","         86.20","         86.28","         52","                4486.50","          4","         51","         98.08"
"SALONA","EQ","28-Sep-2018","         86.20","         82.10","         82.10","         81.90","         81.90","         81.90","         81.94","        318","               26056.20","         11","        140","         44.03"
