"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SEAMECLTD","EQ","11-Sep-2018","        276.75","        275.15","        279.20","        267.55","        273.00","        269.15","        272.57","       3799","             1035488.35","        113","       2648","         69.70"
"SEAMECLTD","EQ","12-Sep-2018","        269.15","        266.30","        277.75","        265.85","        270.00","        271.70","        270.37","      12317","             3330176.20","         91","       9625","         78.14"
"SEAMECLTD","EQ","14-Sep-2018","        271.70","        265.05","        281.00","        265.05","        269.80","        268.60","        276.71","       4725","             1307474.70","         78","       4066","         86.05"
"SEAMECLTD","EQ","17-Sep-2018","        268.60","        273.00","        273.60","        265.05","        265.20","        267.95","        266.99","       1625","              433851.35","         36","       1132","         69.66"
"SEAMECLTD","EQ","18-Sep-2018","        267.95","        266.60","        269.25","        262.00","        262.00","        264.70","        266.60","       6282","             1674810.85","         32","       5911","         94.09"
"SEAMECLTD","EQ","19-Sep-2018","        264.70","        276.75","        276.75","        251.55","        251.70","        255.10","        257.87","       3390","              874182.90","         71","       1866","         55.04"
"SEAMECLTD","EQ","21-Sep-2018","        255.10","        251.20","        262.00","        242.35","        244.30","        255.65","        252.02","       7334","             1848292.30","        113","       5982","         81.57"
"SEAMECLTD","EQ","24-Sep-2018","        255.65","        245.00","        251.00","        242.90","        242.90","        242.90","        244.94","      12302","             3013212.40","        186","       9800","         79.66"
"SEAMECLTD","EQ","25-Sep-2018","        242.90","        232.25","        248.50","        232.25","        233.15","        236.90","        238.66","       4676","             1115958.35","        101","       2632","         56.29"
"SEAMECLTD","EQ","26-Sep-2018","        236.90","        230.00","        244.75","        226.10","        244.75","        238.45","        237.51","       2942","              698749.85","         74","       2664","         90.55"
"SEAMECLTD","EQ","27-Sep-2018","        238.45","        232.90","        235.00","        226.55","        227.50","        226.60","        230.16","       1009","              232229.75","         35","        913","         90.49"
"SEAMECLTD","EQ","28-Sep-2018","        226.60","        228.00","        228.00","        215.30","        219.50","        215.35","        217.77","       2149","              467996.35","         66","       1466","         68.22"
"SEAMECLTD","EQ","01-Oct-2018","        215.35","        204.60","        210.00","        204.60","        204.60","        204.60","        205.30","       1015","              208374.80","         32","       1014","         99.90"
"SEAMECLTD","EQ","03-Oct-2018","        204.60","        214.00","        214.80","        210.00","        214.00","        214.30","        213.31","       2468","              526438.90","         37","       2349","         95.18"
"SEAMECLTD","EQ","04-Oct-2018","        214.30","        220.00","        225.00","        220.00","        225.00","        225.00","        223.07","       2604","              580883.40","         45","       2127","         81.68"
"SEAMECLTD","EQ","05-Oct-2018","        225.00","        235.95","        236.25","        230.00","        232.50","        232.30","        233.58","       1439","              336115.70","         75","        863","         59.97"
"SEAMECLTD","EQ","08-Oct-2018","        232.30","        220.70","        239.95","        220.70","        220.70","        220.70","        223.60","       2423","              541789.80","         42","       1818","         75.03"
"SEAMECLTD","EQ","09-Oct-2018","        220.70","        210.00","        223.10","        209.70","        209.70","        210.05","        212.66","       1137","              241799.70","         36","       1026","         90.24"
"SEAMECLTD","EQ","10-Oct-2018","        210.05","        218.00","        220.55","        201.15","        220.55","        220.55","        213.92","       2876","              615243.55","         70","       1673","         58.17"
"SEAMECLTD","EQ","11-Oct-2018","        220.55","        229.80","        231.55","        212.20","        224.95","        225.65","        229.11","      11052","             2532116.55","        157","       8368","         75.71"
"SEAMECLTD","EQ","12-Oct-2018","        225.65","        225.65","        232.00","        223.50","        229.95","        228.90","        231.22","       1316","              304279.65","         28","       1182","         89.82"
"SEAMECLTD","EQ","15-Oct-2018","        228.90","        239.95","        239.95","        231.00","        232.80","        232.00","        232.37","         79","               18357.30","          7","         77","         97.47"
"SEAMECLTD","EQ","16-Oct-2018","        232.00","        223.15","        243.60","        223.15","        237.50","        238.35","        238.93","      10851","             2592610.05","         70","       9997","         92.13"
"SEAMECLTD","EQ","17-Oct-2018","        238.35","        240.00","        249.00","        235.90","        237.50","        237.50","        240.71","       2362","              568545.45","         31","       2256","         95.51"
"SEAMECLTD","EQ","19-Oct-2018","        237.50","        230.40","        245.45","        228.00","        232.30","        233.95","        232.36","       2333","              542091.15","         31","       2094","         89.76"
"SEAMECLTD","EQ","22-Oct-2018","        233.95","        229.05","        233.00","        222.30","        225.00","        225.00","        224.23","       4749","             1064870.35","         22","       4199","         88.42"
"SEAMECLTD","EQ","23-Oct-2018","        225.00","        218.00","        223.95","        218.00","        222.00","        222.10","        221.00","        416","               91935.20","         16","        330","         79.33"
"SEAMECLTD","EQ","24-Oct-2018","        222.10","        228.00","        233.00","        218.05","        225.00","        225.30","        227.00","       4305","              977226.75","         56","       3850","         89.43"
"SEAMECLTD","EQ","25-Oct-2018","        225.30","        220.20","        225.00","        220.00","        220.00","        221.25","        220.67","        287","               63332.50","         11","        187","         65.16"
"SEAMECLTD","EQ","26-Oct-2018","        221.25","        221.00","        232.00","        215.00","        215.00","        223.65","        224.96","       4863","             1094004.00","         66","       3542","         72.84"
"SEAMECLTD","EQ","29-Oct-2018","        223.65","        225.00","        234.80","        217.00","        217.00","        217.05","        227.62","       5563","             1266237.80","         85","       4401","         79.11"
"SEAMECLTD","EQ","30-Oct-2018","        217.05","        237.40","        238.75","        227.00","        229.75","        229.70","        236.39","       4410","             1042484.85","        129","       2713","         61.52"
"SEAMECLTD","EQ","31-Oct-2018","        229.70","        244.00","        244.00","        230.00","        235.00","        234.45","        237.75","       4797","             1140479.75","         71","       3909","         81.49"
"SEAMECLTD","EQ","01-Nov-2018","        234.45","        233.00","        234.40","        230.55","        233.95","        233.95","        231.07","        409","               94509.55","         12","        378","         92.42"
"SEAMECLTD","EQ","02-Nov-2018","        233.95","        232.90","        239.75","        229.95","        230.00","        230.00","        232.80","       9093","             2116867.20","        116","       8230","         90.51"
"SEAMECLTD","EQ","05-Nov-2018","        230.00","        239.00","        239.00","        227.00","        227.00","        228.75","        229.53","        512","              117519.75","         17","        407","         79.49"
"SEAMECLTD","EQ","06-Nov-2018","        228.75","        232.90","        232.90","        223.50","        229.00","        228.90","        226.40","       7493","             1696444.75","        102","       6296","         84.03"
"SEAMECLTD","EQ","07-Nov-2018","        228.90","        238.95","        239.00","        225.60","        231.00","        231.50","        232.37","       2312","              537228.40","         44","       1353","         58.52"
"SEAMECLTD","EQ","09-Nov-2018","        231.50","        229.40","        230.00","        226.00","        226.00","        227.25","        227.69","       2268","              516396.20","         31","       1947","         85.85"
"SEAMECLTD","EQ","12-Nov-2018","        227.25","        225.10","        232.50","        221.45","        226.00","        227.95","        226.67","      15381","             3486429.25","         75","      12982","         84.40"
"SEAMECLTD","EQ","13-Nov-2018","        227.95","        221.10","        230.00","        212.50","        230.00","        224.70","        223.99","      27928","             6255691.40","        236","      23798","         85.21"
"SEAMECLTD","EQ","14-Nov-2018","        224.70","        215.25","        223.95","        206.35","        220.00","        220.00","        216.54","      20135","             4360083.20","        266","      16564","         82.26"
"SEAMECLTD","EQ","15-Nov-2018","        220.00","        217.10","        222.35","        211.60","        215.00","        216.55","        219.11","       2539","              556319.20","         91","       1950","         76.80"
"SEAMECLTD","EQ","16-Nov-2018","        216.55","        223.90","        223.90","        215.70","        220.00","        220.00","        218.98","      11807","             2585480.00","         76","      11658","         98.74"
"SEAMECLTD","EQ","19-Nov-2018","        220.00","        241.90","        241.90","        217.00","        226.00","        225.10","        224.17","      50563","            11334838.80","        504","      39427","         77.98"
"SEAMECLTD","EQ","20-Nov-2018","        225.10","        224.50","        226.00","        215.20","        223.95","        217.20","        219.17","      17054","             3737736.75","         84","      16264","         95.37"
"SEAMECLTD","EQ","21-Nov-2018","        217.20","        219.00","        220.80","        208.10","        208.10","        212.80","        215.61","      26708","             5758592.55","         97","      26046","         97.52"
"SEAMECLTD","EQ","22-Nov-2018","        212.80","        212.10","        218.00","        212.05","        214.00","        214.95","        215.13","       1249","              268697.10","         55","        429","         34.35"
"SEAMECLTD","EQ","26-Nov-2018","        214.95","        209.10","        214.00","        207.05","        212.00","        213.95","        211.33","      40883","             8639987.65","         90","      40476","         99.00"
"SEAMECLTD","EQ","27-Nov-2018","        213.95","        218.90","        218.90","        206.25","        206.25","        209.60","        212.16","       6843","             1451817.05","        131","       5715","         83.52"
"SEAMECLTD","EQ","28-Nov-2018","        209.60","        203.60","        215.30","        198.00","        203.00","        202.40","        204.33","      32610","             6663264.95","        173","      30619","         93.89"
"SEAMECLTD","EQ","29-Nov-2018","        202.40","        201.15","        203.95","        197.45","        200.00","        200.25","        201.33","       1575","              317094.75","         58","       1120","         71.11"
"SEAMECLTD","EQ","30-Nov-2018","        200.25","        191.15","        203.85","        190.00","        196.50","        198.35","        196.14","      20771","             4073956.10","         93","      20476","         98.58"
"SEAMECLTD","EQ","03-Dec-2018","        198.35","        192.80","        206.40","        187.10","        206.40","        202.35","        201.93","       7667","             1548178.70","        241","       5737","         74.83"
"SEAMECLTD","EQ","04-Dec-2018","        202.35","        201.90","        212.80","        201.90","        212.80","        205.25","        204.72","       2237","              457961.00","         77","       2116","         94.59"
"SEAMECLTD","EQ","05-Dec-2018","        205.25","        202.40","        209.50","        201.05","        209.50","        207.20","        205.97","      32044","             6600187.40","        168","      31550","         98.46"
"SEAMECLTD","EQ","06-Dec-2018","        207.20","        207.90","        209.50","        202.70","        208.00","        208.00","        206.66","       1751","              361868.40","         82","       1057","         60.37"
"SEAMECLTD","EQ","07-Dec-2018","        208.00","        205.00","        210.00","        205.00","        206.00","        206.75","        206.04","      13824","             2848288.55","        111","      13119","         94.90"
"SEAMECLTD","EQ","10-Dec-2018","        206.75","        203.00","        207.85","        200.20","        206.00","        205.35","        204.61","       2494","              510285.40","         68","       2063","         82.72"
"SEAMECLTD","EQ","11-Dec-2018","        205.35","        217.70","        217.70","        205.05","        207.00","        206.90","        206.43","        656","              135416.65","         19","        538","         82.01"
"SEAMECLTD","EQ","12-Dec-2018","        206.90","        207.05","        207.10","        207.00","        207.00","        207.00","        207.01","       5383","             1114338.15","         81","       5364","         99.65"
"SEAMECLTD","EQ","13-Dec-2018","        207.00","        204.40","        209.60","        204.40","        206.00","        206.05","        205.89","        985","              202805.35","         28","        608","         61.73"
"SEAMECLTD","EQ","14-Dec-2018","        206.05","        201.05","        209.60","        201.05","        209.40","        206.10","        206.54","       8161","             1685586.85","         69","       8019","         98.26"
"SEAMECLTD","EQ","17-Dec-2018","        206.10","        209.25","        209.25","        205.10","        206.15","        206.90","        206.98","       5345","             1106315.70","         23","       5186","         97.03"
"SEAMECLTD","EQ","18-Dec-2018","        206.90","        207.00","        208.85","        199.00","        201.00","        199.15","        200.15","      35617","             7128567.65","        282","      30207","         84.81"
"SEAMECLTD","EQ","19-Dec-2018","        199.15","        188.25","        204.55","        188.25","        204.00","        203.90","        202.31","      28086","             5682187.05","        153","      26160","         93.14"
"SEAMECLTD","EQ","20-Dec-2018","        203.90","        204.40","        204.40","        197.80","        201.00","        201.70","        200.46","      10322","             2069109.85","         68","       8451","         81.87"
"SEAMECLTD","EQ","21-Dec-2018","        201.70","        199.70","        240.00","        196.60","        197.00","        199.95","        205.38","      93939","            19293091.10","       1056","      58652","         62.44"
"SEAMECLTD","EQ","24-Dec-2018","        199.95","        202.00","        203.65","        199.00","        200.00","        200.35","        200.16","      36473","             7300284.95","        239","      33959","         93.11"
"SEAMECLTD","EQ","26-Dec-2018","        200.35","        199.95","        206.00","        197.10","        201.00","        200.00","        200.23","      85736","            17166782.50","        344","      75210","         87.72"
"SEAMECLTD","EQ","27-Dec-2018","        200.00","        200.20","        209.40","        198.50","        209.40","        201.60","        200.49","     348747","            69919734.05","       2024","     198665","         56.97"
"SEAMECLTD","EQ","28-Dec-2018","        201.60","        202.15","        203.00","        200.00","        200.00","        200.00","        200.02","     112049","            22411656.50","        273","     104824","         93.55"
"SEAMECLTD","EQ","31-Dec-2018","        200.00","        203.00","        203.35","        200.00","        200.00","        200.05","        200.55","       1984","              397897.35","        176","       1539","         77.57"
"SEAMECLTD","EQ","01-Jan-2019","        200.05","        198.00","        212.00","        198.00","        206.90","        202.40","        205.24","     235983","            48432886.60","       1414","     124797","         52.88"
"SEAMECLTD","EQ","02-Jan-2019","        202.40","        208.50","        213.00","        201.00","        212.90","        211.20","        207.07","      27524","             5699440.50","        671","      15335","         55.72"
"SEAMECLTD","EQ","03-Jan-2019","        211.20","        215.00","        217.80","        204.00","        212.20","        211.75","        209.85","      20453","             4291983.15","        409","      13857","         67.75"
"SEAMECLTD","EQ","04-Jan-2019","        211.75","        212.25","        212.25","        205.00","        207.60","        207.55","        207.02","       4389","              908612.40","        162","       1887","         42.99"
