"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SELAN","EQ","14-Sep-2018","        238.25","        239.90","        244.00","        236.10","        237.20","        237.00","        239.10","      92010","            21999348.95","       1576","      47577","         51.71"
"SELAN","EQ","17-Sep-2018","        237.00","        236.05","        244.00","        234.05","        239.10","        238.95","        239.55","     162408","            38904058.70","       2800","      56985","         35.09"
"SELAN","EQ","18-Sep-2018","        238.95","        239.90","        245.90","        237.00","        240.15","        239.90","        241.35","     164277","            39648789.45","       2935","      56029","         34.11"
"SELAN","EQ","19-Sep-2018","        239.90","        241.30","        255.00","        239.60","        250.00","        249.45","        248.13","     682629","           169380138.00","       7977","     143218","         20.98"
"SELAN","EQ","21-Sep-2018","        249.45","        250.70","        251.55","        221.00","        233.00","        233.25","        240.39","     268090","            64447106.75","       3804","     119621","         44.62"
"SELAN","EQ","24-Sep-2018","        233.25","        236.10","        239.35","        225.70","        229.30","        229.75","        232.00","     273554","            63465673.95","       4883","      86773","         31.72"
"SELAN","EQ","25-Sep-2018","        229.75","        232.20","        238.00","        226.00","        230.30","        230.15","        229.39","     174029","            39920219.15","       2815","      91460","         52.55"
"SELAN","EQ","26-Sep-2018","        230.15","        232.00","        235.85","        229.00","        229.25","        229.65","        231.90","      96173","            22302137.15","       2109","      32435","         33.73"
"SELAN","EQ","27-Sep-2018","        229.65","        231.15","        233.00","        223.20","        224.00","        224.65","        227.29","      70273","            15972096.60","       1621","      30084","         42.81"
"SELAN","EQ","28-Sep-2018","        224.65","        226.20","        229.45","        205.95","        206.20","        209.50","        216.08","     146536","            31663715.35","       3595","      67519","         46.08"
"SELAN","EQ","01-Oct-2018","        209.50","        209.00","        227.00","        201.50","        224.05","        223.35","        214.78","     157582","            33844714.85","       3855","      79777","         50.63"
"SELAN","EQ","03-Oct-2018","        223.35","        228.00","        239.00","        224.10","        235.55","        234.60","        232.52","     216913","            50436089.80","       4628","      66939","         30.86"
"SELAN","EQ","04-Oct-2018","        234.60","        234.60","        238.95","        224.80","        227.20","        228.20","        230.54","     135980","            31349038.00","       3426","      49212","         36.19"
"SELAN","EQ","05-Oct-2018","        228.20","        227.50","        229.40","        215.00","        215.20","        218.45","        221.40","      88920","            19686683.15","       2567","      41356","         46.51"
"SELAN","EQ","08-Oct-2018","        218.45","        217.70","        219.80","        208.00","        213.60","        213.60","        214.71","      62825","            13489079.75","       2210","      26783","         42.63"
"SELAN","EQ","09-Oct-2018","        213.60","        214.00","        217.75","        207.55","        213.00","        213.30","        212.72","      65921","            14022825.60","       2064","      23232","         35.24"
"SELAN","EQ","10-Oct-2018","        213.30","        213.50","        222.80","        213.50","        221.00","        219.50","        219.20","      70864","            15533302.50","       1933","      21802","         30.77"
"SELAN","EQ","11-Oct-2018","        219.50","        204.00","        223.55","        204.00","        213.00","        213.35","        214.81","     144086","            30950544.95","       3787","      28833","         20.01"
"SELAN","EQ","12-Oct-2018","        213.35","        215.10","        231.50","        215.00","        220.85","        221.45","        224.32","      91062","            20427417.75","       2374","      33207","         36.47"
"SELAN","EQ","15-Oct-2018","        221.45","        222.45","        229.40","        220.10","        227.35","        226.80","        225.19","      56407","            12702485.15","       1635","      21367","         37.88"
"SELAN","EQ","16-Oct-2018","        226.80","        228.80","        234.45","        227.15","        229.05","        230.00","        230.44","      47223","            10882060.40","       1424","      22544","         47.74"
"SELAN","EQ","17-Oct-2018","        230.00","        232.90","        234.50","        223.25","        226.00","        224.80","        227.77","      59869","            13636489.90","       1811","      28827","         48.15"
"SELAN","EQ","19-Oct-2018","        224.80","        221.00","        225.80","        200.05","        211.55","        211.85","        211.84","     138835","            29410612.80","       3900","      51489","         37.09"
