"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SETF10GILT","EQ","12-Sep-2018","        158.55","        159.55","        159.55","        159.55","        159.55","        159.55","        159.55","          1","                 159.55","          1","          1","        100.00"
"SETF10GILT","EQ","14-Sep-2018","        159.55","        160.00","        160.00","        160.00","        160.00","        160.00","        160.00","          7","                1120.00","          1","          7","        100.00"
"SETF10GILT","EQ","17-Sep-2018","        160.00","        160.00","        160.00","        160.00","        160.00","        160.00","        160.00","          1","                 160.00","          1","          1","        100.00"
"SETF10GILT","EQ","21-Sep-2018","        160.00","        159.01","        159.01","        159.00","        159.00","        159.00","        159.00","        190","               30210.07","          2","        190","        100.00"
"SETF10GILT","EQ","24-Sep-2018","        159.00","        159.00","        159.00","        159.00","        159.00","        159.00","        159.00","         10","                1590.00","          1","         10","        100.00"
"SETF10GILT","EQ","25-Sep-2018","        159.00","        159.00","        159.00","        159.00","        159.00","        159.00","        159.00","          7","                1113.00","          1","          7","        100.00"
"SETF10GILT","EQ","26-Sep-2018","        159.00","        158.55","        158.55","        158.55","        158.55","        158.55","        158.55","        500","               79275.00","          2","        500","        100.00"
"SETF10GILT","EQ","28-Sep-2018","        158.55","        157.01","        157.01","        156.75","        156.75","        156.75","        156.90","        183","               28712.07","          5","        183","        100.00"
"SETF10GILT","EQ","01-Oct-2018","        156.75","        159.75","        161.99","        159.55","        161.00","        161.00","        159.67","        202","               32252.99","          4","        201","         99.50"
"SETF10GILT","EQ","03-Oct-2018","        161.00","        178.70","        178.70","        160.00","        161.99","        161.99","        166.92","          4","                 667.69","          4","          1","         25.00"
"SETF10GILT","EQ","04-Oct-2018","        161.99","        158.00","        158.00","        157.85","        157.85","        157.85","        157.97","        123","               19430.55","          2","        123","        100.00"
"SETF10GILT","EQ","08-Oct-2018","        157.85","        157.00","        161.00","        157.00","        161.00","        161.00","        158.08","       4698","              742638.00","          5","       4698","        100.00"
"SETF10GILT","EQ","09-Oct-2018","        161.00","        160.50","        160.50","        160.50","        160.50","        160.50","        160.50","         21","                3370.50","          1","         21","        100.00"
"SETF10GILT","EQ","10-Oct-2018","        160.50","        159.51","        159.51","        159.50","        159.50","        159.50","        159.50","         34","                5423.07","          2","         34","        100.00"
"SETF10GILT","EQ","12-Oct-2018","        159.50","        162.55","        162.55","        162.55","        162.55","        162.55","        162.55","          1","                 162.55","          1","          1","        100.00"
"SETF10GILT","EQ","15-Oct-2018","        162.55","        162.55","        162.55","        160.00","        160.00","        160.00","        161.28","          2","                 322.55","          2","          1","         50.00"
"SETF10GILT","EQ","16-Oct-2018","        160.00","        162.95","        162.95","        162.95","        162.95","        162.95","        162.95","         18","                2933.10","          1","         18","        100.00"
"SETF10GILT","EQ","17-Oct-2018","        162.95","        162.95","        162.95","        161.00","        161.00","        161.00","        161.98","          2","                 323.95","          2","          1","         50.00"
"SETF10GILT","EQ","19-Oct-2018","        161.00","        161.00","        161.00","        161.00","        161.00","        161.00","        161.00","          1","                 161.00","          1","          1","        100.00"
"SETF10GILT","EQ","22-Oct-2018","        161.00","        167.00","        179.00","        162.00","        178.99","        178.99","        170.78","         14","                2390.96","          8","          5","         35.71"
"SETF10GILT","EQ","24-Oct-2018","        178.99","        171.99","        171.99","        171.99","        171.99","        171.99","        171.99","          1","                 171.99","          1","          1","        100.00"
"SETF10GILT","EQ","29-Oct-2018","        171.99","        165.25","        165.25","        165.25","        165.25","        165.25","        165.25","         25","                4131.25","          2","         25","        100.00"
"SETF10GILT","EQ","31-Oct-2018","        165.25","        164.55","        165.25","        162.25","        162.25","        162.25","        163.57","        400","               65427.50","          5","          0","          0.00"
"SETF10GILT","EQ","06-Nov-2018","        162.25","        162.25","        162.25","        162.25","        162.25","        162.25","        162.25","         24","                3894.00","          2","         24","        100.00"
"SETF10GILT","EQ","09-Nov-2018","        162.25","        174.00","        174.00","        174.00","        174.00","        174.00","        174.00","         10","                1740.00","          1","         10","        100.00"
"SETF10GILT","EQ","12-Nov-2018","        174.00","        167.09","        167.09","        165.49","        165.49","        165.49","        165.52","         63","               10427.52","          5","         62","         98.41"
"SETF10GILT","EQ","13-Nov-2018","        165.49","        165.49","        165.49","        162.25","        162.25","        163.81","        164.06","        400","               65623.00","          8","        200","         50.00"
"SETF10GILT","EQ","14-Nov-2018","        163.81","        163.75","        166.00","        163.75","        166.00","        166.00","        164.59","          8","                1316.75","          2","          5","         62.50"
"SETF10GILT","EQ","16-Nov-2018","        166.00","        166.00","        166.00","        166.00","        166.00","        166.00","        166.00","         11","                1826.00","          2","         11","        100.00"
"SETF10GILT","EQ","27-Nov-2018","        166.00","        164.75","        164.75","        164.75","        164.75","        164.75","        164.75","         34","                5601.50","          1","         34","        100.00"
"SETF10GILT","EQ","30-Nov-2018","        164.75","        166.00","        166.00","        165.75","        165.75","        165.75","        165.88","         99","               16421.75","          3","         99","        100.00"
"SETF10GILT","EQ","03-Dec-2018","        165.75","        168.00","        168.00","        168.00","        168.00","        168.00","        168.00","         30","                5040.00","          1","         30","        100.00"
"SETF10GILT","EQ","05-Dec-2018","        168.00","        168.00","        168.00","        168.00","        168.00","        168.00","        168.00","          5","                 840.00","          1","          5","        100.00"
"SETF10GILT","EQ","06-Dec-2018","        168.00","        168.00","        168.00","        167.25","        167.25","        167.37","        167.70","        250","               41925.00","          5","        200","         80.00"
"SETF10GILT","EQ","07-Dec-2018","        167.37","        167.00","        168.10","        167.00","        167.25","        167.37","        167.45","        400","               66980.00","          8","        250","         62.50"
"SETF10GILT","EQ","12-Dec-2018","        167.37","        167.00","        167.00","        167.00","        167.00","        167.00","        167.00","        175","               29225.00","          3","        175","        100.00"
"SETF10GILT","EQ","13-Dec-2018","        167.00","        168.55","        168.55","        168.00","        168.00","        168.00","        168.27","        150","               25240.00","          4","        150","        100.00"
"SETF10GILT","EQ","14-Dec-2018","        168.00","        168.00","        168.75","        168.00","        168.00","        168.24","        168.36","        152","               25590.75","          6","        152","        100.00"
"SETF10GILT","EQ","18-Dec-2018","        168.24","        170.25","        190.00","        168.11","        168.11","        168.39","        183.11","       2380","              435793.35","         51","       1500","         63.03"
"SETF10GILT","EQ","20-Dec-2018","        168.39","        176.00","        186.00","        172.94","        175.00","        175.00","        182.17","       1008","              183627.00","         20","       1001","         99.31"
"SETF10GILT","EQ","21-Dec-2018","        175.00","        172.94","        172.94","        169.25","        169.25","        169.25","        169.83","        296","               50271.14","          7","        296","        100.00"
"SETF10GILT","EQ","24-Dec-2018","        169.25","        170.00","        170.00","        170.00","        170.00","        170.00","        170.00","         37","                6290.00","          1","         37","        100.00"
"SETF10GILT","EQ","28-Dec-2018","        170.00","        170.00","        170.00","        170.00","        170.00","        170.00","        170.00","          6","                1020.00","          2","          6","        100.00"
