"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SETFNIF50","EQ","11-Sep-2018","        116.42","        116.46","        116.50","        114.62","        114.74","        114.82","        115.78","      40777","             4721167.68","        241","      40366","         98.99"
"SETFNIF50","EQ","12-Sep-2018","        114.82","        117.00","        117.00","        114.16","        115.56","        115.48","        114.92","      24949","             2867228.34","        147","      24113","         96.65"
"SETFNIF50","EQ","14-Sep-2018","        115.48","        115.50","        117.11","        115.00","        116.91","        117.06","        116.44","       5234","              609466.05","         92","       3608","         68.93"
"SETFNIF50","EQ","17-Sep-2018","        117.06","        117.10","        117.10","        115.38","        115.46","        115.51","        115.80","      10562","             1223079.94","        140","       9470","         89.66"
"SETFNIF50","EQ","18-Sep-2018","        115.51","        115.00","        115.89","        114.00","        114.85","        114.73","        115.55","     194394","            22462330.59","        190","     194390","        100.00"
"SETFNIF50","EQ","19-Sep-2018","        114.73","        115.00","        115.17","        113.80","        114.29","        114.33","        114.65","      21806","             2500152.54","        165","      21290","         97.63"
"SETFNIF50","EQ","21-Sep-2018","        114.33","        114.30","        115.30","        111.00","        113.43","        113.25","        113.24","      37820","             4282825.27","        316","      30736","         81.27"
"SETFNIF50","EQ","24-Sep-2018","        113.25","        116.00","        116.00","        111.14","        111.65","        111.49","        111.94","      42490","             4756518.34","        298","      37425","         88.08"
"SETFNIF50","EQ","25-Sep-2018","        111.49","        110.10","        112.67","        110.10","        112.50","        112.55","        111.64","      38526","             4300863.06","        220","      35158","         91.26"
"SETFNIF50","EQ","26-Sep-2018","        112.55","        113.00","        113.05","        111.60","        112.22","        112.25","        112.32","      10483","             1177433.32","        151","       7333","         69.95"
"SETFNIF50","EQ","27-Sep-2018","        112.25","        115.00","        115.00","        111.80","        112.30","        112.29","        111.99","      62485","             6998005.38","        135","      61694","         98.73"
"SETFNIF50","EQ","28-Sep-2018","        112.29","        112.08","        113.00","        110.97","        112.90","        112.67","        111.54","     121566","            13559886.94","        270","     114794","         94.43"
"SETFNIF50","EQ","01-Oct-2018","        112.67","        113.00","        113.00","        110.00","        112.35","        112.30","        110.62","      66419","             7347207.18","        308","      59968","         90.29"
"SETFNIF50","EQ","03-Oct-2018","        112.30","        111.44","        111.60","        110.25","        110.35","        110.43","        111.09","      99168","            11016816.16","        376","      89556","         90.31"
"SETFNIF50","EQ","04-Oct-2018","        110.43","        110.40","        110.40","        107.55","        107.55","        108.06","        108.47","     118371","            12840051.87","        765","     109852","         92.80"
