"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PRAKASHCON","EQ","11-Sep-2018","          5.65","          5.80","          5.80","          5.60","          5.60","          5.60","          5.64","     146531","              826872.55","        150","     108924","         74.34"
"PRAKASHCON","EQ","12-Sep-2018","          5.60","          5.55","          5.75","          5.40","          5.40","          5.45","          5.51","     217842","             1200470.95","        208","     156338","         71.77"
"PRAKASHCON","EQ","14-Sep-2018","          5.45","          5.50","          5.60","          5.40","          5.40","          5.45","          5.53","     117085","              646987.20","        129","      85505","         73.03"
"PRAKASHCON","EQ","17-Sep-2018","          5.45","          5.35","          5.60","          5.35","          5.55","          5.55","          5.50","      77090","              423736.05","        119","      50787","         65.88"
"PRAKASHCON","EQ","18-Sep-2018","          5.55","          5.50","          5.55","          5.40","          5.45","          5.45","          5.49","      49336","              270967.25","        106","      42463","         86.07"
"PRAKASHCON","EQ","19-Sep-2018","          5.45","          5.45","          5.45","          5.20","          5.35","          5.25","          5.33","     118253","              630509.30","        175","      97706","         82.62"
"PRAKASHCON","EQ","21-Sep-2018","          5.25","          5.45","          5.45","          5.00","          5.10","          5.10","          5.13","     397313","             2037061.65","        337","     303896","         76.49"
"PRAKASHCON","EQ","24-Sep-2018","          5.10","          5.20","          5.20","          4.85","          4.90","          4.90","          4.96","     271322","             1345364.05","        231","     191866","         70.72"
"PRAKASHCON","EQ","25-Sep-2018","          4.90","          5.00","          5.00","          4.70","          4.75","          4.70","          4.80","     578768","             2776384.30","        327","     337275","         58.27"
"PRAKASHCON","EQ","26-Sep-2018","          4.70","          4.80","          4.80","          4.65","          4.80","          4.80","          4.77","     219706","             1048479.10","        166","     177587","         80.83"
"PRAKASHCON","EQ","27-Sep-2018","          4.80","          4.85","          4.95","          4.75","          4.90","          4.85","          4.86","      96479","              469185.70","        131","      70865","         73.45"
"PRAKASHCON","EQ","28-Sep-2018","          4.85","          4.95","          5.05","          4.70","          4.75","          4.75","          4.90","     370121","             1812588.45","        422","     201514","         54.45"
"PRAKASHCON","EQ","01-Oct-2018","          4.75","          4.65","          4.80","          4.60","          4.75","          4.75","          4.70","     130327","              612849.45","        165","      83593","         64.14"
"PRAKASHCON","EQ","03-Oct-2018","          4.75","          4.75","          4.95","          4.75","          4.95","          4.85","          4.87","     122406","              596289.70","        131","      84661","         69.16"
"PRAKASHCON","EQ","04-Oct-2018","          4.85","          4.85","          5.05","          4.75","          5.05","          5.00","          4.88","     144747","              706484.40","        147","      87550","         60.48"
"PRAKASHCON","EQ","05-Oct-2018","          5.00","          4.85","          5.05","          4.75","          4.75","          4.80","          4.83","     212223","             1024614.20","        173","     145369","         68.50"
"PRAKASHCON","EQ","08-Oct-2018","          4.80","          4.70","          4.90","          4.35","          4.35","          4.40","          4.53","     403836","             1829253.10","        326","     271983","         67.35"
"PRAKASHCON","EQ","09-Oct-2018","          4.40","          4.30","          4.45","          4.15","          4.30","          4.25","          4.33","     216769","              938115.50","        218","     137739","         63.54"
"PRAKASHCON","EQ","10-Oct-2018","          4.25","          4.50","          4.50","          4.25","          4.45","          4.45","          4.42","      96588","              426695.35","        148","      70569","         73.06"
"PRAKASHCON","EQ","11-Oct-2018","          4.45","          4.55","          4.75","          4.30","          4.45","          4.45","          4.52","     114108","              516153.50","        329","      64819","         56.80"
"PRAKASHCON","EQ","12-Oct-2018","          4.45","          4.75","          4.85","          4.60","          4.85","          4.80","          4.79","     200701","              961985.25","        222","     164370","         81.90"
"PRAKASHCON","EQ","15-Oct-2018","          4.80","          4.90","          4.90","          4.50","          4.60","          4.60","          4.68","     140327","              656589.75","        192","      97956","         69.81"
"PRAKASHCON","EQ","16-Oct-2018","          4.60","          4.75","          4.85","          4.50","          4.55","          4.55","          4.62","     298199","             1377141.80","        236","     180501","         60.53"
"PRAKASHCON","EQ","17-Oct-2018","          4.55","          4.70","          4.70","          4.20","          4.60","          4.50","          4.51","     172979","              779776.25","        196","      81976","         47.39"
"PRAKASHCON","EQ","19-Oct-2018","          4.50","          4.40","          4.90","          4.40","          4.60","          4.60","          4.57","     167062","              763993.75","        123","     130601","         78.18"
"PRAKASHCON","EQ","22-Oct-2018","          4.60","          4.80","          4.80","          4.40","          4.40","          4.40","          4.48","     163331","              731803.95","        166","     120061","         73.51"
"PRAKASHCON","EQ","23-Oct-2018","          4.40","          4.45","          4.60","          4.35","          4.35","          4.40","          4.46","     152639","              681330.90","        147","      84801","         55.56"
"PRAKASHCON","EQ","24-Oct-2018","          4.40","          4.60","          4.60","          4.35","          4.35","          4.35","          4.40","      82138","              361023.95","        190","      61332","         74.67"
"PRAKASHCON","EQ","25-Oct-2018","          4.35","          4.35","          4.45","          4.25","          4.45","          4.40","          4.36","     111342","              485806.70","        125","      81674","         73.35"
"PRAKASHCON","EQ","26-Oct-2018","          4.40","          4.30","          4.45","          4.30","          4.30","          4.30","          4.33","      50575","              219045.55","        115","      43549","         86.11"
"PRAKASHCON","EQ","29-Oct-2018","          4.30","          4.60","          4.60","          4.25","          4.35","          4.35","          4.36","      58766","              256336.95","        107","      41338","         70.34"
"PRAKASHCON","EQ","30-Oct-2018","          4.35","          4.50","          4.50","          4.35","          4.40","          4.40","          4.41","      45569","              201058.55","        103","      35838","         78.65"
"PRAKASHCON","EQ","31-Oct-2018","          4.40","          4.45","          4.45","          4.20","          4.25","          4.25","          4.27","     224751","              960515.35","        182","     130547","         58.09"
"PRAKASHCON","EQ","01-Nov-2018","          4.25","          4.35","          4.40","          4.20","          4.35","          4.30","          4.31","     127361","              549114.85","        194","      99137","         77.84"
"PRAKASHCON","EQ","02-Nov-2018","          4.30","          4.35","          4.55","          4.25","          4.30","          4.35","          4.40","     170789","              752227.15","        206","     117903","         69.03"
"PRAKASHCON","EQ","05-Nov-2018","          4.35","          4.30","          4.35","          4.25","          4.30","          4.25","          4.28","     200491","              858636.75","        165","     168762","         84.17"
"PRAKASHCON","EQ","06-Nov-2018","          4.25","          4.30","          4.45","          4.25","          4.35","          4.35","          4.35","     144986","              630681.85","        130","      80734","         55.68"
"PRAKASHCON","EQ","07-Nov-2018","          4.35","          4.50","          4.50","          4.30","          4.30","          4.40","          4.39","      56776","              249166.45","         81","      51636","         90.95"
"PRAKASHCON","EQ","09-Nov-2018","          4.40","          4.50","          4.60","          4.45","          4.50","          4.50","          4.52","     299441","             1353677.10","        147","     208280","         69.56"
"PRAKASHCON","EQ","12-Nov-2018","          4.50","          4.70","          4.70","          4.50","          4.60","          4.60","          4.59","     115750","              530943.95","        100","      97801","         84.49"
"PRAKASHCON","EQ","13-Nov-2018","          4.60","          4.70","          4.70","          4.50","          4.60","          4.70","          4.60","      56399","              259580.00","         78","      55369","         98.17"
"PRAKASHCON","EQ","14-Nov-2018","          4.70","          4.75","          5.10","          4.60","          4.75","          4.75","          4.85","     129083","              625430.90","        220","      72204","         55.94"
"PRAKASHCON","EQ","15-Nov-2018","          4.75","          4.65","          4.85","          4.60","          4.60","          4.65","          4.69","     124813","              585030.05","        126","      71028","         56.91"
"PRAKASHCON","EQ","16-Nov-2018","          4.65","          4.65","          4.85","          4.50","          4.65","          4.65","          4.58","     227569","             1042457.80","        141","     162071","         71.22"
"PRAKASHCON","EQ","19-Nov-2018","          4.65","          4.65","          4.70","          4.50","          4.60","          4.50","          4.52","      65199","              294936.40","         71","      60512","         92.81"
"PRAKASHCON","EQ","20-Nov-2018","          4.50","          4.55","          4.60","          4.45","          4.50","          4.50","          4.52","     108867","              492560.25","         96","      81764","         75.10"
"PRAKASHCON","EQ","21-Nov-2018","          4.50","          4.55","          4.60","          4.40","          4.40","          4.40","          4.49","     101849","              457127.20","        117","      83170","         81.66"
"PRAKASHCON","EQ","22-Nov-2018","          4.40","          4.50","          4.50","          4.35","          4.35","          4.40","          4.44","      59688","              265126.15","        111","      44701","         74.89"
"PRAKASHCON","EQ","26-Nov-2018","          4.40","          4.45","          4.45","          4.25","          4.30","          4.25","          4.31","     125341","              540761.65","        153","      96138","         76.70"
"PRAKASHCON","EQ","27-Nov-2018","          4.25","          4.35","          4.45","          4.25","          4.35","          4.40","          4.35","      48312","              210033.45","         94","      35643","         73.78"
"PRAKASHCON","EQ","28-Nov-2018","          4.40","          4.45","          4.45","          4.25","          4.25","          4.25","          4.30","     119450","              513640.75","        123","      94371","         79.00"
"PRAKASHCON","EQ","29-Nov-2018","          4.25","          4.35","          4.35","          4.20","          4.25","          4.25","          4.27","     101020","              431829.10","        103","      73911","         73.16"
"PRAKASHCON","EQ","30-Nov-2018","          4.25","          4.25","          4.35","          4.25","          4.35","          4.30","          4.33","      80635","              349054.80","         66","      75135","         93.18"
"PRAKASHCON","EQ","03-Dec-2018","          4.30","          4.30","          4.40","          4.25","          4.30","          4.25","          4.30","      96754","              416237.05","         73","      82524","         85.29"
"PRAKASHCON","EQ","04-Dec-2018","          4.25","          4.25","          4.30","          4.20","          4.30","          4.30","          4.25","      41298","              175588.20","         66","      40085","         97.06"
"PRAKASHCON","EQ","05-Dec-2018","          4.30","          4.25","          4.30","          4.20","          4.20","          4.20","          4.23","      94339","              399040.35","         81","      82809","         87.78"
"PRAKASHCON","EQ","06-Dec-2018","          4.20","          4.20","          4.30","          4.05","          4.15","          4.15","          4.14","     102126","              423277.60","        115","      79663","         78.00"
"PRAKASHCON","EQ","07-Dec-2018","          4.15","          4.20","          4.35","          4.05","          4.25","          4.20","          4.19","     107081","              448674.95","        121","      85492","         79.84"
"PRAKASHCON","EQ","10-Dec-2018","          4.20","          4.25","          4.30","          4.05","          4.20","          4.10","          4.14","      84308","              348998.50","        103","      61430","         72.86"
"PRAKASHCON","EQ","11-Dec-2018","          4.10","          4.05","          4.20","          4.00","          4.20","          4.15","          4.09","     141740","              579897.40","        131","      90731","         64.01"
"PRAKASHCON","EQ","12-Dec-2018","          4.15","          4.25","          4.45","          4.00","          4.35","          4.35","          4.26","     157179","              669933.75","        118","     110255","         70.15"
"PRAKASHCON","EQ","13-Dec-2018","          4.35","          4.35","          4.45","          4.20","          4.20","          4.25","          4.27","      75552","              322860.55","         81","      64670","         85.60"
"PRAKASHCON","EQ","14-Dec-2018","          4.25","          4.35","          4.35","          4.15","          4.20","          4.25","          4.20","      98642","              414515.00","        108","      69840","         70.80"
"PRAKASHCON","EQ","17-Dec-2018","          4.25","          4.30","          4.35","          4.10","          4.15","          4.15","          4.19","      86385","              362194.75","        109","      58861","         68.14"
"PRAKASHCON","EQ","18-Dec-2018","          4.15","          4.15","          4.30","          4.10","          4.30","          4.25","          4.21","      62983","              265375.35","         74","      47116","         74.81"
"PRAKASHCON","EQ","19-Dec-2018","          4.25","          4.20","          4.40","          4.20","          4.40","          4.35","          4.30","     131993","              566969.20","        119","     106893","         80.98"
"PRAKASHCON","EQ","20-Dec-2018","          4.35","          4.40","          4.40","          4.30","          4.35","          4.35","          4.38","      99927","              437386.95","        100","      86923","         86.99"
"PRAKASHCON","EQ","21-Dec-2018","          4.35","          4.40","          4.45","          4.30","          4.40","          4.40","          4.37","      70249","              307287.10","         78","      55549","         79.07"
"PRAKASHCON","EQ","24-Dec-2018","          4.40","          4.45","          4.45","          4.25","          4.30","          4.25","          4.33","      49933","              216280.85","         74","      43235","         86.59"
"PRAKASHCON","EQ","26-Dec-2018","          4.25","          4.25","          4.40","          4.20","          4.30","          4.35","          4.30","     101130","              435159.50","         99","      70746","         69.96"
"PRAKASHCON","EQ","27-Dec-2018","          4.35","          4.40","          4.50","          4.30","          4.40","          4.45","          4.42","     143115","              632024.00","        166","      93573","         65.38"
"PRAKASHCON","EQ","28-Dec-2018","          4.45","          4.50","          4.60","          4.30","          4.35","          4.40","          4.44","     136645","              607194.95","        169","     101229","         74.08"
"PRAKASHCON","EQ","31-Dec-2018","          4.40","          4.35","          4.45","          4.35","          4.45","          4.40","          4.40","     143673","              632016.05","        115","     123110","         85.69"
"PRAKASHCON","EQ","01-Jan-2019","          4.40","          4.45","          4.45","          4.35","          4.35","          4.35","          4.38","      53486","              234217.20","         78","      47827","         89.42"
"PRAKASHCON","EQ","02-Jan-2019","          4.35","          4.45","          4.45","          4.30","          4.40","          4.35","          4.37","      46014","              201036.50","         74","      30035","         65.27"
"PRAKASHCON","EQ","03-Jan-2019","          4.35","          4.30","          4.40","          4.30","          4.40","          4.35","          4.35","      77291","              336421.90","         85","      60160","         77.84"
"PRAKASHCON","EQ","04-Jan-2019","          4.35","          4.30","          4.45","          4.25","          4.35","          4.35","          4.35","     122176","              532061.40","        127","      68274","         55.88"
"PRAKASHCON","EQ","07-Jan-2019","          4.35","          4.35","          4.40","          4.30","          4.30","          4.30","          4.33","      43426","              187938.25","         78","      38531","         88.73"
"PRAKASHCON","EQ","08-Jan-2019","          4.30","          4.40","          4.40","          4.30","          4.30","          4.35","          4.33","      18730","               81069.00","         46","      18179","         97.06"
"PRAKASHCON","EQ","09-Jan-2019","          4.35","          4.30","          4.35","          4.25","          4.30","          4.25","          4.29","      49220","              211104.45","         75","      30067","         61.09"
"PRAKASHCON","EQ","10-Jan-2019","          4.25","          4.25","          4.35","          4.10","          4.20","          4.20","          4.21","     134605","              566114.95","        120","     100568","         74.71"
"PRAKASHCON","EQ","11-Jan-2019","          4.20","          4.25","          4.25","          4.20","          4.20","          4.20","          4.23","      41638","              176223.15","         65","      30638","         73.58"
"PRAKASHCON","EQ","14-Jan-2019","          4.20","          4.30","          4.30","          4.15","          4.15","          4.15","          4.19","      64396","              270043.10","         79","      37045","         57.53"
"PRAKASHCON","EQ","15-Jan-2019","          4.15","          4.25","          4.25","          4.20","          4.25","          4.20","          4.23","      65662","              277796.30","         63","      62742","         95.55"
"PRAKASHCON","EQ","16-Jan-2019","          4.20","          4.15","          4.25","          4.05","          4.10","          4.10","          4.13","     176309","              727949.70","        151","     156346","         88.68"
"PRAKASHCON","EQ","17-Jan-2019","          4.10","          4.10","          4.15","          4.05","          4.15","          4.15","          4.12","      92928","              382930.05","        132","      80192","         86.29"
"PRAKASHCON","EQ","18-Jan-2019","          4.15","          4.15","          4.15","          4.00","          4.15","          4.15","          4.09","     133759","              547049.45","        149","     106824","         79.86"
"PRAKASHCON","EQ","21-Jan-2019","          4.15","          4.15","          4.20","          3.85","          3.95","          3.95","          4.02","     335139","             1347331.90","        313","     219194","         65.40"
"PRAKASHCON","EQ","22-Jan-2019","          3.95","          4.00","          4.05","          3.90","          3.95","          3.90","          3.96","     135440","              536276.00","        125","     108575","         80.16"
"PRAKASHCON","EQ","23-Jan-2019","          3.90","          4.00","          4.00","          3.90","          3.95","          3.95","          3.97","      63068","              250634.80","         67","      54059","         85.72"
"PRAKASHCON","EQ","24-Jan-2019","          3.95","          3.95","          4.05","          3.90","          4.05","          4.00","          3.95","     126933","              501391.40","        101","     109803","         86.50"
"PRAKASHCON","EQ","25-Jan-2019","          4.00","          4.05","          4.10","          3.90","          3.95","          3.90","          3.95","      63334","              250335.65","         94","      43804","         69.16"
"PRAKASHCON","EQ","28-Jan-2019","          3.90","          3.90","          4.00","          3.60","          3.85","          3.80","          3.82","     212421","              810668.75","        248","     133092","         62.65"
"PRAKASHCON","EQ","29-Jan-2019","          3.80","          3.95","          3.95","          3.70","          3.70","          3.70","          3.79","      48760","              184673.55","         78","      41906","         85.94"
"PRAKASHCON","EQ","30-Jan-2019","          3.70","          3.90","          3.90","          3.60","          3.85","          3.80","          3.75","     121978","              456871.25","        117","      83462","         68.42"
"PRAKASHCON","EQ","31-Jan-2019","          3.80","          3.80","          3.95","          3.70","          3.80","          3.85","          3.80","     101171","              384443.10","        124","      46988","         46.44"
"PRAKASHCON","EQ","01-Feb-2019","          3.85","          3.85","          3.95","          3.75","          3.85","          3.80","          3.85","      62480","              240675.65","         98","      39969","         63.97"
"PRAKASHCON","EQ","04-Feb-2019","          3.80","          3.90","          3.90","          3.80","          3.80","          3.80","          3.82","      49047","              187242.35","         60","      39321","         80.17"
"PRAKASHCON","EQ","05-Feb-2019","          3.80","          3.70","          3.90","          3.60","          3.75","          3.70","          3.73","      74381","              277604.50","         94","      57664","         77.53"
