"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SFL","EQ","11-Sep-2018","       1693.60","       1720.00","       1848.80","       1682.60","       1739.80","       1752.55","       1760.04","      65849","           115896771.55","       4815","       7983","         12.12"
"SFL","EQ","12-Sep-2018","       1752.55","       1739.95","       1746.00","       1651.00","       1739.25","       1738.25","       1715.63","      11537","            19793232.20","       1917","       4940","         42.82"
"SFL","EQ","14-Sep-2018","       1738.25","       1764.00","       1764.00","       1690.00","       1715.00","       1707.90","       1716.96","       4097","             7034386.35","        348","       3095","         75.54"
"SFL","EQ","17-Sep-2018","       1707.90","       1704.00","       1704.25","       1665.15","       1670.00","       1673.10","       1680.74","       1249","             2099246.10","        267","        640","         51.24"
"SFL","EQ","18-Sep-2018","       1673.10","       1693.00","       1693.00","       1650.00","       1650.00","       1660.80","       1667.31","        669","             1115428.45","        148","        425","         63.53"
"SFL","EQ","19-Sep-2018","       1660.80","       1710.00","       1750.00","       1690.00","       1722.00","       1724.90","       1727.33","       8574","            14810092.75","       1277","       4507","         52.57"
"SFL","EQ","21-Sep-2018","       1724.90","       1764.90","       1764.90","       1616.05","       1735.00","       1707.75","       1710.15","       4667","             7981275.55","        607","       3043","         65.20"
"SFL","EQ","24-Sep-2018","       1707.75","       1684.00","       1708.95","       1619.20","       1700.00","       1701.65","       1660.49","       3625","             6019293.25","        765","       2301","         63.48"
"SFL","EQ","25-Sep-2018","       1701.65","       1667.60","       1705.00","       1662.25","       1682.55","       1696.70","       1685.59","       1518","             2558727.30","        267","        998","         65.74"
"SFL","EQ","26-Sep-2018","       1696.70","       1691.10","       1715.00","       1690.95","       1715.00","       1712.05","       1705.95","        706","             1204402.95","        169","        350","         49.58"
"SFL","EQ","27-Sep-2018","       1712.05","       1712.05","       1760.00","       1670.00","       1745.00","       1736.00","       1729.49","       3521","             6089551.25","        456","       2537","         72.05"
"SFL","EQ","28-Sep-2018","       1736.00","       1770.00","       1770.00","       1684.25","       1732.00","       1723.10","       1710.97","       3631","             6212524.00","        521","       2415","         66.51"
"SFL","EQ","01-Oct-2018","       1723.10","       1694.55","       1702.00","       1625.10","       1670.00","       1671.05","       1652.58","       4308","             7119329.35","        664","       3236","         75.12"
"SFL","EQ","03-Oct-2018","       1671.05","       1671.10","       1705.00","       1669.85","       1682.00","       1682.05","       1687.75","        828","             1397454.65","        141","        531","         64.13"
