"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SGBDEC2513","GB","12-Sep-2018","       2601.10","       2631.04","       2631.04","       2631.04","       2631.04","       2631.04","       2631.04","          2","                5262.08","          1","          2","        100.00"
"SGBDEC2513","GB","18-Sep-2018","       2631.04","       2699.99","       2755.00","       2699.99","       2701.00","       2725.38","       2725.38","         26","               70859.90","          8","         13","         50.00"
"SGBDEC2513","GB","21-Sep-2018","       2725.38","       2800.00","       2890.00","       2800.00","       2890.00","       2890.00","       2865.50","         20","               57310.00","          3","         20","        100.00"
"SGBDEC2513","GB","04-Oct-2018","       2890.00","       2701.00","       2800.00","       2701.00","       2703.05","       2703.05","       2726.26","          4","               10905.05","          4","          1","         25.00"
"SGBDEC2513","GB","05-Oct-2018","       2703.05","       2890.00","       2890.00","       2890.00","       2890.00","       2890.00","       2890.00","         10","               28900.00","          1","         10","        100.00"
"SGBDEC2513","GB","22-Oct-2018","       2890.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","        130","              364000.00","         16","        130","        100.00"
"SGBDEC2513","GB","23-Oct-2018","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","          3","                8400.00","          1","          3","        100.00"
"SGBDEC2513","GB","24-Oct-2018","       2800.00","       2825.00","       2825.00","       2825.00","       2825.00","       2825.00","       2825.00","         10","               28250.00","          1","         10","        100.00"
"SGBDEC2513","GB","01-Nov-2018","       2825.00","       2940.00","       2940.00","       2940.00","       2940.00","       2940.00","       2940.00","          3","                8820.00","          1","          3","        100.00"
"SGBDEC2513","GB","21-Nov-2018","       2940.00","       2801.00","       2801.00","       2800.01","       2800.01","       2800.50","       2800.51","          2","                5601.01","          2","          1","         50.00"
"SGBDEC2513","GB","26-Nov-2018","       2800.50","       2801.00","       2829.99","       2801.00","       2825.00","       2825.00","       2823.42","         12","               33880.99","          3","         11","         91.67"
"SGBDEC2513","GB","27-Nov-2018","       2825.00","       2825.00","       2850.00","       2825.00","       2850.00","       2850.00","       2845.83","          6","               17075.00","          2","          6","        100.00"
"SGBDEC2513","GB","07-Dec-2018","       2850.00","       2775.00","       2775.00","       2775.00","       2775.00","       2775.00","       2775.00","          1","                2775.00","          1","          1","        100.00"
"SGBDEC2513","GB","10-Dec-2018","       2775.00","       2810.00","       2810.00","       2810.00","       2810.00","       2810.00","       2810.00","          1","                2810.00","          1","          1","        100.00"
"SGBDEC2513","GB","11-Dec-2018","       2810.00","       2839.99","       2839.99","       2839.99","       2839.99","       2839.99","       2839.99","          3","                8519.97","          1","          3","        100.00"
"SGBDEC2513","GB","27-Dec-2018","       2839.99","       2839.95","       2840.00","       2839.95","       2840.00","       2840.00","       2839.99","         14","               39759.86","          3","         10","         71.43"
