"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SGBFEB24","GB","11-Sep-2018","       2785.00","       2775.00","       2775.00","       2775.00","       2775.00","       2775.00","       2775.00","         30","               83250.00","          2","         30","        100.00"
"SGBFEB24","GB","12-Sep-2018","       2775.00","       2845.00","       2845.00","       2845.00","       2845.00","       2845.00","       2845.00","          1","                2845.00","          1","          1","        100.00"
"SGBFEB24","GB","14-Sep-2018","       2845.00","       2840.00","       2840.00","       2840.00","       2840.00","       2840.00","       2840.00","          2","                5680.00","          1","          2","        100.00"
"SGBFEB24","GB","17-Sep-2018","       2840.00","       2780.00","       2800.00","       2732.00","       2732.00","       2745.96","       2756.10","         86","              237025.00","         11","         86","        100.00"
"SGBFEB24","GB","18-Sep-2018","       2745.96","       2795.00","       2795.00","       2755.00","       2755.00","       2755.00","       2781.67","          3","                8345.00","          2","          3","        100.00"
"SGBFEB24","GB","19-Sep-2018","       2755.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","         32","               89600.00","          4","         32","        100.00"
"SGBFEB24","GB","21-Sep-2018","       2800.00","       2800.00","       2800.00","       2770.50","       2772.50","       2783.47","       2781.21","        836","             2325095.00","         21","        836","        100.00"
"SGBFEB24","GB","24-Sep-2018","       2783.47","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","          1","                2800.00","          1","          1","        100.00"
"SGBFEB24","GB","25-Sep-2018","       2800.00","       2765.20","       2791.00","       2750.00","       2790.00","       2785.98","       2768.01","        614","             1699558.80","         23","        459","         74.76"
"SGBFEB24","GB","26-Sep-2018","       2785.98","       2754.00","       2755.00","       2753.00","       2755.00","       2755.00","       2754.04","        115","              316715.00","          5","        115","        100.00"
"SGBFEB24","GB","27-Sep-2018","       2755.00","       2756.00","       2756.00","       2755.00","       2756.00","       2755.71","       2755.75","         16","               44092.00","          4","         16","        100.00"
"SGBFEB24","GB","28-Sep-2018","       2755.71","       2715.15","       2726.00","       2715.15","       2726.00","       2726.00","       2723.04","          8","               21784.32","          4","          4","         50.00"
"SGBFEB24","GB","01-Oct-2018","       2726.00","       2710.00","       2745.00","       2710.00","       2745.00","       2745.00","       2714.47","         19","               51575.00","          4","         19","        100.00"
"SGBFEB24","GB","03-Oct-2018","       2745.00","       2745.00","       2785.00","       2745.00","       2783.00","       2783.00","       2779.87","         70","              194591.20","          8","         58","         82.86"
"SGBFEB24","GB","04-Oct-2018","       2783.00","       2785.00","       2849.00","       2780.00","       2849.00","       2849.00","       2785.70","         56","              155999.00","          3","         56","        100.00"
"SGBFEB24","GB","05-Oct-2018","       2849.00","       2844.68","       2844.68","       2824.00","       2824.00","       2824.00","       2825.88","         11","               31084.68","          2","         11","        100.00"
"SGBFEB24","GB","08-Oct-2018","       2824.00","       2715.10","       2795.00","       2715.10","       2771.00","       2771.00","       2773.65","         51","              141456.10","          8","         47","         92.16"
"SGBFEB24","GB","09-Oct-2018","       2771.00","       2771.00","       2776.00","       2731.00","       2770.00","       2770.00","       2750.74","        282","              775708.00","         15","        209","         74.11"
