"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SGBJUL27","GB","05-Aug-2019","       3546.32","       3200.00","       3415.00","       3200.00","       3415.00","       3415.00","       3312.78","          9","               29815.00","          3","          5","         55.56"
"SGBJUL27","GB","06-Aug-2019","       3415.00","       3100.00","       3393.00","       3100.00","       3393.00","       3393.00","       3246.50","          2","                6493.00","          2","          1","         50.00"
"SGBJUL27","GB","07-Aug-2019","       3393.00","       3100.00","       3401.00","       3100.00","       3401.00","       3401.00","       3300.33","          3","                9901.00","          3","          2","         66.67"
"SGBJUL27","GB","08-Aug-2019","       3401.00","       3450.00","       3741.00","       3450.00","       3741.00","       3741.00","       3472.73","         26","               90291.00","          4","         26","        100.00"
"SGBJUL27","GB","09-Aug-2019","       3741.00","       3425.00","       3425.00","       3425.00","       3425.00","       3425.00","       3425.00","          3","               10275.00","          1","          3","        100.00"
"SGBJUL27","GB","13-Aug-2019","       3425.00","       3450.00","       3450.00","       3425.00","       3425.00","       3425.00","       3437.50","          2","                6875.00","          2","          2","        100.00"
"SGBJUL27","GB","14-Aug-2019","       3425.00","       3650.00","       3650.00","       3650.00","       3650.00","       3650.00","       3650.00","          2","                7300.00","          2","          2","        100.00"
"SGBJUL27","GB","16-Aug-2019","       3650.00","       3401.00","       3599.00","       3401.00","       3410.00","       3428.00","       3461.25","          8","               27690.00","          5","          6","         75.00"
"SGBJUL27","GB","19-Aug-2019","       3428.00","       3360.00","       3669.00","       3360.00","       3451.00","       3451.00","       3540.09","         22","               77882.05","          6","         15","         68.18"
"SGBJUL27","GB","20-Aug-2019","       3451.00","       3550.00","       3650.00","       3550.00","       3650.00","       3645.60","       3623.30","         30","              108699.00","          8","         30","        100.00"
"SGBJUL27","GB","21-Aug-2019","       3645.60","       3641.60","       3641.60","       3641.60","       3641.60","       3641.60","       3641.60","         25","               91040.00","         10","         25","        100.00"
"SGBJUL27","GB","22-Aug-2019","       3641.60","       3650.00","       3650.00","       3649.00","       3650.00","       3650.00","       3649.94","         51","              186147.00","          4","         51","        100.00"
"SGBJUL27","GB","26-Aug-2019","       3650.00","       3530.00","       3800.00","       3530.00","       3800.00","       3800.00","       3597.50","          4","               14390.00","          2","          3","         75.00"
