"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SGBNOV25","GB","12-Sep-2018","       2615.00","       2650.00","       2650.00","       2650.00","       2650.00","       2650.00","       2650.00","          1","                2650.00","          1","          1","        100.00"
"SGBNOV25","GB","17-Sep-2018","       2650.00","       2725.00","       2725.00","       2725.00","       2725.00","       2725.00","       2725.00","          5","               13625.00","          1","          5","        100.00"
"SGBNOV25","GB","18-Sep-2018","       2725.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","        150","              420000.00","          2","        150","        100.00"
"SGBNOV25","GB","24-Sep-2018","       2800.00","       2700.04","       2700.04","       2700.04","       2700.04","       2700.04","       2700.04","          1","                2700.04","          1","          1","        100.00"
"SGBNOV25","GB","26-Sep-2018","       2700.04","       2700.04","       2700.04","       2700.04","       2700.04","       2700.04","       2700.04","         10","               27000.40","          1","         10","        100.00"
"SGBNOV25","GB","03-Oct-2018","       2700.04","       2762.00","       2762.00","       2762.00","       2762.00","       2762.00","       2762.00","         35","               96670.00","          1","         35","        100.00"
"SGBNOV25","GB","10-Oct-2018","       2762.00","       2748.00","       2750.00","       2748.00","       2750.00","       2750.00","       2748.80","         25","               68720.00","          2","         25","        100.00"
"SGBNOV25","GB","11-Oct-2018","       2750.00","       2725.04","       2725.04","       2725.04","       2725.04","       2725.04","       2725.04","          2","                5450.08","          1","          2","        100.00"
"SGBNOV25","GB","15-Oct-2018","       2725.04","       2700.04","       2700.04","       2700.04","       2700.04","       2700.04","       2700.04","          1","                2700.04","          1","          1","        100.00"
"SGBNOV25","GB","16-Oct-2018","       2700.04","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","         10","               28000.00","          2","         10","        100.00"
"SGBNOV25","GB","22-Oct-2018","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","          3","                8400.00","          1","          3","        100.00"
"SGBNOV25","GB","23-Oct-2018","       2800.00","       2800.00","       2805.00","       2800.00","       2800.00","       2800.00","       2800.24","        415","             1162100.00","          3","        415","        100.00"
"SGBNOV25","GB","29-Oct-2018","       2800.00","       2805.00","       2805.00","       2805.00","       2805.00","       2805.00","       2805.00","          1","                2805.00","          1","          1","        100.00"
"SGBNOV25","GB","30-Oct-2018","       2805.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","       2800.00","          1","                2800.00","          1","          1","        100.00"
"SGBNOV25","GB","01-Nov-2018","       2800.00","       2820.00","       2820.00","       2820.00","       2820.00","       2820.00","       2820.00","          2","                5640.00","          1","          2","        100.00"
"SGBNOV25","GB","05-Nov-2018","       2820.00","       2945.00","       2950.00","       2811.00","       2811.00","       2811.00","       2936.33","         12","               35236.00","          3","         12","        100.00"
"SGBNOV25","GB","06-Nov-2018","       2811.00","       3050.00","       3050.00","       3050.00","       3050.00","       3050.00","       3050.00","          2","                6100.00","          2","          1","         50.00"
"SGBNOV25","GB","07-Nov-2018","       3050.00","       3025.00","       3050.00","       3025.00","       3050.00","       3050.00","       3027.27","         22","               66600.00","          3","         22","        100.00"
