"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SGBSEP24","GB","11-Sep-2018","       2770.00","       2770.00","       2772.00","       2770.00","       2771.00","       2771.00","       2771.63","         68","              188471.00","          6","         68","        100.00"
"SGBSEP24","GB","12-Sep-2018","       2771.00","       2765.00","       2765.00","       2760.00","       2760.00","       2760.00","       2764.82","         57","              157595.00","         24","         57","        100.00"
"SGBSEP24","GB","14-Sep-2018","       2760.00","       2740.00","       2755.00","       2740.00","       2755.00","       2755.00","       2743.57","          7","               19205.00","          3","          7","        100.00"
"SGBSEP24","GB","17-Sep-2018","       2755.00","       2730.24","       2849.90","       2730.10","       2775.00","       2775.00","       2766.05","        284","              785559.55","         13","        209","         73.59"
"SGBSEP24","GB","18-Sep-2018","       2775.00","       2780.00","       2816.60","       2775.00","       2807.00","       2811.19","       2805.86","        362","             1015720.80","         14","        362","        100.00"
"SGBSEP24","GB","19-Sep-2018","       2811.19","       2810.11","       2811.50","       2810.11","       2811.50","       2811.50","       2810.92","        263","              739273.05","         11","        263","        100.00"
"SGBSEP24","GB","21-Sep-2018","       2811.50","       2812.00","       2812.00","       2792.00","       2793.05","       2796.09","       2799.85","         40","              111993.85","         10","         40","        100.00"
"SGBSEP24","GB","24-Sep-2018","       2796.09","       2796.09","       2796.09","       2750.00","       2783.00","       2783.00","       2760.85","        186","              513518.50","          6","        183","         98.39"
"SGBSEP24","GB","25-Sep-2018","       2783.00","       2800.00","       2800.00","       2785.00","       2800.00","       2794.18","       2791.05","        296","              826150.40","         25","        296","        100.00"
"SGBSEP24","GB","26-Sep-2018","       2794.18","       2759.13","       2788.00","       2759.13","       2788.00","       2788.00","       2785.02","         22","               61270.33","          7","         19","         86.36"
"SGBSEP24","GB","27-Sep-2018","       2788.00","       2750.01","       2750.01","       2737.00","       2745.00","       2745.00","       2745.56","         18","               49420.02","          5","         15","         83.33"
"SGBSEP24","GB","28-Sep-2018","       2745.00","       2730.00","       2748.25","       2730.00","       2740.00","       2742.35","       2733.57","        123","              336228.85","         12","         92","         74.80"
"SGBSEP24","GB","01-Oct-2018","       2742.35","       2742.00","       2754.90","       2705.05","       2744.90","       2744.81","       2738.96","        227","              621742.84","         20","        204","         89.87"
"SGBSEP24","GB","03-Oct-2018","       2744.81","       2728.02","       2800.00","       2728.02","       2800.00","       2800.00","       2791.65","        409","             1141783.30","         35","        371","         90.71"
"SGBSEP24","GB","04-Oct-2018","       2800.00","       2791.00","       2791.00","       2790.00","       2791.00","       2791.00","       2790.55","         20","               55811.00","          5","         20","        100.00"
"SGBSEP24","GB","05-Oct-2018","       2791.00","       2761.00","       2800.00","       2751.10","       2800.00","       2800.00","       2779.87","        200","              555973.15","         14","        180","         90.00"
"SGBSEP24","GB","08-Oct-2018","       2800.00","       2757.00","       2799.00","       2755.00","       2785.00","       2785.00","       2771.13","        701","             1942563.30","         34","        498","         71.04"
"SGBSEP24","GB","09-Oct-2018","       2785.00","       2785.00","       2790.00","       2760.00","       2782.00","       2782.00","       2780.90","         78","              216910.00","         10","         78","        100.00"
"SGBSEP24","GB","10-Oct-2018","       2782.00","       2770.00","       2795.00","       2761.00","       2783.00","       2783.00","       2781.87","        433","             1204551.00","         53","        395","         91.22"
"SGBSEP24","GB","11-Oct-2018","       2783.00","       2800.00","       2810.00","       2791.00","       2810.00","       2810.00","       2799.51","        177","              495513.95","         16","        177","        100.00"
"SGBSEP24","GB","12-Oct-2018","       2810.00","       2810.00","       2842.00","       2810.00","       2842.00","       2842.00","       2827.52","        231","              653157.60","         23","        231","        100.00"
"SGBSEP24","GB","15-Oct-2018","       2842.00","       2850.00","       2850.00","       2812.05","       2850.00","       2850.00","       2847.98","        236","              672122.40","         27","        217","         91.95"
"SGBSEP24","GB","16-Oct-2018","       2850.00","       2828.05","       2890.00","       2828.05","       2871.00","       2871.00","       2876.87","        304","              874568.04","         30","        301","         99.01"
"SGBSEP24","GB","17-Oct-2018","       2871.00","       2900.00","       2900.00","       2850.05","       2851.00","       2851.52","       2866.47","         47","              134724.05","          9","         47","        100.00"
"SGBSEP24","GB","19-Oct-2018","       2851.52","       2852.00","       2879.95","       2852.00","       2861.00","       2860.87","       2859.90","        422","             1206877.25","         32","        422","        100.00"
"SGBSEP24","GB","22-Oct-2018","       2860.87","       2835.00","       2890.00","       2835.00","       2845.00","       2845.60","       2856.37","         35","               99973.00","          7","         35","        100.00"
"SGBSEP24","GB","23-Oct-2018","       2845.60","       2850.00","       2860.15","       2845.05","       2860.15","       2860.15","       2855.01","        407","             1161989.55","         12","        397","         97.54"
"SGBSEP24","GB","24-Oct-2018","       2860.15","       2860.00","       2889.95","       2860.00","       2880.00","       2875.86","       2871.38","        141","              404864.00","          9","        141","        100.00"
"SGBSEP24","GB","25-Oct-2018","       2875.86","       2862.05","       2889.90","       2862.05","       2880.00","       2880.00","       2876.52","        667","             1918640.44","         23","        651","         97.60"
"SGBSEP24","GB","26-Oct-2018","       2880.00","       2850.00","       2870.00","       2850.00","       2862.00","       2862.00","       2860.66","        134","              383328.09","         13","        124","         92.54"
"SGBSEP24","GB","29-Oct-2018","       2862.00","       2860.00","       2875.00","       2852.00","       2870.00","       2869.99","       2871.59","        166","              476683.74","         16","        166","        100.00"
"SGBSEP24","GB","30-Oct-2018","       2869.99","       2852.22","       2880.00","       2852.22","       2870.00","       2862.82","       2869.49","        270","              774763.14","         12","        229","         84.81"
"SGBSEP24","GB","31-Oct-2018","       2862.82","       2860.00","       2865.25","       2860.00","       2865.25","       2865.25","       2862.24","        144","              412163.00","          8","        132","         91.67"
"SGBSEP24","GB","01-Nov-2018","       2865.25","       2885.00","       2885.00","       2861.00","       2863.50","       2863.50","       2861.93","        118","              337707.50","          6","        118","        100.00"
"SGBSEP24","GB","02-Nov-2018","       2863.50","       2864.00","       2868.05","       2864.00","       2868.00","       2868.00","       2867.46","        514","             1473872.20","         22","        514","        100.00"
"SGBSEP24","GB","05-Nov-2018","       2868.00","       2914.00","       2945.45","       2861.00","       2920.00","       2920.35","       2905.20","       1124","             3265442.09","        115","       1105","         98.31"
