"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHAHALLOYS","EQ","11-Sep-2018","         23.40","         24.30","         24.30","         22.75","         24.10","         24.05","         23.91","      10895","              260540.50","         76","       4866","         44.66"
"SHAHALLOYS","EQ","12-Sep-2018","         24.05","         23.40","         23.90","         23.00","         23.50","         23.50","         23.26","       2139","               49751.60","         24","       1740","         81.35"
"SHAHALLOYS","EQ","14-Sep-2018","         23.50","         23.05","         24.25","         23.00","         23.00","         23.00","         23.54","       6494","              152880.30","         45","       2294","         35.32"
"SHAHALLOYS","EQ","17-Sep-2018","         23.00","         22.30","         23.95","         22.10","         22.90","         22.70","         22.73","      33690","              765783.40","        114","       9074","         26.93"
"SHAHALLOYS","EQ","18-Sep-2018","         22.70","         23.00","         23.40","         22.15","         23.20","         22.95","         23.02","       8821","              203064.30","         45","       7580","         85.93"
"SHAHALLOYS","EQ","19-Sep-2018","         22.95","         23.20","         23.55","         22.20","         22.80","         22.40","         22.82","       8386","              191359.90","         46","       4718","         56.26"
"SHAHALLOYS","EQ","21-Sep-2018","         22.40","         21.75","         23.50","         21.65","         22.00","         21.85","         22.43","      18266","              409754.35","        112","      10135","         55.49"
"SHAHALLOYS","EQ","24-Sep-2018","         21.85","         22.50","         22.50","         20.80","         20.85","         21.00","         21.52","       5756","              123868.30","         91","       2730","         47.43"
"SHAHALLOYS","EQ","25-Sep-2018","         21.00","         20.40","         20.65","         19.95","         19.95","         19.95","         20.19","       3305","               66713.20","         35","       2011","         60.85"
"SHAHALLOYS","EQ","26-Sep-2018","         19.95","         19.30","         20.45","         19.20","         19.30","         19.75","         19.96","      13227","              263955.55","         49","      10157","         76.79"
"SHAHALLOYS","EQ","27-Sep-2018","         19.75","         20.00","         20.50","         18.85","         18.85","         19.25","         19.45","       8654","              168350.15","         67","       5986","         69.17"
"SHAHALLOYS","EQ","28-Sep-2018","         19.25","         19.30","         19.70","         18.30","         18.30","         18.30","         18.67","       9124","              170356.90","         63","       5706","         62.54"
"SHAHALLOYS","EQ","01-Oct-2018","         18.30","         19.20","         19.20","         17.40","         17.40","         17.45","         17.96","      26824","              481852.70","        111","      17765","         66.23"
"SHAHALLOYS","EQ","03-Oct-2018","         17.45","         17.45","         18.30","         16.90","         17.90","         18.00","         18.06","      47780","              863068.25","        156","      31777","         66.51"
"SHAHALLOYS","EQ","04-Oct-2018","         18.00","         17.10","         18.90","         17.10","         18.90","         18.90","         18.34","      24806","              454938.95","         93","      16005","         64.52"
"SHAHALLOYS","EQ","05-Oct-2018","         18.90","         19.65","         19.80","         18.00","         18.00","         18.05","         18.21","      43131","              785568.85","        123","      35896","         83.23"
"SHAHALLOYS","EQ","08-Oct-2018","         18.05","         17.35","         17.80","         17.15","         17.80","         17.50","         17.30","       4111","               71106.90","         41","       2589","         62.98"
