"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHRENIK","SM","11-Sep-2018","         99.10","        104.50","        108.80","         89.20","         89.20","         89.20","         94.56","      95000","             8983656.25","        123","      53750","         56.58"
"SHRENIK","SM","12-Sep-2018","         89.20","         91.80","         91.80","         80.30","         83.50","         82.40","         82.14","     116875","             9600437.50","        141","      62500","         53.48"
"SHRENIK","SM","14-Sep-2018","         82.40","         83.60","         89.00","         76.00","         82.35","         82.45","         81.68","      65000","             5308906.25","         76","      48750","         75.00"
"SHRENIK","SM","17-Sep-2018","         82.45","         82.60","         86.55","         80.00","         86.10","         86.25","         84.80","      59375","             5035000.00","         74","      23750","         40.00"
"SHRENIK","SM","18-Sep-2018","         86.25","         89.00","         90.55","         89.00","         90.55","         90.55","         90.09","       6250","              563062.50","         10","       4375","         70.00"
"SHRENIK","SM","19-Sep-2018","         90.55","         95.05","         95.05","         95.05","         95.05","         95.05","         95.05","       2500","              237625.00","          4","       2500","        100.00"
"SHRENIK","SM","21-Sep-2018","         95.05","         99.80","         99.80","         90.30","         97.00","         94.85","         96.51","      73750","             7117656.25","         67","      60000","         81.36"
"SHRENIK","SM","24-Sep-2018","         94.85","         98.00","         99.55","         90.15","         93.00","         93.00","         93.53","     100000","             9352781.25","         83","      45625","         45.62"
"SHRENIK","SM","25-Sep-2018","         93.00","         97.40","         97.40","         93.00","         93.00","         94.80","         94.96","      76250","             7240750.00","         80","      41250","         54.10"
"SHRENIK","SM","26-Sep-2018","         94.80","         95.00","         98.50","         94.50","         95.85","         96.10","         96.42","      91250","             8797937.50","        112","      38750","         42.47"
"SHRENIK","SM","27-Sep-2018","         96.10","         98.30","         99.25","         96.75","         97.80","         98.10","         98.26","      86250","             8475187.50","        101","      35625","         41.30"
"SHRENIK","SM","28-Sep-2018","         98.10","         99.25","        101.75","         98.00","         98.40","         98.60","         99.56","     128125","            12756500.00","        151","      62500","         48.78"
"SHRENIK","SM","01-Oct-2018","         98.60","        101.20","        101.20","         93.70","         94.00","         94.30","         95.22","      73750","             7022218.75","         97","      26875","         36.44"
"SHRENIK","SM","03-Oct-2018","         94.30","         95.75","         95.75","         89.60","         91.00","         90.45","         91.75","      72500","             6651781.25","         90","      33750","         46.55"
"SHRENIK","SM","04-Oct-2018","         90.45","         91.70","         91.75","         86.00","         86.10","         86.10","         88.68","      62500","             5542281.25","         42","      23750","         38.00"
"SHRENIK","SM","05-Oct-2018","         86.10","         87.00","         90.00","         82.20","         82.20","         87.55","         88.16","      98125","             8650875.00","         84","      70000","         71.34"
"SHRENIK","SM","08-Oct-2018","         87.55","         85.00","         89.90","         84.50","         86.50","         88.80","         87.89","     128125","            11260750.00","        141","      54375","         42.44"
"SHRENIK","SM","09-Oct-2018","         88.80","         88.70","         88.90","         86.00","         86.00","         87.75","         87.91","      94375","             8296468.75","         97","      37500","         39.74"
"SHRENIK","SM","10-Oct-2018","         87.75","         87.00","         90.30","         87.00","         88.90","         89.05","         88.73","     132500","            11757312.50","        156","      64375","         48.58"
"SHRENIK","SM","11-Oct-2018","         89.05","         87.75","         89.90","         80.15","         85.00","         83.95","         87.94","      86875","             7639437.50","         79","      49375","         56.83"
"SHRENIK","SM","12-Oct-2018","         83.95","         86.00","         89.95","         85.50","         89.80","         88.95","         88.34","      82500","             7288218.75","         79","      38750","         46.97"
"SHRENIK","SM","15-Oct-2018","         88.95","         88.80","         90.40","         88.00","         90.40","         89.75","         89.23","     126875","            11320812.50","        137","      55000","         43.35"
"SHRENIK","SM","16-Oct-2018","         89.75","         89.95","         90.50","         89.00","         89.00","         89.55","         89.66","     117500","            10535625.00","        104","      53750","         45.74"
"SHRENIK","SM","17-Oct-2018","         89.55","         90.50","         90.85","         88.00","         88.60","         88.60","         89.02","      30000","             2670562.50","         37","       2500","          8.33"
"SHRENIK","SM","19-Oct-2018","         88.60","         89.75","         90.00","         83.00","         85.00","         86.25","         87.73","     151875","            13323531.25","        109","      46250","         30.45"
"SHRENIK","SM","22-Oct-2018","         86.25","         88.50","         88.80","         77.65","         86.80","         82.80","         83.03","     178750","            14841375.00","        148","      55625","         31.12"
"SHRENIK","SM","23-Oct-2018","         82.80","         85.50","         87.50","         81.10","         84.05","         85.65","         85.46","     161875","            13834250.00","        106","     107500","         66.41"
"SHRENIK","SM","24-Oct-2018","         85.65","         85.75","         86.85","         80.05","         81.20","         81.20","         82.52","     230625","            19032250.00","         80","     185000","         80.22"
"SHRENIK","SM","25-Oct-2018","         81.20","         81.00","         83.75","         77.00","         77.00","         77.50","         80.37","     139375","            11202093.75","        102","      46250","         33.18"
"SHRENIK","SM","26-Oct-2018","         77.50","         79.90","         79.95","         71.00","         71.00","         73.50","         75.36","     233750","            17615468.75","        159","     122500","         52.41"
"SHRENIK","SM","29-Oct-2018","         73.50","         75.25","         75.25","         68.50","         70.50","         72.35","         71.92","      77500","             5573437.50","         73","      27500","         35.48"
"SHRENIK","SM","30-Oct-2018","         72.35","         72.00","         72.05","         67.55","         69.00","         69.00","         70.53","      84375","             5950781.25","         75","      24375","         28.89"
"SHRENIK","SM","31-Oct-2018","         69.00","         67.00","         71.90","         64.80","         68.00","         68.20","         68.28","     201250","            13741187.50","        162","      77500","         38.51"
