"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHREYAS","EQ","11-Sep-2018","        300.00","        301.95","        303.00","        291.05","        293.35","        293.75","        296.62","       4656","             1381075.85","        373","       2061","         44.27"
"SHREYAS","EQ","12-Sep-2018","        293.75","        294.00","        296.00","        288.60","        292.00","        292.05","        292.03","       4833","             1411364.90","        335","       2329","         48.19"
"SHREYAS","EQ","14-Sep-2018","        292.05","        299.00","        299.00","        286.15","        286.15","        288.35","        290.56","       5999","             1743051.35","        379","       3356","         55.94"
"SHREYAS","EQ","17-Sep-2018","        288.35","        288.55","        293.05","        280.95","        290.00","        290.35","        286.83","       4800","             1376776.40","        373","       2722","         56.71"
"SHREYAS","EQ","18-Sep-2018","        290.35","        292.45","        298.00","        290.00","        292.90","        291.95","        292.57","       9876","             2889447.70","        292","       8735","         88.45"
"SHREYAS","EQ","19-Sep-2018","        291.95","        288.25","        293.50","        285.30","        290.00","        290.00","        289.63","      15620","             4524044.60","        677","      14184","         90.81"
"SHREYAS","EQ","21-Sep-2018","        290.00","        281.25","        291.95","        262.20","        275.00","        275.10","        275.16","      22612","             6221811.30","        830","      14970","         66.20"
"SHREYAS","EQ","24-Sep-2018","        275.10","        279.95","        279.95","        261.25","        261.55","        263.10","        266.99","      28388","             7579189.45","        544","      23988","         84.50"
"SHREYAS","EQ","25-Sep-2018","        263.10","        260.00","        266.50","        253.45","        263.90","        258.30","        262.72","       6927","             1819839.40","        553","       5019","         72.46"
"SHREYAS","EQ","26-Sep-2018","        258.30","        271.20","        271.20","        256.05","        260.00","        259.95","        265.92","      15296","             4067535.75","        261","      14246","         93.14"
"SHREYAS","EQ","27-Sep-2018","        259.95","        266.05","        266.90","        254.00","        255.20","        255.75","        260.09","       5594","             1454935.30","        369","       3811","         68.13"
"SHREYAS","EQ","28-Sep-2018","        255.75","        260.90","        260.90","        236.00","        240.00","        239.85","        245.48","       8964","             2200490.20","        530","       7173","         80.02"
"SHREYAS","EQ","01-Oct-2018","        239.85","        241.20","        241.20","        216.00","        217.00","        217.75","        223.41","      13005","             2905425.50","        703","       8346","         64.18"
"SHREYAS","EQ","03-Oct-2018","        217.75","        227.75","        239.50","        217.95","        239.50","        239.10","        230.86","       7099","             1638867.60","        390","       4431","         62.42"
"SHREYAS","EQ","04-Oct-2018","        239.10","        222.15","        239.95","        222.15","        234.60","        233.50","        235.30","       2773","              652491.05","        286","       1751","         63.14"
"SHREYAS","EQ","05-Oct-2018","        233.50","        232.95","        233.30","        224.50","        224.50","        227.90","        230.53","       4611","             1062978.05","        382","       2844","         61.68"
"SHREYAS","EQ","08-Oct-2018","        227.90","        230.00","        230.00","        207.45","        209.90","        212.10","        220.03","       6998","             1539804.15","        573","       4228","         60.42"
"SHREYAS","EQ","09-Oct-2018","        212.10","        210.00","        217.00","        203.00","        205.00","        206.70","        211.74","       9971","             2111291.65","        671","       4430","         44.43"
"SHREYAS","EQ","10-Oct-2018","        206.70","        214.00","        234.95","        204.50","        224.90","        224.15","        216.77","       5841","             1266138.45","        499","       2320","         39.72"
"SHREYAS","EQ","11-Oct-2018","        224.15","        219.90","        224.15","        205.95","        215.20","        216.70","        215.99","       5379","             1161795.00","        196","       3057","         56.83"
"SHREYAS","EQ","12-Oct-2018","        216.70","        215.40","        239.45","        215.35","        234.90","        235.05","        229.27","       5519","             1265335.95","        497","       2430","         44.03"
"SHREYAS","EQ","15-Oct-2018","        235.05","        244.00","        255.00","        231.85","        251.00","        249.05","        246.02","       5807","             1428637.45","        388","       3697","         63.66"
"SHREYAS","EQ","16-Oct-2018","        249.05","        259.00","        261.90","        243.00","        256.70","        258.15","        258.49","       2917","              754020.90","        316","       2385","         81.76"
