"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SINTEX","EQ","11-Sep-2018","         14.30","         14.35","         14.50","         14.05","         14.20","         14.10","         14.26","    1966719","            28036231.85","       4225","     887071","         45.10"
"SINTEX","EQ","12-Sep-2018","         14.10","         14.20","         14.20","         13.80","         14.00","         13.95","         13.93","    2148309","            29935783.95","       5360","     909855","         42.35"
"SINTEX","EQ","14-Sep-2018","         13.95","         14.05","         14.15","         13.85","         14.00","         14.00","         13.99","    2071033","            28963699.40","       3228","    1215730","         58.70"
"SINTEX","EQ","17-Sep-2018","         14.00","         14.00","         14.20","         13.85","         14.00","         14.00","         13.98","    1485770","            20764096.40","       2352","     662975","         44.62"
"SINTEX","EQ","18-Sep-2018","         14.00","         14.00","         14.05","         13.75","         13.85","         13.80","         13.86","    1516785","            21016382.50","       2581","     759278","         50.06"
"SINTEX","EQ","19-Sep-2018","         13.80","         13.80","         13.85","         13.50","         13.65","         13.60","         13.63","    2019334","            27525190.90","       3169","     928906","         46.00"
"SINTEX","EQ","21-Sep-2018","         13.60","         13.60","         13.70","         12.30","         12.80","         12.60","         12.92","    5468956","            70661134.85","       9577","    3413224","         62.41"
"SINTEX","EQ","24-Sep-2018","         12.60","         12.90","         13.00","         12.10","         12.30","         12.25","         12.51","    3554092","            44451922.10","       5870","    1487623","         41.86"
"SINTEX","EQ","25-Sep-2018","         12.25","         12.15","         12.60","         11.70","         11.95","         12.00","         12.03","    3397723","            40882365.60","       6351","    1628313","         47.92"
"SINTEX","EQ","26-Sep-2018","         12.00","         11.95","         12.15","         11.55","         11.85","         11.90","         11.84","    3393806","            40180938.75","       6639","    1397652","         41.18"
"SINTEX","EQ","27-Sep-2018","         11.90","         12.00","         12.10","         11.75","         11.95","         11.85","         11.96","    1916603","            22918209.95","       3603","     824166","         43.00"
"SINTEX","EQ","28-Sep-2018","         11.85","         11.85","         11.90","         11.05","         11.35","         11.30","         11.42","    3130392","            35763285.95","       6105","    1135307","         36.27"
"SINTEX","EQ","01-Oct-2018","         11.30","         11.35","         11.60","         10.75","         11.25","         11.40","         11.08","    3125043","            34637056.45","       5804","    1040038","         33.28"
"SINTEX","EQ","03-Oct-2018","         11.40","         11.40","         12.00","         11.05","         11.50","         11.35","         11.55","    3088353","            35657247.15","       6839","     905928","         29.33"
"SINTEX","EQ","04-Oct-2018","         11.35","         11.15","         11.45","         11.00","         11.20","         11.20","         11.22","    1943333","            21800679.20","       5533","     704464","         36.25"
"SINTEX","EQ","05-Oct-2018","         11.20","         11.30","         11.55","         11.05","         11.30","         11.35","         11.22","    2086914","            23421187.40","       4303","     747869","         35.84"
"SINTEX","EQ","08-Oct-2018","         11.35","         11.35","         11.50","         10.90","         11.00","         11.15","         11.19","    2323811","            26010673.10","       4504","     762581","         32.82"
"SINTEX","EQ","09-Oct-2018","         11.15","         11.05","         11.20","         10.85","         10.95","         11.00","         11.04","    2380520","            26279666.45","       3861","     901167","         37.86"
"SINTEX","EQ","10-Oct-2018","         11.00","         11.05","         11.40","         10.90","         11.25","         11.30","         11.19","    2111077","            23617428.10","       3186","     782828","         37.08"
"SINTEX","EQ","11-Oct-2018","         11.30","         11.00","         11.15","         10.85","         11.05","         11.05","         11.03","    1232142","            13594210.95","       2235","     544386","         44.18"
"SINTEX","EQ","12-Oct-2018","         11.05","         11.10","         11.60","         11.10","         11.20","         11.25","         11.35","    1416987","            16087045.35","       3483","     428658","         30.25"
"SINTEX","EQ","15-Oct-2018","         11.25","         11.30","         11.65","         11.15","         11.65","         11.55","         11.42","    1279692","            14608041.95","       2444","     575915","         45.00"
"SINTEX","EQ","16-Oct-2018","         11.55","         11.65","         12.60","         11.65","         12.35","         12.30","         12.23","    2736406","            33479893.20","       6029","    1016274","         37.14"
"SINTEX","EQ","17-Oct-2018","         12.30","         12.50","         12.70","         11.85","         11.90","         11.95","         12.25","    1888056","            23137666.80","       4875","     675184","         35.76"
"SINTEX","EQ","19-Oct-2018","         11.95","         11.90","         11.95","         11.55","         11.90","         11.75","         11.75","    1017089","            11952378.70","       2110","     451314","         44.37"
"SINTEX","EQ","22-Oct-2018","         11.75","         11.75","         12.05","         11.45","         11.70","         11.55","         11.71","    1358984","            15918972.65","       2646","     399473","         29.39"
