"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SPENTEX","EQ","11-Sep-2018","          2.60","          2.55","          2.70","          2.50","          2.50","          2.55","          2.59","      10963","               28401.30","         24","      10877","         99.22"
"SPENTEX","EQ","12-Sep-2018","          2.55","          2.65","          2.70","          2.50","          2.50","          2.50","          2.57","      25883","               66646.95","         39","      22501","         86.93"
"SPENTEX","EQ","14-Sep-2018","          2.50","          2.50","          2.75","          2.50","          2.75","          2.70","          2.64","       6819","               17989.60","         19","       4939","         72.43"
"SPENTEX","EQ","17-Sep-2018","          2.70","          2.75","          2.85","          2.70","          2.85","          2.80","          2.81","      73427","              206054.40","         74","      59767","         81.40"
"SPENTEX","EQ","18-Sep-2018","          2.80","          2.60","          3.00","          2.60","          2.70","          2.70","          2.78","      19422","               54067.40","         57","      13347","         68.72"
"SPENTEX","EQ","19-Sep-2018","          2.70","          2.50","          3.20","          2.50","          3.20","          3.20","          3.09","     214832","              663884.30","        154","     198112","         92.22"
"SPENTEX","EQ","21-Sep-2018","          3.20","          3.60","          3.80","          3.00","          3.70","          3.25","          3.64","     418095","             1523455.65","        508","     224675","         53.74"
"SPENTEX","EQ","24-Sep-2018","          3.25","          3.60","          3.60","          2.85","          3.10","          3.05","          3.16","      87185","              275863.60","        162","      62730","         71.95"
"SPENTEX","EQ","25-Sep-2018","          3.05","          3.20","          3.30","          2.45","          2.70","          2.75","          2.69","     632785","             1703081.65","        434","     402107","         63.55"
"SPENTEX","EQ","26-Sep-2018","          2.75","          2.70","          2.90","          2.60","          2.65","          2.65","          2.67","     398034","             1061514.15","         89","     393362","         98.83"
"SPENTEX","BE","27-Sep-2018","          2.65","          2.70","          2.75","          2.55","          2.70","          2.70","          2.66","      19160","               50976.90","         38","-","-"
"SPENTEX","BE","28-Sep-2018","          2.70","          2.70","          2.70","          2.60","          2.60","          2.60","          2.68","       7462","               19990.80","         16","-","-"
"SPENTEX","BE","01-Oct-2018","          2.60","          2.50","          2.50","          2.50","          2.50","          2.50","          2.50","       8044","               20110.00","         18","-","-"
"SPENTEX","BE","03-Oct-2018","          2.50","          2.50","          2.60","          2.40","          2.60","          2.45","          2.42","      27978","               67680.60","         46","-","-"
"SPENTEX","BE","04-Oct-2018","          2.45","          2.35","          2.55","          2.35","          2.55","          2.55","          2.37","     114312","              270402.80","         36","-","-"
"SPENTEX","BE","05-Oct-2018","          2.55","          2.45","          2.65","          2.45","          2.50","          2.50","          2.55","       5869","               14942.75","         21","-","-"
"SPENTEX","BE","08-Oct-2018","          2.50","          2.45","          2.50","          2.45","          2.45","          2.45","          2.48","       3203","                7952.35","         10","-","-"
"SPENTEX","BE","09-Oct-2018","          2.45","          2.45","          2.45","          2.35","          2.35","          2.35","          2.36","       2707","                6396.30","         13","-","-"
"SPENTEX","BE","10-Oct-2018","          2.35","          2.25","          2.25","          2.25","          2.25","          2.25","          2.25","       4105","                9236.25","         11","-","-"
"SPENTEX","BE","11-Oct-2018","          2.25","          2.15","          2.15","          2.15","          2.15","          2.15","          2.15","       8680","               18662.00","         13","-","-"
"SPENTEX","BE","12-Oct-2018","          2.15","          2.05","          2.25","          2.05","          2.25","          2.25","          2.12","      10278","               21764.30","         33","-","-"
"SPENTEX","BE","15-Oct-2018","          2.25","          2.15","          2.35","          2.15","          2.20","          2.20","          2.19","       6798","               14873.05","         12","-","-"
"SPENTEX","BE","16-Oct-2018","          2.20","          2.25","          2.25","          2.20","          2.20","          2.20","          2.21","       1851","                4083.75","          6","-","-"
"SPENTEX","BE","17-Oct-2018","          2.20","          2.20","          2.25","          2.20","          2.20","          2.20","          2.20","       2220","                4884.15","          5","-","-"
"SPENTEX","BE","19-Oct-2018","          2.20","          2.20","          2.25","          2.10","          2.20","          2.20","          2.20","       3584","                7872.30","         16","-","-"
"SPENTEX","BE","22-Oct-2018","          2.20","          2.20","          2.25","          2.10","          2.10","          2.10","          2.10","       5665","               11909.85","          8","-","-"
"SPENTEX","BE","23-Oct-2018","          2.10","          2.10","          2.20","          2.00","          2.00","          2.10","          2.08","      18011","               37514.00","         27","-","-"
"SPENTEX","BE","24-Oct-2018","          2.10","          2.00","          2.20","          2.00","          2.20","          2.20","          2.10","      12734","               26779.60","         24","-","-"
"SPENTEX","BE","25-Oct-2018","          2.20","          2.20","          2.30","          2.20","          2.30","          2.30","          2.29","       6714","               15392.70","          9","-","-"
"SPENTEX","BE","26-Oct-2018","          2.30","          2.25","          2.40","          2.20","          2.25","          2.30","          2.27","      19562","               44458.05","         30","-","-"
"SPENTEX","BE","29-Oct-2018","          2.30","          2.40","          2.40","          2.20","          2.25","          2.25","          2.26","      11750","               26571.55","         19","-","-"
"SPENTEX","BE","30-Oct-2018","          2.25","          2.15","          2.35","          2.15","          2.30","          2.30","          2.24","       7870","               17615.50","         14","-","-"
"SPENTEX","BE","31-Oct-2018","          2.30","          2.20","          2.40","          2.20","          2.40","          2.40","          2.28","       5260","               12017.00","         12","-","-"
"SPENTEX","BE","02-Nov-2018","          2.40","          2.45","          2.45","          2.30","          2.30","          2.30","          2.35","       3100","                7270.00","          6","-","-"
"SPENTEX","BE","05-Nov-2018","          2.30","          2.40","          2.40","          2.20","          2.20","          2.25","          2.23","       8176","               18257.40","          9","-","-"
"SPENTEX","BE","06-Nov-2018","          2.25","          2.20","          2.25","          2.15","          2.25","          2.25","          2.16","       7000","               15134.25","          5","-","-"
"SPENTEX","BE","09-Nov-2018","          2.25","          2.25","          2.35","          2.20","          2.35","          2.30","          2.31","      10769","               24824.50","         23","-","-"
"SPENTEX","BE","12-Nov-2018","          2.30","          2.30","          2.40","          2.20","          2.40","          2.35","          2.28","       1256","                2866.00","         12","-","-"
"SPENTEX","BE","13-Nov-2018","          2.35","          2.30","          2.45","          2.25","          2.45","          2.45","          2.44","       6383","               15577.85","          8","-","-"
"SPENTEX","BE","14-Nov-2018","          2.45","          2.40","          2.55","          2.35","          2.50","          2.50","          2.43","      24343","               59269.15","         21","-","-"
"SPENTEX","BE","15-Nov-2018","          2.50","          2.50","          2.50","          2.40","          2.40","          2.40","          2.46","       2604","                6400.00","         12","-","-"
"SPENTEX","BE","16-Nov-2018","          2.40","          2.30","          2.45","          2.30","          2.30","          2.30","          2.31","       1606","                3708.80","          6","-","-"
"SPENTEX","BE","19-Nov-2018","          2.30","          2.20","          2.40","          2.20","          2.25","          2.25","          2.25","       9600","               21609.30","         42","-","-"
"SPENTEX","BE","20-Nov-2018","          2.25","          2.25","          2.35","          2.25","          2.35","          2.35","          2.30","       2167","                4985.75","          8","-","-"
"SPENTEX","BE","21-Nov-2018","          2.35","          2.30","          2.30","          2.25","          2.25","          2.25","          2.28","      10001","               22802.25","         12","-","-"
"SPENTEX","BE","22-Nov-2018","          2.25","          2.15","          2.30","          2.15","          2.20","          2.20","          2.17","      22745","               49428.05","         21","-","-"
"SPENTEX","BE","26-Nov-2018","          2.20","          2.20","          2.25","          2.15","          2.25","          2.25","          2.22","       1765","                3909.75","          5","-","-"
"SPENTEX","BE","27-Nov-2018","          2.25","          2.35","          2.35","          2.20","          2.20","          2.20","          2.29","       8432","               19290.40","         15","-","-"
"SPENTEX","BE","28-Nov-2018","          2.20","          2.20","          2.30","          2.20","          2.30","          2.25","          2.24","       8317","               18598.90","         16","-","-"
"SPENTEX","BE","29-Nov-2018","          2.25","          2.20","          2.35","          2.15","          2.35","          2.30","          2.25","      11176","               25196.20","         22","-","-"
"SPENTEX","BE","30-Nov-2018","          2.30","          2.35","          2.40","          2.25","          2.25","          2.35","          2.33","       9352","               21763.25","         25","-","-"
"SPENTEX","BE","03-Dec-2018","          2.35","          2.30","          2.35","          2.25","          2.30","          2.30","          2.30","       2439","                5609.70","          5","-","-"
"SPENTEX","BE","04-Dec-2018","          2.30","          2.40","          2.40","          2.20","          2.20","          2.20","          2.37","       3653","                8657.20","         10","-","-"
"SPENTEX","BE","05-Dec-2018","          2.20","          2.20","          2.20","          2.15","          2.15","          2.15","          2.15","       1000","                2152.50","          2","-","-"
"SPENTEX","BE","06-Dec-2018","          2.15","          2.15","          2.25","          2.15","          2.25","          2.25","          2.18","      41984","               91375.60","          5","-","-"
"SPENTEX","BE","07-Dec-2018","          2.25","          2.25","          2.25","          2.15","          2.15","          2.15","          2.16","       8743","               18852.45","         14","-","-"
"SPENTEX","BE","10-Dec-2018","          2.15","          2.25","          2.25","          2.05","          2.25","          2.10","          2.25","       3637","                8165.65","         11","-","-"
