"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","11-Sep-2018","        766.25","        772.00","        773.80","        738.45","        746.00","        747.20","        753.58","    3817364","          2876682075.90","     115983","    1827546","         47.87"
"TECHM","EQ","12-Sep-2018","        747.20","        750.00","        751.90","        728.60","        741.10","        739.80","        742.32","    3934021","          2920319225.60","     134109","    2308764","         58.69"
"TECHM","EQ","14-Sep-2018","        739.80","        739.90","        761.80","        721.55","        759.00","        760.45","        745.63","    3591403","          2677872430.45","      97007","    1343105","         37.40"
"TECHM","EQ","17-Sep-2018","        760.45","        759.50","        772.75","        755.00","        767.60","        767.55","        766.95","    2233000","          1712601623.25","      79442","     877720","         39.31"
"TECHM","EQ","18-Sep-2018","        767.55","        769.85","        769.85","        750.00","        761.00","        754.70","        756.05","    2206998","          1668595905.95","      79046","     861546","         39.04"
"TECHM","EQ","19-Sep-2018","        754.70","        757.00","        772.00","        751.20","        769.95","        769.95","        763.26","    2025718","          1546153014.45","      63815","     777734","         38.39"
"TECHM","EQ","21-Sep-2018","        769.95","        765.00","        769.35","        693.00","        748.60","        738.05","        746.01","    4434535","          3308229002.85","     100145","    2426047","         54.71"
"TECHM","EQ","24-Sep-2018","        738.05","        740.00","        764.00","        737.55","        748.60","        751.45","        756.34","    2811682","          2126595212.10","      58324","    1016383","         36.15"
"TECHM","EQ","25-Sep-2018","        751.45","        751.45","        772.70","        745.10","        759.00","        758.75","        761.60","    2812964","          2142346762.65","      65355","    1135508","         40.37"
"TECHM","EQ","26-Sep-2018","        758.75","        758.55","        768.15","        739.05","        747.90","        748.85","        754.05","    3224771","          2431651100.30","      91089","    1298855","         40.28"
"TECHM","EQ","27-Sep-2018","        748.85","        748.85","        758.95","        737.20","        748.25","        746.05","        747.92","    3479414","          2602336210.30","      90728","    2139124","         61.48"
"TECHM","EQ","28-Sep-2018","        746.05","        738.00","        756.00","        725.00","        747.00","        745.50","        742.01","    2971384","          2204804061.45","      89709","    1348685","         45.39"
"TECHM","EQ","01-Oct-2018","        745.50","        749.00","        763.50","        741.70","        761.50","        759.55","        754.84","    2233369","          1685834866.65","      48490","     689693","         30.88"
"TECHM","EQ","03-Oct-2018","        759.55","        764.00","        780.80","        744.40","        750.20","        750.15","        762.60","    5236214","          3993147022.95","     125757","    2751749","         52.55"
"TECHM","EQ","04-Oct-2018","        750.15","        742.55","        742.90","        713.00","        720.75","        719.85","        722.87","    6561009","          4742747580.75","     148731","    3283262","         50.04"
"TECHM","EQ","05-Oct-2018","        719.85","        718.00","        723.90","        695.50","        715.00","        714.50","        712.64","    4769105","          3398635481.10","     100984","    2235718","         46.88"
"TECHM","EQ","08-Oct-2018","        714.50","        714.50","        719.40","        683.65","        690.00","        694.90","        700.24","    2643927","          1851371049.50","     105549","    1212410","         45.86"
"TECHM","EQ","09-Oct-2018","        694.90","        695.00","        705.00","        690.70","        697.60","        696.10","        697.66","    2729413","          1904206711.25","      61654","    1354434","         49.62"
"TECHM","EQ","10-Oct-2018","        696.10","        692.10","        714.00","        691.05","        699.00","        699.30","        701.81","    3409416","          2392753174.80","      55539","    1949248","         57.17"
"TECHM","EQ","11-Oct-2018","        699.30","        680.00","        702.05","        677.65","        695.50","        695.45","        690.77","    3611423","          2494656125.70","      90376","    2171541","         60.13"
"TECHM","EQ","12-Oct-2018","        695.45","        692.05","        702.55","        688.00","        693.85","        693.80","        695.07","    2727205","          1895585918.55","      81899","    1254751","         46.01"
"TECHM","EQ","15-Oct-2018","        693.80","        693.50","        709.40","        681.45","        693.00","        694.55","        693.59","    4146878","          2876215159.05","     116945","    1917878","         46.25"
