"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHNOE","BE","04-Dec-2018","        263.70","        304.00","        304.00","        288.80","        288.80","        288.80","        291.64","      57775","            16849696.90","        173","-","-"
"TECHNOE","BE","05-Dec-2018","        288.80","        274.40","        274.40","        274.40","        274.40","        274.40","        274.40","      42971","            11791242.40","         21","-","-"
"TECHNOE","BE","06-Dec-2018","        274.40","        260.70","        260.70","        260.70","        260.70","        260.70","        260.70","      85143","            22196780.10","         42","-","-"
"TECHNOE","BE","07-Dec-2018","        260.70","        247.70","        250.00","        247.70","        247.70","        247.70","        247.80","       6804","             1686033.80","         42","-","-"
"TECHNOE","BE","10-Dec-2018","        247.70","        235.35","        240.00","        235.35","        235.35","        235.35","        235.36","      55223","            12997157.70","        221","-","-"
"TECHNOE","BE","11-Dec-2018","        235.35","        223.60","        234.00","        223.60","        223.60","        224.60","        223.99","      44743","            10021900.55","        414","-","-"
"TECHNOE","BE","12-Dec-2018","        224.60","        221.05","        235.80","        215.60","        235.80","        233.35","        225.93","     252920","            57142745.45","       1272","-","-"
"TECHNOE","BE","13-Dec-2018","        233.35","        245.00","        245.00","        245.00","        245.00","        245.00","        245.00","       7631","             1869595.00","         87","-","-"
"TECHNOE","BE","14-Dec-2018","        245.00","        257.25","        257.25","        252.00","        257.25","        257.25","        257.15","     191049","            49127586.40","        759","-","-"
"TECHNOE","BE","17-Dec-2018","        257.25","        261.90","        270.10","        256.70","        256.70","        260.45","        264.50","      74837","            19794083.60","        828","-","-"
"TECHNOE","EQ","18-Dec-2018","        260.45","        264.00","        274.45","        252.90","        259.50","        260.20","        258.43","     132419","            34220982.10","       2153","     110366","         83.35"
"TECHNOE","EQ","19-Dec-2018","        260.20","        263.00","        267.00","        260.50","        260.50","        261.60","        263.02","      43171","            11354670.10","       1553","      32031","         74.20"
"TECHNOE","EQ","20-Dec-2018","        261.60","        261.50","        261.50","        254.75","        257.00","        258.15","        257.35","     104473","            26885863.70","       2993","      90826","         86.94"
"TECHNOE","EQ","21-Dec-2018","        258.15","        258.50","        259.70","        255.65","        257.20","        258.00","        258.45","      38311","             9901357.35","        819","      34060","         88.90"
"TECHNOE","EQ","24-Dec-2018","        258.00","        260.85","        265.00","        260.85","        261.55","        261.85","        262.44","      55392","            14536943.50","        734","      42040","         75.90"
"TECHNOE","EQ","26-Dec-2018","        261.85","        264.00","        264.00","        254.50","        254.75","        255.15","        256.51","      77811","            19959219.05","       2507","      54329","         69.82"
"TECHNOE","EQ","27-Dec-2018","        255.15","        256.05","        260.00","        255.20","        259.35","        259.10","        257.80","      28397","             7320826.05","        685","      21048","         74.12"
"TECHNOE","EQ","28-Dec-2018","        259.10","        259.95","        260.00","        256.40","        260.00","        259.85","        258.86","      45026","            11655358.05","        677","      39179","         87.01"
"TECHNOE","EQ","31-Dec-2018","        259.85","        260.00","        275.00","        260.00","        262.95","        264.30","        267.33","     107921","            28850180.40","       2940","      79892","         74.03"
"TECHNOE","EQ","01-Jan-2019","        264.30","        266.50","        266.50","        260.75","        263.40","        261.65","        263.29","      81585","            21480646.55","       1219","      73459","         90.04"
"TECHNOE","EQ","02-Jan-2019","        261.65","        252.05","        252.05","        237.35","        248.05","        247.70","        244.83","      99617","            24389122.55","       3335","      53677","         53.88"
"TECHNOE","EQ","03-Jan-2019","        247.70","        237.50","        249.00","        237.50","        242.00","        241.85","        242.70","      15318","             3717701.80","        331","      11059","         72.20"
"TECHNOE","EQ","04-Jan-2019","        241.85","        240.00","        242.80","        238.25","        240.00","        240.00","        240.00","      51454","            12348897.60","       1527","      46798","         90.95"
"TECHNOE","EQ","07-Jan-2019","        240.00","        243.45","        252.30","        240.00","        246.90","        248.10","        244.11","      45525","            11113194.40","       1243","      30489","         66.97"
"TECHNOE","EQ","08-Jan-2019","        248.10","        246.00","        246.00","        240.10","        245.25","        245.00","        243.38","       6674","             1624303.90","        407","       4125","         61.81"
"TECHNOE","EQ","09-Jan-2019","        245.00","        242.10","        245.50","        240.95","        245.05","        245.00","        243.97","       8169","             1992961.10","        715","       5718","         70.00"
"TECHNOE","EQ","10-Jan-2019","        245.00","        248.95","        248.95","        241.15","        245.00","        245.00","        243.82","       4051","              987719.75","        285","       2609","         64.40"
"TECHNOE","EQ","11-Jan-2019","        245.00","        243.05","        249.85","        240.60","        243.00","        241.75","        242.25","       5149","             1247351.60","        157","       3159","         61.35"
"TECHNOE","EQ","14-Jan-2019","        241.75","        242.45","        247.40","        240.60","        243.50","        243.55","        244.10","      19059","             4652291.35","        242","      12219","         64.11"
"TECHNOE","EQ","15-Jan-2019","        243.55","        242.15","        244.90","        242.10","        244.00","        244.00","        243.95","      25730","             6276722.90","        159","      24783","         96.32"
"TECHNOE","EQ","16-Jan-2019","        244.00","        249.75","        257.95","        243.00","        257.00","        253.30","        248.18","      14398","             3573307.45","        466","      11723","         81.42"
"TECHNOE","EQ","17-Jan-2019","        253.30","        254.75","        260.00","        246.05","        246.60","        247.10","        257.22","      67942","            17476304.55","        821","      51337","         75.56"
"TECHNOE","EQ","18-Jan-2019","        247.10","        245.30","        249.55","        242.75","        248.00","        245.50","        245.61","      14431","             3544437.90","        502","       9821","         68.05"
"TECHNOE","EQ","21-Jan-2019","        245.50","        244.05","        248.00","        243.50","        246.10","        246.60","        245.36","       8357","             2050457.40","        250","       6846","         81.92"
"TECHNOE","EQ","22-Jan-2019","        246.60","        245.80","        249.00","        244.05","        249.00","        246.55","        245.55","       9447","             2319690.65","        789","       6540","         69.23"
"TECHNOE","EQ","23-Jan-2019","        246.55","        244.55","        252.00","        244.50","        248.10","        249.95","        246.71","       7949","             1961089.80","        196","       6725","         84.60"
"TECHNOE","EQ","24-Jan-2019","        249.95","        248.00","        254.30","        246.00","        254.00","        251.95","        248.58","       6860","             1705273.25","        267","       4703","         68.56"
"TECHNOE","EQ","25-Jan-2019","        251.95","        250.05","        260.00","        245.45","        250.00","        249.95","        256.54","     105061","            26952299.20","       1059","      55666","         52.98"
"TECHNOE","EQ","28-Jan-2019","        249.95","        243.10","        248.15","        243.10","        243.30","        243.65","        244.96","      12448","             3049245.45","       1288","      11571","         92.95"
"TECHNOE","EQ","29-Jan-2019","        243.65","        243.00","        244.90","        242.10","        243.00","        243.05","        242.97","       4063","              987170.95","        114","       3560","         87.62"
"TECHNOE","EQ","30-Jan-2019","        243.05","        245.00","        255.10","        236.20","        236.55","        237.70","        239.95","       5155","             1236961.55","        471","       1832","         35.54"
"TECHNOE","EQ","31-Jan-2019","        237.70","        239.65","        247.90","        234.40","        242.00","        240.90","        242.40","     256928","            62280287.00","        585","     145994","         56.82"
"TECHNOE","EQ","01-Feb-2019","        240.90","        244.25","        244.30","        235.00","        236.15","        237.30","        236.66","       7399","             1751052.95","        320","       5703","         77.08"
"TECHNOE","EQ","04-Feb-2019","        237.30","        237.55","        240.75","        235.00","        236.00","        235.20","        236.40","       4704","             1112038.15","        178","       4138","         87.97"
"TECHNOE","EQ","05-Feb-2019","        235.20","        241.05","        241.05","        234.50","        235.05","        235.10","        235.03","       9423","             2214650.50","        181","       8188","         86.89"
"TECHNOE","EQ","06-Feb-2019","        235.10","        243.90","        243.90","        220.20","        228.50","        228.50","        228.01","      37410","             8529760.85","       3701","      22486","         60.11"
"TECHNOE","EQ","07-Feb-2019","        228.50","        231.80","        236.00","        225.05","        229.95","        227.95","        228.92","       4186","              958276.05","        188","       3009","         71.88"
"TECHNOE","EQ","08-Feb-2019","        227.95","        229.95","        234.50","        222.35","        234.50","        232.15","        228.26","       7768","             1773108.25","        542","       4803","         61.83"
"TECHNOE","EQ","11-Feb-2019","        232.15","        230.00","        230.00","        223.10","        223.10","        226.25","        226.20","      19510","             4413188.10","        297","      17502","         89.71"
"TECHNOE","EQ","12-Feb-2019","        226.25","        225.05","        231.00","        219.05","        230.00","        221.15","        221.27","      32648","             7224056.65","        535","      30989","         94.92"
"TECHNOE","EQ","13-Feb-2019","        221.15","        223.40","        223.90","        218.00","        218.10","        221.65","        221.84","       9084","             2015206.35","        203","       7749","         85.30"
"TECHNOE","EQ","14-Feb-2019","        221.65","        221.05","        232.00","        215.85","        232.00","        229.00","        222.73","      10217","             2275653.00","        785","       7004","         68.55"
"TECHNOE","EQ","15-Feb-2019","        229.00","        231.95","        241.00","        219.50","        240.00","        236.90","        230.15","      33770","             7772137.75","       1551","      23519","         69.64"
"TECHNOE","EQ","18-Feb-2019","        236.90","        235.05","        253.50","        235.05","        252.00","        250.90","        250.38","     337524","            84510661.55","        966","     287004","         85.03"
"TECHNOE","EQ","19-Feb-2019","        250.90","        250.20","        250.20","        242.30","        245.05","        246.85","        245.77","      15467","             3801342.50","        688","       6840","         44.22"
"TECHNOE","EQ","20-Feb-2019","        246.85","        245.05","        255.85","        245.05","        252.05","        253.70","        251.34","       9532","             2395794.30","        560","       7529","         78.99"
"TECHNOE","EQ","21-Feb-2019","        253.70","        252.05","        266.35","        250.00","        263.00","        262.60","        262.31","     224502","            58889409.35","       1091","     100376","         44.71"
"TECHNOE","EQ","22-Feb-2019","        262.60","        263.15","        270.00","        256.90","        270.00","        267.75","        264.94","      26275","             6961271.95","        782","      19563","         74.45"
"TECHNOE","EQ","25-Feb-2019","        267.75","        264.00","        268.95","        259.05","        260.00","        265.65","        265.56","     343363","            91185131.95","       4872","     216217","         62.97"
"TECHNOE","EQ","26-Feb-2019","        265.65","        253.00","        260.50","        247.00","        247.10","        249.80","        251.91","      19997","             5037412.85","       1144","      11218","         56.10"
"TECHNOE","EQ","27-Feb-2019","        249.80","        253.00","        253.00","        244.30","        245.90","        245.35","        249.78","      46760","            11679542.05","        352","      42130","         90.10"
"TECHNOE","EQ","28-Feb-2019","        245.35","        249.00","        249.00","        233.55","        233.55","        233.95","        236.26","      16834","             3977249.90","        962","      10840","         64.39"
"TECHNOE","EQ","01-Mar-2019","        233.95","        233.55","        246.80","        230.60","        232.90","        232.80","        232.79","    4051900","           943249676.50","        912","      39871","          0.98"
"TECHNOE","EQ","05-Mar-2019","        232.80","        234.75","        234.75","        222.75","        230.00","        230.50","        228.05","      39588","             9027967.15","       1099","      27524","         69.53"
"TECHNOE","EQ","06-Mar-2019","        230.50","        230.90","        236.90","        228.25","        235.60","        235.15","        234.45","      41129","             9642540.20","        857","      26577","         64.62"
"TECHNOE","EQ","07-Mar-2019","        235.15","        236.00","        236.90","        231.10","        232.90","        233.65","        233.52","      69047","            16123576.05","        257","      67284","         97.45"
"TECHNOE","EQ","08-Mar-2019","        233.65","        233.00","        234.85","        229.00","        233.05","        233.80","        231.61","       7944","             1839890.65","        414","       4341","         54.65"
"TECHNOE","EQ","11-Mar-2019","        233.80","        233.90","        237.40","        231.00","        236.00","        236.00","        235.94","     196221","            46295514.20","        566","     193970","         98.85"
"TECHNOE","EQ","12-Mar-2019","        236.00","        236.80","        238.00","        233.00","        237.00","        236.95","        235.07","     215777","            50723757.05","       1085","     210792","         97.69"
"TECHNOE","EQ","13-Mar-2019","        236.95","        236.50","        247.90","        231.35","        247.00","        243.10","        239.26","      12347","             2954104.80","       1045","       6794","         55.03"
"TECHNOE","EQ","14-Mar-2019","        243.10","        241.00","        262.95","        235.55","        257.00","        257.45","        255.65","      28500","             7286089.70","        790","      20716","         72.69"
"TECHNOE","EQ","15-Mar-2019","        257.45","        252.50","        256.40","        245.25","        245.25","        247.75","        249.49","      13453","             3356440.60","        688","       7457","         55.43"
"TECHNOE","EQ","18-Mar-2019","        247.75","        253.15","        254.50","        246.00","        250.95","        250.55","        251.77","       7273","             1831154.65","        394","       5150","         70.81"
"TECHNOE","EQ","19-Mar-2019","        250.55","        250.15","        265.00","        245.00","        260.00","        262.80","        259.96","      39700","            10320407.10","       1893","      31259","         78.74"
"TECHNOE","EQ","20-Mar-2019","        262.80","        262.50","        262.50","        252.85","        256.95","        256.80","        257.00","      10879","             2795936.55","        545","       7035","         64.67"
"TECHNOE","EQ","22-Mar-2019","        256.80","        255.05","        265.00","        250.10","        254.80","        258.20","        255.12","      22185","             5659740.35","       1124","      14932","         67.31"
"TECHNOE","EQ","25-Mar-2019","        258.20","        258.00","        265.00","        249.25","        250.00","        250.55","        256.33","      44832","            11491646.00","       1246","      35508","         79.20"
"TECHNOE","EQ","26-Mar-2019","        250.55","        250.95","        254.45","        250.00","        250.15","        252.90","        252.88","      62172","            15722110.85","       1819","      43143","         69.39"
"TECHNOE","EQ","27-Mar-2019","        252.90","        253.45","        257.65","        245.25","        245.55","        249.95","        248.70","     104579","            26009069.60","       2044","      78437","         75.00"
"TECHNOE","EQ","28-Mar-2019","        249.95","        251.25","        258.00","        245.10","        258.00","        255.85","        253.08","      22465","             5685343.15","       1376","      17271","         76.88"
"TECHNOE","EQ","29-Mar-2019","        255.85","        257.85","        299.95","        250.00","        266.00","        274.50","        271.95","     194532","            52903410.85","       4190","     151913","         78.09"
"TECHNOE","EQ","01-Apr-2019","        274.50","        273.90","        273.90","        263.25","        263.25","        264.60","        266.31","      14741","             3925607.90","        823","       8982","         60.93"
"TECHNOE","EQ","02-Apr-2019","        264.60","        264.05","        267.00","        259.00","        259.10","        260.40","        261.05","      12513","             3266544.30","        485","       9195","         73.48"
"TECHNOE","EQ","03-Apr-2019","        260.40","        257.50","        261.90","        252.05","        257.10","        258.85","        257.71","      52849","            13619722.60","       4127","      32078","         60.70"
"TECHNOE","EQ","04-Apr-2019","        258.85","        258.55","        258.55","        255.05","        256.60","        257.35","        256.84","       8101","             2080694.15","        476","       5345","         65.98"
"TECHNOE","EQ","05-Apr-2019","        257.35","        260.90","        265.30","        255.20","        263.95","        263.60","        261.13","      19850","             5183432.40","        726","      11016","         55.50"
"TECHNOE","EQ","08-Apr-2019","        263.60","        261.20","        266.00","        257.55","        265.00","        263.75","        261.77","      20647","             5404784.75","        990","      16113","         78.04"
"TECHNOE","EQ","09-Apr-2019","        263.75","        262.95","        267.30","        257.05","        264.50","        263.65","        262.56","      16350","             4292800.25","        638","      11340","         69.36"
"TECHNOE","EQ","10-Apr-2019","        263.65","        263.65","        266.00","        260.05","        263.50","        263.45","        262.83","      10109","             2656934.45","        924","       6346","         62.78"
"TECHNOE","EQ","11-Apr-2019","        263.45","        262.00","        267.05","        255.90","        264.25","        265.90","        261.13","      24673","             6442873.85","       2395","      13949","         56.54"
"TECHNOE","EQ","12-Apr-2019","        265.90","        263.60","        265.00","        257.25","        264.00","        263.80","        262.34","      26844","             7042153.70","       3167","      14935","         55.64"
"TECHNOE","EQ","15-Apr-2019","        263.80","        263.80","        266.30","        261.85","        265.00","        265.00","        264.79","       2763","              731604.70","        433","       1406","         50.89"
"TECHNOE","EQ","16-Apr-2019","        265.00","        264.15","        264.95","        261.10","        264.50","        264.50","        264.16","       7784","             2056210.60","       1438","       5328","         68.45"
"TECHNOE","EQ","18-Apr-2019","        264.50","        261.80","        265.35","        258.40","        265.00","        264.05","        264.23","      36375","             9611413.50","       2422","      30132","         82.84"
"TECHNOE","EQ","22-Apr-2019","        264.05","        258.10","        259.90","        244.25","        246.80","        249.95","        249.81","      69462","            17352171.95","       4150","      37749","         54.34"
"TECHNOE","EQ","23-Apr-2019","        249.95","        240.00","        248.10","        240.00","        247.00","        245.75","        244.81","      36893","             9031754.50","       3938","      23348","         63.29"
"TECHNOE","EQ","24-Apr-2019","        245.75","        242.05","        244.00","        234.00","        241.00","        242.05","        241.39","     153606","            37078911.50","       4884","     123955","         80.70"
"TECHNOE","EQ","25-Apr-2019","        242.05","        240.60","        243.00","        220.30","        242.00","        234.90","        236.18","      58614","            13843701.00","       2689","      30176","         51.48"
"TECHNOE","EQ","26-Apr-2019","        234.90","        238.35","        243.30","        236.75","        240.00","        239.50","        240.18","      57828","            13889174.10","        975","      49789","         86.10"
