"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TNTELE","BE","11-Sep-2018","          0.95","          0.95","          1.00","          0.95","          0.95","          0.95","          1.00","       1417","                1414.45","          5","-","-"
"TNTELE","BE","12-Sep-2018","          0.95","          0.90","          0.95","          0.90","          0.95","          0.95","          0.95","        381","                 361.90","          2","-","-"
"TNTELE","BE","14-Sep-2018","          0.95","          1.00","          1.00","          1.00","          1.00","          1.00","          1.00","         40","                  40.00","          2","-","-"
"TNTELE","BE","17-Sep-2018","          1.00","          1.05","          1.05","          1.05","          1.05","          1.05","          1.05","        730","                 766.50","          5","-","-"
"TNTELE","BE","18-Sep-2018","          1.05","          1.10","          1.10","          1.10","          1.10","          1.10","          1.10","        100","                 110.00","          1","-","-"
"TNTELE","BE","21-Sep-2018","          1.10","          1.15","          1.15","          1.15","          1.15","          1.15","          1.15","         10","                  11.50","          1","-","-"
"TNTELE","BE","24-Sep-2018","          1.15","          1.20","          1.20","          1.20","          1.20","          1.20","          1.20","       1755","                2106.00","          3","-","-"
"TNTELE","BE","25-Sep-2018","          1.20","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","         81","                 101.25","          2","-","-"
"TNTELE","BE","26-Sep-2018","          1.25","          1.30","          1.30","          1.30","          1.30","          1.30","          1.30","        116","                 150.80","          3","-","-"
"TNTELE","BE","27-Sep-2018","          1.30","          1.35","          1.35","          1.35","          1.35","          1.35","          1.35","       1099","                1483.65","          3","-","-"
"TNTELE","BE","28-Sep-2018","          1.35","          1.40","          1.40","          1.40","          1.40","          1.40","          1.40","       2282","                3194.80","          6","-","-"
"TNTELE","BE","01-Oct-2018","          1.40","          1.45","          1.45","          1.45","          1.45","          1.45","          1.45","        495","                 717.75","          1","-","-"
"TNTELE","BE","03-Oct-2018","          1.45","          1.50","          1.50","          1.50","          1.50","          1.50","          1.50","        201","                 301.50","          2","-","-"
"TNTELE","BE","05-Oct-2018","          1.50","          1.55","          1.55","          1.55","          1.55","          1.55","          1.55","        200","                 310.00","          1","-","-"
