"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TREJHARA","BE","28-Dec-2018","        213.60","         69.90","         69.90","         66.45","         66.45","         66.45","         67.18","       2392","              160704.45","         48","-","-"
"TREJHARA","BE","31-Dec-2018","         66.45","         63.15","         63.15","         63.15","         63.15","         63.15","         63.15","        290","               18313.50","         13","-","-"
"TREJHARA","BE","01-Jan-2019","         63.15","         60.00","         60.00","         60.00","         60.00","         60.00","         60.00","        353","               21180.00","          7","-","-"
"TREJHARA","BE","02-Jan-2019","         60.00","         57.00","         57.00","         57.00","         57.00","         57.00","         57.00","        261","               14877.00","          9","-","-"
"TREJHARA","BE","03-Jan-2019","         57.00","         54.15","         54.15","         54.15","         54.15","         54.15","         54.15","        122","                6606.30","          3","-","-"
"TREJHARA","BE","04-Jan-2019","         54.15","         51.45","         51.45","         51.45","         51.45","         51.45","         51.45","        136","                6997.20","          5","-","-"
"TREJHARA","BE","07-Jan-2019","         51.45","         48.90","         48.90","         48.90","         48.90","         48.90","         48.90","        277","               13545.30","          6","-","-"
"TREJHARA","BE","08-Jan-2019","         48.90","         46.50","         46.50","         46.50","         46.50","         46.50","         46.50","        981","               45616.50","          9","-","-"
"TREJHARA","BE","09-Jan-2019","         46.50","         44.20","         44.20","         44.20","         44.20","         44.20","         44.20","       6854","              302946.80","         20","-","-"
"TREJHARA","BE","10-Jan-2019","         44.20","         42.00","         42.00","         42.00","         42.00","         42.00","         42.00","       8103","              340326.00","         20","-","-"
"TREJHARA","EQ","11-Jan-2019","         42.00","         37.80","         45.85","         37.80","         38.50","         38.60","         39.23","     255559","            10026531.45","        751","     200065","         78.29"
"TREJHARA","EQ","14-Jan-2019","         38.60","         38.05","         41.80","         36.65","         40.90","         39.50","         38.73","     115721","             4481518.65","        404","      97412","         84.18"
"TREJHARA","EQ","15-Jan-2019","         39.50","         40.70","         43.45","         39.30","         43.45","         43.45","         42.68","      29764","             1270418.10","        114","      19769","         66.42"
"TREJHARA","EQ","16-Jan-2019","         43.45","         47.50","         47.65","         39.30","         40.10","         40.55","         42.16","      64131","             2703981.05","        631","      31200","         48.65"
"TREJHARA","EQ","17-Jan-2019","         40.55","         41.95","         41.95","         38.65","         40.90","         40.25","         39.65","      17472","              692758.65","        155","      12028","         68.84"
"TREJHARA","EQ","18-Jan-2019","         40.25","         40.35","         40.35","         38.50","         38.60","         38.70","         38.97","      18996","              740364.65","        139","      15193","         79.98"
"TREJHARA","EQ","21-Jan-2019","         38.70","         38.50","         39.40","         37.20","         37.80","         37.80","         38.30","      15668","              600036.40","        108","      12859","         82.07"
"TREJHARA","EQ","22-Jan-2019","         37.80","         37.00","         38.70","         36.05","         37.25","         38.25","         37.48","      10593","              397058.80","         99","       8153","         76.97"
"TREJHARA","EQ","23-Jan-2019","         38.25","         38.00","         38.00","         36.35","         36.35","         36.35","         36.66","       4684","              171710.35","         62","       4671","         99.72"
"TREJHARA","EQ","24-Jan-2019","         36.35","         36.30","         36.30","         34.55","         34.55","         34.60","         34.60","      11841","              409658.95","         68","      10820","         91.38"
"TREJHARA","EQ","25-Jan-2019","         34.60","         33.40","         34.95","         33.05","         34.00","         33.90","         33.77","      15296","              516596.50","         56","      14198","         92.82"
"TREJHARA","EQ","28-Jan-2019","         33.90","         33.00","         33.00","         32.25","         32.25","         32.25","         32.33","       1357","               43871.75","         19","       1356","         99.93"
"TREJHARA","EQ","29-Jan-2019","         32.25","         30.65","         30.80","         30.65","         30.65","         30.65","         30.68","       4417","              135521.05","         29","       4417","        100.00"
"TREJHARA","EQ","30-Jan-2019","         30.65","         30.60","         31.20","         29.25","         30.05","         30.05","         29.73","       3087","               91779.50","         29","       2960","         95.89"
"TREJHARA","EQ","31-Jan-2019","         30.05","         28.55","         31.00","         28.55","         30.50","         30.75","         30.34","       7382","              224006.70","         45","       7058","         95.61"
"TREJHARA","EQ","01-Feb-2019","         30.75","         29.25","         30.75","         29.25","         30.55","         30.55","         29.78","       6960","              207234.70","         30","       6711","         96.42"
"TREJHARA","EQ","04-Feb-2019","         30.55","         30.60","         30.60","         29.05","         29.05","         29.05","         29.36","       4669","              137070.65","         28","       4560","         97.67"
"TREJHARA","EQ","05-Feb-2019","         29.05","         27.70","         30.20","         27.65","         28.95","         29.95","         28.20","       7493","              211339.45","         32","       7326","         97.77"
"TREJHARA","EQ","06-Feb-2019","         29.95","         28.55","         29.90","         28.50","         29.30","         29.45","         28.59","       6567","              187758.80","         20","       6467","         98.48"
"TREJHARA","EQ","07-Feb-2019","         29.45","         28.15","         29.15","         28.00","         28.00","         28.00","         28.28","       2856","               80768.30","         19","       2756","         96.50"
"TREJHARA","EQ","08-Feb-2019","         28.00","         26.60","         29.40","         26.60","         26.70","         26.75","         26.65","       4973","              132509.25","         33","       4970","         99.94"
"TREJHARA","EQ","11-Feb-2019","         26.75","         26.75","         28.05","         25.60","         28.05","         28.05","         27.76","       8392","              233000.80","         53","       6467","         77.06"
"TREJHARA","EQ","12-Feb-2019","         28.05","         29.45","         29.45","         29.45","         29.45","         29.45","         29.45","       4111","              121068.95","         12","       4111","        100.00"
"TREJHARA","EQ","13-Feb-2019","         29.45","         30.90","         30.90","         30.90","         30.90","         30.90","         30.90","       5861","              181104.90","         17","       5861","        100.00"
"TREJHARA","EQ","14-Feb-2019","         30.90","         32.40","         32.40","         29.55","         29.65","         30.10","         31.28","       4708","              147268.60","         52","       4082","         86.70"
"TREJHARA","EQ","15-Feb-2019","         30.10","         28.60","         31.10","         28.60","         31.05","         30.40","         28.68","       2030","               58216.00","         27","       1980","         97.54"
"TREJHARA","EQ","18-Feb-2019","         30.40","         28.90","         28.90","         28.90","         28.90","         28.90","         28.90","        128","                3699.20","          3","        128","        100.00"
"TREJHARA","EQ","19-Feb-2019","         28.90","         27.50","         28.85","         27.50","         27.55","         28.75","         27.55","       2337","               64394.85","         26","       2286","         97.82"
"TREJHARA","EQ","20-Feb-2019","         28.75","         28.00","         30.00","         27.35","         27.35","         27.35","         27.86","       3050","               84974.50","         27","       2759","         90.46"
"TREJHARA","EQ","21-Feb-2019","         27.35","         26.05","         27.65","         26.00","         27.60","         26.90","         26.54","      11252","              298599.20","         57","      10356","         92.04"
"TREJHARA","EQ","22-Feb-2019","         26.90","         25.70","         28.00","         25.60","         28.00","         27.90","         26.88","       5928","              159324.70","         65","       5279","         89.05"
"TREJHARA","EQ","25-Feb-2019","         27.90","         27.00","         28.00","         26.55","         27.90","         27.90","         27.15","       7730","              209854.90","         75","       5087","         65.81"
"TREJHARA","EQ","26-Feb-2019","         27.90","         26.65","         29.25","         26.65","         29.25","         29.25","         28.74","       3017","               86715.55","         30","       2887","         95.69"
"TREJHARA","EQ","27-Feb-2019","         29.25","         29.50","         30.70","         27.85","         29.25","         29.25","         29.88","      10782","              322133.10","         45","      10242","         94.99"
